,Precentral_R,Frontal_Sup_2_R,Frontal_Mid_2_R,Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_R,Rolandic_Oper_R,Olfactory_R,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,Rectus_R,OFCmed_R,OFCant_R,OFCpost_R,OFClat_R,Insula_R,Cingulate_Mid_R,Cingulate_Post_R,Hippocampus_R,ParaHippocampal_R,Amygdala_R,Calcarine_R,Cuneus_R,Lingual_R,Occipital_Sup_R,Occipital_Mid_R,Occipital_Inf_R,Fusiform_R,Postcentral_R,Parietal_Inf_R,SupraMarginal_R,Angular_R,Precuneus_R,Caudate_R,Putamen_R,Pallidum_R,Heschl_R,Temporal_Sup_R,Temporal_Pole_Sup_R,Temporal_Mid_R,Temporal_Pole_Mid_R,Temporal_Inf_R,Cerebellum_Crus1_R,Cerebellum_Crus2_R,Cerebellum_3_R,Cerebellum_4_5_R,Cerebellum_6_R,Cerebellum_8_R,Cerebellum_9_R,Thal_AV_R,Thal_LP_R,Thal_VA_R,Thal_VL_R,Thal_VPL_R,Thal_IL_R,Thal_MDm_R,Thal_MDl_R,Thal_LGN_R,Thal_PuI_R,Thal_PuM_R,Thal_PuA_R,Thal_PuL_R,ACC_sub_R,ACC_pre_R,ACC_sup_R,N_Acc_R,SN_pc_R,SN_pr_R,Red_N_R
Precentral_R,1.0,0.5398344548037061,0.7467382463393916,0.65221124723604,0.5460184020083453,0.4509743920176141,0.6828742347071531,-0.15575004709989745,0.4044973357005148,0.10009466377741573,0.0367556435466103,0.21499213475826373,0.09481807989947666,0.2464741818988609,0.4500563886455872,0.5887526903532146,0.7361859030483899,0.5595686736911939,-0.12596649657560066,-0.06934654720304426,-0.21394581285054623,0.3984430734476963,0.4111972452874833,0.2484217006385528,0.05072777893935936,0.073822169561006,0.16398792489394967,0.24951989369839656,0.9311033954120422,-0.018341497893552217,0.902160374501017,-0.06340782669981386,0.4986915736136061,0.2522349300446671,-0.21958007587369846,-0.18275890661780053,0.4165810894698035,0.7470629062487544,0.5737465908170047,0.4555146839310093,0.33705097829237407,-0.22082402094591674,0.4285666908398484,0.10663284772731758,0.1023465133210831,0.2001292291943193,0.31963925213760574,0.2258155559274717,0.24927981624251053,0.2432216520181002,0.15492512053707544,-0.0592241221634548,-0.06678086308935585,-0.09095514478520073,-0.23164715136979375,-0.017975013482532352,0.07166275015000806,0.04147349400894359,0.06122374511721237,-0.043367638685546016,-0.3150684875485721,0.3325576606575057,0.38898085016277056,0.3257985157564568,0.42321088522981326,0.19215284740578453,0.34627529773958154,0.10608886581190662,0.03412382294082379
Frontal_Sup_2_R,0.5398344548037061,1.0,0.8300161163564417,0.5579949389621073,0.8229761489657322,0.5242426267607481,0.5225698512201989,0.35537266018127944,0.8991861834430812,0.5395066755950271,0.3859061345824776,0.5232001312603016,0.5014929839564445,0.398939789892092,0.5422222501044056,0.6097796566660102,0.6978897482429556,0.6866670528780352,0.37710916565805325,0.4299076565639715,0.11761135012356039,0.5923410974886173,0.2640322923771728,0.5379764782057351,-0.07564198903587879,0.033076414252803936,-0.0025425156942919863,0.6120452751843344,0.4709277669202315,-0.09930295291558543,0.4301034513188473,-0.22112815783709494,0.6978613550586261,0.43958928541849235,0.15666050216182634,0.053519117506578076,0.4299081853072993,0.6037981939373624,0.5568890816553752,0.623466498468385,0.5888784629198481,0.39042400938247485,0.6098420556214775,0.506605141431144,0.5971833878126306,0.6217301589725361,0.5635223179509721,0.6237462368303026,0.5617250214392379,0.6174046144505793,0.2941400653311735,0.25550764464047304,0.36782038757480107,0.37103969336606923,0.3324786393292006,0.5678412822283442,0.5193190239478354,0.05680832813839108,0.28852430928138184,0.415759200652915,0.09172193210638907,0.43652164352051726,0.48963203321906773,0.7719220110366234,0.4926664008773912,0.5454098609903105,0.4226086194407023,0.3871061984368446,0.36914298369996823
Frontal_Mid_2_R,0.7467382463393916,0.8300161163564417,1.0,0.5880319114670101,0.7451320526903743,0.5151105513673078,0.49474847966215774,0.12804503008602156,0.617006579003374,0.2789647169533481,0.195986908333957,0.5226837763456603,0.3175629657389681,0.3725163276599807,0.5828667597763277,0.5568187037862917,0.6465023842612682,0.6024743068111663,0.19906620683405957,0.21004610018140057,0.004863654825360709,0.5198085241354546,0.49736855860416224,0.46217471388230275,-0.06923881337287445,0.05563627218844652,0.06923275835935327,0.4193625807205465,0.6889755242785675,-0.10764099603978976,0.7011580644994201,-0.2612637768658054,0.6476760454613684,0.30493635934764723,-0.04842796069837206,-0.022327177395033135,0.27872459554943807,0.6632731829535707,0.506877389106328,0.5946285259760549,0.34705313214527417,0.038602553364211124,0.422158277574586,0.19952890640989057,0.3935132711102605,0.41804284618910176,0.39924175064074763,0.356634413255814,0.36937935484430995,0.4645976315921817,0.2100964077966586,0.16051841976869544,0.21287173432858159,0.28934668511465916,0.0861071846832995,0.34805636741767626,0.3851271812170562,0.11891730734611006,0.2538434994158318,0.32606884011010145,0.025583452219542113,0.3621978808333462,0.4836261822420454,0.6113786162458116,0.5161560508527735,0.31108845633837434,0.41358850469942454,0.21517097528575604,0.2885003217164783
Frontal_Inf_Oper_R,0.65221124723604,0.5579949389621073,0.5880319114670101,1.0,0.7467589830112557,0.7713808411864743,0.7080467129454523,0.29090203731461756,0.4701814681505495,0.34588155944951604,0.4100739219445461,0.2202593952869628,0.38746522613878764,0.5039722171662169,0.6171789212618529,0.71165353051548,0.6840401796369417,0.6563959875736778,0.3041037513743307,0.3080809958252669,0.1155543187218567,0.6285983486369805,0.3273077808507708,0.40562046644396316,0.08440186213340338,0.12481298880800296,0.24394048655370346,0.6606727861832239,0.5880372095193542,-0.0703272173036371,0.5585531484257238,0.12561313440157254,0.5853644520431948,0.5493803579710855,0.2420159539975079,0.2448610532034839,0.6053081218029035,0.8354022584334967,0.7054484828272889,0.7439662274116204,0.5903119307228795,0.29009975535188776,0.6160432693137894,0.4184247089225884,0.26409725259023337,0.4318740450410504,0.5503476554646639,0.4717619729711291,0.5460674448776486,0.2493905813528919,0.4418485045245526,0.12637078055470222,0.2042495570557576,0.14060644860350088,0.0801312078587942,0.12246634417990616,0.16741125273009694,0.02570497061904454,0.1867630690859154,0.2742211371928395,0.0859011358563963,0.5646514305614728,0.559447829565304,0.5375698455523895,0.733983606805485,0.5002588324669582,0.348949080671457,0.3050791192157223,0.20237834818352396
Frontal_Inf_Tri_R,0.5460184020083453,0.8229761489657322,0.7451320526903743,0.7467589830112557,1.0,0.6454651222469879,0.6300979841114845,0.246537520392113,0.7377163363211264,0.48123716293838115,0.39798084797237515,0.38858886893563466,0.48715616600853284,0.40947947516466987,0.6215770393875032,0.6285889666453621,0.7161715476823888,0.7095667240140547,0.3349289905730991,0.33399299476269817,0.07582276441231696,0.6039254699621281,0.3347570345025244,0.4566837255297978,-0.03888203881750889,0.035156779863578715,0.10550928946249179,0.627198105024605,0.5165848192076514,-0.07243537848488615,0.46656646978770816,-0.08126693696710821,0.6955559148300225,0.44709964108405886,0.2441090575616774,0.1713404081054314,0.5088104541680903,0.6791605961750786,0.6107911070807184,0.7662611689764169,0.5811427476658328,0.46588377685507365,0.5492265230366441,0.4215686883738013,0.4983913924731634,0.5811220957111084,0.5091950825443409,0.5321121698275286,0.5281893259777211,0.434040610958009,0.31713216533562205,0.14981477751910802,0.3237303611652494,0.2884045034436594,0.342450114262681,0.45765923810726017,0.40183336824854726,-0.034148635585782273,0.31043196100359893,0.42955925438599196,0.14657965445408586,0.49942370553731125,0.48763470166020156,0.6838832258148205,0.586070119563249,0.5398341193187955,0.3278264396194686,0.26495781821616493,0.2965028632841997
Frontal_Inf_Orb_2_R,0.4509743920176141,0.5242426267607481,0.5151105513673078,0.7713808411864743,0.6454651222469879,1.0,0.6361764843419919,0.3245503561874542,0.44719178163646023,0.4566089105048103,0.442299577820162,0.3529508383840998,0.6197038804102541,0.7660204435146104,0.820742977926626,0.7846327835299567,0.5933388796587314,0.6135333106162133,0.4516787575194142,0.4048937351658026,0.22610295609590794,0.5461948514757308,0.22038296069089958,0.46364485789193655,0.09754010543220923,0.10478942253839443,0.09298267951506003,0.6201668292719653,0.39484542564172337,-0.15828919641007982,0.3889476522668615,0.03670921225787998,0.5374252224346544,0.5772820282342599,0.25455955903060745,0.27644415973185515,0.5553270735124294,0.7793841529602606,0.8202914907660092,0.6991933127552891,0.618741912606295,0.35569459171274315,0.5481192242003213,0.40592722802295417,0.2599177148654852,0.4428315586052556,0.5957344648203904,0.47991749968659403,0.5464044556818743,0.34668131006623726,0.5367331411638224,0.334370452129045,0.41716501087151747,0.30977938328918453,0.20423345232416917,0.3248322846820861,0.31560005551088743,0.1388628247479521,0.19247315181173277,0.37340966412550747,0.24262035078507158,0.5312581824381017,0.5991224781058792,0.6712417368876271,0.78484838078683,0.384131091243809,0.2953860178621368,0.29219230170387334,0.2576216110286117
Rolandic_Oper_R,0.6828742347071531,0.5225698512201989,0.49474847966215774,0.7080467129454523,0.6300979841114845,0.6361764843419919,1.0,0.02953392382685232,0.5565010045168512,0.46415985198287085,0.1749405034045237,0.12174565471072525,0.4038145221520066,0.4370046394140839,0.4995701444375522,0.8343058708061027,0.8735511578228933,0.780343101586099,0.1138942283633517,0.13530006726934596,-0.08526221680934726,0.594489747110833,0.17515035869252982,0.4310743771457555,0.04770975878065646,0.008886101439750943,-0.04559870537353906,0.47856819823016505,0.6627573184473214,-0.027014760592481795,0.6127935785801454,-0.06169362870249526,0.6166231673558639,0.38884713224023815,0.05465757951834346,-0.10354965007164554,0.8270676314316803,0.8060690048858986,0.7959161718296608,0.5304056579444208,0.5480326764718758,0.23229484059565364,0.603710110098565,0.4566425048764879,0.29828136500936353,0.5202500739281533,0.609447940254814,0.5643221988409499,0.5835376391430739,0.42528115130871846,0.4540162234221885,0.038740212904561866,0.210549792835214,0.09537694091268911,0.03697444220394854,0.2017279533347734,0.32710399456272693,-0.19173366630234806,0.1448436958839528,0.2318658864671627,-0.03543280553356668,0.6171182957250906,0.43702405963339946,0.5034728386306373,0.6213997967500897,0.5704620861232058,0.2390001286822185,0.2188723247858589,0.0902616420153061
Olfactory_R,-0.15575004709989745,0.35537266018127944,0.12804503008602156,0.29090203731461756,0.246537520392113,0.3245503561874542,0.02953392382685232,1.0,0.2980257893938039,0.5473238962534928,0.6345376203280875,0.4488046534172002,0.611063868859904,0.4910681408396539,0.3258474199547608,0.2736979624534652,0.11142388322834329,0.199384320726243,0.7709526515229624,0.799759470479915,0.6290053113011916,0.2703992849965516,0.08466619218247075,0.4069438655250137,-0.0015318620889054073,0.27805702993848963,0.1672530683426468,0.5442349949269509,-0.12073723954803672,-0.11048110811119742,-0.11599691641817422,0.06878667403775837,0.254081829097222,0.5144498863782008,0.6905681842449359,0.6139679688283917,0.06997065414431011,0.14664413122357797,0.22519209107964314,0.41820759314512096,0.510320330320988,0.6100452808437253,0.34998026085293815,0.4304846380332454,0.43192844461704877,0.3929487703837648,0.4057087880974301,0.37039677619445327,0.4814199162943313,0.3249287633793832,0.3709264092799572,0.5249898196988068,0.5371932671971137,0.4430420918970146,0.4889736428557201,0.42551679370895307,0.3035108791401022,0.37393294188816045,0.3400971699179502,0.36770250556300055,0.5054541293262034,0.24360948018972212,0.3836606312739279,0.5269825613852013,0.3804387659205537,0.5476271737361713,0.3903762786552796,0.6087703333510195,0.5225385915936117
Frontal_Sup_Medial_R,0.4044973357005148,0.8991861834430812,0.617006579003374,0.4701814681505495,0.7377163363211264,0.44719178163646023,0.5565010045168512,0.2980257893938039,1.0,0.560700869510398,0.30655718990266073,0.40160720194464133,0.4768700319811522,0.2807863264200534,0.42573208028526344,0.5733051207470297,0.7356617121891857,0.7260696735737479,0.32126821074726003,0.346569690806327,0.1092827836290634,0.6320292815256289,0.11761746602656344,0.5643384712264564,-0.05483681898785546,-0.03295080088211008,-0.11832227017700532,0.6065736717619917,0.3282435700543671,-0.0737013335841952,0.2751643311268295,-0.20052754313914484,0.7226389338193258,0.3154495253520605,0.1539805418488196,-0.07040562200477019,0.530781932094285,0.5250795568430467,0.5285941792844207,0.5242444810556567,0.5715724642172364,0.482548221343051,0.679834212113835,0.6511614101604627,0.5618117336898028,0.6657376850822522,0.6327979700725115,0.7636011861694794,0.6549157738182925,0.6927766936058635,0.26698872467337925,0.21893218490188415,0.3894856536491037,0.3443906551666503,0.34955908885791337,0.6035470068256868,0.5781755922780969,-0.08441389173313417,0.21385624443814827,0.37222054786174,0.04114991325438783,0.42197979604962393,0.3337819497998786,0.7113169449283757,0.40765883240589035,0.6066531757465289,0.32371228615095493,0.32039715802482127,0.2739280211269078
Frontal_Med_Orb_R,0.10009466377741573,0.5395066755950271,0.2789647169533481,0.34588155944951604,0.48123716293838115,0.4566089105048103,0.46415985198287085,0.5473238962534928,0.560700869510398,1.0,0.579578624691945,0.42583200868817467,0.7652825521939303,0.591431873968944,0.40030643763332474,0.6130526260957511,0.435522372127694,0.48562864844092685,0.5381419299181575,0.6131896596294489,0.4421359474145175,0.4121948461821391,0.003964389015036675,0.523792998385013,0.1195441565355031,0.07998063519676468,-0.0581918911250042,0.5235810970645984,0.0556567465639534,0.04448412886408159,0.07263047214905244,-0.052317241828846756,0.40687145271145403,0.4751265848737912,0.5342047355668073,0.3174030732489353,0.3463078347393972,0.3400473110652412,0.5266354938934633,0.4531089067612926,0.5776271127262772,0.5175189166801939,0.3822031313602818,0.43823471636871686,0.5268360490076556,0.5719940932815553,0.5651132461323205,0.5272777562577761,0.6433752136561999,0.516118515594462,0.4807315861562518,0.3962143291422153,0.6177664275592657,0.4728896480686041,0.42772349679260996,0.5404342421717332,0.5647938103478101,0.04215963658149793,0.4378062832015499,0.4484587965558226,0.3687367694062205,0.39427887404714235,0.38477219400106116,0.7386757498346367,0.5018137381857468,0.6668019239406554,0.2449782118236052,0.37552829134369986,0.46983682772797875
