,Precentral_R,Frontal_Sup_2_R,Frontal_Mid_2_R,Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_R,Rolandic_Oper_R,Supp_Motor_Area_R,Olfactory_R,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,Rectus_R,OFCmed_R,OFCant_R,OFCpost_R,OFClat_R,Insula_R,Cingulate_Mid_R,Cingulate_Post_R,Hippocampus_R,ParaHippocampal_R,Amygdala_R,Calcarine_R,Lingual_R,Fusiform_R,Postcentral_R,Parietal_Sup_R,Parietal_Inf_R,SupraMarginal_R,Angular_R,Precuneus_R,Paracentral_Lobule_R,Caudate_R,Putamen_R,Pallidum_R,Heschl_R,Temporal_Sup_R,Temporal_Pole_Sup_R,Temporal_Mid_R,Temporal_Pole_Mid_R,Temporal_Inf_R,Cerebellum_Crus1_R,Cerebellum_Crus2_R,Cerebellum_3_R,Cerebellum_4_5_R,Cerebellum_6_R,Cerebellum_8_R,Cerebellum_9_R,Thal_AV_R,Thal_LP_R,Thal_VA_R,Thal_VL_R,Thal_VPL_R,Thal_IL_R,Thal_MDm_R,Thal_MDl_R,Thal_LGN_R,Thal_MGN_R,Thal_PuI_R,Thal_PuM_R,Thal_PuA_R,Thal_PuL_R,ACC_sub_R,ACC_pre_R,ACC_sup_R,N_Acc_R,SN_pc_R,SN_pr_R,Red_N_R
Precentral_R,1.0,0.32180017627039686,0.28922410335551985,0.24876990867933166,0.12262109063428822,-0.058177844633297685,-0.20715119459127984,0.6926230199446298,0.17185410824799832,0.41665847361254094,-0.13016289535553682,0.11084289206471878,-0.16159220141400618,-0.11007180436841131,-0.011123665553916627,0.05473356481244133,-0.008641447654759521,-0.06651758316760653,0.013086023418069885,-0.34153257034004975,-0.15731441233502602,0.08764230500347606,0.11346947928679064,0.056024544535386335,-0.24698065727205232,0.8683357953654346,0.46889394778474847,0.630816332581148,0.7853073079538274,0.533361753027413,0.5189247091490795,0.5736561201936597,0.022591414142550847,-0.3323261894921317,0.02275272032683697,-0.16034010030027554,0.20989769569159614,-0.32848768180247395,0.08006264821847545,-0.306562215582422,-0.1885097954599589,-0.17672180355362546,-0.09244467409246931,-0.007210985310326607,-0.09142988898004203,-0.10778997885257433,-0.11709617555435,-0.080830955620318,-0.2801113208878815,0.33756050738880505,-0.32929319597161244,-0.15870636906690283,0.3210501365537636,-0.19980222597110292,-0.0323495242004094,0.1507777482488109,0.04145971087638911,-0.19753547833576438,0.08636159715313717,0.1535292773142019,0.24547688158580092,0.3660606022532581,-0.1827450810162538,-0.3487288483966136,0.10019906116438021,0.04688920369222641,0.10793741224978723,0.0101560009072726,0.114800411116799
Frontal_Sup_2_R,0.32180017627039686,1.0,0.7987625535069821,0.32013098328927114,0.5777443203192424,0.5893255826595915,0.0829609871741928,0.47147067431698075,0.0059287286995189075,0.14962956058606608,0.48549675237953505,0.26235745926413123,0.42272517513965824,0.5925754833754558,0.2514920036980364,0.3032108537609253,0.018313988274428976,0.24666543678853894,0.2794901659974312,0.08068173110249008,0.18571750894985284,0.48214014486286283,-0.4672720046873776,-0.5225983106803345,0.11321318723568884,0.16223493076095472,-0.031428351029018885,-0.15426163672886478,-0.012231294291251209,-0.3446470964624817,-0.061442236361810565,-0.05796684078358901,0.15018443799571635,0.39675056928143254,0.6165664717360013,0.4587629810659313,-0.42965705138921284,-0.42210016424525504,-0.5539154916486335,-0.5089137156455645,-0.5500813220820726,-0.5492957129916509,-0.4034622697658819,0.20590570417607537,0.4390675707035258,-0.5504445115596014,-0.516814650867765,-0.46297307778646685,0.18271188640862174,-0.5376506678667097,0.5390668730789179,0.32627058563290506,-0.43832027653644623,-0.4766129461275149,-0.5820635845660765,-0.0649082042446944,-0.6516459468670563,-0.7232526588174266,-0.6363063018113109,-0.5765705197626996,-0.6085103276595643,-0.5111006619213176,0.3411721024826831,0.5913901319414995,0.4263336657377947,0.32032184211438025,-0.26313269271104234,-0.23450655052834937,-0.016713259870458658
Frontal_Mid_2_R,0.28922410335551985,0.7987625535069821,1.0,0.47832998247391495,0.780903131942829,0.6987895080209212,0.3610438616175154,0.41024774718282264,-0.0197215013716172,0.17595223695005283,0.4839431270451281,0.3434791512249141,0.4278803379007368,0.6085342377236213,0.22410128973160945,0.49725442495832284,0.002276212038450714,0.4281566218166329,0.4132723808974475,0.14314974849403506,0.2990938066023956,0.5060798403662461,-0.5380294092331617,-0.5632576937632232,0.22142269315250646,0.06565791860896254,-0.1591359041538584,-0.25471506620475837,-0.09422954217710162,-0.45931549801166305,-0.21669821227281794,-0.08418887111616812,0.2649782346468606,0.5045096921477625,0.7170316343025024,0.5748818495552327,-0.3140917286101379,-0.3007779073067935,-0.5217994397906968,-0.4669698792443239,-0.4899008383575665,-0.5600606486228078,-0.43697928787825974,0.19025806403342832,0.535990842840974,-0.5959341981381181,-0.5337824480831316,-0.4628466525426424,0.14725233813737115,-0.634940098210845,0.6614976548593944,0.4048510234326581,-0.49681253938660136,-0.4793866366453631,-0.6490585257978342,-0.16203904975768435,-0.7071032789018188,-0.7261705822711593,-0.7450438099952014,-0.6853598944161573,-0.7152453865884496,-0.6393224214297566,0.37849555661330164,0.6205619831287619,0.37696173787865406,0.48994493804202116,-0.4227220867315139,-0.20168099697954495,0.0037939419496096855
Frontal_Inf_Oper_R,0.24876990867933166,0.32013098328927114,0.47832998247391495,1.0,0.4586376367780712,0.3499253966986827,0.6406548242836702,0.4278380617747276,0.05290025577597264,-0.18170567259408368,-0.1013961287152435,-0.1546867272920847,-0.05094352559595552,0.08608008937690426,-0.06563405310543681,0.2613878054113778,0.23415854792084814,0.106180288455215,0.3671572855241044,0.2964885413478969,0.010355507345093738,0.22811070400950678,-0.07288236338917002,0.008038564612590289,0.19938023890746734,-0.10588348940372759,-0.44249951365885876,-0.37665083997680077,0.03936340094184826,-0.37904966899447184,-0.36331660136867044,-0.14940925442658026,-0.040863375181719015,0.15887847760142895,0.40024517043760865,0.36577862009282225,0.28689553017689756,0.16546728190157498,0.09646220995159793,0.1343549553533689,0.1625501080304512,0.09207998915753117,0.12466273601935178,0.3850933643603917,0.4982470113787819,0.018864771802014277,0.11828114732478347,0.17657885924054614,-0.14496083971156598,-0.35126438808104987,0.19858260486961257,0.07166206554012391,-0.27412599789965597,-0.05942361200761839,-0.3235856237342413,-0.08489088898388583,-0.16819455145723633,-0.18210270243083715,-0.208299381637472,-0.23047978683590079,-0.33794237434443114,-0.3018238479973243,-0.014422824547773896,0.2424231371927241,0.37121273672827765,0.2040105413417951,-0.07402174581308085,0.028719850579101255,0.15927387292258915
Frontal_Inf_Tri_R,0.12262109063428822,0.5777443203192424,0.780903131942829,0.4586376367780712,1.0,0.6268800554359129,0.45188768776548865,0.3037238742378834,-0.046422476425873674,-0.08132745007649288,0.2789276189642475,0.19060197941788368,0.2680924442851818,0.47031810027165344,0.10284513954095026,0.36771546692081114,0.06047907907150625,0.2261199641574445,0.28552542861914687,0.26491433939232106,0.22747321159152223,0.38682552033529993,-0.42176942303217557,-0.3950513194221698,0.33875896855288046,-0.14046815288283615,-0.33324466628081456,-0.41042370207736284,-0.2187459826310079,-0.5404320838871269,-0.3623412239987355,-0.12892600538560914,0.06433349425084685,0.38958170083403537,0.5648316816630163,0.534596162525348,-0.13239972942349243,-0.0829362610618992,-0.32590799659598785,-0.24984592288773896,-0.2225067199979041,-0.29797136134241997,-0.21307970055919426,0.178355147761748,0.49157415429813833,-0.36548627053100424,-0.2972424288656743,-0.2438512359018611,0.13313847763116265,-0.5811848417804872,0.5672027172770617,0.33367145913947277,-0.4761636612059777,-0.34823280276924806,-0.554451685563101,-0.18295248755504495,-0.5519061771821274,-0.5251636421921516,-0.6076257300725011,-0.57779010760343,-0.645678624093519,-0.6123129172562696,0.24422389920529422,0.5530080003716124,0.4447109791255059,0.3788433933328345,-0.3441106096438527,-0.1897076528859381,-0.08721566599990711
Frontal_Inf_Orb_2_R,-0.058177844633297685,0.5893255826595915,0.6987895080209212,0.3499253966986827,0.6268800554359129,1.0,0.43858244587541,0.048531009392054805,0.19452730863248727,0.10666792885394888,0.7174734172942483,0.5012944407053036,0.7149864990587497,0.7719630572403989,0.5962322318238354,0.5513375780773561,0.36206270310257976,0.40652309475597814,0.14486882464637824,0.27940161636923294,0.44239822549373314,0.4730627787640648,-0.6511233329388111,-0.6671106152246785,0.41755647247655564,-0.16402749567804398,-0.14344465939276094,-0.32639809592767216,-0.2741127716622101,-0.531005754921215,-0.30198301584428144,-0.2398748871222371,0.3835086762321171,0.7485884235911048,0.7103595480278146,0.7577472324150127,-0.36646957269161295,-0.15098277822066916,-0.6433531536826143,-0.5062597391359084,-0.5244617257689839,-0.6210742240628073,-0.5490610115054758,0.14544302097122175,0.49821043095943424,-0.64511734924441,-0.6126573201086336,-0.5762904783738062,0.2619058805226103,-0.742305011338985,0.8139347783506113,0.5060225661732498,-0.5985508602770534,-0.41067487760098315,-0.6317372933892402,-0.1854468027013414,-0.7602137139348492,-0.7087976393289933,-0.7799582497863575,-0.7444852394945569,-0.7847519126545686,-0.7476733802901222,0.6530230310273155,0.7754567264556297,0.2634130818665195,0.5938494434644745,-0.44980173113745914,-0.12922358842274267,-0.1146019532276964
Rolandic_Oper_R,-0.20715119459127984,0.0829609871741928,0.3610438616175154,0.6406548242836702,0.45188768776548865,0.43858244587541,1.0,0.01647602386818884,-0.004898179179744481,-0.1364425655353774,0.10848344229025869,-0.022140469970630523,0.14908117906417837,0.18887104025695298,0.1034350066191932,0.35826823982949274,0.36192050612443544,0.34698766116828444,0.31904557558519675,0.47349586818163963,0.24468796666442788,0.16879002391665165,-0.11094695292778417,-0.05119866649353149,0.43273478709781305,-0.42270237653520126,-0.4830414917088064,-0.49311929950687905,-0.24648264257511548,-0.4948025203643789,-0.4179876219637707,-0.25264122110748255,0.20106233881869565,0.49220555021139767,0.35214886968341164,0.5725867980506321,0.2761825817839303,0.44847458723104106,0.015799700932728616,0.2039208362538475,0.211009187896187,0.08980057649108944,0.07130202027121749,0.21934162934928364,0.45497092674178846,0.02856469885166118,0.0705975314015966,0.10359703718884582,0.09142753810655545,-0.43870709921672685,0.43005002173716206,0.28555382237437554,-0.31446690744885986,0.0927196280580302,-0.1772978896396699,-0.10721036937044649,-0.1616249828599908,-0.02259056018969574,-0.2494297647760163,-0.27103848153857657,-0.38994809541304076,-0.4608898793206808,0.18541386109695163,0.3584405146528942,0.0784544721841741,0.2961890676937971,-0.14871298415688008,0.09990568185743431,0.09821396024916718
Supp_Motor_Area_R,0.6926230199446298,0.47147067431698075,0.41024774718282264,0.4278380617747276,0.3037238742378834,0.048531009392054805,0.01647602386818884,1.0,0.1760735803542368,0.19992588712722403,-0.23409946873659046,-0.13566505799850487,-0.14030432835596324,-0.042671182686153476,-0.07090836357733538,-0.04504244387551148,0.09904004507528416,-0.019946755225072242,0.3647335397240936,-0.005137370883972019,-0.05434419344994404,0.26187502168295734,0.1251195834722382,0.14641536106827352,-0.0659664671765593,0.4245677527375105,0.07730664324643428,0.17862380289339516,0.3664909840993523,0.13999406554742136,0.28577237594822696,0.44289027279840926,-0.029563962223028713,-0.14238773943622715,0.2792950349909847,-0.022444471896608326,0.18666817979652064,-0.11603192792280649,0.11589014069613127,-0.06719316947470597,0.01584843413942026,0.032926137378225556,0.18406469994277164,0.3506504894968482,0.27929341418438725,0.01179735263323754,0.120048671234654,0.16442350588091606,-0.13126206054982037,0.09857243104880048,-0.15553827125909903,-0.04224086349853053,0.12089861050797433,-0.06313332704474724,-0.0947066699451858,0.1503434127450007,0.02803110859303351,-0.15091867051538307,0.03339848068687832,0.07926025899819421,0.060351725870904385,0.16643391941265434,-0.18708848617601528,-0.1144809039563895,0.3953252380035189,0.057993096265722154,0.09290627328386636,0.07313083005891546,0.2019926706769197
Olfactory_R,0.17185410824799832,0.0059287286995189075,-0.0197215013716172,0.05290025577597264,-0.046422476425873674,0.19452730863248727,-0.004898179179744481,0.1760735803542368,1.0,0.1842049151319317,0.029430922935819694,0.09216451741205665,0.12522804744517713,0.05386535868832186,0.29201284131122124,0.03670785777118827,0.44931861831910047,-0.12602883704325318,-0.022562318009141255,0.15966031620425924,0.11342606921343201,0.03266437787893346,-0.014185865855634331,0.03650195030271717,0.0039009218077635482,0.14038937122750006,-0.014462758785237223,0.09261705103300222,0.15023914668330893,0.10104182722360004,-0.010320013054609384,0.07870955721104028,0.2934719099736922,-0.0012187455274393516,0.06462505168947257,0.06881989484025156,0.09259925883442938,-0.009377484402474079,0.04365625703340265,-0.03452471315356862,0.03149005767230034,0.05060085592418655,0.06497800579769267,0.16047804899512513,0.023993583824474734,0.023705838720873028,0.10226031822041434,0.07648182529743598,-0.05168699908259444,0.017719236797822127,-0.023479593705581087,0.055937984896731435,0.051904857842753824,0.10093477121468664,0.048886875270109716,0.14650239277661758,0.03939535758456906,0.0339523000850702,0.06823369728385965,0.07641974653139874,0.059231535854901075,0.07603791217262565,0.38874138130970476,0.08553439061670128,0.217762962162275,0.20865500736866638,0.24455275430112464,0.584352525083408,0.06977319694982151
Frontal_Sup_Medial_R,0.41665847361254094,0.14962956058606608,0.17595223695005283,-0.18170567259408368,-0.08132745007649288,0.10666792885394888,-0.1364425655353774,0.19992588712722403,0.1842049151319317,1.0,0.3845111221169176,0.3722569887944047,0.2650262026742176,0.014635221212037456,0.2562405267887412,0.12701175741506687,-0.034743841002329176,0.37652514460689274,0.04116793009213302,-0.1403157679524799,0.2417713981324664,0.14152876439695403,0.01349584274277418,-0.12233472778233473,-0.030573104234246452,0.5869218926116272,0.7100919525916766,0.687395544991819,0.46199014764121954,0.5502906033185888,0.6289984033473265,0.5644980890871658,0.6663162996940173,0.14931062344860252,0.11091323203037483,-0.13366516622482302,0.05431953369911315,-0.04397148684930276,-0.09395726781575123,-0.3141445312145942,-0.2647491160043426,-0.36101704207491714,-0.2727163298826659,-0.08757462538251033,-0.1417109622119733,-0.2372107658238712,-0.3084537905449535,-0.3081616881593424,-0.06586762747108281,0.24470550356624776,0.03345922057625563,0.13826420678487636,0.25849000756930773,-0.029680447896768263,0.10035498276350807,0.05943448512506036,-0.004943547793306744,-0.0752290115442404,-0.007414797631053352,0.05396041840344284,0.17299285486324056,0.2140699327196138,0.34739017287885327,-0.12313596779593204,-0.44605344625526744,0.41797157634272586,-0.11441976665531614,0.16356373871059324,0.25954135156817787
