,Cerebellum_9_R,Cerebellum_4_5_L,Vermis_9,OFCant_R,Cingulate_Post_R,Thal_VL_R,Calcarine_L,OFCmed_R,Thal_VPL_R,Temporal_Pole_Sup_R,Thal_VL_L,Angular_L,Supp_Motor_Area_R,Frontal_Sup_2_R,Occipital_Inf_L,Thal_LGN_R,VTA_R,Thal_PuM_L,VTA_L,Cerebellum_6_R,Cerebellum_8_L,Hippocampus_L,Hippocampus_R,Angular_R,Vermis_10,Thal_LP_L,N_Acc_R,Cerebellum_7b_R,Temporal_Sup_L,Occipital_Inf_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Oper_R,Olfactory_R,OFClat_L,ACC_sub_R,Temporal_Mid_L,Olfactory_L,Cingulate_Mid_R,Pallidum_R,Fusiform_R,Frontal_Sup_2_L,Cingulate_Post_L,Thal_PuA_R,Rolandic_Oper_R,Frontal_Inf_Orb_2_R,Putamen_L,Insula_L,Parietal_Inf_L,Frontal_Sup_Medial_L,Postcentral_R,Precuneus_R,Raphe_M,Frontal_Inf_Tri_L,Cerebellum_4_5_R,Cerebellum_3_L,Thal_IL_L,Temporal_Pole_Mid_R,Thal_PuI_L,Thal_MGN_L,Precentral_L,Cerebellum_10_L,Occipital_Sup_L,Cerebellum_3_R,Thal_MDl_L,Rolandic_Oper_L,Thal_IL_R,Occipital_Sup_R,Vermis_1_2,Vermis_3,Paracentral_Lobule_R,Vermis_6,Heschl_R,Vermis_8,OFCmed_L,ACC_sup_L,ACC_sup_R,Precuneus_L,Amygdala_R,Temporal_Pole_Sup_L,ParaHippocampal_R,Cerebellum_6_L,Thal_VPL_L,Cerebellum_9_L,Red_N_R,Rectus_R,Cuneus_L,Amygdala_L,Frontal_Sup_Medial_R,Cerebellum_8_R,Raphe_D,Caudate_L,Supp_Motor_Area_L,Cuneus_R,SN_pc_R,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Temporal_Mid_R,Red_N_L,Cerebellum_Crus2_L,Vermis_7,Cerebellum_10_R,Caudate_R,Thal_AV_L,Insula_R,Lingual_L,SupraMarginal_L,Lingual_R,SN_pc_L,Temporal_Inf_L,Frontal_Mid_2_L,Rectus_L,Cingulate_Mid_L,Thal_LP_R,Parietal_Inf_R,Thal_PuM_R,Cerebellum_Crus1_L,OFCant_L,Thal_PuI_R,Pallidum_L,Temporal_Pole_Mid_L,Frontal_Med_Orb_L,Thal_VA_R,OFClat_R,Precentral_R,Frontal_Med_Orb_R,Heschl_L,Thal_VA_L,Frontal_Mid_2_R,SupraMarginal_R,Frontal_Inf_Oper_L,Parietal_Sup_L,Thal_MDm_R,N_Acc_L,Putamen_R,Thal_PuA_L
Cerebellum_9_R,1.0,0.48380665518168836,0.7924009226387208,-0.19755708180414114,0.46743250432241096,0.4481235215902811,0.3213939562949874,-0.16507397457618925,0.30308149191800765,0.4270197537917468,0.20242825128605108,-0.1617922645838532,0.3094700658458937,0.4185675352197673,0.5094300272908596,0.3895441268941915,0.2164489195914805,0.30337560207433933,0.2237919365055455,0.7920487185647578,0.8889806019571401,0.3958672402011952,0.5798254481265791,0.045891632878082095,0.8603427303520469,0.13331211542412758,0.22894214313636993,0.49569002649590166,0.503228500866961,0.02323644783431645,0.2401058462103397,0.6079902559916727,0.36313651670798114,-0.04326788393935405,0.07796261479328706,0.4278759680198385,0.36353402550182007,0.5618743453562406,0.18766008392986858,0.3784920202240227,0.4780532674089521,0.5267127206121799,0.20047295211672056,0.5682707257125095,0.2455149495197113,0.35210217737003435,0.5129085229907743,-0.12994065543278882,0.48796481465342995,0.21646531576047315,0.07061981673359079,0.44150267466607573,0.42647303225387384,0.5400897226087523,0.38961846444619486,0.5434636212277384,0.5147116268302258,0.30594412147508915,0.35856969540008604,0.07616718878657078,0.3997094110898719,0.48429412732177124,0.4437753608734305,0.3092919879636727,0.47646578572431203,0.39105924354249144,0.022601567023372585,0.46677148636203014,0.5556997640562518,-0.1197443673178953,0.43546951339258566,0.5537626201266611,0.5299145968085515,-0.19535472827678851,0.394416330423048,0.35262889326635344,-0.01739995917329423,0.3100512201308593,0.4161786718435079,0.39161178078539255,0.7570754777266493,0.2594457008701685,0.8310301995511308,0.1227539344492856,-0.055925336309792247,0.08580975007061035,0.4729639072103127,0.31680212756814546,0.8961190463088773,0.12348115496886834,0.41375709464791344,0.3316549809937801,0.27520590201019923,0.20576996280745624,0.5339799922183124,0.6174351229372474,0.5798145102104085,0.44463726819203664,0.7807342459273932,0.5576055665642372,0.25469548701993144,0.38942783485855614,0.18042455922060133,0.5204687950269141,0.5573740313772606,0.17143650556439943,0.4956322188536679,0.483047265316173,0.5338239043714855,0.3780059439994223,-0.14481430866604889,0.4192735131962509,0.20381149913964136,-0.17983806931778,0.20101403418112376,0.8219704636098407,-0.06857372797595071,0.11224776024545928,0.3992621272161595,0.6129715732954609,-0.03040339051418267,0.18796856799416006,-0.14181984495115316,0.30459808607304273,-0.04422679440640549,0.3655635516161622,0.20819893730255262,0.5138683837262543,0.18848308958835558,0.3342215129650106,-0.33997383668532966,0.43194783346938015,0.14767815691613953,0.327465624836331,0.14521544610610398
Cerebellum_4_5_L,0.48380665518168836,1.0,0.17837521543755966,0.3142234667623802,0.6233098842655298,0.11619060263429168,0.10915438160319005,0.09909519081562602,-0.016015200247340627,0.26329391827804494,-0.07074925746203939,-0.2763053354396895,0.23392677735151185,0.24242783275297625,0.2934619429178894,-0.146638835107361,0.3834065079931755,-0.17555815936504968,0.12532154595231235,0.5764698404846372,0.31400985506292955,0.18165038551703339,0.3778582687085126,-0.14785626450452308,0.4657777302022334,0.33360919123149246,-0.04312186535765762,0.09174681679095699,0.6401094270851301,-0.09880940977201716,0.41249722982402054,0.3869198537839944,-0.06129594188201386,0.47079451947592027,0.20292351788225277,0.4752010097433365,0.1789426564105092,0.5678546288898336,-0.0654827826483361,0.32971221566587716,0.3837834339752533,0.6456055433353233,-0.13207136031976388,0.4336124335512446,0.0910788481062372,0.08667078990858619,0.16337449838928417,-0.18074330325579996,0.2962816023547075,-0.01415165737274749,0.06368312613061561,0.28550129265011664,0.5114118045156648,0.9403029022681249,0.9266858827741131,0.07657052113027898,0.09102008773078257,-0.18822390525368327,-0.038952895171469666,0.07931451140861684,0.11097533604915603,0.15922155643697877,0.2925493609687332,-0.09165895249170017,0.6878830296863203,-0.11615575974872917,0.1640435232033086,0.5243856890609314,0.6273554248925699,-0.25630027797999544,0.5929673451298626,0.5033324785009651,0.6343299189751439,0.15250563653096003,0.3269112287823683,0.10931034997318166,-0.09618858714944072,0.274262240862792,0.5081212118929431,0.6476099776785402,0.7934709363416127,0.00797240725603259,0.28670228064924624,0.048588011640902935,-0.14989505854317467,-0.09560760855206916,0.007582383666915972,-0.11596083345904402,0.38253842062657745,0.29607733786241525,0.22172840607061706,0.1228042525202792,-0.1442849747670245,0.20148832728335803,0.274042694912865,0.3818581754853111,0.1261784994718191,0.10198999176017334,0.4499096906298433,0.5752756211093419,-0.021524513368442,0.02049041026733021,-0.18515609739945155,0.42263008418626324,0.5555406455667676,0.20444371925880048,0.5149015997104615,0.5335530261335687,0.5963127822210006,0.24793811829712528,-0.23425417967376125,0.439784744806243,0.12756699991764242,-0.3396765818292774,0.10654741905552191,0.4946106417486394,0.2860116669958706,0.01781785005767435,-0.07136965600064656,0.36397429199343245,0.2305426365728798,0.23529506583268572,0.13594910897922102,0.2158946565090802,0.18635937889765558,0.48078990087099366,0.3849258755951775,0.24022807460075296,-0.16306131965170553,0.5940446377953695,-0.32525711706956495,-0.23710736278058236,0.15284379853359226,0.33666155468984366,-0.3441679596916238
Vermis_9,0.7924009226387208,0.17837521543755966,1.0,-0.4640096928463016,0.37409101142016804,0.4667693266357241,0.6007774051905376,-0.3422001043016969,0.604351264186913,0.11451012869854463,0.30546215734305976,0.24582833379781113,0.35466640451929093,0.433844036175653,0.47117976590762845,0.5717479415006934,-0.12538033734888768,0.24521124151987586,0.20692287188167324,0.6080597801965968,0.8348601356141063,0.21829823317237562,0.24133240959800076,0.43427319853947427,0.7957751122426056,-0.18089924937266297,0.008753645947743357,0.7698029779325721,0.3831911049899619,0.4249672355475595,-0.07356009397291949,0.45647540958636085,0.3094784238169918,-0.3337499752334481,-0.14768966086003435,0.4012647395203382,0.3655296585169756,0.4164603411376284,-0.0002843577819779201,0.4070131548939906,0.3182935319300709,0.3917650708678579,-0.019063122520910122,0.3868967352034327,0.002276732731800512,0.1242598743424821,0.3906132784189243,0.18191850395624098,0.37405825595494185,0.40974263825703605,0.3493970110908781,0.2479355933291769,0.1951325425743302,0.24373719188054926,0.11298842505472564,0.4944759915594179,0.4828486505396794,0.5986034361560361,0.4465498763478839,0.2568619773268977,0.17632960351486787,0.36810615677837827,0.5612447050152062,0.4668862972769749,0.10884217466228502,0.654549110263303,-0.07057957606559025,0.11980562319678216,0.6242038693284501,0.12090780796411756,0.49532629413735196,0.39219768049499015,0.11000374617828024,-0.44914340970804756,0.14358873886100051,0.170787388382847,0.2824178836464901,0.15840151030444843,0.11884444087861767,-0.027138073225191475,0.5881849046995477,0.5195815082926306,0.728548993482182,0.4702409231926415,-0.13960975624692706,0.4207948037150076,0.37756169135401024,0.2741485083410589,0.8144358823415768,0.0980422491242383,0.26440820386159514,0.37865430950762285,0.5334625099014164,0.23417248125338694,0.2531396998994027,0.5874674171159381,0.5698207179039378,0.6323817390257778,0.5706962479774406,0.6103756272360991,-0.038648763657293035,0.2238829705352106,0.08331807183801641,0.3004613170503001,0.6568782434301222,0.3789443742999858,0.5333293409699833,0.27790670048877475,0.26447921412066644,0.3195483374730734,-0.31566088363517375,0.438925963144925,0.08686764024800717,0.15842251577905248,-0.02140896034320265,0.7456839488601265,-0.3283199801634909,-0.22330638350968474,0.2917135563980422,0.5052426563740781,-0.13419513187635404,-0.18871807873050844,-0.44396207662666687,0.4063585462003911,-0.2215852736448412,0.026264280231276273,-0.13858289314208166,0.46099397337148074,0.41475490765007805,0.17469832113273764,0.0042911372204832675,0.6383532189493778,-0.07318146399641758,0.057201174987273416,0.5466149479677409
OFCant_R,-0.19755708180414114,0.3142234667623802,-0.4640096928463016,1.0,0.15608669726536356,-0.1325053214651956,-0.3399330325303374,0.6667797042864841,-0.5008300092749147,0.2312204981589307,-0.12510698321626013,-0.3939968871237186,-0.2089068683256471,-0.033385243451741264,-0.3539144398682965,-0.5767470354767292,0.570427488192412,0.00038723938484834747,-0.10019518040804623,-0.18282524105534845,-0.23422224121982213,0.27003587472704194,0.27943251147260906,-0.23735533331466857,-0.3360546158315925,0.5321779759837257,0.25388125936434114,-0.5373705209706325,0.07656337193481864,-0.3581876141561171,0.5915136852836661,-0.08617904834753047,-0.05216699327590746,0.8656827354942407,0.5582548832847156,0.0728707751454237,0.140869285811372,0.09296270789237747,0.33638644366700715,0.0633674373042849,0.25549680069004027,0.06790981150361125,0.1480619816534445,0.034056096342047905,0.43201926232523546,0.22953084819181255,-0.07079508054597342,-0.37980941632693427,0.06669767286502809,-0.2672719167345409,-0.16535003926291364,0.1885812680755389,0.32921567811608815,0.16896115883400292,0.2666378190264292,-0.20297715610585215,-0.4156868442200116,-0.4157558652761099,-0.2554368211917135,-0.3135602821376586,0.30583842390647736,-0.31276311719242783,-0.3152647538600248,-0.3856306530177097,0.4404746378016034,-0.6128514848176643,0.1067079810398124,0.29808498101725556,-0.1515526727835796,-0.28172106527274027,-0.1616400042818182,0.1406858141733384,0.25706738994012096,0.7120196625382156,0.34178902451372084,-0.1000481295051351,-0.19915829267402885,0.3658035141391929,0.5048960332031955,0.5499788351752829,0.0461119389096697,-0.2817026882363813,-0.04929950709074381,-0.21056956055725076,0.33004813483784473,-0.3599366300280523,-0.13013489193687114,-0.02214265514721976,-0.21559041184734842,0.38682930833778295,0.31290291924188945,-0.32070835890872523,-0.5705900443823527,0.1614087822726204,0.1900267462929269,-0.15679696082959182,-0.19892187972157443,-0.2029918075259256,-0.2819598616737412,-0.24553724524347673,0.3586135720182495,0.2605913802413996,-0.130080484317722,0.2768738333735296,-0.25653758826107903,-0.24194810913111683,-0.3311788663960353,0.3234937560760751,0.30558954926100873,-0.13167833486515543,0.3490673909472369,0.005062518790755664,0.2951236796862088,-0.29535739356543134,0.4058413988100064,-0.27225139717014946,0.7388020312933052,0.4216765267760686,0.03895981313820724,-0.11197890419913152,0.5397151452950557,0.5954506545008055,0.43847230429811757,-0.22433664260216066,0.582215174363361,0.29238996893563046,0.6507596313503499,0.03695003074731069,-0.32086282185070075,0.2441717649660778,-0.20920444355004034,-0.45086738558625566,0.5686310667533758,0.43827435840883044,-0.6679891872571059
Cingulate_Post_R,0.46743250432241096,0.6233098842655298,0.37409101142016804,0.15608669726536356,1.0,0.26440515359344946,0.3979690878505278,0.12670544637715891,0.17029442700731526,0.30453603951729086,0.14879327098645478,-0.018080440028598387,0.41942754768355855,0.5022244833447301,0.26564924304175674,0.03874443398035032,0.2589918209291548,0.07998286919175777,0.16172454008008466,0.5908749085916323,0.35281603270727496,0.3012693409829825,0.4560104783338433,0.25221012569731943,0.4226013648686827,0.21965877154314148,0.15429811408726424,0.15946256144109294,0.6910970271263459,0.014581634664579337,0.3840822441829161,0.5889701495982842,0.1573758439102993,0.2874809797548438,0.16490193113802404,0.48673307110765873,0.45364364885655606,0.7762963508554188,0.18907560007881305,0.5487164185009364,0.5710137710167688,0.8719360394585703,0.08904888244522914,0.6486090427005384,0.19263177916866991,0.30024120086190975,0.40414100358490757,0.06361834608465762,0.5918500355589625,0.2295649963746217,0.3964160750084958,0.31783443492782854,0.5313736129224386,0.6099181965497047,0.47981296694185077,0.1404826259718756,0.04437422080845607,0.13734992314738123,0.15361063635548575,0.26013333933214394,0.3662043388601677,-0.04308829531419301,0.320529519466959,0.14100782562798342,0.5505472019781745,0.1154981555023612,0.14676663057706496,0.2616102582559563,0.7274920798918901,-0.032904181646572356,0.6012244637061429,0.6645567113076641,0.4335870716999856,0.12542262787483013,0.45812045362851317,0.21062108662474596,0.26180112062788136,0.3938643954017255,0.3296830973906857,0.4354981180867668,0.6379240119957442,0.23496718873460248,0.48681915514724666,0.2105420541984115,0.08490540881679537,0.15578678903576232,0.2520904274757479,0.2752020882844768,0.4518631915585357,0.4534969001558409,0.38038824080387384,0.35224166559681436,0.08237665225976713,0.31393260878460816,0.40802052118435067,0.5897052039196244,0.5589140952135777,0.3606185936011203,0.2118598558678824,0.4064098314184968,0.1740231687022386,0.24745609688440656,-0.0665178209933938,0.5817432386972528,0.5900443900954189,0.38592619780478427,0.3935085211053136,0.4257770197808914,0.37117968030786713,0.4269985971249941,-0.07158637530713396,0.7309941470305569,0.2961475897334834,-0.12410810781679804,0.2627815355696323,0.39391271826970076,0.20229034159160975,0.026975967462763206,0.2745078834485123,0.10329573001624813,0.17035936069793725,0.1397836527992641,0.011377425216171851,0.3467327153338461,0.11527279535105947,0.23648065798918497,0.2668323327103723,0.5065256042903107,0.18147538325910634,0.6013950427896904,-0.18520038761438992,0.1714493331910011,0.24747137489654866,0.5143759266911683,-0.015780760043588055
Thal_VL_R,0.4481235215902811,0.11619060263429168,0.4667693266357241,-0.1325053214651956,0.26440515359344946,1.0,0.5688933008526609,-0.19514827930480919,0.6554804053852703,0.004991195623934537,0.7803169825939703,0.414230125667123,0.3840051985400184,0.6220958397043238,0.2888554111293091,0.6253035603444358,0.07782313368877267,0.4574461571988229,0.3699293623867571,0.2684932669159091,0.45818035279704483,0.529569188168778,0.4505057126539753,0.47592191479207374,0.5337254541271768,-0.26455542033815754,0.0882996038591263,0.4022102342430953,0.3723063612937209,0.3509735153579365,0.33355746439896256,0.4416715239485497,0.5276532615375534,-0.20075288135840622,-0.09255973945853489,0.6475529395363673,0.506555211013458,0.3148534911233259,0.26485714805386246,0.5462896749324782,0.495605213363489,0.35338635539238233,0.14360056757289985,0.4399691755547858,0.209821590378792,0.33555018020193084,0.6485211123827791,0.3478928189970209,0.5465595176389659,0.6706052671888177,0.4873213753243263,0.3433856746397924,0.4729718640328307,0.06257950060309493,0.10878109919621397,0.8084621874947683,0.10158917502468336,0.42330180740308376,0.7978190275068212,0.29386161155057966,0.3830582002620881,0.10683719847435964,0.6172836971784637,0.7960313111945336,0.3430660290944957,0.5939345432506974,-0.2195509947318005,0.48512752324436864,0.35929697546511996,0.4857280740983977,0.19074166758865227,0.235288174644527,-0.13520192213770776,-0.06601251712704698,0.38386901638609017,0.5038705451252918,0.5388006483999032,0.3092185364808044,0.35976296408691055,0.16396732829631544,0.33780414668440045,0.6088306555604333,0.6298432382030198,0.3903536121765149,0.18625802189500748,0.518490783670471,0.47168904394681854,0.4922896325801243,0.29224872974707344,-0.10730512004645291,0.77236245943073,0.3243685403839214,0.5222946397659927,0.167982311385745,0.29245447712187134,0.05641723360922532,0.3444761685131234,0.4961377321593767,0.14304522563368932,0.25034429930486296,0.3395592320182684,0.3326483937997861,0.6623627737250802,0.45992997297651794,0.39145054120861644,0.48667763052416435,0.47533213754001025,0.3333650096190907,0.4234782478250887,0.365316834964958,0.16905329664299676,0.4861410624112663,0.11308257543665816,0.48269017685073407,0.12684260703564332,0.3245160191960879,-0.10649791061369782,-0.07416484122886743,0.5253326931487261,0.29357381597984067,-0.06825524998037098,0.06536302518834576,-0.29535948499867976,0.54960959765329,-0.11891667668520312,0.13460646939645052,0.09435111064506808,0.6251948789441412,0.6409898871223714,0.32569750571982076,0.26059705049480325,0.6451907810809369,0.3005102676646514,0.31950459451055113,0.5262086161463627
Calcarine_L,0.3213939562949874,0.10915438160319005,0.6007774051905376,-0.3399330325303374,0.3979690878505278,0.5688933008526609,1.0,-0.211345309386777,0.7352725206263987,-0.2786839817934046,0.5350043289367262,0.7982018001374244,0.5659322929865553,0.6041312768695104,0.25028524535476576,0.5513376385661004,-0.2791348151072438,0.05492605355296778,0.2603521217466026,0.3400959838998849,0.3820745070476454,0.10026729775892433,-0.054492078813962834,0.8404949740967438,0.5297884391406374,-0.550047157701964,-0.3172211097015435,0.6694711111180033,0.5096856774843086,0.711137097850341,-0.03891622736745625,0.32067042006273355,0.12265316774641874,-0.32920704072811574,-0.4471067091964843,0.6239622214418009,0.38366405198033043,0.3297771960778906,-0.10184421752664785,0.7068383531813568,0.30699038856156513,0.48689402495976686,-0.23190159767789745,0.35793500638001285,-0.21439291058796037,-0.07531916928156838,0.345278342682648,0.7335388668316937,0.44752149876385494,0.7480396541728822,0.8243416907382706,-0.10299287131137401,0.33087019207957646,0.15537232755959093,0.12634697321855884,0.3685230145850731,0.04909095949450413,0.47516682765729773,0.4716522658630694,0.61336461075726,0.014695159347313549,-0.08286256507697731,0.7001794036174591,0.5737315505263673,0.008114985186579661,0.6759148159528058,-0.19360629194284457,-0.09197149654224876,0.6552132286224225,0.6391564992700753,0.6578417670053793,0.13002326497786573,-0.2849096030441693,-0.41760908381544454,0.05996523319175155,0.22883538971598813,0.8585423163729322,0.11671401475965398,0.06380366213118094,-0.08773504428759682,0.39112414877222856,0.6636308341770525,0.44215449093170983,0.6277736151139447,0.04279563619157423,0.8749781960781903,0.32388852833353365,0.18872593903241514,0.2455325363364169,-0.03831402531511096,0.3241121498078964,0.5456237904659775,0.7694496998480714,0.24776376300620667,-0.05881457974552143,0.277149094334366,0.3853081546290267,0.5906998526198047,0.035350436911448485,0.6145865186889851,-0.11389200026157366,-0.11687041607483865,0.2115214029920005,0.1470234698625748,0.7739397173724668,0.8311565028025605,0.6950613868530531,0.03130877520188383,0.18883757828456824,0.5035210854214461,-0.24024379641901014,0.6599972027769011,-0.05208280014759989,0.6984922496960279,-0.30100397398870404,0.37605057462064057,-0.37530837644581894,-0.5466746073059879,0.19809382340263432,0.27631451903703613,-0.2963358137675234,-0.5277853537364947,-0.4399151064934005,0.6798827410125846,-0.4144350293705589,-0.18998094448370628,-0.4325633172887767,0.5033839459072383,0.7839472609751007,0.39586001343334404,0.5220742733322825,0.5830718340979968,-0.0779598609372576,0.05009513200065544,0.770565375819498
OFCmed_R,-0.16507397457618925,0.09909519081562602,-0.3422001043016969,0.6667797042864841,0.12670544637715891,-0.19514827930480919,-0.211345309386777,1.0,-0.4526734198279934,0.25611560422975904,0.04407491636679889,-0.23886805830819877,-0.17937491807178413,-0.032130185567730216,-0.46146390298118184,-0.4495067553058413,0.5817259737236828,0.20519962492929208,-0.27450851663990244,-0.17762550289315918,-0.08130690728387102,0.395072102266564,0.20336138206555823,-0.12803678122636758,-0.3500064442921555,0.3816499906427093,0.33428988247264163,-0.514130434705913,0.03350271198253649,-0.3199252368228329,0.48462452961865177,0.005023259219709567,-0.14478689385600535,0.7303378224157868,0.3790368920137778,-0.009459679604450036,0.26940428221557816,0.05785403612247827,0.544249951199946,0.1555439104180414,0.14937542672170126,0.05517930302335671,0.26630254175009266,0.13522313765146388,0.4124970478305335,0.37925384132727635,0.010244539769390588,-0.25692335747954137,0.11932352053240614,-0.13971392093799676,-0.11271344022175642,-0.06172127363862902,0.3075810947551951,0.004682512375736585,0.031055885997601285,-0.3170631482267347,-0.43717448864273534,-0.25988227360586214,-0.25002819656311753,-0.2517983968678323,0.3794168307095839,-0.2993309516304341,-0.4006578626830808,-0.3683253645554035,0.29125277284542367,-0.5808655404312512,0.03804329420103269,-0.02686596695002031,-0.1924918269937801,-0.1476798894889343,-0.22026983787728213,0.043909803140883726,0.1244433472664539,0.4649318723640398,0.3560218265827538,-0.011783821246139612,-0.09977299474407089,0.3157941880526503,0.41077223069721513,0.45035988120801335,-0.026640544117019063,-0.16808029185169449,0.08401343548915916,-0.2447878358935482,0.5924261447999637,-0.20506020823816898,0.09931373133801331,0.13220316785421432,-0.24408696450955547,0.4051174496528362,0.2360964318951844,-0.19174091591670875,-0.3595511207119461,0.28436625003604116,0.29146792358759704,-0.15473056827383103,-0.0707547506749298,-0.27666499271886724,-0.3031650211642158,-0.33173430075899746,0.47120352234317237,0.2941391904422281,-0.011536092168482366,0.28787555365046263,-0.24482474976368915,-0.2402297151688887,-0.2634475686557969,0.005583596274488357,0.17431191936567844,-0.0680407976479057,0.23866675479612737,-0.025975956664564263,0.29109790346282854,-0.15266913998658685,0.4811453926866288,-0.24902453827437593,0.4843036398105249,0.5104057206393308,0.2786972820289622,-0.09919181849664215,0.25192784273157043,0.4336524025481445,0.5194353599913601,-0.13619714777306693,0.3131258289302276,0.11283807857753864,0.46973054628840083,0.1390283449717548,-0.15409214668983842,0.11835076706663311,-0.17059717093117274,-0.1619786343323216,0.5727813896821354,0.5913973644264673,-0.4839730557926152
Thal_VPL_R,0.30308149191800765,-0.016015200247340627,0.604351264186913,-0.5008300092749147,0.17029442700731526,0.6554804053852703,0.7352725206263987,-0.4526734198279934,1.0,-0.3799503806149437,0.5890868344161119,0.6798461347981263,0.2868486838159432,0.37707104544029835,0.5282803945643488,0.6461041425587135,-0.32302572543911334,0.049497317833159554,0.29384887439873375,0.16609962505108794,0.4060786889388457,0.020800479019879005,-0.11485342828254406,0.6956241163579924,0.5092732841905259,-0.4496055959286424,-0.3513770524108691,0.6692772509384806,0.2899545991296165,0.6839501802488747,-0.12953440951720085,0.23640045384681474,0.23751846294680756,-0.46398610101185167,-0.3894627958012493,0.5603364038031488,0.281079419496021,0.11316667344786814,-0.2952564743159353,0.30888428726526646,0.10324435150977836,0.18954614128096287,-0.38474575452996307,0.15865856497929093,-0.30102366870241276,-0.15935686222411907,0.2809362331099917,0.4940497554674357,0.24015086027877308,0.582575128837804,0.5389012933188685,-0.061633057094955264,0.07234486946934632,-0.011938879133514834,-0.006690515126459862,0.5438729357676177,0.17720691063188315,0.670304663355666,0.6175451741734229,0.3771716770865322,-0.16724358705012482,0.11186560884152606,0.5809625151176616,0.7322011422723701,-0.01701563396483498,0.8053943607921401,-0.14374820019444898,0.008086206826983999,0.4296634293437108,0.4638745194301065,0.3521850721951264,0.18173458390903643,-0.3324683647251164,-0.4875375129578812,0.04398245852128362,0.07648278157089061,0.5952129675430424,-0.1160081413240213,-0.07851731446622885,-0.36264706880879344,0.3341581047126254,0.8068700224662246,0.31557685435833693,0.605218767175361,-0.29371441517794783,0.7592427138480071,0.0602015440415118,0.14536259470568821,0.2475551531111929,-0.22071837486256482,0.2775119028849744,0.2402988635889606,0.6884148243118463,0.04604345286545299,-0.15072061974407236,0.09475171397581285,0.2657759771375967,0.39595326521196866,0.22047250706442761,0.4635530923329466,-0.28380922989250285,-0.08764944575334174,0.11866718887558177,0.12676104504362481,0.6099759655496396,0.6548639448983153,0.6298221792293718,0.03256178297093246,0.18014807507544478,0.1990765561413083,-0.38534600697992083,0.3574668575970507,-0.12205389841934959,0.5579694070511756,-0.32959244621255945,0.4067723266901269,-0.46751887566700673,-0.5906923385479843,0.055757309928314604,0.25961251612260394,-0.1874774633096019,-0.5045966377397397,-0.6419187294226056,0.4410690080466341,-0.361011264322801,-0.13743358193874822,-0.3421975391277133,0.32514768435830155,0.6082222293797942,0.1962719192009455,0.4102151818098781,0.5788981387004881,-0.18617056160608197,-0.1663246381555744,0.806710305495414
Temporal_Pole_Sup_R,0.4270197537917468,0.26329391827804494,0.11451012869854463,0.2312204981589307,0.30453603951729086,0.004991195623934537,-0.2786839817934046,0.25611560422975904,-0.3799503806149437,1.0,-0.13096038726598003,-0.5798122338697075,-0.1455724314629009,-0.02259136006211691,-0.10455583347053683,-0.08818284781427618,0.4463784428736573,0.2988559035641821,-0.035722348301583454,0.37423567691415827,0.255242833221539,0.418749649584316,0.7729878818305601,-0.3889739847349599,0.15550391320986995,0.5474830776665325,0.7634440230187621,-0.1286622623735695,0.14456178791971508,-0.4164190933042577,0.365500255190836,0.41277799483435407,0.4178269357489208,0.3431699376985204,0.6815249942895262,-0.13524528011695616,0.10900387893129916,0.40815914798629854,0.5146880836094667,0.10129435565246274,0.4218245784691868,0.2721609771616215,0.5711831289221188,0.33721889125819876,0.7257700799418714,0.6254050845053273,0.3537748324436686,-0.458952115053169,0.20764959470251457,-0.3107782185846625,-0.3064149411419247,0.5408396572786638,0.19264102948070128,0.24005210391555057,0.11157321929645196,0.1945896680556515,0.49217415191193126,-0.08993309564583427,-0.023778574286293246,-0.2701153510775866,0.5361158999630932,0.16197794951567537,-0.09869163283090407,-0.11102736671410218,0.3490577585739868,-0.22242452512104238,0.1290320205156404,0.34418969083136064,0.0988148109781688,-0.46401492575322134,-0.04951280588583972,0.532100938932263,0.4996541858522482,0.5017276646533347,0.4028227303961166,0.11882573471458119,-0.42003843813600755,0.4244340143968507,0.39435787291891294,0.5757857406458965,0.24529165948362802,-0.2519527981645048,0.3807049476017067,-0.3683167266772665,0.22889661014880996,-0.5132340841945341,0.35956444546179195,0.457946995429785,0.4726996239226601,0.36432441337374427,0.24691704083424065,-0.053510409392792356,-0.2518141400807617,0.09692138399266102,0.6911715074951368,0.3799600528407056,0.586532841513916,0.037402025597242386,0.24753262601865,-0.08545035176278523,0.47161458850678234,0.7075687048418058,0.1198725239505355,0.5299190645889074,-0.06690571815871561,-0.3951731985609619,-0.14095680661085286,0.3894593582997626,0.11758796871059826,0.05453237796509819,0.4205012416560444,0.05601322415769439,0.40087006879714654,-0.5825711015729523,0.5639474636587671,0.14199043799856548,0.5749116417177067,0.5977227796662492,0.42696438893825306,0.11948326636905698,0.4189291676992561,0.7076494565348252,0.4942807113474033,-0.2967854214855015,0.5773291178902418,0.24025996071236105,0.5739544165585521,0.15589896469464387,-0.31159244091876076,0.0016405976228542533,-0.5966617282849812,0.015417864869579875,0.34779222582496744,0.45646875628728567,-0.4298371369322485
