,LC_R,Rolandic_Oper_R,Occipital_Inf_R,Cerebellum_3_R,Raphe_D,Precuneus_R,Lingual_R,Vermis_6,Frontal_Inf_Orb_2_R,Thal_PuM_L,Temporal_Pole_Mid_R,SN_pc_L,Paracentral_Lobule_R,Frontal_Sup_2_R,Parietal_Inf_L,Heschl_L,Thal_AV_L,ParaHippocampal_L,Precentral_L,Parietal_Inf_R,OFClat_R,Temporal_Inf_L,ACC_sub_R,Rolandic_Oper_L,Hippocampus_L,Raphe_M,Angular_L,Temporal_Pole_Sup_R,Temporal_Inf_R,ACC_pre_L,Calcarine_R,ACC_sup_L,Vermis_9,Temporal_Mid_R,Thal_VA_R,OFCant_L,Hippocampus_R,Putamen_R,OFClat_L,OFCmed_R,LC_L,Thal_PuL_L,Heschl_R,Frontal_Inf_Oper_L,Calcarine_L,Frontal_Inf_Tri_L,OFCmed_L,Thal_PuM_R,Insula_L,Cerebellum_9_L,Thal_Re_R,Supp_Motor_Area_L,Vermis_3,N_Acc_L,ACC_sub_L,Thal_VPL_L,Cerebellum_4_5_R,ACC_pre_R,Frontal_Inf_Tri_R,Precentral_R,Rectus_R,Thal_MGN_L,Frontal_Mid_2_L,Cerebellum_8_R,Frontal_Inf_Orb_2_L,Vermis_7,Frontal_Med_Orb_R,Thal_PuA_R,Occipital_Inf_L,Caudate_L,Red_N_R,Thal_PuA_L,Lingual_L,Vermis_4_5,Red_N_L,Thal_MDl_R,Cerebellum_Crus2_R,Occipital_Mid_R,Rectus_L,OFCpost_R,Thal_LP_L,SN_pr_L,Precuneus_L,Cingulate_Post_R,Temporal_Pole_Mid_L,OFCant_R,Fusiform_L,Thal_IL_R,Frontal_Mid_2_R,Thal_IL_L,Angular_R,Thal_MGN_R,Parietal_Sup_R,SupraMarginal_L,Paracentral_Lobule_L,Cingulate_Post_L,SN_pr_R,Amygdala_R,Amygdala_L,Cerebellum_4_5_L,Temporal_Pole_Sup_L,Temporal_Sup_R,Thal_Re_L,Cerebellum_10_L,Thal_MDm_R,Frontal_Sup_Medial_L,Thal_LP_R,VTA_L,Thal_PuL_R,Thal_PuI_L
LC_R,1.0,0.45666149879244555,0.3160110387765975,0.12660945146124208,0.306908169191142,0.23239426697260274,0.4007638227832722,0.20220120924563015,0.10261786641518808,0.15566839701888835,0.03012419849700139,0.03954749485515006,0.16255301814622083,0.10419471156219892,0.3388606775228186,0.13039847707137966,-0.36984099442251944,-0.0003262564436202405,0.329103869869031,0.3393785953897123,-0.1481852350280224,-0.011915166531915246,-0.1616117046748873,0.32084695953127146,-0.02572282420173679,-0.11797515933264233,0.47390635934668673,0.33036715275958284,-0.00018576680457877437,-0.13123207428377281,0.4772539289546778,0.2223337017738728,-0.05925375611199874,0.2811889354226808,-0.273953073644219,-0.16761789758842907,0.06443776430497031,-0.22888050249366673,-0.31343924709350945,-0.20802414720185697,0.42703349252760825,0.1516741527907503,0.3145004364246312,0.30596031563854975,0.45373717386064905,0.12736909403547053,-0.14401923495035632,0.4084354038998603,0.40801991460233117,0.04416661523842957,-0.25280780651841556,0.19226973953544071,-0.1302398878352281,0.3568408885801319,-0.2503604878732753,0.17461838410664346,0.30425259944675115,0.07766330163038097,0.11500558820523267,0.3043458891723808,-0.1379132951617792,-0.2835170723619858,0.08647646025731828,0.2780532597765657,0.06388862574287253,0.21240811441815727,-0.01610359112224261,0.3742266270464672,0.45573918827235466,0.040401000330980694,-0.021025369947449128,0.20038959800043915,0.44664091456417604,0.28366470710927794,0.04168230360689258,-0.08176127663777112,0.32393925757791486,0.43629795503431784,-0.15053390017098514,0.07067137424368737,0.15867761690634574,-0.07740883356715775,0.36181430781257723,0.18813134045546118,-0.15467417603762162,-0.17886278248316548,0.006271607135797962,0.3201899769534694,0.16740312302165714,-0.03949710768758596,0.41619188977769855,-0.005297120577289898,0.2870772947713196,0.33643696583048804,0.2693835006011551,0.31347404370775184,-0.26237969150739787,-0.2658192754945114,-0.00605301289429102,0.1352783618788605,0.08615446527912453,0.28106857380863975,0.09781041221642107,0.25645283921585804,0.0076760705279539454,0.35040212578615726,-0.011786932917941077,-0.37475070141685957,-0.06494286390497012,0.0018653675116238229
Rolandic_Oper_R,0.45666149879244555,1.0,0.16731597391514377,0.7050341308844892,0.5639371467148063,0.592305088843347,0.5133665236491973,0.4323339720538247,0.5561660025671913,0.6671626892532542,0.2674986064848294,0.4807259363287423,0.500221553350584,0.6454519097574181,0.6391502064710048,0.5694125361071036,0.13435047444197673,0.530484286212088,0.7300920350704387,0.5642692890737023,0.22092374214857988,0.44975801244852437,0.30430548296123366,0.8611644100950886,0.6201069849384808,0.06925096225918528,0.5651392345907751,0.433970671829345,0.31406267014936845,0.4356951240567272,0.44019004449418253,0.7346434399271088,0.4621832592106783,0.5880317330512951,0.16664507184427033,0.161742501989522,0.6834473673362724,0.399182713696153,0.17828941443188162,0.1992516327498228,0.14300702506938887,0.7098926325624727,0.7433731860175831,0.8509998657016175,0.3899783270089128,0.679204874519347,0.2948140163494084,0.4775533780442799,0.8005096902416408,0.5846760560379805,-0.005092319641363189,0.6778796864457203,0.5777391398845774,0.3847417188968559,0.18444209146070747,0.6976741206319155,0.681763801832134,0.612302562449956,0.7137253663083508,0.7177810891639175,0.3032672410608172,0.21896697503231421,0.5666342131406419,0.31422407264847246,0.5514383314754683,0.18609563730803055,0.25975180495720346,0.3990381111521706,0.16720200518384393,0.5967950066833413,0.527640289146856,0.6673105332987144,0.5778734422708549,0.6745843275006069,0.41199314769566553,0.17258284887978098,0.42147990729196155,0.33231267090884076,0.18223416614565563,0.40227412320619166,0.6323495929610756,0.21376837918388297,0.5829203849912642,0.5565548530313027,0.30220235467613127,0.2916928825007293,0.47666638063486927,0.3196235024177959,0.623759935112505,0.4636388591007836,0.47211440574020247,0.066889671654778,0.3506514354214848,0.8085826941213672,0.5702594875124929,0.44236166511625635,0.2665592709941712,0.33802509646095835,0.3234189277078331,0.6450413621988328,0.3850736234025804,0.8105971053885307,0.046611283554990404,0.6908259567047075,0.2136480665625191,0.7607099490106396,0.45755713617809535,-0.08438303199837614,0.5011211045678781,0.48253828357474565
Occipital_Inf_R,0.3160110387765975,0.16731597391514377,1.0,0.1363616467410031,0.27577656696315217,0.1539037087204317,0.4905622214558252,0.623272004202785,-0.10420131995604455,0.08827604383655688,0.28921620133067333,-0.09436288039569053,0.028740865074520106,-0.03483777476512979,0.03502341056984919,0.02023511642079463,-0.20180066068324493,0.12232076692388874,0.07602105059256764,-0.012207202744834913,-0.3303941752873391,0.12590440185314383,-0.2575479939383598,0.2557022423185812,0.16596004553276061,-0.007231246133836267,0.19445392262059372,0.688734103336272,0.5663839599977725,-0.16981389660807938,0.5292291171585701,0.03392793810860718,0.05353308548038705,0.47366942546079016,-0.3265660545285182,-0.07564847612492162,0.11079089298337855,-0.27880611121665333,-0.3769814803846417,-0.28355407884961753,0.07154343593688205,0.10022041664097749,-0.028205470308953127,0.11139494892913818,0.4503704579108205,0.08561840408989277,-0.09722485131580734,0.4926266320259442,0.23126463846013415,-0.04150614358062803,-0.12259151206157404,0.07530452716367148,-0.062155766515531195,0.04101015126639703,-0.24980051570440348,0.015516052955342266,0.3638224705121657,-0.04184112323347128,0.017324727067997772,0.023297005324058085,-0.16499842918787241,0.006056446803581524,-0.021274744952333998,0.7023779617040788,-0.11322233596224765,0.561759343824895,-0.05158819324415185,0.22069874707433645,0.7168978048368951,0.08180582274649395,-0.09077948084902662,0.11986377274859668,0.5212398070667517,0.2836555350992692,-0.13189230104653396,0.12051234843465153,0.3336553619346778,0.49382029792772214,-0.25427904442187693,0.03676161182005091,0.002122847825783267,-0.20573696579336143,0.08296564595391422,0.03626325232597409,-0.1844404247632646,-0.3971534779767779,0.33195011797938734,0.15769754635801608,0.08191832428572207,-0.09154124056067996,0.1282414962750245,-0.055601973864950915,-0.09506961077010999,0.11272947750935408,0.017981637209080328,0.08519467675390373,-0.06406113058025144,-0.043065720376958126,0.30416468356464593,0.10588120299777497,0.21644241532432063,0.12869625067397583,0.10907367824517948,0.14359809181901115,0.19014420011601907,0.130912910070242,-0.1825132929863545,-0.18475174878700104,-0.013610414485233792,0.18684503068624714
Cerebellum_3_R,0.12660945146124208,0.7050341308844892,0.1363616467410031,1.0,0.3115916617963672,0.4857751671106372,0.44594282427596216,0.4682208369402401,0.5265295462452815,0.7533385991347121,0.3207361525969538,0.44332716830744745,0.43152630016634574,0.6195420623414261,0.4775116172302059,0.5904679258898665,0.36862004001077947,0.6851882949663167,0.6263405595803383,0.3754289019137084,0.44095387183987805,0.6896082453021771,0.40871724198407583,0.7722901974693569,0.7423656240696719,0.330227172371476,0.37303165898542595,0.3951726649491752,0.42588061759648693,0.5458897210250839,0.22180728134018785,0.6996660465329437,0.7115384860692116,0.5078734946416819,0.3834665528938693,0.103787782224412,0.7982761007649263,0.5362796519556063,0.39519065858699404,0.3089818328089767,0.12092289471666905,0.771345441082157,0.6398635158406732,0.6685603984508247,0.21087064916233314,0.6690770322270484,0.326650820115877,0.3923373772017081,0.6640510934713021,0.7025767791390851,0.015472991337005894,0.6294450723350308,0.8225131003746989,0.2621367789468442,0.3213351779321623,0.7583826543941236,0.7794333806612834,0.6476644911019294,0.6927405620620006,0.6163095606856603,0.4284480671881323,0.42156279269781827,0.6031930534820613,0.2847300382582272,0.48591758268080626,0.29233638805907136,0.2576646042382699,0.38523614517613625,0.07013410463279046,0.6676125736120334,0.5233314972190607,0.6089037383398135,0.5360903252805289,0.6728468069890626,0.30403765047344994,0.3378387142627954,0.3154504166437403,0.11188096701199263,0.3227780839483973,0.4868918302823892,0.6903169427607599,0.25649078994681546,0.4096733079191858,0.6259705149186183,0.3747929014992936,0.4050286259372974,0.7106174813478522,0.34010851904084466,0.6042054201681583,0.3942573145241451,0.2740920943480113,0.10154321209743766,0.19165732910516506,0.634728379560253,0.5020495719944466,0.37630468439318,0.24174105251216202,0.4936548927054604,0.4385863755487996,0.776374542469755,0.44791464202224307,0.7717161517407733,-0.023255991212783492,0.639799913456849,0.304693747818883,0.6180561282599119,0.5472352487108874,-0.10223475728522068,0.6770215912359855,0.4148587587348197
Raphe_D,0.306908169191142,0.5639371467148063,0.27577656696315217,0.3115916617963672,1.0,0.36138677503629313,0.440431083862463,0.3440314309944322,0.29777134605612227,0.2299481767417809,0.354491957093571,0.3741900132332258,0.1528806999677915,0.3311412664280972,0.4187133526977726,0.38765320056623404,-0.22631824679336288,0.29810670605018974,0.45912627805569983,0.49882483679778244,-0.31954944817296527,0.08602888267833936,-0.11064949056582178,0.46578269169739506,0.375786661484912,-0.22908442930559417,0.456652367321682,0.39009332546302977,0.20184013116463062,0.11338849087116783,0.41362923266686547,0.44063065054701905,0.113486764600969,0.41267883058191157,-0.3672858050691816,0.34012792725511687,0.3718244136175024,0.04066975357783131,-0.34393392444553667,-0.17019637687451353,-0.09429829238634893,0.34056390187037544,0.3236998162198069,0.43825744940566563,0.3522583005020223,0.3788087827651107,0.17721121928995495,0.48109325081206405,0.4334203127903987,0.13117957820238252,0.2770597945116112,0.28237034986165677,0.14894212352652483,0.17288480522658536,-0.205289227227057,0.2657478841602112,0.3668950098448238,0.25871331198786773,0.3361932567898526,0.34458644646829306,-0.1474842240163001,0.027117580377668433,0.22379654562915857,0.22234683063403576,0.37646470479700755,-0.05768112723300671,0.0023869959958730575,0.12220270856141553,0.2294308492102754,0.2607697630463289,0.2683494091757721,0.5484643222431999,0.3359121502282294,0.3466118529605663,0.432280451393554,-0.02619217227777191,0.14259589489927857,0.5048347774232275,-0.2879846601726526,0.04036407342001479,0.24973224379821407,0.03850045218254036,0.4143997175241721,0.1258842729950806,-0.0700543261397047,-0.21115530347044412,0.20247862885294846,-0.002898010839244134,0.3776960354291454,0.4237148481632432,0.5105268505066891,-0.1165683572480519,0.35428458352391823,0.4297544949971089,0.38883608997838714,0.13483847707177093,0.49696756042011236,0.13994480976525317,0.2616263129238348,0.20041429800908023,0.03144854482716727,0.37586641240543756,0.1920848655993739,0.2661778436690921,0.0027263362820077737,0.464105695678026,0.19506341527322113,0.1004035900107263,0.1282832218059901,0.5193696651556874
Precuneus_R,0.23239426697260274,0.592305088843347,0.1539037087204317,0.4857751671106372,0.36138677503629313,1.0,0.7207481881257792,0.5972145708436177,0.46959893560772853,0.5775752385075444,0.20289717818847197,0.3296066356830622,0.8212745331621126,0.680191779248152,0.8135673649057343,0.3568074395680122,0.09465004849371625,0.47383854840105366,0.7273429300795666,0.7781382339080108,0.2623717501868801,0.36671574237360016,0.18047575117433767,0.5765317530837892,0.5101690974227175,0.16416416976073275,0.6915015492125222,0.38126683079767726,0.35058461134591595,0.31995861670207787,0.6542874446790511,0.6192555410511266,0.5294077782279702,0.7173903764185267,0.1640295830276041,0.10434653609879706,0.6245319014869591,0.32263004477461366,0.1965581218486545,0.17663887904337586,0.24993361422377375,0.5759234219651846,0.5217341046032912,0.6179169051940615,0.6572895811164339,0.6669226672354319,0.20991050979615591,0.5661570646578186,0.5964206312247236,0.5960394282486432,0.03540492227197325,0.7227628218393098,0.40115179506666915,0.3247831657104099,0.12636317883994053,0.5945171761595899,0.6790910832700856,0.4883265178540925,0.6196883236661398,0.7751777306910363,0.23614216348450506,0.13078705190223486,0.6913399472648258,0.2749455951194683,0.44727607277779996,0.17788596602267798,0.1468050427034122,0.45993026311819674,0.2968263812260511,0.4988960952451341,0.3731622991870563,0.570623350575048,0.6929484667434133,0.7864874607495614,0.35740561730472725,0.3185181864399846,0.22211012547843806,0.6125733165660469,0.22385725503621684,0.4596053713821033,0.5299222479303609,0.13473556999686012,0.905995270690393,0.5536032544871391,0.2901801945181921,0.2593954738736909,0.5150701386812263,0.4360234374189013,0.7429981369830045,0.27935613453634456,0.7412363099884501,0.38285698524196554,0.7102234728734956,0.7155221469754371,0.7325271262391927,0.4253506077142855,0.10403523410700932,0.3530696458491033,0.20375810762212257,0.6897440145036405,0.4126276227316008,0.6444492264800532,0.018042172789910244,0.5462653842956646,0.18497771173062702,0.6480141322184718,0.4426305026558515,-0.16961653259852166,0.45603127778808783,0.3533873277381645
Lingual_R,0.4007638227832722,0.5133665236491973,0.4905622214558252,0.44594282427596216,0.440431083862463,0.7207481881257792,1.0,0.787341310494192,0.3521151352761898,0.5173732039630223,0.3035682316099462,0.17175024463153518,0.5005131224766834,0.546597941032204,0.6218139276642978,0.428328326106358,0.025440093304923476,0.4143318598760643,0.6115685672660582,0.5359600059196519,0.06369769123439666,0.2590267227097384,0.08282849492856324,0.5333247047884115,0.5151887467704257,0.16148564751945982,0.6080261954079138,0.6217617877205903,0.42689534672113083,0.29377482347108963,0.9144948371465043,0.5700923374113149,0.5121839590112732,0.7020205097809262,-0.06824599861010315,0.11852354872103094,0.5541625983845739,0.2375285067639551,0.021538304245242813,-0.013363978010239665,0.18294650445927554,0.5436130917340197,0.46585317191987496,0.5187435565575972,0.8800578793859826,0.6811984669987307,0.18903221371588644,0.6236713932940537,0.5229190590704146,0.4603052180053785,0.08608849818209542,0.5838066445015296,0.267351175679758,0.23806868915761684,0.08398824060319833,0.5681873364178639,0.8270611322193527,0.46557657733287505,0.5485378715095159,0.5911411834413253,0.20294005239482904,0.07474442401632048,0.6052881551567133,0.48986504248178236,0.42740904986644995,0.3342270437909862,0.0297571374381844,0.4257660027646956,0.5769739087052219,0.5304569157351153,0.2680100801586692,0.5847941553161343,0.9170854689924957,0.842341548219763,0.18461411239709316,0.30309879592517663,0.3899485148487616,0.6510511125688665,0.12681898527971705,0.4018937834991491,0.531146318044611,-0.007756059988381816,0.6954530975313266,0.3655819745026301,0.273887012247501,0.06700323103137058,0.608351705287507,0.35046624008305,0.707712538394173,0.21950131990635172,0.5922663815328223,0.3925754612845948,0.49265955702306263,0.5738133316170748,0.5153414579948408,0.3279685911180238,0.11131399750185808,0.18224330576409484,0.351966140737286,0.6796360920240018,0.5777781083379147,0.5401003891925396,0.08931468441682326,0.4936882899580644,0.1356072502321759,0.6358416180507294,0.36004084942093884,-0.1699129484414217,0.3383402106196233,0.44777914821767845
Vermis_6,0.20220120924563015,0.4323339720538247,0.623272004202785,0.4682208369402401,0.3440314309944322,0.5972145708436177,0.787341310494192,1.0,0.16523529578455726,0.4069989828428029,0.4151484057744848,0.11926880435235179,0.42149990982694824,0.36766092733401606,0.37032663407864397,0.30922858922870544,0.1336462393473917,0.4512603276352551,0.41770929421349556,0.2765302881621889,-0.06448409710528859,0.4014884152172173,0.0653590591937002,0.4897363477079825,0.5262232217863752,0.21969347202444697,0.3742858313656763,0.7275259165573745,0.6892733822234869,0.1970769513095397,0.6742580778589305,0.34219106694487694,0.4551392060387535,0.7265412160685492,-0.03448388081568052,0.15281811408772017,0.4923405745247574,0.16593297917217986,0.0007688845276337155,-0.06834529819162022,0.02102520691172264,0.4354061027904892,0.25589117388549854,0.4063156621337017,0.6122892404012299,0.499031083970713,0.09602326741839462,0.5748321892299054,0.40913475718880793,0.39586126271341926,0.013433469436159156,0.49535884548023545,0.3184223137331776,0.05566140749682893,0.0775235614283598,0.39958927865499155,0.696348671789852,0.2783158615989618,0.398490461373386,0.4082760515640367,0.14118082590898187,0.27279921660711226,0.41323864757774087,0.6836077285870424,0.22002376515434996,0.5074202768504071,0.07722429191051702,0.2964116045586629,0.5591338121928467,0.48469979654173156,0.1845723158001645,0.3989466950811031,0.7626172813339421,0.7474405418245951,0.03391306388014957,0.4543271120962468,0.3331754589708288,0.5197892503033869,0.04333874001110951,0.29175415203359256,0.3278261912797422,-0.02412476866584519,0.44336013104249916,0.29915299568478554,0.18253828166612768,-0.06319394938041396,0.6946796733057119,0.2328505735316337,0.4890713382449647,0.21007961187726057,0.36246949414033375,0.256684489925824,0.17271293067230312,0.44330812727683655,0.3248638875886452,0.28617785116828964,0.13009302387779162,0.24783222972293933,0.4408250613009721,0.5763146858309924,0.473171165614132,0.4290431112373229,-0.000432354111912425,0.42228145271685785,0.3003299419087858,0.44307275786013345,0.18393677103441108,-0.09369591435681748,0.26740752792590733,0.4664827660075588
Frontal_Inf_Orb_2_R,0.10261786641518808,0.5561660025671913,-0.10420131995604455,0.5265295462452815,0.29777134605612227,0.46959893560772853,0.3521151352761898,0.16523529578455726,1.0,0.5071000385320992,0.2535753131172774,0.5966162384503138,0.43618625755395934,0.5869910462344208,0.48046009806631773,0.5595474349780055,0.20149529388730084,0.5751044265494424,0.49973894357440646,0.44115032872947657,0.472225016289116,0.3274276861194761,0.5068388738022329,0.5765425032701126,0.5727271587793855,0.19796218505244226,0.3154884205117308,0.17077495748783814,0.12390897234907691,0.6102766221651962,0.192459663020541,0.597825395166213,0.4618098247157386,0.29356068410863406,0.2197257946384481,0.2928004842900649,0.6314333795105443,0.484056521903632,0.3460956689943193,0.3409806458692933,0.0010450888171792123,0.5772991364498417,0.49609584570356824,0.5788617177722593,0.18451687848687937,0.6350553133239054,0.32475511220173364,0.1355587283053693,0.7305388125876764,0.5706259424675162,0.05799564459532849,0.47875943873094523,0.5058633326457033,0.6179577008214242,0.3907464405228966,0.5796783857435669,0.4975299524688988,0.560945209923713,0.6209351479863066,0.47346999700332476,0.3855651618686084,0.35257177408347046,0.5964182427056461,-0.03495098045944809,0.8407502002712657,-0.09636706383189643,0.22815234683283864,0.1467011079507412,-0.13660053405595093,0.5327871470070334,0.39609882206392627,0.5430066862551117,0.3048447419009624,0.4880738900567275,0.4479732700107569,0.11779977774924513,0.15597797983217473,0.08286108563212041,0.47599633363460725,0.7482137458886283,0.5801597622741783,0.35397077989573583,0.4515072491440391,0.4203787402111838,0.3631549367750796,0.5916191686512046,0.3994871562070424,0.2096903151362676,0.5920814355562587,0.5873086952598627,0.30432691329034545,0.2949465340524919,0.33876348513448223,0.47836642398529666,0.4567875494771075,0.26989044557040726,0.357091648518326,0.4466098060355306,0.2924129836444046,0.5270925309832694,0.33131622906972813,0.5741981446647674,-0.05882216843674846,0.4871523271134708,-0.012561621984467771,0.5501231564700018,0.5008620810717611,-0.16578753263485763,0.4653974691510074,0.39617384352071194
Thal_PuM_L,0.15566839701888835,0.6671626892532542,0.08827604383655688,0.7533385991347121,0.2299481767417809,0.5775752385075444,0.5173732039630223,0.4069989828428029,0.5071000385320992,1.0,0.3414194725557566,0.2833401375918766,0.4566522468162698,0.7820370828410247,0.711471615321479,0.5752601493324615,0.4240743225118093,0.7204263791336171,0.7764065191113502,0.5251085169322358,0.5317995012472445,0.6214324920168875,0.4370106655650789,0.7401059309449493,0.7959730306513494,0.4194349894809219,0.5934141658217833,0.40982859288506085,0.3662971926655955,0.6141578450211848,0.3495102417405012,0.8789218858927151,0.7902670840631759,0.5262550507419994,0.5010203166342972,0.14427912923812303,0.8241309018422283,0.5966590423672834,0.46570831495278325,0.37661816389928704,0.17702615421754034,0.9074360514749794,0.7494455943124098,0.670906641554928,0.3583001827362798,0.8169033298792218,0.16196512880200672,0.5318608366927511,0.6377601763018321,0.8044980784110866,-0.03359292776261252,0.8043165033254086,0.8353153185001654,0.24049376589881213,0.44762537890102055,0.9391548618227631,0.8012299992124524,0.8146945036099157,0.7301581628195053,0.7524783594989439,0.4595202298018031,0.4507773603891604,0.8051611383448642,0.33028116521733836,0.47152401283308903,0.2652555143756057,0.21488016614015365,0.47105564074346884,0.0799400487918168,0.7471652432494856,0.5515164204736435,0.8202829815937712,0.6166719358899642,0.7266871680311547,0.3192735301660615,0.5158029020247256,0.41504198454896096,0.22011720762901887,0.42560195156402736,0.5929836191118325,0.8571674395539846,0.11694800316003408,0.5830708725141713,0.6712424590037159,0.5446406015119089,0.5061069299352394,0.6947324464780463,0.4885077615270984,0.773106305644533,0.36676269108686194,0.40922942344483165,0.330449778519227,0.3748438937161297,0.7864900307890741,0.6430206671229381,0.4256732456622043,0.16326333899264667,0.47007626967702804,0.4199948758050223,0.8074052678302857,0.6337377134092121,0.7833129943952346,-0.034219998412306066,0.7422043717029676,0.5239015160732076,0.7772345518106618,0.6875016456497154,-0.032348940890854355,0.8059777513060072,0.558347648492583
