,Thal_PuA_L,Fusiform_L,Occipital_Sup_L,Cerebellum_Crus2_L,Heschl_R,Thal_Re_L,Frontal_Inf_Orb_2_L,Vermis_7,Vermis_8,Thal_MDl_L,Precentral_R,Cerebellum_3_R,Cerebellum_10_R,Vermis_4_5,Precentral_L,Thal_AV_R,Precuneus_R,Thal_VA_R,Thal_LP_L,Temporal_Inf_L,Cerebellum_8_R,Cingulate_Post_R,Frontal_Sup_Medial_L,Cingulate_Mid_L,Cingulate_Post_L,ACC_sub_L,Thal_VPL_R,Cerebellum_Crus1_L,Lingual_R,Vermis_1_2,Frontal_Inf_Oper_R,Parietal_Inf_R,Temporal_Sup_R,Postcentral_R,Putamen_L,Cerebellum_Crus1_R,Thal_PuM_L,Supp_Motor_Area_R,OFCant_R,Thal_MGN_L,Amygdala_R,Heschl_L,Calcarine_L,Thal_IL_R,Frontal_Sup_2_R,Thal_PuL_R,Cerebellum_7b_R,Red_N_R,SupraMarginal_L,OFCant_L,ParaHippocampal_R,Parietal_Sup_L,Raphe_M,VTA_R,SN_pc_R,Thal_PuI_L,Paracentral_Lobule_L,SN_pc_L,ACC_pre_R,Cuneus_R,Rectus_R,ACC_sub_R,Thal_VL_L,ACC_sup_L,Hippocampus_R,Cerebellum_6_R,OFCpost_R,N_Acc_R,N_Acc_L,Rolandic_Oper_R,Frontal_Mid_2_L,Thal_LP_R,Thal_MGN_R,Frontal_Mid_2_R,Vermis_10,Cerebellum_3_L,Thal_PuI_R,Vermis_6,Angular_L,Frontal_Sup_Medial_R
Thal_PuA_L,1.0,0.40770857447469094,0.12433261424995727,0.3140929902700739,0.2215212304720737,0.15503063759238978,0.1273552768698378,0.25521790692148133,0.3101950118833386,0.36682300611379753,-0.06252259248294821,0.4339124536089008,0.17833709017990063,0.17550646160947242,0.13418710276252188,0.08724022779496825,0.02954454905941159,0.006954274056404562,0.4234550805497677,0.1459161825478045,0.2948439094035136,0.5715527254972478,0.25060923043017863,0.3047225660902604,0.29591101195113756,-0.016338522924932253,0.5224448148234712,0.2965759159473502,0.324831918325501,0.3571902696787806,0.4999600548042305,-0.16045371171231348,0.37384173831096695,-0.10983826918500096,0.0992838606512672,0.31223705239589045,0.6673384651617743,0.2948601384699795,-0.07766982596615556,0.11182046752014578,0.2504706663785461,0.2605338528571583,0.2684463308348419,0.33223989115274033,0.20912465073673864,0.2387756577322619,0.24733124823481184,0.5618813283904524,0.28386081360066695,0.003563069681684993,0.2902667538582772,-0.05409160116029245,0.34346724128300754,0.1113253916502934,0.33748868220399025,0.43102268674884314,-0.2114997296746764,0.3537771698785906,0.02112366819796955,0.2690379186865402,-0.046560300654951405,0.17928641138455645,0.3975347444503747,0.49153623541718494,0.3486636046155362,0.43068952097464863,0.031706098363750275,0.24720770952791707,0.29012854409726246,0.11318277026630427,0.19290634537506535,0.4909673666299196,-0.028329960814473903,0.20587176238823285,0.14658728857899408,0.19999651580001526,0.29805397261924815,0.3090504677189674,0.07823949667223615,0.2304930163042188
Fusiform_L,0.40770857447469094,1.0,0.1528385774855753,0.4644136041779758,0.4517247415655242,0.13797527538264573,0.2691436400850845,0.5739318978772768,0.6681955441744982,0.565247236023894,0.16113924790764825,0.4186843028499788,0.20829326626453654,0.5339017905004118,-0.10898077788967259,-0.022206528332954886,-0.07997903017771887,0.09572770844488793,0.40119312486742187,0.7451126659503948,0.5287214846199296,0.6188287280402588,0.3291012613565582,0.4070661602181902,0.4195405412849761,0.08648885277001304,0.5040626266653515,0.6940827234022988,0.6155703017523361,0.7023290582521061,0.5727104885176383,-0.11447137126700703,0.3580291504680275,0.09713464422345683,-0.16764215220530634,0.490385279512485,0.7381240252180085,0.3937433523162112,-0.20224545265947916,0.22323803624577293,0.24193904256913912,0.6525911843359561,0.6606765838456967,0.33424353929555034,0.1491488584781639,0.38856093423905314,0.3051085357640348,0.40785116057856574,0.15785090239209107,-0.10488663927771424,0.07325044056646074,-0.4530994850784226,0.3638090298045134,0.2475099638659004,0.2050459090421709,0.5282937337778525,-0.2794373734225242,0.5340952997342869,0.008741079988661,0.38520377241810105,-0.07108735769690852,0.2681536568120625,0.5034291313963136,0.5682738576184708,0.22651209006755474,0.628543356794829,-0.15112175224872906,0.05228862960053119,0.15443920653142856,0.4034556254136231,0.14522730692959746,0.6293869184523032,-0.007809241003764368,0.03797284038117792,0.41309684023292964,0.1342617187963883,0.43765569428565226,0.6761987251585452,-0.233363425413508,0.2157086374899223
Occipital_Sup_L,0.12433261424995727,0.1528385774855753,1.0,-0.31594833580603554,0.13936586653965008,0.025547098527178076,0.2404774939243583,-0.3136357966610561,-0.3257667135955096,0.30312225431107936,0.5482390136214167,0.3534836524940416,0.3717710987908004,0.4534621559483773,0.6040869955035824,0.4151265721310699,0.7464934206358044,-0.14126557441589083,0.45572124381704066,-0.09883286683726514,-0.2808952276131834,0.3956477600724694,0.37757047299627783,0.5537222411598668,0.18545535810287103,-0.18096699799373106,0.08111284867817589,-0.25806509428409935,0.25948073218804957,0.2823851446136049,0.18084511318384258,0.6290522352455051,0.34286084317426313,0.47881376848809615,0.3179917841537516,-0.3300133265982694,0.19578943057087445,0.5875814799093805,0.1465711474102541,-0.17530664894059741,-0.3107057349200715,0.19990285687168627,0.4062407757247865,0.507552187610845,0.5143452687127864,0.5531314790753644,-0.23972890869664007,-0.0019678808690610805,0.6011248331109376,0.1497945621268237,0.2742690362645513,0.6552482235826246,-0.17533042341961003,0.028485828880239494,0.2100615514968545,0.21878899062121657,0.651641172583854,0.027280380455168226,0.04968052886526395,0.8254111007441293,-0.039739450795552175,-0.30553667102572657,0.06258520426583009,0.39506399962277366,0.2476109702177499,-0.180192975634926,0.06955605211364775,0.08490864076127903,0.07676766198076701,0.44510207897161647,0.4103797309939672,0.09941770742929562,-0.06271699804583476,0.36432245532628077,0.49283926253489424,0.21633852525055408,0.3238640738861138,-0.06373735915558341,0.7502089571171023,0.5198739588331663
Cerebellum_Crus2_L,0.3140929902700739,0.4644136041779758,-0.31594833580603554,1.0,-0.18143959740831903,-0.3999867011951858,-0.43254148244119517,0.9176363796536543,0.835669903992421,-0.049566735639544696,-0.3015926568464194,-0.02639250938605536,-0.49083745839685894,-0.22111086171754726,-0.4281633661695337,-0.02053118647214315,-0.6348512769828043,-0.41127860757209883,-0.09973112034213298,0.1927452615042962,0.898105169329143,0.29258264943136436,-0.2970045058950096,-0.04125518830584955,-0.15427790743768993,-0.2389206607127492,-0.1334307828164862,0.8612780656043129,0.6684763690262031,0.08618713428536674,0.22205484324437316,-0.4436717551062205,-0.08359594776278065,-0.22055229744624502,-0.3599799773771838,0.8944219905891927,0.2556093153367037,-0.14057795631495226,-0.6829654956459829,0.06389466220305405,0.23311943478654265,-0.1470389364747483,0.4482473141911026,0.07019182742519899,-0.2034010818207315,-0.1258074549270113,0.8674358645734473,0.27572460123250103,-0.2768361261208102,-0.3747359828216654,-0.5384712405357056,-0.7010612198291892,0.19550201118835484,-0.3795694832712165,0.0903065825694799,0.006967411718025525,-0.6503752943924224,0.3333970259678016,-0.4179663537384435,0.010343620492732996,-0.4500912922087848,0.6254465721822322,-0.24005331199078117,-0.15451457909182845,-0.4862982677008492,0.8079285673941607,-0.5101119322374371,-0.46671552283150275,-0.3519846462049524,-0.2600607165807624,-0.38833337891060576,0.0781508046857484,-0.5887527340520934,-0.38149354429163185,-0.07128856244104442,-0.5480986400517628,-0.30904697451556307,0.8023292631493069,-0.5085505472598381,-0.42166225482010067
Heschl_R,0.2215212304720737,0.4517247415655242,0.13936586653965008,-0.18143959740831903,1.0,0.39757026660898903,0.4496944828100138,-0.13073010834628765,0.05119544475807042,0.5930545345665874,0.11354381764247459,0.5096669630820354,0.59223581150561,0.6101973637339477,0.24932536728749832,-0.0023159860357688648,0.21367414489133887,0.6878078027063435,0.404438508924735,0.3236933344762576,-0.06575654045489018,0.3682696965894054,0.6032319825990706,0.4347032001950279,0.5984234744924389,0.5820360143954136,0.7099445188431326,-0.03526722852597142,0.019623751216827842,0.6469759165985693,0.4971141022708947,-0.10682787059069963,0.6783328670334466,0.011470100321312892,0.204238090658944,-0.07651922041803218,0.6215027359801739,0.456165584389507,0.3922912297874708,0.3157275732950307,0.4191439971886671,0.703860062221151,0.21488977222374334,0.3452391855546701,0.15772670587256446,0.3319018752340346,-0.22531952360199992,0.2926783603263724,0.34250663300404643,0.2566874881142202,0.5925879781034944,-0.0068671779996343895,0.28857229166827647,0.6974692824372098,0.3863286576342437,0.45908275610893134,0.019553679834701708,0.09312808852952988,0.35811732724743667,0.142307093000288,0.33577771860328437,-0.12006655446696891,0.7086796736527554,0.7012387267672612,0.733471267444776,0.1236034790016187,0.5086943694219384,0.5627666325922642,0.4865022694855886,0.6552576279200477,0.392085283351032,0.7376553060674211,0.5195402667593607,0.3526305035227952,0.29751802694167884,0.6208080529136684,0.5901334251622985,0.050199520091533376,0.04829201183727736,0.5698810914629164
Thal_Re_L,0.15503063759238978,0.13797527538264573,0.025547098527178076,-0.3999867011951858,0.39757026660898903,1.0,0.6366324780312453,-0.4078627326546194,-0.24088129115539314,0.24148231422884048,0.1339788260094702,0.3087029703098749,0.5319390754874863,0.45560176476455777,0.22629089123926216,-0.3763459841388229,0.29177787465478,0.6166291512824029,0.12416787730258333,0.36263640467702907,-0.42121175176678044,-0.05495647868568093,0.537599311157911,0.07588164755341911,0.49880051597563785,0.5113017958922449,0.5448062746778207,-0.2847248997042848,-0.3727150119917331,0.306362916684255,0.15377572776352627,0.07632734506020926,0.10192050912091441,0.09034639138772545,-0.03579871598372355,-0.41575846373968667,0.18022106981480135,0.26508891894714287,0.5960935933823096,0.06942219197481808,0.1561255985684582,0.49541671139787413,-0.2687357858926793,-0.06758742914621768,0.1423769903690949,0.08993010102913784,-0.5554024951029299,0.08787997667662038,0.3494850695176878,0.35927278487619657,0.6144997235478717,0.21173797619864473,0.1772146217448239,0.6482336238860497,-0.0970035222487793,0.3552424675534692,0.1792983013470264,0.25244506723027205,0.5678699915966005,-0.03598202083737701,0.6122833677671498,-0.07402936252029144,0.6353302329582462,0.40906153258625094,0.664379433299232,-0.2986069038952895,0.5616193767819629,0.7669069379764898,0.7501618587641964,0.257030422821766,0.37491445730035516,0.37035251905514094,0.7826820828468415,0.34383665486583914,0.26125837546902697,0.6172795392974912,0.5682189037819884,-0.2610572655343057,0.22902205710622237,0.39556929549118336
Frontal_Inf_Orb_2_L,0.1273552768698378,0.2691436400850845,0.2404774939243583,-0.43254148244119517,0.4496944828100138,0.6366324780312453,1.0,-0.41008948502009324,-0.3323290153826239,0.3505823859910524,0.2978637687667166,0.39455176812634596,0.568495357785715,0.5397187235002473,0.21954195609110488,-0.29734227674736263,0.46249743249844144,0.6124446630838623,0.32148887431909895,0.3657110082699313,-0.4350357032625219,0.008196233265783347,0.8421511103879917,0.14726808674019115,0.3988805382155902,0.46435278797192386,0.58675929654648,-0.28897731254173004,-0.1277347728008001,0.31804590188513543,0.2383412056394015,0.3482795090887562,0.11156614418987187,0.3335229577466385,-0.09954800626543324,-0.49575590241096107,0.2585650974497089,0.35252555860445195,0.7384308519030499,0.039641495059312526,0.1985344152852378,0.6869195058837373,-0.06392792119190688,0.14180513904247366,0.3839572308265936,0.22764834979434734,-0.5860975456967805,0.10025781017130637,0.318350062734125,0.629984129205236,0.4731793199929401,0.27019454607872034,0.07831492001684819,0.5678587122185311,0.05486647900379657,0.4257387376147654,0.26286171740248954,0.2715885553788786,0.8129624734393808,0.16254422343833697,0.6094736956340445,-0.3031454458040519,0.7474320141473118,0.6795533378870211,0.558240197060885,-0.37238107421760064,0.6484394346311121,0.7091257210566217,0.6813872367722902,0.47458189550086005,0.6487661047932238,0.46934140581259687,0.6288723241777554,0.5351809878818888,0.4769629230308769,0.48591108197667077,0.5313142159610441,-0.18934861445536738,0.30642771762262067,0.7256985552957105
Vermis_7,0.25521790692148133,0.5739318978772768,-0.3136357966610561,0.9176363796536543,-0.13073010834628765,-0.4078627326546194,-0.41008948502009324,1.0,0.931764926625544,0.06772587550132894,-0.28193365439201606,-0.04823616804869029,-0.4992064649408106,-0.13549819427395585,-0.4917679456505075,-0.015593603640064327,-0.6701683489568689,-0.36772947472654305,-0.0415139436441159,0.3084941705550648,0.9657740625782024,0.33578132968153607,-0.2858937401843411,0.000577709705066757,-0.1316391891136441,-0.22159329711142806,-0.10625178815010607,0.9488557274190201,0.7307325670418514,0.16210716465953146,0.29983199281395706,-0.4812100859901202,-0.0001288702496592766,-0.23242481066965806,-0.3562355160458194,0.9599925917510228,0.32466926714010497,-0.15005056165579186,-0.71454528603589,0.15699633951524206,0.2882793485868424,-0.07148570678647974,0.5622729525635085,0.03715919379086939,-0.22736553196836828,-0.055444908446727205,0.8701639768095449,0.32573846342885826,-0.30706419745703695,-0.4249049129372957,-0.5214631590835217,-0.794413365771295,0.2898244785912778,-0.3703228117363059,0.07661078650404769,-0.005537680704431988,-0.6906263069657883,0.3541443380209058,-0.4203529707784859,0.04463355707658835,-0.4401968147646898,0.6073110511579497,-0.18158673410232357,-0.07287739696386034,-0.4501398336008327,0.8950657377995184,-0.5358852819451203,-0.5053007858682476,-0.37693859175426114,-0.16318938673802824,-0.40472987800024657,0.13525020406344665,-0.5782773607976205,-0.4131624169314792,-0.059757009778539275,-0.5308298549414009,-0.22196751266958192,0.8747002328002789,-0.5963432076439193,-0.39725205084611975
Vermis_8,0.3101950118833386,0.6681955441744982,-0.3257667135955096,0.835669903992421,0.05119544475807042,-0.24088129115539314,-0.3323290153826239,0.931764926625544,1.0,0.23485302915451323,-0.3295187087000134,-0.0013341042442679438,-0.34221004408149197,-0.04740331151984809,-0.4787755966329365,-0.028524936634849687,-0.6519811134742786,-0.17848590523041516,-0.028073334027766485,0.474813485224622,0.8881360046598653,0.3904279524011937,-0.24571783085129195,0.014914164243154022,0.021615623196227316,-0.07506659817719746,0.08098960508774981,0.9525129514119172,0.5824374155872925,0.30081429684060546,0.3308979932816991,-0.5961169964911247,0.11338018439368426,-0.3730204149193764,-0.2718647187784625,0.9246789878924236,0.47804424557805597,-0.083405815300352,-0.6015072247228574,0.21859367718197312,0.3661374388529022,0.06435554828805168,0.5161199019521472,0.02459506337820817,-0.23187889060393332,-0.041295613062563186,0.7410142448855648,0.3963475363188296,-0.2785360764193511,-0.42083291587741045,-0.3346259668461014,-0.8104296842163271,0.37708676313961986,-0.1753405551583868,0.12307878716071166,0.10336714614009578,-0.7292820874617583,0.3000189304902132,-0.40205958720336843,-0.007698123279282981,-0.32731088066336134,0.5790228658047311,0.006794885713367078,0.032541287068026184,-0.2304029567288009,0.9135507184938901,-0.46366818348673206,-0.3529865427660259,-0.2582730855076396,-0.13264773190384113,-0.3262858041338295,0.2866267665999602,-0.37945898632204855,-0.3319250439621582,-0.140203837586294,-0.2873925083860501,-0.08669636546326881,0.7980121663235269,-0.6516272054442532,-0.3743255187285587
Thal_MDl_L,0.36682300611379753,0.565247236023894,0.30312225431107936,-0.049566735639544696,0.5930545345665874,0.24148231422884048,0.3505823859910524,0.06772587550132894,0.23485302915451323,1.0,0.14606422254250445,0.4646948441803866,0.44602749777199063,0.5067063050570941,0.13774152327470385,0.08622228484872911,0.18147323815828167,0.33100024816996904,0.3970110933423304,0.435332787423495,0.08470348662620694,0.5121739355638348,0.4014130323205257,0.4113806270435344,0.41087067098636487,0.23532246322185663,0.6193051387631066,0.1812443666822176,0.2380950191689312,0.6616002858743742,0.5168478046663829,-0.045483843708151166,0.5585198345910597,0.023494676742892392,0.26593100729495445,0.07508524392340668,0.5998932140058485,0.45511402257428474,0.19350119165572838,0.21388223511962862,0.2727034901969551,0.5854911220861523,0.40535827084523685,0.4366119924436077,0.1569022919880146,0.3432486460983851,-0.0934873898078081,0.3839296768121678,0.30303493948488974,0.10720028563971426,0.39009335432351566,-0.05660161379701947,0.23565255948031638,0.4024594040157978,0.40836501618008325,0.4488121465824774,-0.009576171632579369,0.20615250360064336,0.1659513125432194,0.2849583208781788,0.18382833741261428,-0.1275633834781862,0.6978139733708882,0.6259062153809366,0.5334118789840149,0.2701845980153722,0.2285881772784101,0.3209639475426112,0.21904914265620415,0.5019942028338862,0.21775709958931683,0.4842543099981985,0.24410102589363147,0.21930387807954665,0.35376218794633296,0.39196077844668287,0.4689939335813956,0.24849894938808775,0.05377764915568347,0.3942187272274713
