,SN_pc_R,Fusiform_R,Amygdala_R,Parietal_Sup_L,Precentral_L,Cerebellum_6_L,Thal_VPL_R,Parietal_Sup_R,Putamen_L,Thal_MDl_R,Temporal_Sup_L,Cerebellum_8_L,N_Acc_L,Insula_R,Cingulate_Post_R,Thal_MGN_L,SN_pc_L,Occipital_Mid_L,Frontal_Sup_Medial_L,Hippocampus_L,OFCmed_R,Cingulate_Post_L,Precuneus_R,ACC_pre_R,OFCant_L,Cerebellum_9_L,Thal_PuA_L,Cerebellum_7b_R,Frontal_Sup_2_L,ACC_sup_L,OFCant_R,Vermis_10,Precuneus_L,Thal_PuI_R,Putamen_R,Amygdala_L,Temporal_Mid_R,ACC_sub_R,Cerebellum_Crus2_L,Thal_IL_L,Raphe_M,Cerebellum_10_R,Cerebellum_8_R,Temporal_Sup_R,Olfactory_R,Frontal_Inf_Orb_2_L,ParaHippocampal_R,Lingual_R,Cerebellum_Crus1_L,Cerebellum_3_R,Hippocampus_R,Parietal_Inf_L,Cerebellum_Crus2_R,Lingual_L,Occipital_Inf_R,OFCmed_L,ParaHippocampal_L,Thal_LGN_R,Frontal_Mid_2_L,Heschl_R,Cerebellum_7b_L,OFCpost_L,Frontal_Inf_Tri_R,Frontal_Med_Orb_R,Frontal_Med_Orb_L,VTA_L,Thal_MDm_L,Temporal_Pole_Sup_L,Angular_L,Temporal_Inf_L,Frontal_Inf_Oper_R,Thal_Re_L,Caudate_L,Thal_PuM_L,VTA_R,Cerebellum_9_R,Insula_L,Thal_VA_R,OFClat_R,Rolandic_Oper_L,Pallidum_L,OFClat_L,Postcentral_L,Rectus_R,Temporal_Mid_L,Thal_PuL_L,Rectus_L,Occipital_Sup_L,Temporal_Pole_Mid_L,Occipital_Inf_L,Cerebellum_10_L,Paracentral_Lobule_L,Thal_IL_R,Raphe_D,Thal_AV_R,Thal_PuM_R,Vermis_9,Pallidum_R,Cerebellum_4_5_R,Vermis_6,Cerebellum_6_R,Red_N_R,Thal_MGN_R,Thal_VL_R,Paracentral_Lobule_R,Frontal_Inf_Orb_2_R,OFCpost_R,Frontal_Mid_2_R,Thal_PuI_L,Frontal_Sup_2_R,Calcarine_L,Angular_R,Supp_Motor_Area_R,Temporal_Inf_R,Vermis_8,Olfactory_L,N_Acc_R,Temporal_Pole_Mid_R,Thal_VPL_L,Rolandic_Oper_R,SN_pr_R,Thal_AV_L,Vermis_3,Thal_PuL_R,Cerebellum_Crus1_R,Frontal_Inf_Oper_L,Thal_MDl_L,Cuneus_R,Precentral_R,Temporal_Pole_Sup_R
SN_pc_R,1.0,0.33748675524690835,-0.2534769544673437,0.0890599635438365,0.5923856045724666,0.2713319736418836,0.15816186645457186,-0.030080816729712464,0.14031343083306824,0.16950599970384586,0.5129218568238865,0.10993014380661738,-0.4249700710436328,0.305267960817171,0.2851950928589097,0.34037124769719235,-0.016694093025450215,0.7134968339298313,-0.1235390903934855,-0.09378354287988208,-0.6305446105560477,0.4889864402735114,0.7401505310055431,0.12791912051317075,-0.7412406951788438,0.10148894621972533,0.3892749046381144,0.5483041189606226,-0.03522723431682118,0.16040005287240247,-0.6670578127730715,-0.0382496433195863,0.6899514304316821,-0.05617391080721392,0.1314918271330683,-0.4906083134923997,0.5767360614480388,-0.3222809672733823,0.38507772934670625,0.24445565286797444,-0.4265970118999423,0.2509894582900707,0.36202486065199563,0.4718116407488168,-0.1065319938351991,-0.1600368569358479,0.1787636033108775,0.5882685362515608,0.2684036566302399,0.126536374057255,0.0636877902437616,0.45846115993510644,-0.0647073270453669,0.467922569139318,0.7273339937640745,-0.24206790422475355,0.5559216251025844,0.8066611736746536,0.10046980839054419,0.18435355946399773,0.2605510653664555,0.48061918937075865,0.18228949547777268,-0.5578595952956861,-0.7573639164603542,-0.2268495547419073,0.611276974266733,-0.1555098259914049,0.23112971184355052,0.02290827443665238,0.0433793668327673,-0.046252696397784655,0.0963938552247941,0.116874651340521,0.836678181334552,-0.047236407759049505,0.10129124106196769,0.1421056806406611,-0.34855625293180464,0.051752549782456574,-0.08639285202088266,-0.6258898288090582,0.6261892103627229,-0.6002862798620745,0.35692218949144067,0.11878075308705535,-0.6837766352055527,0.447796506092771,-0.32747891929962936,0.5042455111222418,0.3640904100164396,-0.17979114091363416,0.3710406041726261,0.5809871231055971,-0.06570260741802555,-0.23083434174908898,0.05232204378639789,-0.012095553223592506,0.5015965601229698,0.6181891662981289,0.216929466596059,-0.7555492299134767,-0.32518640330339177,-0.37762651077412074,-0.14515840992476928,0.3868968688415909,0.42508533622805916,0.37059740874493996,0.28681737346437014,0.15139696561181154,0.7691965866474962,0.706173507075335,0.5803182329695246,0.3341863103014806,0.3533633756103805,-0.39348509982376806,-0.12774941279926325,-0.3890832557426748,-0.060477698565324256,0.1480513880393714,0.46510018024204336,0.19383854789716828,0.2374329077268966,0.1718070197176657,0.3559009742010874,0.27554956311881545,0.4725259634545101,0.7528738320186567,0.5631400100545475,0.38448387462657607
Fusiform_R,0.33748675524690835,1.0,0.24243732350194033,-0.056665106879713815,0.0864161890158317,0.9006754209814423,0.5294758771933729,0.1657105813263491,0.7646070672868371,0.443117134995075,0.4474851045838246,0.7449608166555439,0.23396271573498087,0.7404423769200058,0.7124965870409598,0.31811868532189724,0.42699301480732754,0.23209774570344047,0.4490072300648833,0.6673933099609334,-0.006815435421952883,0.6043063592258393,0.4968194827140865,0.6199059096256452,-0.038522934309980106,0.6021023176159714,0.31326370304688367,0.3431197887872654,0.2607488147109812,0.559196849047387,-0.05776416627877274,0.5451485294968834,0.4192709955567143,0.12002621969174954,0.5311080522652748,0.16531258344431068,0.819001038305179,0.2098354865966007,0.3439119393673038,0.33410530626605844,0.1425800580659536,0.3317973476754659,0.7418419332556636,0.7321894212854095,0.4407475967197742,0.4215786618206572,0.681612151577365,0.7999832798092482,0.5563768850657859,0.45160608665594726,0.7802277926736456,-0.06217764544990711,0.48804512396043337,0.8015084732212535,0.6043225342911299,0.3015881155718405,0.642653251539477,0.42318441066596163,0.24277836347081228,0.22334124033794958,0.40952758566124586,0.45375264212213434,0.6786260419317927,-0.11547322682813527,-0.07241387260401395,0.26868231363124434,0.3106922345815607,0.5468143207064471,-0.11513402438069009,0.6439987012587955,0.7106709755221297,0.3467380014715281,0.7081096004818936,0.476437053971872,0.2483062446027716,0.6149527685724344,0.7960298830380931,0.4344761795327994,0.0687690002092602,0.5484211717844478,0.6326861102538004,0.07901289328221314,0.09854021825689467,-0.11410705118099863,0.5124020041442849,0.03643999458252886,-0.051180275515827815,-0.03534757687362416,0.2902869022823672,0.2662865577305356,0.31915297413671817,-0.016547972272596388,0.18762712154273137,0.41809221584899103,0.001851041661218446,0.5484283367823182,0.6092344622961056,0.5972278725940631,0.7578642615357037,0.6646923667040922,0.7981042435755578,0.06802744253818074,0.29894701665602974,0.37974007753671585,-0.026719301392597816,0.5625825892052465,0.6591164482607096,0.4799991658821342,0.18857731592560778,0.4393528637430178,0.5718924602827424,0.18580037090360602,0.2367695173614977,0.8562409740960838,0.6481124567175448,0.22892667184376272,0.4985349575107098,0.3313536270452287,0.39317720656889005,0.6611887046073954,0.6413282533879591,0.31191761507963717,0.4688211246700818,0.23445904343924578,0.5383864615661567,0.5443512321475711,0.3091040274997434,0.36770736491577766,0.45956168713870704,0.6204729644112155
Amygdala_R,-0.2534769544673437,0.24243732350194033,1.0,-0.35829611154244173,-0.1253019437321281,0.2302001192925068,0.4055751606115404,-0.2318372341778675,0.2989667439120064,0.25651789387100754,0.07075292276283489,0.3078146244563622,0.4896588155355608,0.3007783514497979,0.3675617500516755,0.1590586706653261,0.4940845137550985,-0.18925286970202634,0.5383767195216103,0.4681231105238996,0.5647786744167901,0.2893461069612725,-0.09142285831678902,0.27610287102527264,0.24780250165877046,0.48692904325386155,-0.02275078233541262,-0.5187000641183985,0.46792501335865555,0.07618041948706508,0.24304881507527715,0.31531251389497417,-0.001557179509914349,0.5559691924451321,0.5983298024687725,0.7196992127753025,0.06945474507002682,0.6799097924881046,-0.5842958594807056,-0.31347739863811713,0.5950338655919423,0.4647994334673652,-0.029298675323241364,0.2320628424281799,0.39055443472714774,0.5229674715273406,0.6565556414446411,0.08637841896428969,-0.28015346542217573,0.5933286042382612,0.41442075645751997,-0.1298312287609103,-0.08639377479247817,-0.09510001026472104,-0.13109500521137005,0.6424829154022136,0.4030464164067571,-0.056470498840759505,0.29231714760797134,0.21892709431079185,-0.515665178758595,0.017378865114737217,0.44159001134025305,0.25566984181324326,0.14655268268052293,-0.2011033266729592,0.17027665459704894,0.4128534149568679,-0.23907404935530044,0.19807120894350777,0.4013547357128167,0.2359586470366365,0.29638702647567106,0.1459849114712258,-0.40623853705847635,0.4186620073569841,0.29194130848502364,0.30577232122236786,0.25628848135436316,0.13972603123436095,0.2866451881657879,0.38432748400223904,-0.042264634316919895,0.5006831554838543,-0.04198338123998963,0.02241170864697308,0.5386481996507874,-0.3908149689554757,0.6032262269877708,-0.5189023760093444,0.3719069880664154,-0.16956480420445044,0.45195460895401257,0.07124924611355855,0.1772071862670825,0.2712205755627063,0.345950428181505,0.2098533032415084,0.2481137562292687,0.03357219523452644,0.1402156862703468,0.24928868785856909,0.16483213117949866,0.4786016077010355,-0.267356394753283,0.2539467227458181,-0.058275189427851294,0.3622569886501803,0.14764836075866503,0.3824693187526997,-0.026843897530738407,-0.40035534908635095,0.08028754847319765,0.26404138764484625,-0.028766517958518045,0.38410338859558163,0.09135960551044282,0.515176165584205,0.2503870143499801,0.4431361003217137,0.39743790064541235,-0.07443765360386796,0.31870327184041497,-0.3445733324480331,-0.18427747715186543,0.40910736842720197,0.06088677110030149,-0.06686660309113601,0.03039395412699066,0.20160783945180794
Parietal_Sup_L,0.0890599635438365,-0.056665106879713815,-0.35829611154244173,1.0,0.06549540484224152,-0.016339107994089216,-0.1309714578120153,0.07617041338372744,-0.22221542387086413,-0.15797773565107653,-0.08479063951178045,-0.02971809261461787,0.06157430095347985,-0.022897454998602417,-0.1772481637493084,-0.16704292207047647,0.005363727019431396,0.08996291400466185,-0.10281307209146176,-0.2005267416969423,-0.11222486072603986,-0.26809704430610015,-0.005465369186819628,-0.03587583412215388,-0.0098817379303789,-0.06420750618363273,0.067479579626933,0.09510481953364745,-0.10293065071302862,0.11375736318793894,-0.09605315746182032,0.09070371225684509,-0.13196281824428766,-0.12282311046216045,-0.319080334094075,-0.20128033136192167,-0.051398298622504016,-0.30463551545683804,0.34316699579876464,-0.15253205308927167,-0.04807279002404548,0.02110186905083519,0.01849603403343106,-0.0775801118479295,-0.3142074926110299,-0.10946514719585888,-0.28236195751186993,0.023981460850205485,0.31458440072800353,-0.01820218896289412,-0.21063276247297047,0.09976403649285988,0.15030682435840304,-0.0968099635679233,0.18579041757872994,-0.3295670864008176,-0.22237609051663645,-0.11868445032489426,-0.0831245701868105,0.04043747725215927,0.31645442981073824,-0.056896100064909964,-0.06696865612192153,-0.03432320038957776,0.012769441454286386,-0.13999759570939205,0.05759028374615237,-0.04258598341559122,0.02623492806922884,0.2343012687797806,-0.0710090627561134,-0.13748641791524943,-0.04943311643381686,-0.04820845476950798,0.062211775576084184,-0.09771393063587133,-0.06556110257800164,-0.03546048131057874,0.23082933889642696,0.047876459816291524,-0.2099326324777082,-0.001272922117952664,0.032400236163236305,-0.1076342369993717,0.05941814900155117,0.03919332744361862,-0.19572963200872306,0.07053001653678669,-0.10404692271941093,0.4963119654430571,0.04429329331136951,0.07022987592258857,0.011029344011417962,-0.02751311380425775,0.03165398542326629,-0.16306576875480996,-0.2020179427436385,-0.2069113454464412,-0.0019394011295955,0.052105683026519266,0.03373267362806263,-0.08230613542594575,-0.1784531846704335,-0.07856965066961837,0.34114087190339465,0.051568311261118445,0.09129262792449241,-0.05373803956458358,-0.2109935932178394,-0.037722683476991266,0.003057139046610828,0.03969706593778463,-0.07498917536297423,0.006525456400546726,0.01600558143747169,0.044791427004637646,-0.07315518919697307,-0.09589445616569646,-0.17227810593604273,-0.1616327607397083,-0.20127429023326332,-0.2599283394846407,0.20503471610630083,-0.11604138553448286,0.14201010332393993,-0.09705670367045686,-0.133195125500512,0.13452875704302028,-0.0442046023348671,0.013544286258786958
Precentral_L,0.5923856045724666,0.0864161890158317,-0.1253019437321281,0.06549540484224152,1.0,0.031390977115128206,-0.1278860612622297,-0.1551626132700283,-0.03977722823240781,0.24024851469464298,0.7950474751688198,-0.11415742921854835,-0.2692319602944005,0.3503867392097015,0.3616678370423651,0.19386813129426242,-0.3745699370424495,0.7599942677362439,0.2015084376587775,-0.18392923907319533,-0.32030290236865744,0.4503068350305941,0.711097508670558,0.1365054839364505,-0.5362747724952384,-0.08233062054551968,0.4011995128984613,0.3073951685204546,0.44726367524776234,0.3475210413702347,-0.374234359353875,-0.06691767509642034,0.7632488592194695,-0.21601373161115653,-0.10171226433250484,-0.4317953745368019,0.4000080083251674,-0.25977660623274657,0.1288723431240802,0.24678037901184677,-0.2143850895522573,0.001372148292666944,0.06398072034775747,0.43898327609200755,-0.308214491719983,0.04158197274020337,0.10796401912565996,0.40536346216488905,-0.11987967749199363,-0.05522077759470989,0.08141317814139162,0.6992909020120861,-0.5035736642300277,0.348682865016548,0.4116133162703444,-0.16028709179487016,0.5070544592202779,0.5876251316302259,0.6273374512606127,0.545491684558503,0.02012583171048046,0.41653879925882303,0.3821591604090182,-0.4307739015791053,-0.564237141028531,-0.20898405872025208,0.46360597941264853,-0.16237541344808304,0.3714188276471512,-0.10492357341327994,0.2140436958522322,-0.02718230511884182,-0.018576333925300087,0.11198053331387856,0.6203153520383696,-0.19529353487106707,0.027763613594624502,0.0727178351419245,-0.07037733867827414,0.32552357608665855,-0.22820859363473972,-0.26972621573424527,0.8840206590732319,-0.42336067635823166,0.6126047007313045,0.4233813821484524,-0.4766042277146782,0.5528291078569947,-0.45236371869212016,0.38966598371205763,0.05368824794132295,-0.3109303673022513,0.28371779783263174,0.5202145826290304,0.05270427464440864,-0.11257625572593696,-0.08749671401604249,-0.04757501011241541,0.329017395140782,0.32755161215050166,-0.10263597686355581,-0.6813815723388926,-0.19960255374786032,-0.32310930812066735,-0.07191388428129128,0.4771933948605476,0.27204351524106646,0.4793569181031291,0.318192920278922,0.4891277681652433,0.5327349733392762,0.7109976514042432,0.7589110345336537,0.019244619648021013,0.019643592451596595,-0.2710093726159815,-0.18085423504463535,-0.3135460596913971,-0.1528329512749407,0.07882519531580913,0.16960482761761558,0.23726761381077677,0.24825436218499078,0.22154508956473518,-0.22642767050111945,0.5294273023578308,0.23292990349362475,0.5762078027187372,0.623662282494999,0.38402402261807134
Cerebellum_6_L,0.2713319736418836,0.9006754209814423,0.2302001192925068,-0.016339107994089216,0.031390977115128206,1.0,0.6011090648047943,0.08607547749291082,0.6847852607149232,0.37244767492535114,0.39513704245225323,0.7818111819486736,0.34514415913954805,0.7141295846591132,0.6885649733238102,0.1547274587731627,0.49897450182472836,0.17194196826999894,0.4428338281406731,0.6488293575749261,0.00014489407988852634,0.5518901188931125,0.45087673442864074,0.5924405188083331,-0.03679063709975563,0.7097351096120094,0.25648356854132626,0.2373543492281615,0.2775525946028769,0.5360682497834007,-0.07826689581707232,0.5322246320603178,0.3067785259543572,0.24529206697705438,0.4643861944136532,0.25668296176419664,0.7634614544612336,0.18446840197495745,0.38789776546981347,0.1705440934970175,0.17583337291597934,0.4346975162118836,0.7293664608471965,0.705464229938332,0.3583844583006216,0.49151940319306653,0.6351856389389108,0.8009261605164082,0.6755584787116888,0.4814870501989584,0.6991595917826906,-0.12046335134243534,0.6094522629322333,0.7141165222366904,0.5325508795837656,0.29938632906187584,0.5553964933623251,0.2939441756010773,0.24667142469870212,0.24992511991807617,0.4669708779804471,0.42662835194606813,0.6563239592797752,-0.12037709397389748,-0.06991769612437146,0.14194330981584363,0.35539871341336954,0.6051511318502937,-0.1226848547315116,0.7510155601920566,0.6720236646388337,0.31109567358223733,0.681248189450205,0.4514858823522693,0.16845076114223498,0.7474803212481187,0.7912986906918843,0.3953833846679142,0.1529008818327439,0.5998150885532427,0.5759475599838997,0.141257706302262,0.03513786064335534,-0.07720767965288378,0.5093329589028688,-0.015158080494024926,-0.03516597445700835,-0.12694158947245568,0.3582358085549564,0.3397127318949569,0.4121273044279863,-0.005725846373470234,0.244042702958409,0.381255310960977,0.13697024639553934,0.5077205839066332,0.7153768296672302,0.4722289661850409,0.7079475671526934,0.6787303290936747,0.924707685277443,0.10618925490152246,0.25727326536704614,0.44260897779221914,-0.030994967414859527,0.6013572586437345,0.636556901734683,0.46476895491124354,0.13750834496646044,0.40042325778064825,0.5975933089651959,0.0643261397931394,0.17771072599999407,0.8394808047723827,0.6953589199842892,0.30528413991325115,0.41818264035394814,0.39516803369468195,0.3236863024309996,0.7221642291719819,0.5372236231969859,0.12518022540545296,0.4944235225065581,0.08407136127037215,0.6390185944433894,0.569100281215324,0.25743111972989546,0.38564429507598774,0.3674059417816493,0.6271737824119196
Thal_VPL_R,0.15816186645457186,0.5294758771933729,0.4055751606115404,-0.1309714578120153,-0.1278860612622297,0.6011090648047943,1.0,-0.007728525379959282,0.5541109706879557,0.39068610186218994,0.19992357195246965,0.5260251918155507,0.41428439688376095,0.5226731960368842,0.5749221333252265,0.09787042206864788,0.5978361853150979,0.002054823182189676,0.32842179252949266,0.6844883562179557,0.09812382975038794,0.5487227806917765,0.2268280621755824,0.47741607666494607,0.003778611884326449,0.6217684403100345,0.1547168579817251,-0.021469794734524403,0.12844903370427505,0.30482773168117366,0.020258462664913292,0.3598912366545378,0.23255836965448587,0.6327537965811201,0.5560791356504627,0.41992053411585095,0.46800096283252524,0.3213495051210018,0.04961299372333115,-0.10131202734661095,0.25564630768988583,0.6074479818317299,0.3692007770206368,0.5987564262616084,0.3460923406478021,0.4327052229325829,0.5359499374634277,0.42080281799755964,0.3771975599050969,0.606203611213945,0.5214389543591801,-0.15006322837551617,0.3948119890560646,0.2896862761348334,0.274089217254781,0.2863619743037819,0.3581982426038544,0.1598909721082954,0.05492900568009614,0.254695912690588,0.09453213482470824,0.2549691140911066,0.43500824179901576,0.05915792089312944,-0.009685776928820096,-0.14119077727576432,0.5037302877779822,0.504981081898144,-0.19439577387034124,0.5229252638866307,0.42954138366255007,0.29452626231408513,0.5603086517030098,0.4537135839812395,-0.08294869425704711,0.5505553358133455,0.655590494611451,0.33234911718956084,0.14281692848829408,0.4454545882792191,0.3851801789062726,0.07204936032743346,-0.09360021022103804,0.17792490083616572,0.10800544365583091,-0.034814502913436816,0.09230311874761155,-0.25805861974585254,0.47931700936056715,-0.003327194709809013,0.5473153941535097,0.034650257819513086,0.4760104016282345,0.2796931202589326,0.13338658520392474,0.48247744294461764,0.512510035689755,0.4010000690984116,0.5096457446238647,0.33130868538104047,0.5855783357022775,0.11504916079205846,0.13598019764211164,0.5905499541560828,-0.18317026610538187,0.3415141124462857,0.35029297548178223,0.3110088636311412,0.19415293640969605,0.20861096692923395,0.42284542898856164,-0.13370368788252082,-0.026089854502477177,0.6363756784228992,0.3479284893979778,0.34781721132934923,0.32075689807261026,0.4491485347698097,0.39365986506655615,0.7155348250438135,0.47636577569444954,-0.04389949794255801,0.4531974110308567,-0.08130357939690111,0.4602609640504566,0.4040827640275054,0.21772320479990756,0.213766491263283,0.09085861269609542,0.463657324007507
Parietal_Sup_R,-0.030080816729712464,0.1657105813263491,-0.2318372341778675,0.07617041338372744,-0.1551626132700283,0.08607547749291082,-0.007728525379959282,1.0,0.20323131327750743,-0.0011179390301076853,-0.014015098037134905,0.15006271338592156,-0.01789052165729553,0.014129934886789418,-0.052527044509964704,-0.05823159909267312,-0.10923643796549444,0.018799811600979974,-0.11822294111105965,0.01935849191237746,-0.12300433144056695,-0.1395202794851977,0.021594677877305696,0.1447364742692505,0.1675769201464598,-0.025980507385789147,0.0676075404565162,0.23451195971890237,-0.2322853569690963,0.20868333524750807,0.19480225566508336,0.03480417214771255,-0.0321782071435193,-0.2847211038626218,-0.09238078107405544,-0.08558302912267912,0.13469760423005767,-0.19849734348072437,0.25583855822284113,0.26626473388747024,-0.19063374336070943,-0.06642039446601179,0.24028836556518857,0.01620436847888213,0.04677265995792834,-0.08985159880835786,-0.09244654332785786,0.05469216724165012,0.14531887011193947,-0.1753889192397233,0.12336636620407704,-0.09086580777223768,0.19289507884703677,0.2528749421773447,0.06811135019966616,-0.08655283088265613,-0.03500417497007675,0.01795726123639697,-0.16776963795259753,-0.10517678439982409,0.23658944334965548,-0.02074345630470747,-0.062152170750550934,0.12809597766372877,0.21977169923597561,0.3184479167187833,-0.13540088126780866,0.05664930273139412,-0.009445421621143256,0.061701215399192905,0.04548734992150572,-0.05588770058352537,0.12710682855417332,0.07499504892863469,0.079481145898022,0.04700073605325798,0.1339338084681878,0.20160466328260787,-0.04658982199484815,0.037632406778908334,0.23589206799935392,0.047520837905338266,-0.17831776301066057,-0.10077944604271051,0.12551688177129913,-0.036548534882023566,-0.08525390206493659,0.18867927210781982,-0.03952164673142746,0.11772315645012162,-0.08125723994128158,0.19991938339276774,-0.2954033161632966,-0.02321051297500883,-0.05436783519545208,0.19386841980219857,0.015390309937383382,0.1939710963441266,0.01673491137447236,-0.01700687191360545,0.07307737982083463,0.12142383955225554,0.11301963269261744,0.04917145454157258,0.1791218209746277,-0.10794893415274699,0.2922048166969239,-0.21981477612079908,-0.025239885557456744,-0.089031055628877,-0.019641121464217964,0.11332518906089341,-0.20996503658764487,0.11721244083957043,0.10808390797847131,0.08799478730004699,0.2493860035600355,-0.005699761557378631,0.15913563125944838,-0.011637357298338358,-0.029873756174289095,0.24181310260675778,-0.1148285178110512,0.30850275009134837,0.13519880747669652,-0.18794753400535125,-0.009036614964171963,-0.12842498994655055,-0.06118872776145143,0.03887179930381181
Putamen_L,0.14031343083306824,0.7646070672868371,0.2989667439120064,-0.22221542387086413,-0.03977722823240781,0.6847852607149232,0.5541109706879557,0.20323131327750743,1.0,0.4220953339826631,0.41636467103205405,0.5929588412527348,0.2798683555749265,0.7396093734096101,0.6000663614358119,0.2500750418204746,0.37766635803367127,0.056654272842601765,0.33408721679098496,0.733922012527402,0.08865250766113293,0.4875786296602733,0.35014065938431754,0.5399383000266118,0.14547596251704387,0.4441883422023438,0.3978738477944432,0.14316405273363908,0.1440058517656285,0.5231416577537681,0.10316381470583039,0.42712026406798903,0.31329186172381984,0.09507749315684687,0.622796646889662,0.30779546271011676,0.6582430540860066,0.3181067285403616,0.10773247626933424,0.4255930471773965,0.1350143541504326,0.16044355863584808,0.5119784063945727,0.6386447952286524,0.5039076812875375,0.40853620498009857,0.6605677511336188,0.5453385923894084,0.2661291664605652,0.32915406639785,0.8411849718921979,-0.1806281552036406,0.35511194762247195,0.6682245671496683,0.23809457207747578,0.42951953410937965,0.551431201309416,0.28975146797453427,0.12217109400709221,0.1258172468519247,0.20571316668868128,0.31751660272784066,0.5384900739431957,-0.014355443202035101,0.08545873373527665,0.410994784450585,0.19858381610730838,0.4777340852214005,-0.16626158141587716,0.48017915179629056,0.5967052574486308,0.4714063591843796,0.7098642885497133,0.6400383622447459,0.05677043198753244,0.48475179718020384,0.8087628107435123,0.4737442049815439,-0.04859123175745562,0.5185816343998829,0.7863254447526886,0.10709267452506968,-0.009077050744205055,0.004205348113390942,0.3889530102735772,0.08295734889600401,0.13519716273967405,-0.05241140988556085,0.3225354728665666,0.013866039123907072,0.11170782423535747,0.07588685164747731,0.05756318108561908,0.3396796097342528,-0.03263342315335208,0.6554629168131538,0.484864735291068,0.6896777956318536,0.5498970393540119,0.3549481127547709,0.5912743028232255,0.2571230318508793,0.4694882914522356,0.500366589233306,-0.11742957937541972,0.3949302949675482,0.5250208434642067,0.29081330273153316,0.27245422079968956,0.25937646388301605,0.31642413837480143,0.09434186062251286,0.037169680712578194,0.659303727525025,0.3550242447734569,0.2213795998867156,0.5318933988391521,0.34541172088086086,0.6326457221817877,0.6918433771092803,0.5974026961804147,0.428562852575816,0.28444174022292656,0.32143038258370155,0.30358523290623773,0.44686237199327217,0.36628790773661013,0.12563795412158524,0.2897529938935437,0.4803315266930249
Thal_MDl_R,0.16950599970384586,0.443117134995075,0.25651789387100754,-0.15797773565107653,0.24024851469464298,0.37244767492535114,0.39068610186218994,-0.0011179390301076853,0.4220953339826631,1.0,0.4744327528112257,0.3040593429563741,0.14130055455322774,0.49209591256469837,0.5765579064118949,0.13645712258987974,0.10563530163715915,0.32547660720538685,0.43487738474311305,0.3815166545657225,0.06117416980180925,0.5070296517754191,0.4796561271972564,0.5958269742883062,0.033136236647014365,0.2473634887023701,0.2950176969775395,0.1405788354978511,0.2601303431621311,0.4402217131203143,0.07464033082025381,0.17128317891009096,0.4348122712628297,0.114684916378213,0.3876964572540848,0.046872138544139935,0.5783608802436063,0.16925337546649177,0.07583658227960072,0.3045827981586721,0.17719401087321912,0.10361453949356648,0.3075886199376326,0.505519377000253,0.3198315392625489,0.44196870354364676,0.42287265182198797,0.4827856470598035,0.08290935460907012,0.31042641045723507,0.5216120418347974,0.0038578213859816737,0.060864543965936206,0.44851475375466215,0.24459442454551641,0.26354379568232406,0.42283248017950303,0.26819561581843754,0.3136772680786543,0.12061219522004371,0.11126687201174659,0.36706192980124636,0.5203115107683273,0.010083031146854578,-0.048236941566365335,0.16643584351376137,0.20259953617092993,0.22487312863591552,-0.1000823687579368,0.3841072665767791,0.5537693470591173,0.3572951135226807,0.3214367598997601,0.3275292413429736,0.14435328899356126,0.22927666426619286,0.4142692575197081,0.3288987027768705,0.053705081559944794,0.3592012231537581,0.2544396502943092,0.09008944050295215,0.24517956994682355,0.02566415588959661,0.4699401450990095,0.03905091862670987,0.06237753028794132,0.030487773554929314,0.13025332165576972,0.0942820551545452,0.0031766634906362046,-0.08678353952926002,0.32261857288609097,0.47703143029198036,-0.013493003847526561,0.5874688193755124,0.2645387380393722,0.4742501602726093,0.532330700630268,0.407500726582021,0.3612826253369199,0.06275523007535126,0.4224699761242275,0.39423034514538724,-0.001062274915617538,0.3705739219639475,0.4503803413621649,0.38191243844501405,0.3928267280113855,0.46979980771795765,0.35214362330786636,0.23071426214719176,0.3237125459183512,0.5304931010903265,0.2510734281526778,0.12156935920862733,0.3552309229794516,0.2408876067330665,0.27105718895329606,0.5072072615752429,0.4060512489199161,0.3908352637056684,0.5238996650877527,0.2782935201751788,0.09469095776937188,0.425417229225583,0.2636535135842821,0.2729738828478354,0.36451292188594986,0.46314163931411106
