,Vermis_4_5,Cuneus_R,Temporal_Pole_Mid_R,Vermis_8,Rectus_L,SN_pr_L,Cingulate_Post_L,Frontal_Inf_Oper_L,Postcentral_R,OFCpost_R,Vermis_3,Raphe_M,Amygdala_R,ACC_sup_R,VTA_L,Frontal_Inf_Orb_2_L,OFCmed_L,Thal_PuA_R,Thal_MDl_L,Temporal_Pole_Mid_L,Red_N_L,Thal_VPL_R,Thal_PuI_R,Cerebellum_8_R,Thal_PuM_R,Vermis_7,SN_pc_R,Thal_LP_R,Lingual_L,Cerebellum_6_L,Parietal_Inf_L,Precuneus_R,Frontal_Inf_Orb_2_R,Occipital_Mid_L,Thal_IL_R,OFClat_R,Frontal_Inf_Tri_L,Temporal_Sup_R,Olfactory_L,Cingulate_Post_R,Occipital_Sup_R,Postcentral_L,ParaHippocampal_R,Cerebellum_Crus2_R,Parietal_Inf_R,Thal_LP_L,Cerebellum_7b_L,OFCpost_L,Cerebellum_Crus1_L,SupraMarginal_L
Vermis_4_5,1.0,-0.5413410886005228,0.23619569831966214,0.3979530105133993,-0.015702166105424322,0.5349054429214185,0.596720612688538,0.6277941114081561,-0.34718191834189327,-0.30321472163971,0.5760220170009184,-0.2606490800207131,-0.4437873093475765,0.6168032407603423,0.605517638579854,0.08623564391913391,-0.18845861732109304,-0.07543174877642857,-0.1502045742416311,0.41772674028449047,0.17279960100373776,-0.1430476724901841,0.09390315444356029,-0.11032242987464057,0.1131768969983532,0.3101581011274362,0.7045593323671292,-0.12209629571256966,0.6217385455692181,0.45149622646379833,-0.20194705112820624,0.3896467649733357,0.3122774493304455,-0.570479023785953,0.690119500249871,0.6466986369166583,0.39264945266389156,0.026809393181696277,-0.017524307235918996,0.9128066279317516,-0.5365109488593504,0.31655297553687095,0.08286331259866762,0.3517838755881985,-0.08129170808600455,0.005841612728080496,-0.26658960839632245,0.33995737857898223,0.37160494281969636,-0.15018198606936525
Cuneus_R,-0.5413410886005228,1.0,-0.03132260152530311,0.0945160776815379,-0.012778490436910464,-0.028047352706594045,-0.16274863014906304,-0.7000068154196196,0.5723207755710258,0.47299949915785505,-0.24433468037138947,0.04163914154875589,0.11012497233907151,-0.4541866018075412,-0.24617660754249207,0.06796749941327382,0.14867344595213453,-0.1799878768682852,0.25824337812179193,-0.6009591491629666,-0.3755891744312883,-0.1703803805540282,-0.2370057546161665,0.08302402313352088,-0.4444373706267804,0.0698552116438285,-0.18283696258886184,-0.30104534147830975,-0.046988328290730755,0.13089227340074042,0.30373727491323876,0.28793372463102,-0.24705964808382394,0.983345382515262,-0.16534105455456874,-0.7918393596187148,-0.6121481092928802,0.541753104637417,0.02930153873121547,-0.4844674034323105,0.9878530117109662,-0.3993637789700425,0.03432867953240612,-0.030159545179781137,0.10428398253946898,0.349574058749654,0.5948663315998091,-0.42795971009456,0.24728837749404298,0.16180370715997824
Temporal_Pole_Mid_R,0.23619569831966214,-0.03132260152530311,1.0,0.24686308289305728,0.5075266230467783,0.21097312592807452,0.12800232797616898,0.10529780434392758,0.3173403228640517,0.5286872441395468,0.29281576377269153,0.2353411493142885,0.3002433220814215,0.5076710562165322,0.22444634051528384,0.3498915497658015,0.30110094425405715,0.28422545252469894,0.2123109506515341,0.3445581055274435,0.058410972208581616,0.27851637104706056,0.2621008242547293,0.3084964246557533,0.30166135279991985,-0.1397700954663457,0.2992921452893047,0.1428903739827081,0.20234455683514355,0.4868451328908726,0.14844423132278556,0.1155068062145254,0.49786250061601783,-0.05892450126471994,0.35547743186652686,0.2521196999302465,0.23162227334153304,0.14433749616929142,0.6458549123448627,0.10503118270747569,-0.014342707498620716,0.18957876116094455,0.3785474630001775,0.23104089284200263,-0.06819198502065676,0.32548842800015965,0.19979708612631605,0.2724434011719235,0.3062257638762202,0.09282630174434613
Vermis_8,0.3979530105133993,0.0945160776815379,0.24686308289305728,1.0,-0.04885171292247222,0.2698912618043851,-0.03700365981083991,0.12079363926071578,0.033167376388870455,0.19195204381665565,0.19817367873151337,-0.01579212865700475,-0.3204529302177425,0.1141026814823573,0.3528275912251979,0.04953628138814479,-0.23987151286002165,-0.0009827289206312323,0.17438502911732418,-0.016034847267862643,-0.12646747939563202,-0.010761939949339305,0.2959909014956988,0.48583816884059833,0.13020275823151567,0.40284739127782276,0.31269208783487634,0.04171159172692622,0.10453176684946712,0.3628331816932024,0.37128363881618237,0.07854577306833362,0.1943106437110298,0.04298190044411016,0.3770948024237458,-0.01814184574452548,0.1205146920248594,0.10898193656250181,0.036578747578235885,0.23590789152469632,0.08186849557117401,-0.08589868432634487,-0.15417102110576913,0.6002553397980167,-0.05519152567980112,0.29418380456980503,0.48209911165638974,0.06342260497581614,0.4729663940357156,0.2252179093230319
Rectus_L,-0.015702166105424322,-0.012778490436910464,0.5075266230467783,-0.04885171292247222,1.0,0.1612945043878291,0.11417749124456551,-0.06987741384494807,0.16491411605808068,0.5315349539952311,0.4121778638319297,0.18867273928078968,0.6309237309409712,0.30087157422549227,0.09313646573257509,0.7939161131860866,0.8110974799035985,0.10769158819778611,0.0012418316625539732,0.4663817224750974,0.5779799934062635,0.4537550187205088,0.06813158994693176,-0.11470323611856903,0.2458900475461619,-0.22445664752076924,0.12217350758318192,0.18404072176368722,0.12222990977520519,0.035294998734738625,-0.12793987053881772,0.1310069888547817,0.5907315199954991,-0.0035999791461400654,-0.12321401303593962,0.3108307947955407,-0.023080713938934194,0.112222708262018,0.8616674902068507,-0.0522676549577547,0.0047788896016622145,-0.12523862559728802,0.6553345111951082,-0.17504459015495571,-0.04134337683320158,-0.1672925581273613,-0.18389037474214093,0.5889089577601531,0.1194108878040893,-0.07759706606406694
SN_pr_L,0.5349054429214185,-0.028047352706594045,0.21097312592807452,0.2698912618043851,0.1612945043878291,1.0,0.5725967455265941,0.2712178765052474,-0.014826148456861784,-0.02226474601363681,0.5953107872330432,-0.42430154537626125,-0.16647970330609016,0.40952362127709646,0.7626529079705001,0.3021057162164256,0.1352136762580283,-0.12964131026742526,-0.0659672356007996,0.11648897607882225,0.17412061264263748,-0.05352211923678357,-0.2244556030793827,-0.31328144889097986,-0.18447295623214685,0.4303982916245798,0.7064796301814926,-0.3958886138627801,0.6506886070083325,0.5257292773508113,-0.15518772596414007,0.638662202721405,0.17127195373662632,-0.06707111102496592,0.5872753725539054,0.24678765419509047,0.0780824648608134,0.4624180220871455,0.23746116744171744,0.616081876603008,-0.02027072796570639,0.05686463919836126,0.40588005686802364,0.21030106331468856,-0.18588556893652455,0.08145652380477685,-0.07334430781689634,0.2767921363017119,0.574871004969536,-0.0802448586147392
Cingulate_Post_L,0.596720612688538,-0.16274863014906304,0.12800232797616898,-0.03700365981083991,0.11417749124456551,0.5725967455265941,1.0,0.2534922791305663,0.02004589669059153,-0.1444366207295446,0.694201739658955,-0.14641297726249192,-0.0677037924073536,0.4680288117282935,0.41971679018732816,0.24255768463575522,0.09759462120484685,-0.25803042561549067,-0.3581264343647386,0.22056368241331642,0.2598690252264031,-0.1758594895331165,-0.4362115925142921,-0.5674981999057881,-0.39289137500452703,0.1760338619683516,0.6420320209475533,-0.5638616830374018,0.8992282296573968,0.5563001652709704,-0.35987354199565696,0.8139415905867929,0.07454410189947822,-0.1607984162567755,0.48627203583530365,0.4441853672900928,-0.04880285497814087,0.5279137604697195,-0.004296607089141733,0.7125598215430129,-0.11979745840662695,0.1816730527357782,0.5304888656634713,0.06565100290774661,-0.0029238088352208868,-0.11653180323848021,-0.33057967685781336,0.30640281433387956,0.5663925744726992,-0.16034883272390324
Frontal_Inf_Oper_L,0.6277941114081561,-0.7000068154196196,0.10529780434392758,0.12079363926071578,-0.06987741384494807,0.2712178765052474,0.2534922791305663,1.0,-0.5524446697908565,-0.48013222393395544,0.33353569752001716,-0.005791437503605739,-0.324234010495378,0.6086025891123149,0.4221377776503168,-0.26776065194204884,-0.3621940396706338,-0.002796704092019358,-0.11988896472506713,0.5637152227254237,0.1304610600919065,-0.018356649377889393,0.2865022954550073,0.12785134164926934,0.230907998275274,0.15725028662892845,0.40695802712740764,0.030574993187329345,0.23162530533043255,0.1645750981456735,-0.14969918612555932,-0.12817504501934543,0.267879205011222,-0.679010286098223,0.4000787812706806,0.6555615058552215,0.907931616669595,-0.5026842841388948,-0.0038846809350385923,0.6140005870599501,-0.7437728674179859,0.48712899248693337,-0.08081630678022611,0.36414070062533077,-0.05100313801110557,-0.0927392842435952,-0.3040186973763136,0.32112721273156297,0.10238418825789505,0.070143566290352
Postcentral_R,-0.34718191834189327,0.5723207755710258,0.3173403228640517,0.033167376388870455,0.16491411605808068,-0.014826148456861784,0.02004589669059153,-0.5524446697908565,1.0,0.5577671202836343,0.033679509986362585,0.18524253087859321,0.33651840837859054,-0.1488118960391491,-0.17318523877738293,0.18747474031357467,0.2599677265754694,0.06581419131797478,0.19970304777694065,-0.3060306039119937,-0.08783247224868243,0.13390490031876015,-0.14211047171945487,0.04301071586518904,-0.1307469030502948,-0.05226428615261446,-0.0960721837397323,-0.126268064115166,0.11670974041018967,0.2890060813385518,0.2992569998265167,0.2785361589110176,-0.02165011229495639,0.551728413392658,-0.00870140242905037,-0.3554349433956004,-0.46904968347544157,0.5107751168013626,0.15228798224554496,-0.335855656453634,0.5987377926414943,-0.1746845480385785,0.30144203426261,-0.05577786785253642,0.07557505823017081,0.2529364255202329,0.3503486314815506,-0.16833854533779874,0.27173768054098196,0.02588878584084499
OFCpost_R,-0.30321472163971,0.47299949915785505,0.5286872441395468,0.19195204381665565,0.5315349539952311,-0.02226474601363681,-0.1444366207295446,-0.48013222393395544,0.5577671202836343,1.0,0.04005288375440012,0.22623721981432462,0.45798467637353785,-0.0045931150926361766,-0.10809089228723383,0.5260343110638293,0.5192568089297165,0.20808953150089204,0.3795676064895634,-0.16356264713795526,0.0044750380097621865,0.3105808436712656,0.12663468021659732,0.2047905498194619,0.14099639362680907,-0.12081743327638633,-0.060187382963562214,0.16679110847047493,-0.10741582197143856,0.22162517590193687,0.36316979886631534,0.07135855635177678,0.4298726232518981,0.4546192072859826,-0.06465712809405727,-0.2383354276426344,-0.28919386859125945,0.2996666729899458,0.5933141770455461,-0.40050415989657484,0.49393421796481746,-0.16248358441527394,0.3072678106985074,-0.009669264199049737,0.010347876985660311,0.29116954594983874,0.39774923920782135,0.07231036968444661,0.17767731786154006,0.10326534556886444
