,Frontal_Mid_2_R,Thal_VA_R,Frontal_Inf_Tri_L,OFCpost_R,Insula_L,Vermis_7,Thal_PuI_R,Cuneus_L,Caudate_L,Angular_L,Occipital_Inf_R,Thal_MGN_R,Red_N_R,LC_L,Temporal_Sup_L,Frontal_Inf_Tri_R,Lingual_L,SN_pc_R,Thal_LP_L,Raphe_D,Temporal_Mid_L,Lingual_R,Pallidum_R,Hippocampus_L,ACC_pre_L,Cerebellum_8_L,Postcentral_R,Temporal_Sup_R,Cuneus_R,Insula_R,OFClat_L,Calcarine_R,Frontal_Inf_Oper_L,Precuneus_R,Parietal_Inf_L,Thal_VPL_R,Frontal_Sup_2_L,Putamen_L,Frontal_Med_Orb_L,Temporal_Inf_R,OFCmed_L,Temporal_Pole_Sup_R,ParaHippocampal_R,Cerebellum_Crus2_L,Cerebellum_Crus1_R,Cerebellum_7b_L,Thal_MGN_L,Cerebellum_Crus2_R,SN_pr_R,Cerebellum_4_5_R,Thal_PuA_R,N_Acc_R,Rectus_L,Hippocampus_R,Supp_Motor_Area_L,Frontal_Mid_2_L,Cerebellum_6_R,Amygdala_R,Cingulate_Mid_R,Calcarine_L
Frontal_Mid_2_R,1.0,-0.16998874866682803,0.28175500344033594,-0.38124030043559093,0.19613967985304515,-0.4418104996841263,0.29481930683910923,-0.05786935875771907,0.06924654673620134,0.08139848847760055,-0.20162896739056382,0.3783248836491879,0.5510910478015689,0.23500361112469662,0.09098911619953824,0.6757542846755431,-0.25880522352840885,0.16384393777024317,0.16424247366440708,-0.0580995335941212,-0.17266407527076771,-0.2315146602571892,0.35105459396973115,0.40162021884817384,0.2152194268449363,-0.16239682999364727,0.8200424592840785,0.15027923355047076,0.10358193048736965,0.28940695686766305,0.41293361421612984,-0.14306309570271047,0.14899737959418816,0.6546390338079264,0.2651199366604482,-0.14867644814513079,0.38295768991156764,0.25809993437632683,-0.13675549888164054,-0.5029795170664767,-0.0337311597193591,-0.43409172816175684,-0.061299835597068364,-0.2724679095738053,-0.24136149523716535,0.06508968998534792,0.01751829593089016,-0.3087215344083664,0.1635278722503718,0.42169537272584473,0.12024829841777103,0.04884537843481872,0.18224843151937611,0.1730413866246449,0.7052012911010325,0.28054182560570745,-0.43507084636746923,0.4134704563972879,0.6891390411695322,-0.0999366808383436
Thal_VA_R,-0.16998874866682803,1.0,0.13228298732749258,0.6918984971850756,0.277970156627079,0.22322643516322335,0.42869438537024246,-0.3108600344791948,0.620641884711521,-0.6411322128403161,-0.058675698203801356,-0.11989442481179549,-0.4143230065789298,0.26578167597206676,-0.18393511598342613,0.2737378172816068,0.003937278422751248,-0.255760600933767,0.2471457712278819,-0.3111876568146956,0.13690380351442194,-0.07792334981528938,0.6153164030610131,0.23717103189442337,0.59599570689703,0.037428807648317304,-0.5349964114147373,-0.04745552001075079,-0.5502937821344019,0.13001911357457732,0.28908317259225735,-0.32420225780423345,0.04675008877693761,-0.5701867584448306,-0.6802084604117618,-0.04251431753438744,0.09085122586273,0.7587056810032785,0.5791639247125656,0.4551827054823237,0.6274461655919169,0.27172107739873047,0.6397890181432789,-0.21294473791633317,-0.1812322843082038,-0.25383276273179833,-0.055896364840855264,-0.06748890099336678,-0.06731786421862362,0.2212650858608446,0.5329404851544032,0.7966570848944525,0.5150554946449052,0.4607290718108134,-0.5108688787450192,0.031230956615120917,0.07775333169545035,0.49898933417677943,0.18942682102836067,-0.3252502475477618
Frontal_Inf_Tri_L,0.28175500344033594,0.13228298732749258,1.0,0.24153114968195097,0.649466012469362,0.03432421712895621,0.2691311496006993,-0.03582431788661885,0.6081740652355464,0.053041601951337496,-0.3109985614433991,0.04431612701189448,0.2071693561318811,0.24730737039251,0.7180741114755053,0.3173774424566775,0.20788478643326563,0.0683232906224462,0.39355134008820497,0.027725773452276222,0.3845698649117745,0.16120183288290527,0.3169033459688357,0.6738164070004155,0.5247093894248982,0.18081949993092838,0.10310919005286252,0.06847514889430957,-0.2512510146121365,0.5907336087358751,0.3324751997985646,0.057929385686410255,0.8119928900088753,0.30224090280892296,0.12857674825672435,0.18649240334765207,0.6535016573386141,0.518740650007677,0.18668274728406692,-0.015993318099789277,0.1183269728900819,-0.06745032528888616,0.39100167146979137,0.016715164017540286,-0.14007325868798282,0.22414236995908146,0.07772514069018584,-0.06359823334196783,0.07025213134166945,0.5544983530466865,0.23267927271576724,0.21841109503061826,0.21625890877384948,0.4305440846443807,0.22359982003589265,0.5060667612404197,-0.015915373874221945,0.31419310504750975,0.5887206905069015,0.08892571448972819
OFCpost_R,-0.38124030043559093,0.6918984971850756,0.24153114968195097,1.0,0.45249201210024603,0.5196900549012972,0.0744579003441575,0.12090988832473347,0.41638432068868364,-0.24297903453908837,0.1379724087522329,-0.4145150259777312,-0.4027480352389636,0.06924127128529924,0.15770586262554792,0.2063106540933435,0.4048089595780833,0.1066630259623482,0.39783323888133604,-0.047463885813262115,0.22043236637366204,0.366784050788223,0.4395936952161435,0.24952411326087817,0.33406856913229277,0.36733104849949766,-0.7212414359226809,0.30340079389644414,-0.26734763995883687,0.3996758940475817,0.2314676508778091,0.1490341069088258,0.16077178205263923,-0.4691424346119981,-0.37888870065743385,0.3650855911153397,0.26032202535877796,0.5230279630319364,0.3147677549653234,0.7322825307475039,0.3610407749853491,0.6278318269608824,0.7023891530928337,0.1946352755973601,0.15185676346951185,0.098740671819068,0.1365114517352542,0.3222589282174775,0.13016507323706342,0.24896984753726747,0.4953376756723938,0.49920091410166006,0.25822669411908006,0.5576025262632225,-0.4624086207934441,0.2121314548959433,0.45901871494346635,0.18848967266898825,0.13388302450701703,0.10989266547207938
Insula_L,0.19613967985304515,0.277970156627079,0.649466012469362,0.45249201210024603,1.0,0.42735322014910965,-0.0027535163283818756,0.2054117036418283,0.3353035727908815,0.031291919113740574,-0.22920414414357787,-0.24890032252764002,0.01011522172520778,-0.09722257384397945,0.5452042932392653,0.5503222276666354,0.5227664264769735,0.37774181797688,0.46456739321670526,0.35751113633177406,0.1820173762081429,0.5206162711548407,0.32974084467172815,0.4898613810886108,0.36469688540766126,0.4681527768010754,-0.12036236223031586,0.5565735552808398,-0.17836242725367088,0.8431681690688982,0.2981506331874092,0.37260174288079223,0.6504757237349212,0.11309200521139501,0.07337337541740645,0.33747676093659296,0.5748855881758504,0.5457873013087324,-0.014652028458126971,0.4083717153933223,-0.13088253960319796,0.43806350914870473,0.4124451737909181,0.3081782170255156,0.14824760931267442,0.3287463972359461,-0.057635646222016355,0.3389548388145817,0.37726205513782407,0.5404532435588943,0.4680799796840412,0.1907688667096255,-0.1338049834827071,0.4527739807350721,0.23228179071746063,0.5866408294913671,0.41790913860903284,0.07738927462438173,0.684487292558202,0.38546205851273435
Vermis_7,-0.4418104996841263,0.22322643516322335,0.03432421712895621,0.5196900549012972,0.42735322014910965,1.0,-0.5284394219353225,0.4854747266794503,0.02060367417029266,0.0662660446163529,0.011349588921460211,-0.7683530721946759,-0.2991180275810132,-0.5604294343321633,0.3361673687300182,-0.11047242782960255,0.8757897034068394,0.34329771794693414,0.2830863327290681,0.5953818321224085,0.3981466889575138,0.8460579595216042,-0.15981137762579298,-0.1626814477814324,-0.2245101177559667,0.8634094107582777,-0.6323127985851164,0.4967614093697631,-0.0631319136136279,0.3758369173959242,-0.29851796960851945,0.6269790263581042,0.1404154736646512,-0.24815068615888328,-0.11761907609890006,0.6640883332771196,0.11040752601378315,-0.0180401029363619,-0.23838703811385387,0.769132693074651,-0.3974211096675966,0.8391022454840926,0.09434846522151479,0.6705330629903953,0.4079736364257834,0.5563328707349579,-0.11018249908876952,0.7345050751484842,0.3437635331624015,0.19114792026316726,0.38524262145150856,-0.13596466327158818,-0.5450257837882397,0.07878599937023584,-0.1508744543017761,0.3299404695167205,0.9187192295283242,-0.45874577652104376,0.0031457945302339235,0.6134527256279895
Thal_PuI_R,0.29481930683910923,0.42869438537024246,0.2691311496006993,0.0744579003441575,-0.0027535163283818756,-0.5284394219353225,1.0,-0.7723350009763329,0.5828048923452488,-0.685318576957739,-0.14248449773673744,0.6350594687548986,-0.10487430804487145,0.7527039989300464,-0.17504739744920222,0.2224635208004663,-0.6435816614062171,-0.5568921842377323,-0.049264190077728455,-0.613614046485307,0.07416957873774448,-0.6809608312720373,0.5384421508777477,0.5485403999327584,0.6860529294621933,-0.623656602246893,0.15841209366340123,-0.4946309238693229,-0.5221145796018404,-0.016503505718462742,0.41067461230436747,-0.8292198793588513,0.08805311567543932,-0.2225708297920064,-0.522044868694373,-0.620081027326533,0.0009262201961488806,0.6149825443353654,0.7572073679484798,-0.35451315273653755,0.7658952155956417,-0.5374129533466118,0.49151909362151047,-0.7413158127802046,-0.6578156897956285,-0.5872936833704617,0.15495363596546105,-0.7368941035889758,-0.4016410153797856,0.13623939846411892,0.1124759078385197,0.6033227110338829,0.7869449698991893,0.4062619128015073,-0.25245517825549224,-0.22098778056898624,-0.64429049302958,0.6581691302830441,0.15570681656773352,-0.8143198234639095
Cuneus_L,-0.05786935875771907,-0.3108600344791948,-0.03582431788661885,0.12090988832473347,0.2054117036418283,0.4854747266794503,-0.7723350009763329,1.0,-0.5221146125549758,0.7922569083175771,0.42321315288471467,-0.6037485309970404,0.2188951650629174,-0.6104598030455377,0.219527416228326,0.1485392905659872,0.6452770534551194,0.6885704353412732,0.2495359289005249,0.5176853045191894,-0.2447910404248201,0.7190908825649275,-0.17894776029150122,-0.3671488941489046,-0.5685606227035412,0.6167959105385569,-0.11177256693132001,0.744864817245079,0.7322170901382867,0.33035874571676954,-0.22507793873444049,0.8843297085101804,0.048100628286508754,0.39154714473994817,0.6361138277680821,0.6791480021859336,0.3756959413146101,-0.4033607451931372,-0.7866818107629563,0.4856032840273206,-0.6529402526656894,0.6137221479379813,-0.21719882726089268,0.7518466480446393,0.8033154940675409,0.5856779596974242,-0.04791134768062599,0.7986286052952716,0.5298993415386329,0.05869877121038451,0.1582105532191991,-0.39800477485109387,-0.651839029191524,-0.08507188856421499,0.4406395825899787,0.5070433153651408,0.644681548993686,-0.4085216771196237,0.15107715060631782,0.8360356212023441
Caudate_L,0.06924654673620134,0.620641884711521,0.6081740652355464,0.41638432068868364,0.3353035727908815,0.02060367417029266,0.5828048923452488,-0.5221146125549758,1.0,-0.5618056816920055,-0.4082292012305485,0.14321705566388768,-0.0968897440119994,0.4784965846645802,0.36291838948158256,0.08176715499500113,-0.03847850746338794,-0.36931918886675696,0.2839498066435713,-0.24588531813679768,0.6062201603889282,-0.16490392657841588,0.4918292269757494,0.6766507932797388,0.778891547847169,-0.0033235371025931116,-0.16824114769681714,-0.360994296915706,-0.7019423524478611,0.2125774511148853,0.30628211744103034,-0.43029037928037844,0.5021070168139476,-0.19270075085851704,-0.5039551269339482,-0.044605885569968605,0.26733636414623746,0.7757404674388764,0.6579656201440139,-0.01925544411098426,0.5761003347278362,-0.17304619800380397,0.5797012037276835,-0.3454771045684358,-0.52144234653681,-0.10555097516539541,0.08357583871770018,-0.3660802172171237,-0.27094889202162936,0.47582242333758623,0.36718251161932247,0.6140736648945221,0.576927676711937,0.5031210891563817,-0.30897097698356196,0.11465037809847038,-0.16282275552321307,0.5624993799295274,0.3135978608052952,-0.3713619652388657
Angular_L,0.08139848847760055,-0.6411322128403161,0.053041601951337496,-0.24297903453908837,0.031291919113740574,0.0662660446163529,-0.685318576957739,0.7922569083175771,-0.5618056816920055,1.0,0.24758413536874954,-0.23433464339717633,0.4898968516873049,-0.47237554365614526,0.30234895967443753,-0.0037107937191268657,0.35557607439738514,0.5882904496435752,0.10456939748904123,0.4441609169900507,-0.32581982535755855,0.43201556204481484,-0.3292242470212322,-0.24469119361154884,-0.5440652758331914,0.28201415523238776,0.2476714268714526,0.5137944121711464,0.7922250063026837,0.12273686659908924,-0.19526143887254968,0.7342424888458825,0.14794318003019621,0.6642161245739786,0.9231612319139774,0.4664841415039634,0.3906325528570625,-0.5592816231127916,-0.7882049158674576,0.06802327785930248,-0.6527341316992493,0.1855513609600174,-0.38844685915940846,0.556829788189739,0.6348256949549312,0.4711846685827536,0.03150854127959951,0.506196556321396,0.38390234460805633,-0.05179340115406207,-0.14208993575360204,-0.5476452762379578,-0.5693891056852179,-0.25277742655557706,0.6200543658021953,0.42075677787564514,0.2821601045955404,-0.35837071996934555,0.08696583468032812,0.7063746878938044
