,Cuneus_L,Angular_L,Cingulate_Post_L,Occipital_Sup_R,Thal_IL_L,Pallidum_R,SN_pr_R,Cerebellum_8_R,Cerebellum_Crus1_R,Temporal_Mid_R,Hippocampus_R,ACC_pre_L,Thal_PuL_L,Hippocampus_L,Frontal_Inf_Tri_R,Thal_LGN_R,Lingual_L,Olfactory_L,Thal_MDl_R,Cerebellum_10_L,Vermis_8,ACC_sup_L,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Rectus_R,Cerebellum_Crus2_L,N_Acc_R,Vermis_7,VTA_R,Fusiform_L,Thal_VL_L,Red_N_R,Temporal_Inf_R,Occipital_Mid_L,Thal_MGN_L,Frontal_Med_Orb_R,Cerebellum_7b_L,Thal_VA_R,Precentral_L,Thal_Re_L,Heschl_L,Cerebellum_Crus1_L,Frontal_Sup_2_L,Rolandic_Oper_L,Caudate_R,Putamen_R,Frontal_Mid_2_R,Vermis_4_5,Frontal_Inf_Orb_2_R,Paracentral_Lobule_R,Amygdala_L,Pallidum_L,Thal_MDl_L,Occipital_Inf_R,Thal_LP_R,ACC_sub_L,Thal_AV_L,Thal_PuI_R,ACC_sup_R,Thal_VPL_L,Thal_PuA_R,Calcarine_L,Insula_L,Cerebellum_9_R,Thal_IL_R,Cuneus_R,Vermis_6,Putamen_L,Thal_LP_L,Frontal_Inf_Oper_L,ACC_pre_R,Occipital_Inf_L,Parietal_Sup_R,Cerebellum_3_L,Thal_PuL_R,Cerebellum_4_5_R,Temporal_Pole_Sup_L,Frontal_Sup_2_R,Thal_PuI_L,Frontal_Sup_Medial_R,Vermis_9,Thal_PuM_L,Supp_Motor_Area_L,OFClat_R,Postcentral_L,Cerebellum_10_R,Rolandic_Oper_R,SN_pc_R,Lingual_R,Cerebellum_6_R,Supp_Motor_Area_R,Cerebellum_4_5_L,VTA_L,Cingulate_Mid_R,Postcentral_R,Vermis_10,Red_N_L,Cingulate_Post_R,Vermis_1_2,Precentral_R,N_Acc_L,Calcarine_R,Occipital_Sup_L,Parietal_Inf_L,Thal_AV_R,Thal_VPL_R,Thal_PuA_L,Rectus_L,ACC_sub_R,Temporal_Inf_L
Cuneus_L,1.0,0.7408459476571545,0.5580386432888331,0.7528974424736324,-0.13764018778626,-0.43357628364216316,0.0017697294011759684,-0.0760766910856688,0.12972321615770036,0.5412614858461895,-0.2505298541913798,-0.527095686282372,0.23714441095763966,-0.041252205535392314,0.06328793167390272,-0.26993152348178145,0.7481935515773753,-0.4533789628155409,-0.21909485916183705,-0.21817738093212308,-0.2093848172597534,0.45493424123206305,-0.21573720482789663,0.08791388078041794,0.2876878986868564,0.402202204988499,-0.3870553943485254,0.2090219940618271,-0.3640226089913643,0.20049028203245203,-0.212686202790215,-0.3358448795751069,0.002838317252072907,0.7992169398477582,-0.006864171796231935,-0.4584443404886862,0.607664587784271,-0.25668652918776275,0.49107743935611176,-0.27894341976044823,-0.31924235911359117,-0.1359727386391271,0.28376470451683145,0.2386963891068894,0.09469668564154371,0.13452125380966962,0.5240813568964838,0.12028622293977269,-0.47262531436482436,0.5912560694378105,-0.289063395329834,-0.28815204616273243,-0.09051197765743776,0.7222824090386898,0.22717814568146907,-0.5225913355002856,-0.011114303719417707,0.6908108381266309,0.08227463602540186,-0.2918430710737248,0.28556946280774986,0.9077815099845374,-0.058896211993294194,0.4977989482609406,-0.427677359251823,0.7105901925894489,0.05983479398140896,0.14847225500727973,0.048354099019282906,0.5497780234093396,0.004119005180973215,0.4069623975589929,0.4983385086961053,0.22772991583188715,0.3571932853048127,0.25228780560346104,-0.32320209930700644,0.46183550404578955,0.5370654155338984,0.28064892924787377,0.5671289621490327,-0.06608503019542573,0.4212052490423178,-0.2697118076973022,0.6646671848347081,-0.4662987294780967,0.563517172558371,0.028126664827258892,0.7838804355072216,-0.10108824403091694,0.5914931360777853,0.40692120621263217,-0.46281435575919183,0.5470852325677208,0.6125518549419514,0.42158415971176827,-0.3352075264762485,0.16987290629969024,-0.16541539058412297,0.5798615676602645,-0.03077833849255947,0.8992790898133448,0.7677774027747929,0.7357018952317925,-0.47813728844316017,-0.10539121335977829,0.06553670771594602,-0.05008387561528128,-0.5234832411872716,-0.22655708276577838
Angular_L,0.7408459476571545,1.0,0.39730635471616976,0.9207424181973658,-0.28910012214756486,-0.6769982969669408,-0.13243118392473308,-0.4473910607076501,-0.23054786078997383,0.33350960155249937,-0.5096935279957643,-0.708650472329225,0.08450320118940599,-0.33149091236104605,-0.12651531045933698,-0.46779040904021435,0.36661071764409153,-0.7000364367380081,-0.3519601755118374,-0.25655000759163027,-0.4845914138075038,0.6384691290409382,-0.4843646620165785,-0.24033657258004265,0.37268878232584757,0.449443716596662,-0.640311391328277,0.25978802333567175,-0.4531981793775705,-0.17208102149022894,-0.4703114130879255,-0.4991878301469038,-0.33893884089768694,0.943472236288858,-0.040565782840330515,-0.6193555784093965,0.67831361361099,-0.4523627997561569,0.4826666191072809,-0.5371612900193473,-0.6424703560800413,-0.4649587869547318,0.20508413407921813,-0.1302626948108858,-0.1524385371646318,-0.08138020364186772,0.5829055186253518,-0.3639372164024043,-0.7242119896846319,0.6322142381108814,-0.5561707763755492,-0.5386217498065604,-0.30651073340632373,0.6712278938792183,0.1608714117994591,-0.742736545740567,-0.14662288032994125,0.6328797274007909,0.07303224520110718,-0.49567907282218987,0.2698360002641296,0.6884142842600767,-0.3977484405393547,0.23236225350895237,-0.6830011582231782,0.793122676297204,-0.34062144584849574,-0.12107650033932994,-0.07590513022172245,0.2242716997134533,-0.24201327873723213,0.33919641236681164,0.8018302480219153,-0.0434287758770497,0.24518620112494202,-0.2202498144219208,-0.6235209321457077,0.5590224970394823,0.483059190964823,0.14140170711040523,0.3902355340256213,-0.3142618237919507,0.410073087236464,-0.3233644333605672,0.7929314282423932,-0.6250318914294339,0.4103865479866005,-0.058500101231536455,0.4278846332821389,-0.46571147029449916,0.5708793151805411,-0.07085517971192637,-0.5929446278854567,0.3589296472782312,0.6793368897407702,0.2443363603201608,-0.5378254654598046,-0.06750581685549026,-0.5289428504792666,0.6325273548964335,-0.046831989517087336,0.7515321918147202,0.8828214724966869,0.9263359454869955,-0.6815094023672856,-0.30155527759294326,-0.057940942472738524,-0.057902185964250244,-0.7327116418454009,-0.5803191291498283
Cingulate_Post_L,0.5580386432888331,0.39730635471616976,1.0,0.3440046899244394,0.3625876431711223,0.22855487729985904,0.33141496666828624,0.15808406017852722,0.2118043216687482,0.6213210323062471,0.2921008903474771,-0.06152697449510059,0.5763338885569106,0.49326649549161133,0.4738341569075568,0.3385097879489696,0.5106050926033643,0.07331077702240366,0.3466302813616677,0.2866753781152038,0.20863992321663774,0.40598778597162966,0.06867189587248325,0.05551124519532517,0.256628101340354,-0.12317027571235793,0.026216771405549084,0.19486865782049365,0.19013061340433568,0.4697209206905284,0.39677484706144256,0.2736304515634941,0.32557200697940203,0.31343623338970916,0.043259147883278184,-0.12811821862978817,0.11309048288883854,0.38371436449068236,0.1654898327212097,0.023608583313415085,0.1640332689453349,0.1574757014773402,0.33628171416266506,0.5220404330329041,0.5591884572331772,0.661572836877984,0.5425976812656239,0.5111039097056794,0.005784782081934005,0.1357188258146845,0.17031572942905435,0.383789859778141,0.4664096297394849,0.15489357005832072,0.589029481631264,-0.028843136741835265,0.41419863123083317,0.647932877002409,0.478936155024112,0.3612928419302779,0.6734682793069727,0.5503821757127096,0.39517720468445655,0.21225683951005334,0.10534671055655559,0.39076338699690105,0.31712803976283527,0.6274649297731244,0.23896957160557203,0.6963965749038118,0.34048702294125555,-0.012224396252056006,0.05630293936132456,0.4838620040957904,0.5303317252453545,0.5022710881866556,-0.021359460268646532,0.3036471674773428,0.49152047670847543,0.5540594295798752,0.13091614215515865,0.4277674505701986,0.27944121838743435,0.0959761917766867,0.39149043899884406,0.13726980282938805,0.6238925385895765,0.1715937098221832,0.4956892118086477,0.26345653628698806,0.34798634890260577,0.528342840699,-0.023043713452424255,0.8108717559808335,0.2145091643583772,0.40397908081597256,0.22722778376676678,0.7475352144728341,0.15832946280142812,0.1955440791066972,0.2191604397873037,0.5495659530373551,0.2473788391797981,0.3860525684420923,-0.0036544128501536494,0.5055679188736377,0.5983751053228651,0.21990709302331912,-0.07834873979654203,0.21902095763165338
Occipital_Sup_R,0.7528974424736324,0.9207424181973658,0.3440046899244394,1.0,-0.14147842739448435,-0.6890236684272453,-0.06754328751216189,-0.3544479457821234,-0.036130249123190454,0.44757825003278895,-0.5945661077696245,-0.7757624223986846,-0.03221596809606623,-0.34356733706564396,-0.07224939640000147,-0.5416708486489239,0.4292926577385753,-0.7072214491574661,-0.3208632409769133,-0.22489016695981112,-0.36831665807930847,0.7066279194913941,-0.4754020736615081,-0.3567271444012693,0.5281399237787759,0.38775601588905195,-0.7407643706415329,0.41820317520655326,-0.3584304093967038,-0.24401401048353835,-0.4866668584323615,-0.44617602116953037,-0.19369295550373375,0.940097703522922,0.00658777200152221,-0.710032787243688,0.6545446508482061,-0.48761854328917825,0.5448764798361274,-0.5883732087898768,-0.7211110103674006,-0.40583633851483497,0.24405458226623108,-0.2475557483544756,-0.2941046587577507,-0.03920016577600025,0.678222398821424,-0.37856777070215675,-0.7628937705823515,0.7073575308913651,-0.46463707905468316,-0.5433345793020654,-0.2930005747866163,0.6782663856817368,0.050015266735669944,-0.7781591031469132,-0.00852563188989919,0.5246190639646953,0.01915195457242586,-0.5624176516039471,0.21685178793551732,0.7403857459472759,-0.48685354488010635,0.30557285476370216,-0.7470585598932792,0.9048959275761536,-0.27441009702097174,-0.18786195135464134,-0.2265782029270049,0.22550508881432021,-0.2445062891258767,0.2348322218515707,0.858185991545002,-0.06612472332271246,0.09446978911372157,-0.14877280978201915,-0.6475606935922441,0.647152279094034,0.5407014754621381,0.21267834165359092,0.3939692501870277,-0.4357521750355833,0.568408771734957,-0.1757417529729274,0.8016757495533426,-0.550093744705694,0.41528381498822686,-0.10414649084430792,0.4006577283316012,-0.4027167015665987,0.723768807816391,-0.041613958756979263,-0.709051467728036,0.43334523133206837,0.762562614922289,0.14146082043544997,-0.47769665543910805,-0.11604180505680645,-0.5272733020826081,0.7509362168294332,-0.019103127302563853,0.7956073778407295,0.9284573929240437,0.9083795381875163,-0.8016635093414588,-0.2792102325024547,-0.1172773251367002,0.09275481058448949,-0.8036531420537983,-0.5176236696809183
Thal_IL_L,-0.13764018778626,-0.28910012214756486,0.3625876431711223,-0.14147842739448435,1.0,0.5091750185877624,0.627536278226024,0.3177387524226781,0.4512256338112837,0.36242467889157387,0.39750368707232664,0.35956831341220824,0.3182962678178623,0.6947413696752248,0.7063922753407351,0.5373870765479889,0.08732313414035614,0.5539292871207078,0.823187282298506,0.5076384778349847,0.621115213681743,0.26731493901861764,0.5102793870295771,-0.18736168761779207,0.3735794334266756,-0.5838241786401358,0.15104404451728928,0.45125962190727875,0.628741580148134,0.2000305272097333,0.7299606763085439,0.6448369322775297,0.6126137099218468,-0.273096466111967,0.12272908826585352,0.0777978646698333,-0.3695765130286563,0.48923264248169046,0.014615620968738738,0.07426088371874406,0.3004252207923227,0.2966457356622409,0.1607673213217842,0.09338778788589103,0.29172796220706954,0.7340832789184493,0.2677077321961596,0.46269616011656317,0.3558333484025204,-0.1732441873747748,0.7585184205999873,0.6203425307702337,0.5284904028993723,-0.4942204851844768,0.45904497633055963,0.38017583407942457,0.9031853688516972,0.11988543703668132,0.18897561214389924,0.6302604233321674,0.5089439232504719,0.011392987315031468,0.2622582127435906,-0.09082484971268139,0.24619766853495553,0.16226176439722467,0.4333090449999691,0.32932753389528846,0.06131732003812953,0.390439987779427,0.5495082358026674,-0.48878966347632674,-0.16355644548046852,0.27731246417229855,0.0847618676205394,0.523418124478343,0.3906826253442597,0.02565451255960549,0.34238061131656905,0.4656116636300234,-0.44314393650746736,0.3309330888593123,0.25459549625855366,0.7440688102434443,-0.018311534927345517,0.7144494126162957,0.11928970619293455,0.19620137449119932,-0.15476795959131912,0.43571847097364685,0.12227085967957747,0.27129184309769916,-0.05079057700344271,0.5264795648065745,-0.08790320279305977,-0.2551331390962243,0.5720761489811372,0.383157472783652,0.23212895340113868,-0.05182575748153898,0.24863592947389174,-0.022148168919396555,-0.3006514639563204,-0.24189945517339043,0.12666338334542124,0.8543298178055646,0.6410488267047397,0.7482257210669885,0.21741642243312706,0.6032316931837706
Pallidum_R,-0.43357628364216316,-0.6769982969669408,0.22855487729985904,-0.6890236684272453,0.5091750185877624,1.0,0.2889331233477747,0.6225362741829691,0.3508158858955313,0.1029091578162361,0.8782135637716952,0.7562439948294609,0.4895672139886914,0.7621640304063834,0.4932185074969436,0.8383086247685082,-0.16957717445798906,0.8825004845258347,0.6906034480733201,0.5739136293916478,0.6389024412584946,-0.46957850441788207,0.6089047843733153,0.28884735599245176,-0.3635223933823305,-0.6187073749105907,0.7886782903071908,-0.2099299556713842,0.6219018268026224,0.558338341997265,0.8496411768469265,0.7159025083300076,0.6089764847376412,-0.7535746815676635,0.10777725361875466,0.6956565325198799,-0.6655967927029912,0.9011457871115852,-0.5941505626410346,0.6071630512013324,0.8854080246449606,0.6216879816217793,-0.17776065818325307,0.47331604290285845,0.6943309380521007,0.6061984760188112,-0.2477403717640942,0.7095896020238274,0.8262581769603988,-0.7075666237645889,0.728754594116489,0.8961982324258743,0.7404617129365302,-0.5817159499777402,0.35705253572528756,0.837501415716957,0.4169570523050751,-0.1125523113286916,0.22560150711127605,0.8684227079842558,0.2934997719893076,-0.4267965026666474,0.8113074660544711,-0.18813270690859699,0.9069200318271569,-0.5963090198834018,0.5635595848699727,0.6344976407656473,0.34985048770209104,0.1773974814067428,0.58527540169261,-0.34395123179071146,-0.8021300121603048,0.36505921736078356,0.16864926722246334,0.4858982451619278,0.6930745825760363,-0.5111696995229844,-0.16946523057346177,0.09282441752860336,-0.3455699418086495,0.7909166878692183,-0.44771580728712884,0.3241920329964242,-0.6359454101941162,0.8356532952862299,-0.09442009152451582,0.14417853177732923,-0.15776920409843317,0.7307117542917291,-0.5231605152762654,0.32289684199071883,0.6703915401028392,0.18527479448355938,-0.6946004416959429,0.10864337382185706,0.6835968263636398,0.6606147363353657,0.648906990397423,-0.6925269344888239,0.2463961501744359,-0.45866336764023663,-0.7768167290544167,-0.6940903994957904,0.829555872039147,0.7169372210564984,0.5688192024720471,0.16233951232217955,0.8225978598184336,0.7709325404477251
SN_pr_R,0.0017697294011759684,-0.13243118392473308,0.33141496666828624,-0.06754328751216189,0.627536278226024,0.2889331233477747,1.0,0.20827657847630404,0.23895745879550426,0.253527827782738,0.29964842053421625,0.14704756734471397,0.22718475477117958,0.5025339101283095,0.4291415699682426,0.33053412601334864,0.16514685929308795,0.31609250924179316,0.4471371594272849,0.5586335946260617,0.41068073008312916,0.24642091381841164,0.22586484604625565,-0.16631629838918538,0.22619663898825476,-0.2808999308497352,0.10097055388748943,0.2921169568699772,0.49203723232268626,0.2543934188855262,0.41595690659233703,0.4705607876470568,0.3992678870762111,-0.1705570723220077,0.0997758496512759,-0.08415742702009023,-0.03114345042831979,0.2822511848916711,0.014096337493317153,0.008580454583918021,0.13988139262835111,0.15600539983155212,0.18780558218314455,0.11010435239432041,0.1541002764231515,0.596058184995526,0.3202891213523705,0.3944363121532862,0.25092538020312716,-0.007013264829712469,0.39820588418423825,0.442388685438417,0.3464666557069464,-0.30205227320232236,0.32861880702094126,0.13620206084684316,0.512536732270528,0.13023774915697833,0.23758420033870223,0.3743395038801462,0.24796632654968964,0.07719643139763657,0.09393794088516512,0.017491845239257696,0.07361141615779047,0.09783742802895164,0.25358599803695203,0.27527725924272667,0.20983311407050192,0.3091393957742309,0.28072211185270163,-0.3981311325959882,-0.0511491829315606,0.3940152302465832,0.1908207912435275,0.4507725138046715,0.11959704661684636,0.12919641146111266,0.31986474906855517,0.33027880413409527,-0.267310448081299,0.21612239246625337,0.20620159595492693,0.4799198622478629,0.03585780076925244,0.5022011605279897,0.16731341715249182,0.6387108445111078,0.004288471113811963,0.3187566141799972,0.18440011991511426,0.36992117693693627,0.11519590783790412,0.3961530877700067,-0.005574857192343437,0.10330367613565294,0.45138210872308765,0.37734725775813077,0.3476970600843826,0.05463617977353246,0.08030120162495424,0.038370191204086024,-0.1237834961625409,-0.09194173139892638,0.06813037058021235,0.5344931131081024,0.3369031701605691,0.4416542332399689,-0.007694462364490002,0.3392930573440126
Cerebellum_8_R,-0.0760766910856688,-0.4473910607076501,0.15808406017852722,-0.3544479457821234,0.3177387524226781,0.6225362741829691,0.20827657847630404,1.0,0.855043878211536,0.5385040244589018,0.6807063120783432,0.19291662638505094,0.43426011844819146,0.6012787653437529,0.18996096668537737,0.34830920021856854,0.2538842429591667,0.5280566358055598,0.3450946361094986,0.3763939334444606,0.7992721704034289,-0.3644521735652115,0.34092140038069335,0.27813684233594926,-0.14490850453720863,-0.4194237169274396,0.4650455318242923,0.21664991243048884,0.3765607286342088,0.6488374282638335,0.534204356493458,0.34184315420743083,0.8315718253551163,-0.3904069308140738,0.2998565410638743,0.266674991341341,-0.3109759045350733,0.5741673819794693,-0.6074887418770101,0.5424195686419478,0.6454536281782667,0.9181606707135161,-0.313291241239244,0.2683700982110026,0.44537504560021746,0.4693181849913604,-0.15429134434242614,0.6299287687169131,0.3373535943506127,-0.5779750118475332,0.596414521201187,0.6401619361506815,0.6492124923682238,-0.09101508315840544,0.19027085452693338,0.37024725308823403,0.2893651909006887,0.07636846760059068,-0.02366025721445006,0.4805998371168273,0.01793314128722238,-0.052485276113979434,0.5678332811403852,0.47208141635385487,0.6247437483474632,-0.24993706709981933,0.8854135833239007,0.5055772624635068,0.31942869554509223,0.11609931604538029,0.31926476800171943,0.09557213184798666,-0.6768023649830913,0.5248193484308805,0.1768549812450943,0.5918076934958479,0.40591335723627764,-0.4530989393554498,0.1485465029076272,0.01940437555508179,0.31379739860690675,0.5997974573493686,-0.3268699929039931,-0.03800926498387163,-0.6164211169395963,0.6157522883635754,-0.11641553698586006,0.09616079803144092,0.19207542752847068,0.9377602108541057,-0.29200140222850435,0.47390748599127214,0.3419876536312612,0.22950268785169367,-0.6240963031014956,0.38559025402566643,0.3806595995721752,0.5925310610867711,0.7529180946170095,-0.5420447434182366,0.13320335897870098,-0.021684254985428884,-0.4694102681837586,-0.5500389463895555,0.5059053354890223,0.4132166235102096,0.23085325461753056,0.028935302870335817,0.34972805176012994,0.8284685600755359
Cerebellum_Crus1_R,0.12972321615770036,-0.23054786078997383,0.2118043216687482,-0.036130249123190454,0.4512256338112837,0.3508158858955313,0.23895745879550426,0.855043878211536,1.0,0.7246783301629605,0.40323547869826737,-0.07398743867265917,0.3453778951947997,0.508202353720709,0.17897491842366645,0.12594869173190684,0.44863889735038764,0.31115425041941835,0.30567342318394997,0.19422536715932356,0.790817863530127,-0.03835300660369712,0.223836631986121,0.055893640753221494,0.21237742701653728,-0.3778673265060541,0.1285400158924217,0.5512556577119745,0.3083219252094579,0.4568688405877511,0.4117689228197899,0.20305274748045857,0.8643266991227851,-0.10476199088668789,0.2484535797083473,-0.06808215138387326,-0.19302076623037873,0.3388498045577071,-0.32720491629763093,0.30239629709739774,0.3554825863760683,0.8176503604689462,-0.20058823404556358,0.10557152231788637,0.25040022591164307,0.4565296671550457,0.047961070322067555,0.501850210591202,0.04366100205503094,-0.32720506577478736,0.5670943265954841,0.4503178347413804,0.5212602582551822,0.038643642078017106,0.20960947876766578,0.09373946043020505,0.44987517014949985,0.2044290849008092,-0.08141653792818397,0.29615669166668074,0.061908135928351045,0.19895182341755704,0.30123646261746434,0.575006755810318,0.3033832220657347,0.12731997963519612,0.8704077325923858,0.33167117283049946,0.19862076640623827,0.1960093838233562,0.22838956244838687,0.100654812150803,-0.3751404707483774,0.45550794380741333,0.184298626305898,0.5921911889948188,0.20354629814370892,-0.21227163579426545,0.4500110017983385,0.14025885510336278,0.3715410887511943,0.37205077364194533,-0.02089829892544533,0.05521773056915244,-0.33176869556618144,0.47949465262394586,0.007483282284270771,-0.03006973455616592,0.22939575760474484,0.8023221444668307,0.025859394110495076,0.4432937708098486,-0.0074070464797859285,0.40086592467625337,-0.3282810567198436,0.20215347696809668,0.23683788310818002,0.4714485883641913,0.5495647768306703,-0.22686401318015803,0.11563003733983374,0.23958503164282077,-0.19650928140180168,-0.3070875637598733,0.14481422522187534,0.40499493766852185,0.20355612538889928,0.2422975824612529,0.023168732691051547,0.7508888987860616
Temporal_Mid_R,0.5412614858461895,0.33350960155249937,0.6213210323062471,0.44757825003278895,0.36242467889157387,0.1029091578162361,0.253527827782738,0.5385040244589018,0.7246783301629605,1.0,0.26132787231393934,-0.3316656875071524,0.4946734661865311,0.500053292448054,0.28630936153782016,0.0033726024520009143,0.6804761828947453,0.041553779064907634,0.24896527948169908,0.18546036291343995,0.4884065787105298,0.30323075600354904,0.10533351064550249,-0.04917195180477288,0.4590415947097254,-0.19645291928365302,-0.11306712420654487,0.6286263496378056,0.2331065544159647,0.4753532500487047,0.2926089281091161,0.06209048100866419,0.719482399186049,0.39764866213570094,0.30284727606448997,-0.3078110243001058,0.15151052676111765,0.1757470235969033,-0.057072585037471014,0.08323576080261993,0.09601839421141212,0.47402729919969916,-0.06876517062672285,0.1334288161398872,0.3064453326119106,0.5480720964839443,0.43261641069856915,0.41202960558592494,-0.2113238834406798,0.012946646543512477,0.3650703566672022,0.28250540871107144,0.38938554913756024,0.3437486245056915,0.45624921270332613,-0.18221303977086123,0.4668984155787725,0.6138944007838975,0.023258059003660184,0.17205760076386556,0.33149130132062643,0.624499135018359,0.2142927750157498,0.5718965068501178,-0.013103769139719243,0.5568137592128399,0.6409352587075077,0.3990640218220264,0.2602571764494313,0.4138623241322171,0.2540675700003616,0.18137470775562564,0.07769078539419466,0.5849418266892797,0.4542916104752439,0.5872885607465176,-0.026364583986802848,0.10591258233514095,0.7795718337543244,0.2800787068339952,0.4584012236934362,0.3080663178109395,0.18205524872479972,0.022446970031894237,0.14992931067188764,0.22025772246803516,0.3098551719110019,-0.008200357495029958,0.5351675820210051,0.5538201418879155,0.31985000834097804,0.5173322302275556,-0.28186142130532954,0.6920054818093634,0.07883349110481161,0.391760419656899,0.05485001885872932,0.5854778296419669,0.31581830977831915,0.12132081543447705,0.09162400882147069,0.6822667329521287,0.3026750338268197,0.21232766791663912,-0.13888456060251367,0.3986623307275263,0.29527182632248516,0.35894370897943606,-0.26685038399597133,0.4511224171188598
