,ACC_pre_R,Occipital_Inf_R,Frontal_Med_Orb_L,Parietal_Sup_L,Postcentral_R,Postcentral_L,Red_N_R,SN_pr_R,Thal_PuL_R,Lingual_R,Thal_MDm_L,OFClat_R,OFCpost_L,VTA_L,Cingulate_Mid_L,SN_pc_L,Thal_VA_L,Thal_PuI_R,Cerebellum_9_R,Thal_AV_L,Frontal_Inf_Tri_L,Precentral_L,Calcarine_R,Cerebellum_6_L,SupraMarginal_L
ACC_pre_R,1.0,-0.22028329127262203,0.8479580491179487,0.8156024624211005,-0.6550410805260031,0.746304570451725,0.38113154913977537,0.6473631366119559,-0.22820247865495685,-0.6065528987254959,0.5765440302422232,-0.8605556774243274,0.9284343171860503,-0.8553813624508069,0.7038148454024352,0.4164255558539466,0.6015479009076827,0.520733090087773,0.0667590093505221,0.7654383547624217,0.7652817312486412,0.48071494718603336,-0.3971588984899999,-0.7947429992706426,0.8107703831816099
Occipital_Inf_R,-0.22028329127262203,1.0,-0.10239238867337747,-0.30245348188860033,0.0556672606493149,-0.262747602944781,-0.33176836199308457,-0.3555931770164655,0.034047589005266526,0.4839780824806447,0.01616623660058488,0.2877747719288954,-0.3702423023720152,0.18191138935430123,-0.388749030430764,-0.08190282111762226,-0.4814126046005111,-0.26985439532535377,-0.13694144711233017,-0.13697418101126932,-0.42427529220329585,-0.20072443898204834,0.5262516692429925,0.4718289955985796,-0.23635434245632447
Frontal_Med_Orb_L,0.8479580491179487,-0.10239238867337747,1.0,0.5982862447828406,-0.6160035884676862,0.5102895615365767,0.25317221324192374,0.6151429721396346,-0.2775147580452979,-0.5082882960190758,0.403421951870969,-0.7169078086835865,0.7483668408310787,-0.793530377663742,0.512919581712504,0.283069669905758,0.49732701021514236,0.413768420815285,0.00883640085396619,0.7507097154840491,0.5844660223619892,0.2395348347579284,-0.35317665697481687,-0.6387988587529634,0.5883590085197767
Parietal_Sup_L,0.8156024624211005,-0.30245348188860033,0.5982862447828406,1.0,-0.3343031411943723,0.9151084110300964,0.19827501145491155,0.4668802772602512,0.17550337571870497,-0.7031267355321947,0.5191718498423633,-0.7770660702623455,0.8943927444002553,-0.6370841306691712,0.8140277452157858,0.5249854523235715,0.6166198885528412,0.43961499547815563,-0.007285764674335943,0.4745804105304935,0.6573494052653457,0.7683476276962101,-0.3600111314080404,-0.8762025257728585,0.9372882080856062
Postcentral_R,-0.6550410805260031,0.0556672606493149,-0.6160035884676862,-0.3343031411943723,1.0,-0.3416684388752815,-0.10981876718639473,-0.3199494333998792,0.5571969532201773,0.37716117010040723,-0.053570316125570665,0.6182956729947597,-0.4781120135856944,0.7266603290492182,-0.12604744738445434,0.004093572980389718,-0.21548094890325453,-0.07692153428435093,0.12211243514092365,-0.5747335536689199,-0.48136754369012047,-0.14012277627361477,0.4332828405285959,0.42975535036894763,-0.4473397073170549
Postcentral_L,0.746304570451725,-0.262747602944781,0.5102895615365767,0.9151084110300964,-0.3416684388752815,1.0,0.2840728482640443,0.5346785864893072,0.11785311609092124,-0.537946896043643,0.4877095391686011,-0.7435186389654281,0.7780837175463252,-0.5614226679466501,0.8055543568362709,0.6538902657885826,0.6076993892618716,0.4827180866334393,0.12218330358232526,0.33909940597533467,0.7329171827803407,0.9256317684499531,-0.2314915155403826,-0.7259679830120171,0.9808290970377479
Red_N_R,0.38113154913977537,-0.33176836199308457,0.25317221324192374,0.19827501145491155,-0.10981876718639473,0.2840728482640443,1.0,0.5849642303309442,-0.3253851969868184,-0.05142806932518592,0.30185842447394196,-0.2861360689062529,0.4064565591996067,-0.2676885714825689,0.4990713454269019,0.4309487151783205,0.5575109436304271,0.457026041958986,0.49630853723660084,0.3978273618767654,0.5167824282696744,0.20270332628331506,-0.026447033194624346,-0.21947463500210426,0.22507617460202872
SN_pr_R,0.6473631366119559,-0.3555931770164655,0.6151429721396346,0.4668802772602512,-0.3199494333998792,0.5346785864893072,0.5849642303309442,1.0,-0.21444603459730865,-0.38449888028503415,0.39640771692771254,-0.5756862184800362,0.6182445250483305,-0.5407960199375588,0.6133765308802107,0.46824145874390916,0.6598754544277667,0.6868980203862877,0.43244480368026733,0.4635147815459071,0.6840634508646177,0.36484671651524236,-0.281709023932698,-0.5117551750165052,0.5056931189028505
Thal_PuL_R,-0.22820247865495685,0.034047589005266526,-0.2775147580452979,0.17550337571870497,0.5571969532201773,0.11785311609092124,-0.3253851969868184,-0.21444603459730865,1.0,-0.07958163757800969,0.20904845438325684,0.15808043085492213,-0.09367933897749187,0.2950556652752645,0.055209566788433556,0.17234551772564277,-0.05266845671007016,0.17633261674786865,0.05761089770220175,-0.48218088159739736,-0.17475281341207397,0.26590780924401036,0.07664717915017202,-0.024601080052489642,0.07598752295790595
Lingual_R,-0.6065528987254959,0.4839780824806447,-0.5082882960190758,-0.7031267355321947,0.37716117010040723,-0.537946896043643,-0.05142806932518592,-0.38449888028503415,-0.07958163757800969,1.0,-0.22397518881530318,0.6399141036966525,-0.7071772351504092,0.5865144356839379,-0.4576038963337897,-0.2794568768916923,-0.4355239313404781,-0.2871090002124764,0.17605621677665065,-0.36711767600136347,-0.5013824575151163,-0.3617055438824825,0.8641772013792646,0.915329848022581,-0.5798737140830654
