,Frontal_Inf_Tri_R,Rolandic_Oper_L,Thal_MDl_L,Amygdala_L,Precentral_R,Thal_VA_R,Thal_AV_R,Cerebellum_7b_L,ACC_sup_R,Fusiform_L,Thal_LGN_R,LC_R,Frontal_Mid_2_R,Occipital_Mid_L,Frontal_Inf_Oper_L,Occipital_Inf_R,Putamen_R,Vermis_1_2,Hippocampus_R,Vermis_9,Insula_R,Thal_MGN_L,Caudate_R,Cerebellum_Crus1_L,Thal_PuL_L,N_Acc_R,SN_pr_L,Cerebellum_7b_R,Lingual_R,VTA_L,VTA_R,Angular_R,Vermis_10,Cerebellum_4_5_L,Supp_Motor_Area_L,Temporal_Pole_Sup_L,Hippocampus_L,Angular_L,Thal_PuI_L,Precentral_L,Cingulate_Post_L,OFCpost_R,ACC_pre_L,Thal_PuL_R,Thal_AV_L,Olfactory_R,Raphe_D,Cerebellum_9_L,Frontal_Sup_Medial_R,Thal_IL_R,Cerebellum_Crus2_R,Vermis_7,Calcarine_L,Thal_VPL_L,ParaHippocampal_L,SupraMarginal_L,Thal_PuA_L,Thal_LP_L,SupraMarginal_R,Temporal_Inf_R
Frontal_Inf_Tri_R,1.0,-0.31926048869637885,0.2162287089461195,-0.08952241383793046,0.5586914790839886,0.23403030070556902,0.2228016528578023,-0.12386475558801884,0.7140926203864351,0.007864200991054247,0.386926039736536,-0.006758792208142905,0.27140178012477706,-0.137787581420869,-0.0826770994591899,0.5942574608418855,0.4479491179774757,0.45460084975055076,0.6605848707071307,0.2612563395632414,0.9117873821943956,0.5626954764161065,0.5094377563599826,-0.7274143710372104,0.0020519921921296636,-0.13253182833909732,-0.08361579025712246,-0.00045710357972820884,0.5496000315680176,0.30844030169865055,-0.0754930117173327,0.3049026969808565,0.1389868236506393,0.37805657193510545,0.45123713316483405,-0.24214819438599713,0.3722714065696653,0.10092296192025008,0.24724485959976705,0.6775536590316319,0.28290359249268665,0.6859767417875494,-0.4099264257815045,0.22222042993370084,-0.049663571951934424,0.22323655405294268,0.39682180538117057,0.2595292385386259,0.07990190584315555,0.6521850777172621,0.3308482702177357,0.05119650546540829,0.48296638100356254,0.25908075641162215,0.1600799281901436,0.12621251583145665,0.0755170368560967,0.04942972865476206,0.5216341021523963,0.8230694365071477
Rolandic_Oper_L,-0.31926048869637885,1.0,0.1619831823918294,0.2775714937809687,0.2769989952847236,0.1873588670418884,0.17478893191652253,0.3054198541947482,-0.0015486073698308676,0.3249872766551727,0.13559974840698194,0.21038963551692771,0.5396798817275589,0.13268122437965596,0.7681954175039384,-0.39619161394379154,0.31570966425112995,0.03759043851058208,0.13678445895407237,-0.06575696901161004,-0.29031478720891785,-0.1162453793637637,0.3004766224487013,0.6059981156529748,0.04686887482071527,0.3160162959193429,0.6147225069569721,0.158562078685082,0.08526933407506462,0.2422379969117174,0.40595013521669454,-0.09406376716765129,-0.10665721800428872,0.18970877017499285,0.27072700615299916,0.09950108136193714,0.40238181568892273,0.032495665268230986,-0.08149543757868669,0.1417451794149529,0.008469867690127707,-0.2965788850860858,0.6539774218266318,0.11821400790778329,0.12005648456633455,0.08700861314597307,0.25928350380542337,0.058915882052453766,0.7069163009962113,0.06250166586054892,-0.1261061022071863,0.28106641178213637,0.08042329870599667,0.16251302158109135,0.5942042036677447,0.274183441419167,-0.00705460712139727,0.25802471833421436,-0.08209401559610445,-0.35535004029909345
Thal_MDl_L,0.2162287089461195,0.1619831823918294,1.0,0.5400650984599757,0.5019842390376578,0.2900707807177602,0.3759508849466461,0.46269433503563595,0.5286469093323964,0.6164743833262902,0.425113253372474,0.17936989324520372,0.335801731636501,0.14091721756725,0.3580349419095273,-0.0829985915480079,0.4658214325909505,0.6837492350509667,0.4885756137523913,-0.3233919421689782,0.0831520539847031,0.4226028176297618,0.4618304030815264,0.059961646287950976,0.23675484315053452,-0.10921983467104232,0.4217102151134223,-0.11634302914094873,0.20594750224408742,0.24554317200106496,0.1177508930050402,0.16299077513040938,-0.15428884792120942,0.6085178268282971,0.438644574802019,0.03236105507201515,0.6842906367504852,0.325467600738216,0.5347617088986776,0.47980810925629924,0.4645904994198169,-0.0787739567724461,-0.05022498986971045,0.3459800897783944,-0.25277074394305643,0.14466627316587136,0.46949382789444544,-0.009534120475584941,0.19001939365035606,0.1826620731655341,0.023381296506222303,0.03666430520555724,0.41447704370148786,0.5523451633949112,0.3459989425131533,0.42485683154229786,0.6829814926723297,0.09473628507239126,0.14928964242579554,-0.11712797016917333
Amygdala_L,-0.08952241383793046,0.2775714937809687,0.5400650984599757,1.0,0.27370656377024083,0.26655845716405363,0.5160559357622395,0.6155445165032666,0.27320046649490215,0.3351292947750805,0.19944775438023604,0.11414156485300374,0.29020454943402035,-0.11509717594857628,0.4804964441185867,-0.4185285680195506,0.4844416741325495,0.37803394104839255,0.38119706319871677,-0.4885649335601245,-0.20576397135548902,0.21117056687335337,0.3722369071618126,0.18027905017331822,-0.20698549845342873,-0.08044033589851135,0.3243885285255393,-0.38861435160459873,-0.10000802007056883,0.31186143958518825,0.07117991798331302,-0.24577344664907627,-0.47154537030674015,0.23201629709898194,0.1446944357640028,0.20039325698690966,0.5265557732338618,-0.0023288750995719702,0.3149662840600346,0.17278383005986056,0.316199178192286,-0.19722108685572154,0.19839441232226293,0.32512639105441526,-0.261878126409815,0.23226055636317716,0.28076392586259197,-0.24645183969967885,0.28337660145215204,-0.2528492705927129,-0.2984895347286281,0.2585461739340601,-0.022082111674691544,0.2034466930827429,0.4122919588783072,0.13682639657444728,0.2836351083199032,-0.2211667594120819,-0.24278508590940429,-0.326531236520423
Precentral_R,0.5586914790839886,0.2769989952847236,0.5019842390376578,0.27370656377024083,1.0,0.5276341836779175,0.5192071554213276,0.34598571382796156,0.464753828854445,0.5242960372740227,0.47990926262507433,0.361138932146063,0.7879233973084867,-0.032248113603470116,0.5179499743235798,0.13021611578077202,0.6942078473732927,0.6825713573251213,0.8023155168877363,-0.1182691138183335,0.45169249309063847,0.5701645466266232,0.7105498019017802,-0.20715786111029097,0.14984396407353162,0.1932953598600372,0.3236705141127685,0.1672905337444239,0.5102704528495747,0.2027613583719914,0.2018958945316633,0.23350857165984026,-0.1616132231688404,0.7646595607059308,0.8777405288562001,-0.0017976571109159477,0.8290206228790106,0.2997658858397913,0.3450131639189484,0.9264559059182668,0.6085537476513916,0.36181833784176753,-0.052100437566395735,0.24186320113603205,0.19720000823955222,0.40034559823705074,0.6369347888151685,0.13767867353760332,0.626715176801961,0.4985056100270666,0.1525795726438994,0.04668638626000612,0.6322423132729162,0.4263541951730555,0.6994782421986941,0.5456538945503601,0.4283253448617964,0.37072919314998565,0.41578954160591436,0.2809535211560369
Thal_VA_R,0.23403030070556902,0.1873588670418884,0.2900707807177602,0.26655845716405363,0.5276341836779175,1.0,0.4949747528367039,0.4714553486417609,0.1678915399218007,0.06683631566268089,0.08558771998570175,-0.04323180639051236,0.6082838148250617,-0.38368614078481467,0.2792807444585847,-0.3894373068307077,0.4775061736166564,0.21344901652694775,0.4644154808471836,-0.4051666274771495,0.019023129870400696,0.35977327708605245,0.5614502309266088,-0.28657823751673306,-0.1680935522445051,0.5237359026966212,0.41197929800660005,0.19475704900512839,-0.15856927178315916,0.05105071335311462,-0.07538127587567425,-0.176312479648062,-0.6104159546324509,0.3063152418464974,0.40383984038710485,-0.3475414309689863,0.4718510889713588,-0.10886685985277429,-0.1349725933126202,0.3621481181217988,0.414538086759436,0.19020800326206927,0.23212045079981486,-0.09273756185852977,0.41134038766465825,0.39251009516981583,0.2912598368732184,-0.28490150306043066,0.3618305195540371,-0.004235623203881071,-0.21585424247699175,0.2383413941359878,0.01550733340414696,-0.11808354817880076,0.5395297760860648,0.12841813278464187,0.07988936261644176,-0.04259191323607243,0.1288088385706768,-0.0007035676312243277
Thal_AV_R,0.2228016528578023,0.17478893191652253,0.3759508849466461,0.5160559357622395,0.5192071554213276,0.4949747528367039,1.0,0.5223193340312595,0.22814340596255495,0.18955659099011463,0.29514000061518414,0.09935686250566325,0.5190729242019606,-0.36482114177301833,0.36611876935140353,-0.2898545239674463,0.6278899445667971,0.3600667422891109,0.6328577625552163,-0.3688960748017588,0.039244236988030444,0.48382258655978116,0.6336129995484956,-0.1884786870811954,-0.42616527246297886,0.07464901365366837,0.19017172326274723,-0.13723267103161998,-0.060046223807729567,0.13328839156989,0.07400941148688223,-0.2615535249729839,-0.5509449388919139,0.3484668999652249,0.3744929830742448,0.151130244464917,0.5593842185372925,-0.11293487669702375,0.21560219893404245,0.4079239153514014,0.4575918942340378,0.13703623156004968,0.17156681934310158,0.2100640927579298,-0.013948210992783473,0.5100091392667714,0.30402279536074917,-0.22697259811500334,0.4242059588835238,0.014751786557895134,-0.3036859933559042,0.09353468940657564,-0.026638837768905202,-0.015036809159900792,0.5884436113324819,0.13284085483006922,0.18225263198226252,-0.006504160278738667,-0.06668841862073349,-0.02177457099454663
Cerebellum_7b_L,-0.12386475558801884,0.3054198541947482,0.46269433503563595,0.6155445165032666,0.34598571382796156,0.4714553486417609,0.5223193340312595,1.0,0.015826949433844575,0.3680567908388734,0.09955314184076101,-0.039898080447072645,0.39413945411152124,-0.12772958969026962,0.4154070101768699,-0.5463772110221132,0.4672496160425358,0.24222296504778323,0.3610297669565253,-0.6918250555590297,-0.2503003095713243,0.16017425922815226,0.407454350524604,0.1065221793630513,-0.16008352721768795,0.302705488357266,0.448782531638468,0.09972941519870446,-0.18465046290143017,0.14281045057241798,0.22740050966022107,-0.2228259928380901,-0.6738075914420285,0.2980924581118054,0.25454973237138656,0.04803534202479551,0.5868463922050894,0.000921005871898258,-0.0015010875873641787,0.20234671104780802,0.4367992080178945,-0.13514174645051785,0.27047911250190854,0.08955179030623353,0.15585691430491053,0.3361824447702191,0.3061919720786677,-0.3070864111269324,0.41165117773582754,-0.19636251801985602,-0.3501762491275751,0.12999847530309314,-0.06419314954813138,0.019137490102658743,0.5980377874725412,0.18148559249865764,0.21846180420433484,0.014427756175441009,-0.16464411948558355,-0.41086421780836063
ACC_sup_R,0.7140926203864351,-0.0015486073698308676,0.5286469093323964,0.27320046649490215,0.464753828854445,0.1678915399218007,0.22814340596255495,0.015826949433844575,1.0,0.1650907346603628,0.4581851211052213,-0.02240472188025765,0.2488185101286328,-0.07389809198844605,0.15327973162976005,0.4033951381439472,0.5608749666233452,0.5643890606749637,0.6434244499109838,0.1881928007911016,0.674200282350523,0.44468769171231104,0.523479028553036,-0.3645565952104798,0.09135546861723406,-0.2411270959858168,0.16639172831870627,-0.1515359016100696,0.512019205007788,0.5050619393100855,-0.02028990811804848,0.22063434977595683,0.12122225224831192,0.3802417083643728,0.31032973497629845,-0.1470868314852709,0.5225470669961183,0.07574546763302292,0.4080361777875579,0.5550540261091116,0.22744764092808276,0.3477059900726384,-0.1890219060902806,0.37855136464943595,-0.33899946819790416,0.11381689345005704,0.4463158374240286,0.28393043493993353,0.15469290268333552,0.5188096078048898,0.26625839496237647,0.18988154145775157,0.47603841718849466,0.4899503886091805,0.2146162070984767,0.14254765824855054,0.17530696431045314,-0.1177053022195409,0.3517836013855204,0.5625523726391652
Fusiform_L,0.007864200991054247,0.3249872766551727,0.6164743833262902,0.3351292947750805,0.5242960372740227,0.06683631566268089,0.18955659099011463,0.3680567908388734,0.1650907346603628,1.0,0.41115748476344705,0.5988975609312182,0.3046728029673588,0.608522363423228,0.4830122105334352,0.04996321377672681,0.2842925287784033,0.6269253454378582,0.3208081956111431,-0.2171355580777811,-0.014913551683987393,0.3330358398532841,0.20419415413197,0.4350440129325523,0.34718991944704886,-0.04557370554956274,0.2661184631548031,0.10257212108041,0.4881877522085878,0.03638201501180574,0.2555030312908229,0.5082004017672695,0.16528080825907354,0.8346434417211032,0.642555278134358,0.26317658772680047,0.6815905715576283,0.6814394555540632,0.5736357028615694,0.5620117523884006,0.5433812678528274,-0.07500962939299106,-0.13756695800333288,0.47241157665814737,-0.08013902901343004,0.07633411202536669,0.42865824793118185,0.005696736222006166,0.3427022954547334,0.3204922380892666,0.2184543495581166,-0.050359050146805785,0.65640055636271,0.6292832471956769,0.4563910041983347,0.6964528628841833,0.7517903600249439,0.538351749121825,0.2704759384773104,-0.2925849885561201
