,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L,Thal_VPL_R,Frontal_Sup_Medial_L,VTA_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_IL_R,Postcentral_R,Cerebellum_9_L,Lingual_L,SN_pr_L,Thal_LP_L,Red_N_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,ACC_pre_R,Olfactory_L,Thal_MGN_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuI_L,Temporal_Mid_L,Thal_VA_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus1_L,Thal_LGN_L,Hippocampus_L,Thal_MDm_L,Thal_MGN_R,Cuneus_R,Thal_PuL_R,OFCmed_R,Vermis_10,ACC_sub_R,ACC_sup_R,Calcarine_L,Occipital_Mid_L,Cerebellum_10_L,ParaHippocampal_R,Thal_PuA_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_3_L,Temporal_Pole_Sup_L,Temporal_Pole_Mid_R,Cingulate_Mid_L,Frontal_Inf_Tri_L,Frontal_Sup_2_R,Caudate_R,Thal_LP_R,Cingulate_Mid_R,Vermis_4_5,VTA_L,Red_N_L,Raphe_M,ACC_pre_L,Thal_VL_R,Cerebellum_Crus2_L,Cerebellum_9_R,Thal_MDm_R,Pallidum_R,Thal_PuM_L,N_Acc_L,Cerebellum_8_R,Rolandic_Oper_L,Precuneus_R,OFCant_L,OFClat_R,Thal_PuM_R,Angular_R,Cerebellum_3_R,OFCpost_L,Frontal_Inf_Tri_R,Cerebellum_4_5_L,Thal_MDl_R
SN_pc_R,1.0,0.13297369736884881,0.41213901214721577,0.43879518452703564,0.14378823415365452,0.46108332184695283,0.0004852247439474202,0.05203975682429032,0.34536974691487904,0.7862759789943172,0.1222152776267944,0.30808198657885205,0.4723995026999103,-0.037099426597967035,0.27093156288767045,0.5894085726145466,0.4836925594395728,0.5296732014648604,0.33070003094952527,0.11880538601398469,0.558658255291354,0.15116584957935406,0.5414530547055307,0.0753645201852097,0.4224564050323072,0.43082880682356994,0.34956574909756527,-0.11025971131675076,0.09501083882736691,0.24189271099128698,0.2358927540964062,0.4529085188751221,0.0021209477256942484,0.3838939126717215,0.15045542634875608,0.305031290130692,-0.024540636005533967,0.24072477854965654,0.188125052074994,0.4270040874217986,0.4469386685278633,0.4563802550747152,0.39683113730466524,0.4338268157995371,0.553898740811275,0.07193352427910217,0.5262653837816461,0.5095196977038656,-0.10303985770769117,0.40920502051334723,0.5655451525015974,0.4522872239465841,0.6431803025450085,-0.16635121758717256,0.29361760662680514,0.1399973636357941,0.2836629426328298,-0.05955222737260776,0.02622777074439317,0.07275040940674173,0.09647169624476248,0.5131936828116427,0.2965560955663529,0.14019187338612624,0.4085203496783118,0.5353991679487542,0.3828554251899835,0.45103717123851395,0.5529855674375014,0.14664023261192646,0.39176562247365737,0.11925996099903936,0.13848326810208694,0.2970157875420028,0.4801352413553822,0.2878884645205928,0.37841800822963234,-0.05592382039097281,0.19521527786515935,-0.17065528020872986,0.48036016752256644,0.1919454007262302,0.27401557957225725,0.10494459882762126,0.5026125924692004,-0.029485065977421985,0.2411685015985096,0.00678978864478435,0.5497050626553994,0.1942525657088026,0.06006431745571944,0.3343143928898379,0.3145462691828267,0.3353908600806358,0.32736956250666116,-0.3172859672414953,0.36986437766843905,0.35355692920427845,0.3669848299176552,0.21145836162534046,0.4308473396428554,0.4801673579874971,0.2707972227399965,0.6365659125987044,0.5000193978689106,0.14983189302837005,0.4335964118344045,0.30193946188205684,0.4390946304847616,0.4608067220193483,0.4683910826981391,0.5319382586641827,0.07020391116550748,0.15479667691987395,0.37339060492911696,0.1857195591778071,0.43646573849746634,0.5391973346140172,-0.05830989889573707,0.4335404363363547,0.13173135119285787,0.16073410252904693,0.49413198738272696,0.4864753496615687,-0.0583105658745774,0.07608647972249823,0.33436418396990786,0.5511027379729173,0.3359838759067912,0.33678367815702853
Thal_MDl_L,0.13297369736884881,1.0,0.20889856912613916,0.5432745937826685,0.16121431142799747,0.34519551794603,0.31393113678351303,0.29419147097732967,0.6094054517174594,-0.04171531981081887,0.5106646424660379,0.8219556815253186,0.2472008351272584,0.1253391918291753,0.2459263823830689,0.2572139724637822,0.39434496849457645,0.3614754468258206,-0.002000509890294302,0.006184486523826757,0.20346057437557744,0.28552161277017996,0.291800289016184,0.05638340410275952,0.31426729831346595,0.5921207426902703,0.47640804565193307,0.2261394541106144,0.38102540983097793,0.5584209359109494,0.3766382269036906,0.3483809991179342,0.49666421399043026,0.5990010345981943,0.18291395547858777,0.41881337196665236,0.36275155833220785,0.26127326440865084,0.3685495739795691,0.38278842003595,0.34522768817976235,0.6103994254229309,0.2821236476922937,0.6810464716844868,0.3994675901016773,0.14575131559958834,0.3025707994041304,0.3297961840105277,0.1352240147487941,0.5149897260959246,0.38496566012455197,0.27533762353209706,0.14665780682848276,0.3005034188713519,0.43718560898835235,0.12987266716933069,0.4848461707114261,0.3331825210684767,-0.0676561909741361,0.49371060929275196,0.19123397499099534,0.07961231052512298,0.28626063547486175,0.11238163464736534,0.08869521361899158,0.42305356957693047,0.44996320772606696,0.02850456815091726,0.07755110649425401,0.39411110752795714,0.4204770607788847,0.18614570190358776,0.6206046689803951,0.27289767222650196,0.3721087150493933,0.32254399672872197,0.49900976693173466,0.09839685269474993,0.44929578318478114,0.07139916030877458,0.2922702935945047,0.7528744111567225,-0.0891801172025895,0.422411333513354,0.31319249218882944,0.10607362575618906,0.3744453411583194,0.09604269862435537,0.29952443707795134,0.2836547032044249,0.2948507613998418,0.3217869281275118,0.4000415276456585,0.5986864721060046,0.3898112709166338,-0.21886670119522864,-0.015351473495929063,0.6732436487715107,0.37584280083020605,0.19903950715729654,0.37709583334054997,0.22306182859401916,0.34289608890840717,0.46402464441673164,0.4010927785638574,0.09970835018391626,0.47991762490762346,0.6367949139287129,0.4304355290370216,0.3570325905167244,-0.003068191475186009,0.6092569829500448,-0.18545637592936492,0.4657782945868759,0.6854095398097763,0.3333737946241853,0.6733676363922914,0.10287945736294621,0.09603804659444948,0.22007788549460577,0.23804428014953802,0.2635580798809276,0.30857724742500164,0.5190917309189029,0.3093635023175224,0.15410094112194783,0.2659902943240555,0.44929317413854847,0.4177801160401049,0.5867112491097489
OFCpost_R,0.41213901214721577,0.20889856912613916,1.0,0.5006194300908852,0.12280886753213982,0.24431693466673338,0.11257768581348544,-0.009113451959853629,0.38388112990130213,0.3469760167786498,0.2433568300438185,0.241716490756922,0.4072310718880276,0.2097861248767317,0.26655210747449665,0.5890952752107773,0.6071539876669788,0.28849777517961506,0.3784067080316159,0.20233098210086933,0.42835666859091204,0.4443824131747557,0.6205518237257016,0.21284370850596124,0.3684155474211643,0.5739082555716938,0.6055264313329314,0.2660268126383132,0.4400302529455413,0.26893003879911587,0.14740461517033898,0.1005370458622527,0.20845270101983546,0.6565408744706207,0.3225811578187524,0.21627879767518748,0.09941055267112771,0.08775680338360274,0.6085439328898022,0.5560840699880938,0.35926456878027657,0.35530318181000115,0.42700609157906855,0.3681004460054008,0.40206204305819704,0.172914135122152,0.4934172731735762,0.44472300256223163,0.0911027886346192,0.4563196359083723,0.3635129499170647,0.4402774707189777,0.12518592684032193,-0.11260753922136661,0.5294725461072538,0.13496202016071887,0.33595369950743215,0.06674797334051481,0.06760805767498355,0.09892072213038809,0.11365066370007208,0.3767038685047186,0.07389145004308516,-0.0007100431226142064,0.40766529503880433,0.5731707249177265,0.4752479307891758,0.2992921948734846,0.5815041465535512,0.4706050178938553,0.11027959622865126,0.1887364057186972,0.0844996217052465,0.4811194689456934,0.5645234999883944,0.4778808214859626,0.2861629146881982,0.1787232751702117,0.2470185063758047,0.15877136237538192,0.4509319774321959,0.4057274023365401,0.27041119024972976,0.2953111516652797,0.3055697762207822,0.14680389570829927,0.3801501623808507,0.2683604595187584,0.2576945517765886,0.205027855721539,0.22187234909086254,0.37861775509851026,0.6172863690155345,0.06150366591750861,0.47156629395350375,-0.1966319009673163,0.4889221909733963,0.2755303534518314,0.537586071117193,0.06081783801594857,0.3099332919157987,0.27407723571582826,0.37971896462514304,0.5576360411460255,0.31999817567588534,0.13106243118640365,0.4660006077042553,0.4901285244466822,0.19758749994971478,0.3505479334333467,0.11322044547644274,0.47864169935154155,0.13112143965391054,0.32820366166997467,0.44593517416841716,0.48040379990987003,0.29666468785275607,0.41217911081742487,0.11057599498302119,0.3720723936443632,0.4075866599631844,0.23426911965566713,0.5148917663439149,0.3415822633407523,0.010924492075311527,0.16715031784179318,0.5359438953286095,0.5778256654678061,0.4999025312406627,0.3173618769674281
Temporal_Sup_R,0.43879518452703564,0.5432745937826685,0.5006194300908852,1.0,0.45300797414595806,0.09942488010402317,0.5337246635668246,0.18207381312250803,0.6744229114593164,0.3117115691842637,0.2548438050945733,0.5348127626641276,0.09629658887479688,0.5981405933579574,0.5394639886811267,0.3039514653975494,0.8456869107630415,0.5115208480725886,0.24832702201544748,0.6119180891575415,0.3935692270505497,0.5539039966538551,0.6974440819990889,0.5562237583414922,0.5305394685559236,0.6684119841056244,0.541497447409269,0.3674748349302067,0.7628723020020415,0.7394913313176045,0.5396403196465044,0.4277818612262296,0.5384423036546169,0.624049575402606,0.7350599950097211,0.31717336707400334,0.32870702025144766,0.25709956655583915,0.34843399818343906,0.8670864367199853,0.741231506578926,0.6647666602877774,0.5528966497766021,0.7254237916085462,0.6883504195390365,0.4736793063128685,0.5580772525272201,0.5651756323741168,0.5105414759771517,0.8302896592868169,0.2922329458171559,0.7330720945222294,0.3713537788015927,-0.07270243598709332,0.6573119563369961,0.23987986056319893,0.6478949747228049,0.2085881459912566,0.49327051843067915,0.5382858837592638,0.5975813327548519,0.3906602093327131,0.185758965794865,0.08340417113302638,0.2571946176293505,0.8372427684987328,0.8143915434815896,0.2948737503238648,0.34059828661020325,0.7225665082452879,0.5278237010003666,0.18516450807464022,0.5682230908950284,0.7165828749342208,0.5280080300714995,0.7686000091316932,0.2579148908210223,0.5374160623227594,0.48174153008395393,0.3130431077317969,0.7611315940458743,0.7656792092163263,0.2935988904822697,0.7113074123349454,0.37405678030712175,0.2717620668120859,0.6192603877909942,-0.10196180854672104,0.3794047761737919,0.6764401358424526,0.3982203123530297,0.364925916896736,0.8038857428503846,0.3806904261303926,0.8304970643681563,-0.03937123745504183,0.13509761667462647,0.771513037412374,0.677358315543192,-0.1687866219902879,0.7778933224642158,0.6476385456674415,0.7982657131100561,0.6998423295439401,0.4696925278115746,0.5884619867831345,0.826527848163529,0.532536620665024,0.5060490018040769,0.5110791884833985,0.16457377459368583,0.7821656342803465,-0.11062274668349789,0.6611871801014026,0.8016791726808294,0.7031426699691894,0.7022091750870361,0.1708795225503612,0.2157206966385311,0.7297622467065409,0.7723431043337535,0.2633727746399641,0.48751597102827093,0.3550204258135989,0.2683466785698588,0.6828872875336771,0.3948260653907378,0.7991942455361736,0.9082279274215167,0.4074891111500103
OFClat_L,0.14378823415365452,0.16121431142799747,0.12280886753213982,0.45300797414595806,1.0,-0.2765778477354844,0.10574580948525027,-0.17324353822448343,0.1752045210311698,0.11683733678897952,-0.012152334530712974,0.2498956211916323,-0.04632538208103981,0.4732334800352023,0.1095316560429011,0.16661033342384746,0.4450291353691425,0.4258483663461604,0.30542582232516746,0.4583637504076426,0.3625782091218293,0.4053652328527369,0.5841107700282202,0.3662849434784205,0.25784569053764983,0.2955921652564725,0.07711743142693188,-0.055735089853493805,0.39142960247599246,0.3052111715858216,0.22276035150893528,0.1590832504584096,0.0467058087270773,0.338372606106465,0.49696955259477804,0.14013511068752293,0.023323562550295843,0.33465819372737154,0.3328505907917066,0.5130187027814107,0.6756964823102863,0.5177904608702408,0.48875075412242475,0.315345202692279,0.2581412050072939,-0.022234936244106218,0.5996480124348141,0.49898486289016486,0.3684331520129479,0.5207373328105017,0.06686500604445507,0.5767442663048511,-0.0028728277627449368,0.05920657393225288,0.6327263821437169,0.11235606219951833,0.1916696467104488,-0.08623037818999091,0.45982185108324825,0.27258953493168436,0.25121477428515016,0.3439071128874572,0.10862904213350606,-0.13929220080047733,0.23457418173670888,0.3029628379001161,0.5124481571163021,0.5461454211479961,0.5399221768217587,0.39716359228399706,0.5957061664894672,0.043522959977785415,0.11954358912323151,0.40535429509610327,0.554546981470366,0.39774820705831726,-0.18634407204541628,0.35048740755939084,0.07139378491495461,0.13653532076059688,0.5401469975339086,0.2835179149122879,0.18231248846464074,0.22116714880310265,0.005053213715065655,0.12957668176933662,0.2966330950693101,0.09892332826663108,0.3077617746219488,0.3799696476842701,-0.1379824639048312,0.22611674887707012,0.5588818844504423,0.02072151047202612,0.4298314481616866,-0.008772271054495066,0.09981520929160169,0.43168891934982956,0.5278292224718779,-0.3094521918090137,0.32825056750649595,0.4232118069939328,0.5480764062179602,0.4715927508801392,0.16946787991083537,0.3737464329478283,0.41608002620870627,0.2564310071617991,0.0037903387327272125,0.5499088842969558,0.3377284877748199,0.5511656942926508,-0.4349903109147367,0.25390210379920247,0.3425371604410809,0.5411066112858433,0.08673321022953805,0.4575715737602786,-0.08632229671175753,0.6613995705797328,0.4748666035691889,0.5929237859536965,0.3243490797959471,-0.10988558917037224,-0.10344838896157783,0.47664229574739264,0.5376097154464734,0.44024161409040874,0.4826758107685113,0.018386636357901807
Heschl_R,0.46108332184695283,0.34519551794603,0.24431693466673338,0.09942488010402317,-0.2765778477354844,1.0,-0.23257142724590932,0.29354493028031686,0.3311695340801833,0.46001103697815193,0.2889771517304548,0.4002021504461377,0.6908453599739535,-0.5089717970130943,0.24569778916925772,0.5982369504558158,0.13021749993812964,0.358286922175729,-0.0068274394838927915,-0.4366607160272365,0.3886808598211796,0.1642118854636606,0.2341028773886046,-0.2920044360715921,0.21263344418153676,0.480252851794457,0.24969335761747347,-0.09273007607498059,-0.26819279467816365,3.850582444837051e-06,-0.11767905983747946,0.3801342515340475,-0.019649777107989912,0.22158554815143475,-0.38605246634330626,0.3303898787841211,0.04768499732632044,0.12044167200089412,0.21667838220313643,0.03313791452169819,-0.026116017461668792,0.314520044333021,-0.020590235783048864,0.27843350471194706,0.4924691232196193,-0.1768563826800878,0.17085661384177891,0.35241231546317586,-0.5168230946544113,0.24336084671975552,0.7095239471959326,0.13007877555620487,0.4560175586747224,0.02609796420583001,0.0433636847899292,0.1087429895786567,0.13551678106371273,0.31625247833854253,-0.597049103290413,-0.0046568547962953614,-0.22329551476395107,0.41031360049448157,0.39753227133041985,0.45805289027219825,0.06647922664067278,0.2791460431488651,-0.02931774036455629,0.1651867906624616,0.21564435280113564,0.024561574547444395,0.2114039235422367,0.18082901883575417,0.05185517348102601,-0.11251185186468213,0.1939120061881787,-0.039844290750375266,0.8460299638213925,-0.50397789702794,0.16856147811741504,-0.1423431123666889,-0.01711608607404324,0.18660903450542096,0.11177275350048313,-0.20812809438483204,0.4579086532246582,-0.24596962851017962,0.18821257846805192,0.21245781652414242,0.452827662554656,-0.26434419610032966,0.08571037314016428,0.2445478567498302,-0.10856467308577783,0.4624238560250407,-0.1382673419652422,-0.4713160747617049,0.36727728062243303,0.18801489274586622,-0.05475403022405956,0.7227013364192699,0.07697194592150658,0.3658456590411772,-0.2060166622242349,0.48548353833811736,0.44367866724122285,-0.3737922367409668,0.09035929347352441,0.41850781205528453,0.5067312550467292,0.3087744110406333,0.06904933052287456,0.310897873495135,0.02748838126679918,0.023179774035929405,0.249578910055339,-0.02504922948213678,0.4103775788295434,0.29772754547650365,-0.25809512997910233,-0.12124226486965231,-0.3311569090945846,-0.028139896749785204,0.5207006925115011,0.6904519270394839,-0.023227942891737813,-0.4493276057107658,0.029832301848003423,0.4397815299550566,-0.06624723797720537,0.5242984831225028
Cuneus_L,0.0004852247439474202,0.31393113678351303,0.11257768581348544,0.5337246635668246,0.10574580948525027,-0.23257142724590932,1.0,0.22896038677913036,0.4083713485407753,-0.28567980315316055,0.1411553429111209,0.2469059283114741,-0.37364658776544585,0.6564334984635922,0.317098246714941,-0.30525080748636785,0.3472501728062888,-0.022329391492010398,0.009764257164993972,0.6577059492000333,-0.21441737619558765,-0.12148048815535421,0.08021288874078718,0.6062358125363747,0.20490402355739948,0.016091776576554657,0.19465515673485673,0.5764283351450412,0.7548669363658465,0.4887373189807038,0.6959443552737082,0.07253666064237901,0.649655781026547,0.19051818637253135,0.6824181873158545,0.03528902061503921,0.3764078588650802,-0.018749510094148894,-0.2432969941300587,0.5016664063223197,0.35126594075823037,0.16904227853686288,0.10259575995016688,0.4853404829868017,0.13219306988634594,0.7525243182750455,0.03827955095576568,-0.0506514567392306,0.5826219032274464,0.357523239144459,-0.13152302692567833,0.3291779654003958,0.14436810793090538,-0.0037479817104758666,0.09981537484213501,0.09074603181629724,0.5194985136371094,-0.004007232934908621,0.515960444703942,0.5562256223007694,0.7326369672600888,-0.29305939073719844,-0.0854264063673612,-0.23378391697383005,0.22031132959812738,0.4535469543131746,0.5039463877436723,-0.09543121945845869,-0.25373829454510033,0.37946435321721367,0.1689956697919717,-0.05949697539944889,0.42441388783500866,0.5183656227215856,0.023567904965389855,0.5830559410838494,-0.0009152831025359022,0.700029093853555,0.4231816758438792,0.3173205215291126,0.35535587813536057,0.456155381688502,-0.15925670047008272,0.8738731785807033,-0.05130223699312749,0.07730001382852254,0.35405246767430837,-0.30681329759675824,-0.061021719139434896,0.7626962185154842,0.6662077085373763,-0.17235950290384194,0.3312709688753195,0.188922726005185,0.6488209463846597,0.25268980538450747,-0.09315078001995208,0.4838413871786039,0.26226635145680827,-0.19860314019629952,0.5104118411483359,0.01772247456574621,0.630417082822521,-0.018623933217023148,0.01743045852281963,0.4662355307794786,0.598227562824282,0.12306396428426886,0.2205420934215752,-0.013592766191610248,0.031319932553440344,0.18620342116612046,0.13049962126506015,0.5985951147663583,0.460726582956534,0.1918802960910747,0.4047784485166346,-0.38867404922370935,0.5133741199829659,0.270625928962008,0.701629866534597,-0.05371524182366962,-0.00866770590372859,-0.02123883201192251,0.3749176191164649,0.738313117145701,0.013614956949505356,0.14791829464505937,0.6180443125611694,0.14519920615790782
Occipital_Inf_R,0.05203975682429032,0.29419147097732967,-0.009113451959853629,0.18207381312250803,-0.17324353822448343,0.29354493028031686,0.22896038677913036,1.0,0.5956670738187819,0.04425902398015691,0.28110482032678274,0.279557389076936,0.05679502595061114,0.044144208763101496,0.4593005528616525,0.08703363322427791,0.04633731476513274,-0.10300705251626886,-0.2820639459117788,-0.03166060332338653,-0.1933434736100632,0.05261684275575229,-0.18332616389830633,-0.04951945246826498,0.3930805686751714,0.23754465774680505,0.28223523472751155,0.05140742205349133,0.035544633266530734,-0.0017313643322987376,0.41783605281388125,-0.08948296994454275,0.34364043316729764,0.10753589628192652,0.03137587966372716,0.19026397930577874,0.6816487825831388,-0.12081560232032929,-0.04084931546785586,0.037174647470469536,-0.2214757838619521,0.12669843264270064,-0.04322112634893945,0.2959509266874074,0.1452939801333152,0.19655723857492308,-0.19895599048305834,-0.12507112409280824,-0.20032374508603987,0.17717384904104663,0.12174708526346943,-0.014243466169357387,0.261632809077661,0.20203759204964136,-0.12286734073176164,0.08859351753066674,0.5677075436775384,0.2843721808968232,-0.3644014971962779,0.5966043340625801,0.2724935791489093,-0.02280462993999786,0.028779050511973665,0.3059366115082564,-0.107212988461444,0.172113833507476,0.0666866953718476,-0.36089361561291505,-0.2027097139471074,0.17839167395769928,-0.19087729116785437,0.11743744575579317,0.46412252649201885,0.05239274360234049,-0.22184060057042604,-0.0044460276525716495,0.395475142874635,-0.16557682312130215,0.5898363331087038,-0.22882716733852476,0.03453969914824794,0.34472024010897595,0.04023172213463182,0.3182000136840193,-0.026411959272425928,0.08970299554317113,-0.22009226684579566,-0.2374688271666912,-0.18996566324840813,0.30828605707266327,0.3485053903799428,-0.3357964651624215,0.026166022488964075,0.5180039410661899,0.08597232260978076,-0.34929574326813834,-0.39787601407788276,0.23730988574987658,0.20535572145407385,0.18593979383528517,-0.021178925545314545,0.1243132959745846,-0.0978270400286884,-0.04031126559260865,-0.042351330915075064,-0.1558766554612468,0.23828605771175415,0.05872697652938715,0.41684723628103265,-0.06779801346291832,-0.35204565062050547,0.019837181060392544,-0.0675356269133041,0.4696956530631248,0.25081574733825845,-0.05528634412129007,0.36072851734529027,-0.26360478386377706,0.24467403573384605,0.00574975782486265,-0.014315350087978658,-0.05780569502235781,-0.058811383923848354,0.28940421531348165,0.0525554956185691,0.06305639905173677,-0.01125226354140033,0.028812458299011467,0.06183513804480831,0.30965113386282983
Temporal_Inf_R,0.34536974691487904,0.6094054517174594,0.38388112990130213,0.6744229114593164,0.1752045210311698,0.3311695340801833,0.4083713485407753,0.5956670738187819,1.0,0.2205006983668603,0.40151952540601504,0.5787047577337233,0.29376236137602,0.41291729765154317,0.6088756592259846,0.40215857096726115,0.5749280492644873,0.15920517043723695,0.05252323957462012,0.3122167424713689,0.2830871657622394,0.3986669195951074,0.3211421493465843,0.2108995222458013,0.7780002597438135,0.6278136247530486,0.6995717099229328,0.097074814307035,0.518419972014368,0.280787947346277,0.6431951391998386,0.08285688499105168,0.4271339320493737,0.4945744973759613,0.4380005225645499,0.3908662081216868,0.7523234873248754,-0.06365129501548629,0.29571848638802056,0.6007440560035651,0.30064436723088606,0.5048607963333701,0.4700072725709542,0.7565630718241213,0.37367415788496805,0.23673834844642608,0.37153264565819666,0.2935782729315135,-0.0441832755688682,0.7010856524274236,0.33081003777608714,0.43949176993542355,0.412493081969102,0.1541240070630446,0.4619017939805036,0.25671551183289754,0.9186798819931773,0.2240480757664876,-0.10016311901982058,0.7436316910285211,0.44128187451852907,0.30701102666364377,-0.0001727853736135046,0.1529926978140606,0.24554045056614748,0.5456662428197551,0.6545614068094402,0.07419190850606931,0.24202047140740127,0.6293559359928116,0.24327199581873274,0.20691594228921326,0.5742482901831495,0.518519552372542,0.40813554447157935,0.4644777185506747,0.48413096175418624,0.16973423751376593,0.8087804408020316,-0.054306524846857634,0.5422859141290999,0.7432804369074261,0.06695937286919122,0.6345717417688129,0.1369533325721275,0.1313205847369517,0.2585884135628307,0.009601248493217673,0.06457884174739356,0.648102721030474,0.3519620387011565,-0.010765057018745252,0.5474145157295315,0.5573513008098453,0.5626805620159748,-0.5508202077722766,-0.046935913074012355,0.6439645903887208,0.598612892866088,0.11629081599126455,0.31894997183118196,0.3316330265001798,0.42310111990549754,0.4910486246109503,0.14437488852588767,0.015678422735837458,0.7216916687927094,0.4876014782068955,0.5805914890907229,0.3704310162077509,-0.03329930628197161,0.533712090840426,-0.10757178452821466,0.8248988172526645,0.6951507706093877,0.44135217963661194,0.5824798633089853,0.07560743180389709,0.35268273816065204,0.44340591641792726,0.44558455936557095,0.2589808261595944,0.40055204382022414,0.4612959290903309,-0.098116855471281,0.4097623624088025,0.28191930947199756,0.5193957922136487,0.5981991217764261,0.5837533156977674
SN_pr_R,0.7862759789943172,-0.04171531981081887,0.3469760167786498,0.3117115691842637,0.11683733678897952,0.46001103697815193,-0.28567980315316055,0.04425902398015691,0.2205006983668603,1.0,0.028327697872782436,0.13068207403834267,0.5511584700757131,-0.17199009143039096,0.31712078150501166,0.6137490583129497,0.35341697072879635,0.46828964217942687,0.2635684585078343,-0.049245965253882064,0.49624319972434805,0.36191956565777905,0.4868294202608056,-0.06502641352892434,0.3054731230088115,0.46177801575638583,0.26261332553248046,-0.17621618815952111,-0.08002139437590874,0.08966879992227643,-0.1183756296155127,0.34900700926346995,-0.11743782865837306,0.20144002143297096,-0.060576504971709216,0.3233548870649205,-0.07828412453396319,0.16194053764953267,0.28058766313076794,0.24210248705954635,0.28549363807883155,0.3327689180745581,0.3552134386337728,0.1934153020804499,0.5703337625957305,-0.03780439928541097,0.40489687662273627,0.4978084505299159,-0.1869232655404338,0.3416314223220799,0.5012283784518476,0.3395908290868659,0.576322920241962,-0.32340412703990973,0.24351651709966593,0.13759488865476444,0.12261681493355793,0.08293418972522036,-0.08404017309032326,-0.10663637172229712,-0.025463265929812528,0.6635541176821389,0.2636320860484263,0.3928388482819992,0.08702545776394421,0.38373353921079606,0.2457707021206407,0.4343419543463466,0.5610141785763281,0.11415862119639995,0.2769451098354674,0.17133532818524422,0.05162135138838264,0.18133117763403947,0.3141368183427437,0.10935170098239862,0.37901939700622284,-0.20229528741795935,0.09686735389638423,-0.14352384801962675,0.3471269920732955,0.10994192993076486,0.5278237082787405,-0.12954458271657748,0.44632620663659445,-0.038661247470756846,0.18265980957960834,0.09993920056627131,0.44827681220948284,-0.03908567611833447,-0.06262393212363357,0.3434485603686565,0.22871269247859263,0.23989047392758742,0.05928377796567902,-0.263275007316074,0.3404197587759609,0.16372577415654477,0.24395010446707885,0.28659892589548724,0.196783326793798,0.5676013204286321,0.06229219917706446,0.5821764815296822,0.41774051565878634,0.03243789101695963,0.16704801516014434,0.24953674773071427,0.5034461301008841,0.38590966675131916,0.2418186748322757,0.40623759782444896,-0.007127589872942295,-0.007796623900859589,0.18215415572940197,0.1754436840102673,0.34659287599564714,0.5588830513459462,-0.20102606136926301,0.38087167827198054,-0.003096101815216353,0.0659170846158526,0.4436619054711444,0.44781477390810215,-0.09206629589355411,-0.08939114424129121,0.25408413351753006,0.5067843133158898,0.195188180237632,0.24568254701628445
