,Thal_PuL_R,Vermis_7,Rolandic_Oper_L,Pallidum_R,OFCpost_R,Paracentral_Lobule_R,Cerebellum_4_5_L,Cerebellum_10_L,Vermis_8,Vermis_1_2,Temporal_Inf_R,Frontal_Sup_Medial_R,Thal_VPL_R,Angular_L,Pallidum_L,Temporal_Pole_Sup_R,Thal_Re_R,Frontal_Inf_Tri_L,Rolandic_Oper_R,Cerebellum_8_R,Heschl_L,Thal_MDm_L,Occipital_Mid_R,Precuneus_L,Putamen_L,Thal_AV_L,LC_R,Thal_MDm_R,Amygdala_L,Hippocampus_L
Thal_PuL_R,1.0,0.3015293303133309,0.5459222063878177,0.5298440487395571,0.05997312713013718,0.056668564712035595,0.35632323859685305,-0.15008177631804012,0.19613867716250585,0.19563206097479063,0.1288913920672204,0.271838750018372,0.5882869558707295,-0.15455550965823747,0.4405312309688656,-0.051500221558851714,0.3740959886284876,0.30162276597464455,0.49973204351064615,0.2031790575252997,0.09901906487267402,0.3733862174760241,-0.2609080938355039,0.02688849576002679,0.6376439988341521,-0.023307308253517917,0.28910066437010495,0.4207591704175833,0.12592350468679664,0.47146336282000934
Vermis_7,0.3015293303133309,1.0,0.6460256013474623,0.33000442513719647,0.24245452446982085,0.12856293095920185,0.04147281394873851,-0.2724061880348342,0.20312097110290459,-0.17141939027332165,-0.431597049000619,0.6011757004989173,0.06166927081660607,-0.33473889712162375,0.4748445474163944,-0.5739993098723688,0.3819699658499829,0.4237149806237824,-0.0010919892597070293,-0.1774554589501321,0.3608741650679934,0.2758713701856963,-0.45150092118470253,0.029140349673721713,0.5843810922701944,-0.21427953858253232,0.5052879919943783,0.4268085287023964,0.5238266524840273,0.6032238043710778
Rolandic_Oper_L,0.5459222063878177,0.6460256013474623,1.0,0.4472601705543483,0.48430624899993585,0.009509000538742799,0.2730339832636118,-0.12031262735521638,0.2262112992651002,0.14668645969531985,-0.31378796067835935,0.6830733140208796,0.3186122209312821,-0.36858405542754125,0.6588960863793866,-0.7318861540692725,0.43682165483255275,0.7107348672818402,0.24407558930687456,-0.38881873618129414,0.6898928687522708,0.5011852748793278,-0.6373939366730663,-0.03865461706368394,0.822385110426185,-0.3522535570540417,0.5963904593922763,0.6517705637707918,0.7543093466978064,0.8753526051471123
Pallidum_R,0.5298440487395571,0.33000442513719647,0.4472601705543483,1.0,0.47387936699627653,-0.4115726058210377,0.21513158393062534,-0.031125884008830897,0.3005209558799571,0.10309782103988714,-0.09241246514282167,0.171953480886719,0.26858361748429144,-0.46709395602664605,0.834005655287759,-0.2534609862956403,0.31938666954014633,0.2861759542470667,0.5551833899005135,-0.003946128953254427,0.4162425457419885,0.7077002850572428,-0.37145927725484307,-0.34124887886465033,0.7596057267406193,-0.21905328358728335,0.5542164644298181,0.616884558437302,0.37775726861150655,0.44723941879621604
OFCpost_R,0.05997312713013718,0.24245452446982085,0.48430624899993585,0.47387936699627653,1.0,-0.3597661784796263,0.3486498786401329,0.49773940710141296,0.1038939081070437,0.4912100581036272,-0.11436066584199221,0.24559783414544356,-0.06372287960996253,-0.4547690519057519,0.5230076130407153,-0.506550554736787,0.13599042515459298,0.29421599314596414,0.2916190236084801,-0.4387756916712602,0.5434719998947665,0.36621816084066255,-0.5706105040440856,-0.39931118729796944,0.46324967732267136,-0.378970640737616,0.41380366258002876,0.38903312848864013,0.7185946739289467,0.6417973308915341
Paracentral_Lobule_R,0.056668564712035595,0.12856293095920185,0.009509000538742799,-0.4115726058210377,-0.3597661784796263,1.0,0.09068491496769332,-0.19765853770461794,-0.2859402423376779,-0.3759021072855305,-0.10877378930198954,0.18731173018198388,0.2231581682885734,0.7009072645736173,-0.3065273706502841,0.08763736151211525,0.03253375047496639,0.30075543737242455,-0.4433021350648262,0.02023757411774943,-0.1752022574922835,-0.14421853674429555,0.4632982461613069,0.8965365501090043,-0.052698512528014683,0.30877631719212206,-0.42119390670644724,-0.017027233823567495,-0.25173642060618334,-0.028181136533458825
Cerebellum_4_5_L,0.35632323859685305,0.04147281394873851,0.2730339832636118,0.21513158393062534,0.3486498786401329,0.09068491496769332,1.0,0.4651074622254105,0.06510099174272077,0.6233734052589659,0.4513685541690309,0.026628765537728815,0.5627069353387905,-0.030944288725214875,0.20451641151299244,0.09082912168320953,0.048547796050645416,0.18392633990738189,0.3988385134890593,0.21731012158592625,0.14712147091886343,0.3721002636558426,-0.10502878769360982,0.07517414306396411,0.22813555912114095,0.24269372194777858,0.0018379620863862966,0.2963660227949283,0.13278129510334058,0.5304881864739424
Cerebellum_10_L,-0.15008177631804012,-0.2724061880348342,-0.12031262735521638,-0.031125884008830897,0.49773940710141296,-0.19765853770461794,0.4651074622254105,1.0,-0.20966302213810672,0.6559295665772764,0.41229762396631514,-0.18103296561651147,0.033972302373684475,-0.07245854051101633,-0.1350147190407897,0.20652151035072266,-0.18745781933435757,-0.09649691651187878,0.19174262924703706,0.004787301348035534,0.0520488621905156,-0.05647339929323223,-0.06727124924013379,-0.26073068955551215,-0.15783473321734123,0.19933840451475227,-0.22617603588805218,-0.12869692635220056,0.032236854117854506,0.1167702446702211
Vermis_8,0.19613867716250585,0.20312097110290459,0.2262112992651002,0.3005209558799571,0.1038939081070437,-0.2859402423376779,0.06510099174272077,-0.20966302213810672,1.0,0.03133988522575426,-0.0036964072717858287,0.16846851886027137,-0.0616460754088594,-0.5556335590404804,0.40482678326768023,-0.2799291270144395,0.05168462913252826,-0.10280149474708715,0.13439832173117874,0.19074849490296544,0.05557157303856362,0.24330159003455826,-0.41302016797069196,-0.33471618942126263,0.2801072559130074,-0.01028670500690215,0.541980408853061,0.1749635860886123,0.30177215380946143,0.34921453288790133
Vermis_1_2,0.19563206097479063,-0.17141939027332165,0.14668645969531985,0.10309782103988714,0.4912100581036272,-0.3759021072855305,0.6233734052589659,0.6559295665772764,0.03133988522575426,1.0,0.586421308232795,-0.13574910816651264,0.16277745747650774,-0.2601992951913543,0.010591088610460275,0.13312706167549357,-0.05983247047903325,-0.09045021014122658,0.5723807623046359,0.07550221450489243,0.11826582136516797,0.03215157529432551,-0.2858237268990868,-0.38873331512080783,0.006558125279376182,0.05606388873251148,-0.012285055335776155,-0.05763704609194117,0.17688711852691974,0.3303310565805011
