,OFCmed_L,Rolandic_Oper_L,Amygdala_L,Cerebellum_7b_R,OFCmed_R,Frontal_Inf_Orb_2_R,Vermis_1_2,SupraMarginal_R,Frontal_Inf_Oper_L,OFCant_R,Cerebellum_8_L,Frontal_Med_Orb_L,Vermis_3,N_Acc_L,Insula_L,Cingulate_Post_R,Lingual_R,Thal_PuA_R,Cerebellum_Crus2_L,Thal_LP_R,Cerebellum_8_R,Cerebellum_Crus1_R,Thal_MDl_L,Frontal_Sup_2_R,Frontal_Mid_2_R,ACC_pre_L,Frontal_Sup_Medial_R,Rectus_R,Cerebellum_7b_L,Angular_R,Frontal_Mid_2_L,Frontal_Sup_Medial_L,Cuneus_R,Cerebellum_10_L,ACC_sub_L,Thal_AV_R,SN_pc_R,Occipital_Mid_R,Occipital_Inf_R,Thal_Re_L,Thal_PuL_L,Paracentral_Lobule_L,ACC_sub_R,Thal_LGN_R,Rolandic_Oper_R,Fusiform_R,ACC_sup_L,Amygdala_R,Cerebellum_3_R,N_Acc_R,Cerebellum_9_R,Lingual_L,Fusiform_L,ACC_pre_R,Parietal_Sup_R,OFClat_L,Caudate_L,Temporal_Inf_L,Cingulate_Mid_R,Red_N_L,Frontal_Sup_2_L,Precentral_R,Frontal_Inf_Tri_L,Cerebellum_6_L,Red_N_R,Parietal_Sup_L,Thal_VL_R,Supp_Motor_Area_L,Vermis_10,Temporal_Sup_L,Heschl_L,Frontal_Inf_Orb_2_L,OFClat_R,Hippocampus_L,SupraMarginal_L,Calcarine_L,Cerebellum_6_R,Thal_PuI_L,Temporal_Mid_R,Postcentral_L,Putamen_R,SN_pr_R,Temporal_Inf_R,Thal_AV_L,Thal_MGN_L,Thal_IL_R,VTA_R,Caudate_R,Temporal_Pole_Sup_L,Hippocampus_R,Thal_VA_L,Precuneus_R,Parietal_Inf_L,Pallidum_L,VTA_L,Cerebellum_Crus1_L,Olfactory_R,OFCpost_L,Putamen_L,Calcarine_R,Precentral_L,Vermis_6,Frontal_Inf_Oper_R,Cerebellum_9_L,Thal_VL_L,Thal_LGN_L,Thal_VPL_L,Occipital_Sup_L,Parietal_Inf_R,Temporal_Pole_Mid_L,Cerebellum_4_5_R,OFCant_L,Pallidum_R,Temporal_Sup_R,Frontal_Med_Orb_R,Vermis_4_5,ParaHippocampal_L,Vermis_8,Temporal_Mid_L,Cingulate_Post_L,Occipital_Mid_L,Thal_PuA_L,Vermis_7,Angular_L,Thal_PuL_R,ACC_sup_R,Frontal_Inf_Tri_R,Occipital_Inf_L,Raphe_M,Temporal_Pole_Mid_R
OFCmed_L,1.0,0.21155055996937797,0.3916366383826678,-0.381396929751212,0.7308640413556216,0.5178451522567201,-0.35128699796431023,0.06887740539712774,-0.10077604928915732,0.5756684984410335,-0.19367414535288807,0.6942670699411684,0.4145068358054565,0.28050240014941896,0.12154165321649905,0.13123938202632054,-0.18914745313519712,0.43871270528350864,-0.47841267620883027,0.4198105991632091,-0.2615497157459567,-0.34419386082429626,-0.13091740732987894,0.15760440111893573,0.237531596275599,0.6357017713923921,0.35802387337490144,0.6705613110359193,-0.14217792844056293,-0.08414738430946837,0.1210039468543617,0.09674783516762135,-0.22260219071053403,0.46227565442426,0.6023935160973921,0.15289896563192942,-0.12482026738744421,-0.3387196811715891,-0.36788263490960116,-0.11258020338449815,-0.2514839604167864,0.061714436373471515,0.3991870458228949,0.37889659967128875,0.058982429308874054,0.3696026491476765,-0.11322197039523921,0.5853715592385141,-0.07522268043314022,0.4544335748350865,-0.30754573782049055,-0.3036676304044664,0.26429245922303707,0.42840787610230346,0.0015655303855653952,0.43177246465282687,0.36718572911143077,0.1525407987717178,0.3002528400266913,0.10546549362750307,0.09508990833403087,0.08643532480418635,0.16572882206769968,-0.22638206092279126,0.03897324305696765,-0.02414347480694312,-0.16858847778304567,0.036498230636242364,-0.0022031470222263366,0.032127822150829176,0.0339731748261011,0.4337884519542421,0.27858795891579524,0.484666798590079,-0.22268768807987552,-0.28913771557882356,-0.36751653739962975,-0.024946699989637732,-0.13331940127704286,-0.18333024556733374,0.5049824340619191,0.42875621423547067,-0.022974320350280377,0.4179718469873379,0.27293434145692796,-0.04210476591162541,-0.1998860299919687,0.5331661643168241,0.038261932189178643,0.4234646994468523,0.6953290049581405,0.017792575014427853,-0.07879569112410745,0.39463685610437615,-0.27990135522339005,-0.35519514288761794,-0.3992808187874368,0.6220173829582211,0.4556727766152125,-0.23766955866151207,-0.09213632755808482,0.044950577263259,0.20506691380921777,-0.20619189571939472,0.4815931118242072,0.018744418857135778,-0.04213262412370979,-0.2341404398716485,-0.016028748138745726,-0.4410457828579823,0.22120806160638445,0.837697503454425,0.5661383522335842,-0.05815796884110414,0.7569703878060732,0.15107474106269408,0.6071671426553459,-0.01299822533206628,-0.20194162545996266,0.006439423400287063,-0.31206428290403737,-0.0392090723295023,-0.34977289219674595,-0.33107117596484353,0.5556853860524263,-0.09364706862186314,0.23148905182285573,-0.45023136995951635,0.4140145630936977,-0.355832236894404
Rolandic_Oper_L,0.21155055996937797,1.0,0.6257215120156625,-0.2213358239502609,0.3754526749637829,0.595977044423521,-0.20308671942558726,0.6647783607904922,0.6114728628945727,0.6051201437352439,-0.31582825683060606,0.09425900178800958,0.5338780660207051,0.41364201325201133,0.5403656865012754,0.5984983038792258,0.42755376704317305,0.22797284013429772,-0.5127388127365576,0.3793228390641956,-0.19415876292730666,-0.5202890033980119,-0.0848034311918616,0.8476650523519873,0.8563210683819682,0.5624885526805756,0.7279987075614464,0.5292432219132054,-0.41314248313432006,0.5091699343388425,0.7373237047463652,0.6262124538601904,0.5096734882290279,0.408238225295562,0.5669467383912228,0.14631975327337002,0.23957844329605346,0.26254131106237627,-0.5509008931050935,0.15033441955629123,0.4855044450881851,0.7544664237696118,0.35587555450218195,0.41318526507188846,0.6517237866918204,0.5827926866067497,0.5181582240013423,0.32519536221164785,0.455902801957856,0.6788221170332682,-0.2639392214234724,0.34571503164801026,0.5971882602272391,0.6467365777141106,0.49418027559591676,0.6828915573224646,0.33022508866188194,0.06910540548101811,0.8818914028388726,0.7064384891083504,0.720621445404534,0.7533414885693839,0.8419060481757125,0.03640963726151107,0.634624749216827,0.6235291281233413,0.18518588176985024,0.8511678762990452,0.4024994899973934,0.6599425858271821,0.7771319375773927,0.5333142537462816,0.5780308493191714,0.6906506573114488,0.42309906834926836,0.44310915598995454,-0.1482160077183928,-0.15193636138997355,0.24471773868635616,0.6507045527425334,0.7816235934161836,0.6117048451407815,-0.12057106338075026,0.08104687789625356,-0.08238473743584311,0.553552715502477,0.30767035441665896,0.758753786465133,-0.4505124499763825,0.7355319763751278,0.3069337561004636,0.7182134105099752,0.6486265216991897,0.739486001171939,0.1487859263805119,-0.4589961382835895,0.14575975214808667,0.47483315046344793,0.7423276198477777,0.38995395677163064,0.5730246184942607,0.5803381993252396,0.7051186452170324,-0.2895799180978693,0.352811083590795,0.4279449262714604,0.3427055863026104,0.4306421223055412,0.615220136810419,-0.6191577514684957,0.7702076173008962,0.3030104824492013,0.736759095788495,0.5691465591220253,0.27742637370410045,0.735260458270939,0.7377069957105306,-0.13995340428549097,0.08886609621360257,0.5114092879000693,0.20387486947652797,0.07113546096910721,-0.3305651368132057,0.3517884754886569,0.14332767655575598,0.5907896030375765,0.7419571358599891,-0.4134264685492224,0.7538192186658648,-0.5206624135352611
Amygdala_L,0.3916366383826678,0.6257215120156625,1.0,-0.21724491983394856,0.40324412149975236,0.3853503769195676,-0.15139292896996714,0.4688071238022541,0.4235793599316828,0.42799420188239135,-0.26007320633142667,0.19139464990814142,0.5738958870606428,0.4644115039562465,0.32991720770714184,0.6075099800020252,0.32863694743301947,0.0383207209033882,-0.4641076769992251,0.30406458850205453,-0.14841930742174872,-0.42430430181638495,-0.10363074469103553,0.6658492662590021,0.6385855609042589,0.5376409729915803,0.7789399428646162,0.5881204923808703,-0.2949958786149529,0.36863689343956924,0.7232580792730129,0.6956565331676156,0.4801311811410719,0.47782519714864397,0.5243548412962935,0.15335009140624947,0.20376746665508602,0.17927425017978812,-0.5042805713696998,0.17397478462192673,0.44801284825659776,0.6346164522538602,0.4316568328534234,0.3901134574084178,0.3202816666742082,0.459764706743789,0.4246504165384947,0.6131625037337584,0.48245109860640006,0.49023459460964997,-0.10615875137199383,0.1807013767052774,0.47337475311026966,0.6254947956385046,0.2830228803614474,0.4894377778157213,0.418409800804772,0.08413504899353187,0.6599246079934699,0.6978754865751531,0.7567446033085711,0.4845358347818442,0.520051959899578,-0.05537238918275826,0.6393691708829833,0.5667304969668806,0.23087958823605814,0.6617503118471447,0.4015659124464476,0.4287597950479487,0.598761903323675,0.34306919520858686,0.522388643536022,0.6710032387778028,0.5074757829048466,0.39335506398788955,-0.09828743217410894,-0.35528406912654437,0.204184259797148,0.5941151668135843,0.5656344258009662,0.6669632899365383,-0.08429453779010698,0.14608079007430866,-0.15991232165599323,0.5800508929906726,0.2298509433996591,0.652912000000304,-0.484392725632742,0.6844336037964259,0.34646932552253423,0.6483940622485233,0.6393840944314261,0.6879232072608875,0.09141609130857954,-0.3655986063249681,0.19275621335284246,0.5060203637829296,0.6241409382596671,0.3311869772545797,0.5416042070234023,0.45701971050040563,0.3228731394781345,-0.1991942147250729,0.41034286446715,0.2771726614716292,0.3558423417764735,0.42205029813524375,0.42031745601178455,-0.629990671020924,0.6181795706006435,0.4618687323542241,0.5385482750056768,0.432441473339708,0.37724590531675833,0.7031134429320611,0.7126882254048988,-0.10752314669597743,0.11383001869690687,0.6126905075692304,0.3170005328171338,0.06486136024444694,-0.29999814628436633,0.44929491283613693,0.21137997705784536,0.4882923131027409,0.42181592268126,-0.24889865024006538,0.5318228522870238,-0.3280486044313003
Cerebellum_7b_R,-0.381396929751212,-0.2213358239502609,-0.21724491983394856,1.0,-0.2805832651684867,-0.3413012651851517,0.45745797650660697,-0.11129263675030919,-0.2100000051174417,-0.3965151234491024,0.6496768645949345,-0.3031472746437999,-0.2612585684759214,-0.014503073206025141,0.0026969579372890444,-0.03603116378132308,0.32695921262892486,-0.3326074766527431,0.6864884507447787,-0.2228845282980823,0.807924046187043,0.7188574082979576,0.5179765390026934,-0.38370804368857825,-0.3088194220098227,-0.33899954710118496,-0.202146871593835,-0.4724418860477145,0.5545073946198604,-0.1165698438527922,-0.19927452030085369,-0.07124000159075863,0.060327698264701725,-0.1878534296344672,-0.28475106561552715,0.15758627150323556,0.08706190688901469,0.26565128884704226,0.7094535417843971,0.30301515001258295,-0.05112905654521091,-0.25594491064531194,0.06365605027437012,0.02460943661876594,-0.20370534547326033,-0.10014560466238515,-0.14428485992242343,-0.22833346451435838,0.0835312898300731,-0.2041264847679755,0.7831554178790153,0.47011963656229827,0.15877955561571339,-0.1712231295767867,-0.23041537192539566,-0.3348470432927691,0.13845198668881303,0.3157943153194134,-0.18987159400737932,-0.36705439389133715,-0.22456482188917162,-0.3667254727259347,-0.22562938307083538,0.5896273993435353,-0.17749923185618513,-0.28315165367917877,0.357815053640593,-0.2633428635424436,0.01594797082167609,-0.020596768733319618,-0.2775879147651046,-0.3612874059956748,-0.15896217322837808,-0.10068292779307694,-0.04497564906556715,0.34104103255545143,0.6929798560376943,0.4891385572537491,0.5300862958747885,-0.12702936753662547,-0.43847781782934614,-0.5014726345601641,0.5301556289695166,-0.04970000133811454,0.12176637660947746,0.13735578602340062,0.035638157385679,-0.1804498212536708,0.5286513518975746,-0.13152508520663647,-0.31479496438388704,-0.21640569961563522,-0.2411020152169673,-0.3260116351636402,0.09461271689093145,0.6547223836385379,0.3531430322674183,-0.2888231724851642,-0.21763624362807457,0.3790239433335186,-0.3199878105853358,0.010771128040633805,-0.3688932564431842,0.7042713537680524,-0.04015457874079766,0.10995038306442732,0.05176393689018322,0.1623284965771573,-0.195873194490207,0.575115199639158,-0.20887061723708347,-0.336328505455599,-0.46003948575656345,0.07530889705084784,-0.3552407382299934,-0.21019888671818898,-0.34530969097175884,0.3832856302257967,0.46013536079500744,0.022070773519894473,0.39507770172968143,0.17773608867022878,0.6700202087189179,0.11485880233582571,-0.2981545108092775,-0.15161141349550927,-0.22383439874978112,0.5869859876988243,-0.25451062221144904,0.6084444941300664
OFCmed_R,0.7308640413556216,0.3754526749637829,0.40324412149975236,-0.2805832651684867,1.0,0.43564524971879787,-0.4050185721514859,0.15059788460187296,-0.0024369708350911,0.7710459613887922,-0.3337072088201271,0.6200838296054098,0.42141451184102097,0.40872274089745225,0.025134128473182287,0.3082188744998692,-0.025295880987050705,0.2581820704182337,-0.5422603673606445,0.46183536707364964,-0.29915056347357416,-0.4599949251875679,-0.19135658332022054,0.31708153551638274,0.30809792788374163,0.5136597253074753,0.46948596042855717,0.7199136417345727,-0.3057503659439876,0.11952493834269341,0.17377692959787436,0.22233248318479676,-0.09858717529769344,0.2655946701804136,0.6091051159900684,0.11507134180651722,-0.08579820040617478,-0.20077540148508224,-0.4792306404214485,0.13725777353018173,-0.08384343891630161,0.2523626242824949,0.3493112851780465,0.4076522903019523,0.04118198724562895,0.31639245085385265,-0.036389205181818554,0.3254544344655596,-0.17475475006569235,0.48088743201933254,-0.35979752635128337,-0.14667245054942912,0.27481972590793907,0.4624469831467108,0.17148932369064962,0.5069887124660534,0.3447697752045639,0.03219607086015566,0.42194995734170077,0.20516620119932621,0.14638247977784202,0.1673785351657455,0.1758836523655978,-0.29221382665740975,0.2233594398564037,0.2327708814809344,-0.12574810030747385,0.17890200269185644,0.12451354311805896,0.06138011479720184,0.1955249846776623,0.4018417627789509,0.2783541885419557,0.4397707697526121,-0.08027186660461627,-0.18264029449103855,-0.4457343277611678,-0.062446649006441465,-0.047763496510892116,0.04621457008508928,0.576062796058361,0.26120210782549313,-0.07807346786660843,0.2994676817874218,0.07120637633429854,0.1607186345034055,-0.09908413293188287,0.5403269597768982,-0.08182698957008835,0.5975773044377266,0.5474790138075035,0.15886778923968953,0.11419053928316694,0.41625283304495175,-0.2730373263165837,-0.482840480556542,-0.3595184685450862,0.4640264794116836,0.4084838524604415,-0.14851897837070863,-0.053390571636368865,0.04296769645579348,0.2814198356931051,-0.34084102291444274,0.359897726424255,0.1906165630344735,-0.0031090910842727247,-0.019475416814645746,0.17650155593683672,-0.4551721711496567,0.24097747513481405,0.5838914968269329,0.6143268576263876,0.04815119841338985,0.6810388324628941,0.22881738152472497,0.6582781163404219,-0.21680679891654206,-0.16154120359499027,0.06550372961580068,-0.167168541367065,-0.1689013091906711,-0.4448549370863051,-0.1419238541886916,0.5124708266226179,-0.05057238843627309,0.1658043525513799,-0.4640594827962804,0.43155957277060875,-0.4995680058988518
Frontal_Inf_Orb_2_R,0.5178451522567201,0.595977044423521,0.3853503769195676,-0.3413012651851517,0.43564524971879787,1.0,-0.020387927156327715,0.35191910988312847,0.21951751003174716,0.594097223428339,-0.23108111432134068,0.3550108064296501,0.5935015898955887,0.184325764159445,0.6170936095378344,0.3545344510897888,0.12643281177141233,0.3816773839550305,-0.43162554719545354,0.45036212252087604,-0.11014741600125681,-0.33688915417133014,-0.17345879524816674,0.4669871142937879,0.592797537859098,0.5991596588419154,0.4443875999875503,0.702464798101174,-0.22459576364291622,0.17008273851862662,0.4305598040690454,0.28911894775725105,0.17040018693994818,0.43990360843380316,0.4998091079843263,0.06146163950860537,0.015500960799519646,-0.032574242044412685,-0.3761294653401996,-0.3259554307190164,0.007073416199404787,0.4057824479197391,0.41885751939626054,0.3395928936599549,0.44757008777844043,0.47715742968622765,0.15831946298173843,0.4707009846332419,0.38496583253028877,0.651853845494625,-0.2878373408445658,0.0337283250908919,0.2860798956461039,0.39090864427947697,0.24065546878596267,0.7451128782293708,0.14262962296323314,0.0008361655227180724,0.5795058388666912,0.4204896129358903,0.38064788025526375,0.43899785529173524,0.5980919974331738,-0.09771715228604398,0.37097125562595595,0.2260366393227429,-0.13437942959695007,0.4458692866092854,0.24805148763237242,0.3629143335693256,0.42590293921756883,0.8782193736379518,0.44421858243015555,0.5030056735829376,-0.061068867167393646,0.07491209451884892,-0.21123442238924134,-0.022134395006848977,0.14519273655330756,0.12648486805575057,0.5974945721100913,0.42383932279553044,0.02889862137426322,0.058625747164577975,0.1903416708211029,0.2097940124016595,-0.06352018971344119,0.6082606603771702,-0.25994601543933,0.4706044924582432,0.4145954195827111,0.3830100299954038,0.22288592801479162,0.44353547668020776,-0.008481373752491899,-0.37391893029787676,0.08929147312801179,0.7257015134926674,0.6168950408878111,0.14223191526357612,0.2553866922312537,0.28143061435594524,0.5528064210990726,-0.18716019690791222,0.25205751530646214,0.11629775453068683,0.027024609391439657,0.009759247882841876,0.28154238999691306,-0.43762094170099874,0.48917856582945907,0.5199783827151401,0.6379335942482425,0.39034098225783365,0.43493410492094253,0.45301493249648156,0.5364927716100992,0.0068211101337081175,-0.11204347187225264,0.20912080272799813,-0.18886100816681717,-0.017082044832363058,-0.23011470031790793,-0.10060282272599615,0.4373904498791724,0.2258223413463722,0.6803063358482877,-0.4204751796854217,0.6206854785934312,-0.3869643218546831
Vermis_1_2,-0.35128699796431023,-0.20308671942558726,-0.15139292896996714,0.45745797650660697,-0.4050185721514859,-0.020387927156327715,1.0,-0.11320705824210855,0.06767983750052589,-0.4558677571554806,0.435521575894122,-0.36464302795107106,-0.12606043440258746,-0.10848809335581544,0.3581756934414862,0.04441961729210708,0.5225935025712086,-0.33456551748572244,0.6663754709753039,-0.39771343857206515,0.5048073791348282,0.5502815376691217,0.37614059104513997,-0.1804522099355622,-0.18017624439631,-0.4420727974925022,-0.18066526178199194,-0.3140947020390774,0.4341291641852469,0.05089514777972029,0.006222976272990642,0.0006820192310648058,0.23798886147367065,-0.23100456508389675,-0.386153474419883,0.028983045601825158,0.2337325913266815,0.3934981407394598,0.6257486095312146,-0.15002907708541088,0.16764662542423872,-0.12661325033011928,-0.10727049587179659,-0.31855575442792733,-0.09079142857634245,-0.041348795705224935,-0.03055127424775359,0.003597777295567477,0.4144726846131065,-0.2982974636410731,0.6329793207255424,0.6124006109560132,-0.02628831425405652,-0.252238922215122,-0.09192827778668042,-0.2466370153407561,0.06828794926833079,0.044322612737059446,-0.2010221287410996,-0.12622352779228124,-0.0318401382041514,-0.1504719170270963,-0.21594687328068934,0.5544150935324954,-0.13517060925395238,-0.11751042136300752,0.39643262871504886,-0.18612542486276146,0.10914365868716262,-0.03999504008888929,-0.012781484961991349,0.04998890890422629,-0.1220382102078264,-0.14180763816318087,0.061505155972800374,0.488379030061581,0.6523750335211502,0.08561651037635755,0.45492949915298897,-0.00336709143416771,-0.4301929858574803,-0.3150752380028763,0.2967021937204824,-0.15904186982352034,0.11781492059377245,0.04542662586329643,-0.16806013713618798,-0.26286573577824357,0.43704999424327556,-0.19035255958642194,-0.476246775732671,-0.048484098168716495,-0.040508401523933715,-0.28861718004396825,0.42890859298226136,0.5941368166029407,0.45052284351652183,0.025270642294374125,-0.29594815933040924,0.5361836331276797,-0.043266891802679036,0.13800593969339145,-0.24991885973685052,0.5498475942668072,-0.19963041839900175,0.11519524805520087,0.1767190273430075,0.2560257865831309,-0.078564065719117,0.6618637478693596,-0.00557886799570485,-0.2937969081786076,-0.5039556552681558,0.21787323981311157,-0.4041161019069376,0.020738812418959904,-0.3875059406000864,0.30104199327223663,0.33451231569169004,0.1497855396769374,0.28330054055924564,0.4121378223868431,0.6395063049227387,0.24525792530566562,-0.3560252044964731,0.0447380865949615,-0.18633765769707183,0.5737741997864148,-0.3473727502250824,0.6237512851813087
SupraMarginal_R,0.06887740539712774,0.6647783607904922,0.4688071238022541,-0.11129263675030919,0.15059788460187296,0.35191910988312847,-0.11320705824210855,1.0,0.2783426240033058,0.3563784445895834,-0.38976947334343465,0.01373340690938101,0.35384273801984384,0.16611172859872853,0.3542177970176898,0.5795428224608447,0.49688057916222406,0.09814021518915966,-0.4498493905783881,0.28459255048940296,-0.16032237331665175,-0.505880841887788,0.16820605391859594,0.7811928999277772,0.7804028313575366,0.17904584915913563,0.6038536203071458,0.32252242713403845,-0.5338397696607973,0.8466550117726901,0.49351952001038857,0.5049627914765124,0.7079898207895196,0.2787182832296607,0.30827580343738653,0.004139337639162417,0.3392620314372803,0.6876178451693632,-0.4164479138494549,0.31081150314439143,0.45849924219808735,0.8491550908389545,0.28867732474702695,0.061470864010888984,0.4934127188536346,0.39586178731459315,0.19835731174321375,0.22081291701229844,0.23895921857101915,0.5240808508593828,-0.27449533657827435,0.3999558439933737,0.39473269094488395,0.3873390582982407,0.7953500497661027,0.39202773511508565,0.10630967299346376,-0.11697678044624263,0.7884268438950692,0.7144663882152996,0.49986798734848303,0.859526885763099,0.5139371007337369,-0.09192449975291345,0.6555637951979952,0.7635186440491909,0.18289354754828543,0.8044558962197785,0.4982016253692437,0.37639984791642145,0.67294430436941,0.24679339246304416,0.42072215141648944,0.4351461915609686,0.31907498805057943,0.5877155614435758,-0.15239341094098555,-0.15237650494126298,0.46510953771921304,0.540990289961026,0.5777639740440444,0.5448368332669304,-0.14252851074342068,-0.2986777551230754,-0.020546623711873664,0.6240516552790344,0.3848051977334441,0.59721410584714,-0.2849956674927258,0.5107097428850155,-0.12422311355730604,0.7930056602811395,0.6503060390175714,0.3904844727431133,0.2890279221692405,-0.4933218089395311,0.2423595246018189,0.3157835732368744,0.4889674304032391,0.5359688629776067,0.21894248318423504,0.35056698933280045,0.6159797938094683,-0.3133597583263398,0.0012457323307371799,0.3743312502185191,0.04230589421215834,0.7034675227553829,0.9066756227752779,-0.5120538102555264,0.5100726775977025,0.16478034820717044,0.5104363892439558,0.6782747242731594,0.13008286979084385,0.4592373486254923,0.5222606097108898,-0.3020337315112598,-0.021344257019248167,0.29148198064356295,0.4028937557729101,0.19147373113207264,-0.27901218485778845,0.45999769122455303,-0.1556339024349878,0.31408311089282137,0.6097533068459053,-0.40348469278131116,0.6439985988321415,-0.4818738122179452
Frontal_Inf_Oper_L,-0.10077604928915732,0.6114728628945727,0.4235793599316828,-0.2100000051174417,-0.0024369708350911,0.21951751003174716,0.06767983750052589,0.2783426240033058,1.0,0.2956004689236489,0.05157170011738476,-0.21928111796396446,0.3143658588835706,0.4372608829417496,0.48117867292298494,0.28327047902219016,0.3593424646846474,0.040022980501472745,-0.11930451463048887,0.0034115453683058626,-0.06556676622691338,-0.18023035990029643,-0.07679340178699207,0.645223044140874,0.5448033884570711,0.21315987245985957,0.4524076182822889,0.2537067976308738,-0.014302395244741826,0.19152352855037885,0.6967738034529154,0.6064562630596124,0.4480560723325087,0.3334981670446194,0.24704243182856586,0.23149740502840477,0.17793766735715325,0.11252183892321581,-0.28267938908251206,-0.01638272447990118,0.5404597252204374,0.39559092470426593,-0.04769178751602063,0.3398504856624636,0.6433033876428398,0.49145193206466636,0.6437151794990295,0.07889153648414303,0.5561876749247627,0.15809426303258267,-0.0006057090005828944,0.33549492046356955,0.5291133928655849,0.4477841369054228,0.1222517636662459,0.4589601291140706,0.45147341811335795,0.2764076440721347,0.5018900961047972,0.416580012270867,0.6921611721792372,0.4471495697241592,0.684187429548024,0.314366296023976,0.4356523631925663,0.389406794663779,0.3475972182650539,0.5882924334231471,0.37302544764024786,0.7462694657851158,0.4767762052732742,0.3276445057298684,0.2190412821584838,0.48815273388853586,0.7100841795035594,0.46459290298912237,0.19180919354296064,-0.16445996919591854,0.04983111036357887,0.7008278197241156,0.3654291375210932,0.37777205069566816,-0.02343806686993873,0.2742867379342679,-0.17560002185085566,0.3573912214344151,0.37608233366029736,0.3345876480528896,-0.3196370632014205,0.4027403526333516,0.16210958950720286,0.4861044097341051,0.5240823508481464,0.5696812259777655,0.16563794961623501,-0.05922818240894004,0.1664457317668085,0.25409679712045147,0.4930970980409333,0.36254066411938896,0.7077504032427575,0.651409324327799,0.4791974746320403,0.030487666764929047,0.41923574085692455,0.2953562964020833,0.618199952781316,0.2984123688448288,0.24212632184022317,-0.3144215744203867,0.6405342309236888,-0.0028412187356927888,0.2736385975790455,0.32104528830496587,-0.06017075427876596,0.6459925782786492,0.4926014587412314,0.1658724142534258,0.38575313025526153,0.5142739021452989,0.24507091430355246,0.19036866966793872,0.022795000618064346,0.44021272834939634,0.0996967021596902,0.7000674291339689,0.33003888310590956,-0.05180856396563429,0.2962639931550259,-0.252850337188302
OFCant_R,0.5756684984410335,0.6051201437352439,0.42799420188239135,-0.3965151234491024,0.7710459613887922,0.594097223428339,-0.4558677571554806,0.3563784445895834,0.2956004689236489,1.0,-0.3702437068397961,0.3846845085430936,0.5743032996387247,0.34563313543977037,0.2074463784272186,0.32113745087450146,0.056972990252693485,0.44252887219042086,-0.6571895932916654,0.49298471462065907,-0.31461930644221237,-0.5518737292855811,-0.2166546101495733,0.5336038734388397,0.5352248816681151,0.5911811033264864,0.4684565455826906,0.7675648536381839,-0.3966430933824429,0.20415638611308187,0.3620728853192244,0.3071748854158198,0.07381175541516782,0.41337881781286806,0.6231168608445776,0.1669781822489935,-0.111963712300752,-0.15226067633307366,-0.609704712435612,0.10590108308930057,-0.024388906383775995,0.43516296428800516,0.28004439785420693,0.4806774503824065,0.3959583073335888,0.5220653491079393,0.24946686464124695,0.23956289622067026,-0.03716944948175237,0.583916481107147,-0.49023668936504083,-0.15504610085698672,0.3549980044461312,0.4753668803096663,0.27856103652786735,0.8202292134540068,0.28873979735550137,0.033851066649356755,0.6158506164075296,0.37606748616369107,0.31742235421001547,0.4617313790773492,0.4806316019001452,-0.2702964593925281,0.45184039569729106,0.33067166597428943,-0.15728853412619664,0.4576789656650201,0.36424910490202766,0.34688448224240404,0.3549756810831827,0.5554037487893766,0.39961478743839235,0.5670280822959137,0.03678012478867451,-0.0743368250711093,-0.4376521528869507,-0.052920382546180304,-0.08488959269010686,0.239314539178174,0.7555443228379708,0.3801606477369082,-0.074022107289368,0.28724330349397037,0.04397276211209093,0.28060300380598024,0.21015880347132956,0.6286392976417206,-0.2770960110202258,0.6386979252012377,0.5511755378280078,0.34798383752381734,0.23914429910676402,0.5451381827922259,-0.22630685560635475,-0.610889417477648,-0.3313408394524392,0.5498882155665136,0.6114766468347896,-0.03544420744702201,0.1924390756086714,0.26831078459687085,0.5437920381153222,-0.3902808282709905,0.3638062716123035,0.19558894557137926,0.05965931877350405,0.020562943569322062,0.32055787264294705,-0.6249843433166207,0.49528989120535394,0.5460801362309575,0.7713261593071767,0.19144174272114822,0.4935447631565714,0.4515409620134794,0.7866077598579467,-0.118754391415135,-0.1417300378908242,0.07240497562014307,-0.18135987640252152,-0.13763521290933223,-0.42587459701339203,-0.12745733893344866,0.5374320052303416,0.18883741425971032,0.4234462864957056,-0.6121313185552464,0.626094580523936,-0.7375116943797388
