,Parietal_Sup_L,Thal_Re_L,Cerebellum_7b_R,Vermis_3,Vermis_6,Thal_LGN_R,ACC_pre_R,Thal_MGN_L,Cerebellum_10_L,OFClat_L,Rectus_L,OFCant_L,Postcentral_L,Cerebellum_4_5_R,Occipital_Inf_L,Thal_AV_R,Thal_MDm_R,Frontal_Med_Orb_R,Occipital_Inf_R,Parietal_Sup_R,Cerebellum_10_R,SN_pc_R,OFCant_R,N_Acc_L,Cerebellum_Crus1_L,SupraMarginal_L,Olfactory_R,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Temporal_Mid_L,Frontal_Sup_Medial_L,Temporal_Sup_R,SupraMarginal_R,Cerebellum_8_R,ACC_sub_L,Vermis_10,VTA_L,Occipital_Mid_R,Frontal_Sup_Medial_R,Cingulate_Post_L,Frontal_Mid_2_L,Postcentral_R,Temporal_Inf_R,Thal_PuL_R,Occipital_Sup_L,Thal_LP_R,Frontal_Inf_Oper_L,Thal_LP_L,Vermis_8,Cerebellum_Crus2_R,Temporal_Pole_Sup_L,Calcarine_L,Cingulate_Post_R,Frontal_Inf_Orb_2_L,Insula_R,Parietal_Inf_L,Heschl_L,Red_N_R,Thal_MDl_R,Temporal_Inf_L,Cerebellum_4_5_L,Thal_PuA_L,Thal_VA_L,ACC_sup_R,Heschl_R,Frontal_Inf_Tri_L,Thal_PuM_R,Cerebellum_3_R,Thal_LGN_L,Vermis_7,Thal_PuM_L,Temporal_Pole_Mid_L,ACC_sup_L,Thal_VL_R,Caudate_R,Precentral_L,N_Acc_R,Frontal_Med_Orb_L,Rectus_R,Thal_IL_L,Lingual_R,Cerebellum_9_R,Fusiform_R,Cerebellum_6_L,Parietal_Inf_R,Vermis_4_5,ACC_sub_R,Temporal_Sup_L,Thal_VPL_L,OFCpost_R,Angular_R,Amygdala_L,Frontal_Sup_2_L,Supp_Motor_Area_R,Paracentral_Lobule_L,Amygdala_R,Rolandic_Oper_R,Fusiform_L,SN_pr_R,Precentral_R,Vermis_1_2,Frontal_Mid_2_R,OFCpost_L,Thal_AV_L,Putamen_R,Hippocampus_R,Supp_Motor_Area_L,ACC_pre_L,OFClat_R,Thal_VPL_R,Occipital_Mid_L,Rolandic_Oper_L,Thal_VL_L,Thal_PuI_R,Thal_MDm_L
Parietal_Sup_L,1.0,0.027325648966050293,0.0934321702302085,0.5654488835754555,0.35318101109312927,0.39841403220804184,0.06368563484733826,0.32899607528320934,0.0817445291203451,-0.13058898376109654,-0.06814225508947636,-0.041989706862140104,0.4270147693453533,0.5360063295820657,-0.051161013185713373,-0.06989793290940079,0.3881936485696156,-0.1424766123601946,0.27787056199104077,0.9308811687323488,0.14899403053939592,0.21006753768747569,-0.1463638769184256,0.3749677238240639,0.1475039413422,0.5473197562249963,0.05676453809473672,0.17347122271686766,-0.002548317962084743,0.5416520525545615,0.29003742293053986,0.46317334204036686,0.6146290391584773,0.13082056442621157,0.2558539534046709,0.13733580906250323,0.14753681999705212,0.4003838534337577,0.11473807590912592,0.3538204597203067,0.2969115800808677,0.5791958999769329,0.24260857799533073,0.6466347974350845,0.6170310651281798,0.3297722284572388,0.3960853928944155,0.578917394328319,-0.11002001231770858,-0.03405982864554276,0.2541842487225159,0.5433987574639243,0.6538321121963548,0.08597694298879396,0.36885745586645147,0.7970575169806913,0.6226886350928169,0.18921059787971192,0.3047160454650924,0.37200672551587505,0.612073370922339,0.3834972860244261,-0.046403335274024314,0.567251485141111,0.1445700741579368,0.34835669895109245,0.5620519747068529,0.1516501075188698,0.6427458387201941,0.04432816843966416,0.40177461335303605,-0.07025603814108704,0.5189120824033246,0.5086805194020124,0.23160362847164404,0.33914887194665094,0.40130982513627167,0.19688695699168932,-0.057058896070229834,0.254143471501632,0.5176764198432041,0.19528198043774264,0.5199071262984163,0.35890480191105323,0.8745370016138891,0.4669202361310391,0.3249423032483428,0.4478295138594975,0.6444648789586499,0.10602552999842821,0.6175116360223151,0.05014137029910123,0.2502606588626913,0.5064506164151638,0.44287611118794373,0.026217674458853275,0.49858888330932366,0.6505309451969599,0.37066975989200085,0.4746072930943632,0.5099247556344572,0.14559127997536708,-0.12747393921764963,-0.23403793873738543,0.23234656298583736,0.5352736580110343,0.5236891970695953,-0.19393563174737094,-0.053408208153788606,0.5032233417707039,0.6143949410687592,0.2616552703981533,0.5366877126219471,0.3941772647091004,0.49456325511861987
Thal_Re_L,0.027325648966050293,1.0,0.2674048598744659,-0.029956934017123623,0.2031517356555549,-0.03049189600239144,-0.005478825734147407,0.041400429733079676,-0.04402179838857954,0.07335081807173544,0.10626385687604294,0.07217827869391935,0.07112114294317615,-0.11831104035483081,0.08688770108222864,0.005610044688844177,-0.11859434936121103,0.024397235414973482,-0.06599442815675356,0.037026680466011284,-0.04554405396656434,-0.011995664095940377,0.05432648197950277,-0.21567807132331973,-0.12789258602057765,0.049463268198294136,-0.04400323037831033,-0.0016120106336668463,-0.08809329489737892,0.10223639293458354,-0.0001068552940160358,-0.027766249576535958,-0.007954255938109302,-0.1133455386154739,-0.11212603275036492,-0.09808659605351461,-0.12910205678972597,-0.026362581186337126,0.043242237276328845,0.04707545507329782,0.061173012097086574,0.046462811818928806,-0.04134206746461557,0.026693544375096266,-0.04811933920317995,-0.12119994295289074,0.032904159071427415,0.04515944677981934,0.01934653010555468,-0.06546097508203705,-0.06593054943897068,-0.03236536714198512,-0.022332318560408067,0.06251705622012609,-0.0847321855024586,0.05128022774223879,-0.06431992000414662,-0.2500341709276868,-0.03119802660888733,0.11808336719067444,-0.08230417367852352,-0.0764210205518552,-0.05669180192800107,0.001135592610094324,-0.012061066104256063,0.024619043841209404,-0.019731317207404012,0.029320388790808654,0.0023726598683139776,-0.194678583205562,0.07011512101971336,-0.01517048459540384,-0.07488576171512457,-0.1419899332996082,0.010996766898248467,0.05488026342741044,-0.13095228848049628,-0.011262880303098062,0.042607280885463325,-0.04518237328834591,-0.049637970933744426,-0.07951962838215823,-0.07080565008344931,-0.11015979971529963,0.04082410061954733,-0.10882209725784864,-0.19151917782290814,0.1043201103400026,0.022794272248783512,-0.039450553308617346,-0.02686413053325966,0.08294570558955439,-0.014035525926163675,0.0681869603348931,0.029829869671977288,-0.03964573263842655,0.030318712057682478,0.02000508051971467,-0.03433036486268555,0.012705277794304855,-0.057604092195870836,0.04930613206653546,-0.10200343363770979,0.12116821658253202,0.0241575853315622,0.04825792784639266,0.01912249210041738,0.024907704336345697,-0.0007941631073444458,-0.09173883538591102,-0.08505576807559216,-0.07241750036375662,-0.0007589557405446407,0.023500152678784594,-0.0735121594938258
Cerebellum_7b_R,0.0934321702302085,0.2674048598744659,1.0,0.2772882302468251,0.48119031254116323,0.009433332561450633,0.31576821610343736,-0.013235840146347341,-0.40256540089870957,0.4929615362437196,0.21710824879180435,0.41584539569627726,0.2738697012110265,-0.24977923793696855,0.3475829901863264,-0.10265839021101796,-0.043779933448460574,0.0935063920364226,-0.01581187519872647,0.1165863569275852,-0.3584410763684117,-0.13139649707686876,0.2821726935939379,-0.0723765918393761,-0.4086740270042669,0.2365532110573732,0.04678185642110756,0.37542569732499925,-0.40734829040409104,-0.03939366186919113,0.5069015342460959,-0.288138547687001,-0.05787808871653723,-0.25846955121002013,0.2151963211870843,-0.37738729211906163,-0.304826069732075,-0.22939220112509967,0.42047781701657627,0.19275999580463474,0.4567464823001008,0.13026450393862604,-0.4284462029170859,-0.050982823200045206,-0.019430734910016078,-0.0924686398327242,0.32336803855407475,0.15759430728764873,0.31915068192291457,-0.378592639065401,-0.13690717931930046,-0.15817959018150154,0.1242622192588124,0.5607194899540741,-0.1210149586563015,0.1867286131968169,0.04940685815914383,-0.21784925212455397,-0.1547311751642135,0.33087698503140595,-0.18787921050875078,0.1537544619153779,0.18355635066035492,0.2204513455384154,0.2996460453746924,0.4998367543169116,0.30376771110903444,0.34171340899671976,-0.05684703061023863,-0.30416193988921403,0.27548418162378485,-0.23407530910916727,0.27962326382881697,0.01599928894020291,0.28747757827664894,0.33546616140497915,0.0735194083912908,-0.2330977599649789,-0.0005174867822828237,0.02062480842024383,-0.2661763410207352,-0.1479225436950627,-0.3008651149756881,-0.2971262891447728,-0.021203106581887066,-0.3020893895073076,0.06792998212062921,0.20733270784527805,0.18013343858370726,0.06808910810411421,-0.2173522111712496,0.3580720541583506,0.4281177626681662,0.41805952613974007,0.25122015443617673,0.18513705345222217,0.4166409391199596,0.015933187560642038,0.026551902446045546,0.3810973643056018,0.029496513736876163,0.4558981137149858,0.21657613817244692,0.3070731452540899,0.2317173582584941,0.2961581540230323,0.43214153998993016,0.3362579799255309,0.25871984535997444,0.15553832859097172,-0.08027946190073736,0.22505660534574193,0.2961971877885136,0.1425484199007641,0.05683489272751109
Vermis_3,0.5654488835754555,-0.029956934017123623,0.2772882302468251,1.0,0.28558322338483827,0.6977712426087794,0.627259647011989,0.43434616312625574,-0.14545066662142045,0.3200001204428741,0.31542914561693497,0.3772258048885548,0.6379259912675875,0.12076392919521017,0.38763858973223736,0.11910869059209901,0.6006637096259219,0.13290769143081055,0.03950527050241524,0.6543971948494417,-0.20287997567678012,0.244191953808002,0.31397096327962803,0.22843330192542774,-0.3542901476877887,0.42430585936550225,0.4995296840601255,0.6068184916323816,-0.2831219108178132,0.21349913997329056,0.7053904002306278,0.09134174856752324,0.32057915523518227,-0.30492082201538734,0.3707327259739101,-0.31265875226088125,-0.24247004713771209,-0.20290628246781447,0.6283117015102105,0.44205967531719076,0.7581680068473287,0.5945690535972831,-0.11769473277984387,0.17105920650118214,0.10001066042010269,0.23209560854235123,0.5938425304149108,0.4769950430872974,0.2679942881774095,-0.3289764719079396,-0.18638219018622315,0.020728179972558602,0.3725291424096317,0.6366791980397285,0.13990280429082394,0.4540573105125077,0.5298830774280375,-0.15857101482381414,0.06418213011787458,0.5997129684632269,0.27621262791364287,0.5452713872825914,0.44260569363611085,0.7662480686575535,0.521463969031033,0.6964685908488596,0.7676267702708524,0.6307160140536228,0.5511127357814509,-0.36451601399580963,0.6474653634645358,0.11301058408287547,0.7541372610444469,0.5069233317691979,0.6628812768874492,0.6157719872856415,0.39991330348647663,-0.07894826374219054,0.11330894818366247,0.6003585534087131,0.11292156566733078,0.10706060920728715,0.18823756037026718,-0.1170623217822117,0.5005790872883621,-0.0013170622651238818,0.1974344259178351,0.5350656869880452,0.7114287128030973,0.08630937697429328,0.04161303322307255,0.5599522036485224,0.7268793729357207,0.7154729225082365,0.5092500595494449,0.47224749430633933,0.6577206686330298,0.5523700565812877,0.5075991374699946,0.7816821429652119,0.7459469839264675,0.6506369905003188,0.22962116292105061,0.3588251753933841,0.563265820826474,0.8651571157507932,0.6858495754383649,0.36247101798308834,0.20853962249078417,0.7096799253531173,0.10846639094075021,0.4106698755409997,0.7877215837897745,0.634718756107946,0.6124078346328684
Vermis_6,0.35318101109312927,0.2031517356555549,0.48119031254116323,0.28558322338483827,1.0,0.10166768117194074,0.04264445561836817,0.07339547124933461,-0.22729999703953754,0.2506838247936215,0.07566082729045363,0.24196701831759715,0.18016089606328123,0.16065737731361832,0.09874268427073829,-0.09855099520941163,-0.014538195675274476,-0.081682107390122,0.19611063265856868,0.45429279380005005,-0.1768612234622392,-0.29648635909776,-0.061273719531654156,0.12924405805393416,-0.17001080143604277,0.17789875084967754,-0.06031149525194853,0.05529667662854741,-0.1920868975919809,0.31352850795678183,0.2582919347832149,-0.06616835629420181,0.04726036786939641,-0.06118595705681222,0.23939250764504558,-0.1639659934021328,-0.13198062995489526,0.03831515742942697,0.15698558469318127,0.12857726066356034,0.27422484541479925,0.12916052780461193,-0.07783851674656563,0.18956980200685486,0.29031946311535395,-0.04511332422782597,0.17875805592864238,0.21924932928237986,0.023973505406144978,-0.3654144243512951,0.035225735499241045,0.10673856069630759,0.23832826301899723,0.2937363770934057,-0.049158527844274026,0.23083530308367695,0.09470199123909491,0.03072858252456968,-0.09466239681868086,0.5649337214894667,0.11982386660137992,0.197446342680117,0.014372097314759467,0.28089599346150573,0.08175315582185858,0.27941425824653054,0.2980696144980473,0.19017481862028204,0.16062432040676514,-0.09715166983821936,0.21715306772994733,-0.028052080281338557,0.2638619488771571,0.16657889879541626,0.13146449585807318,0.1941116614655187,0.18331649759457952,0.028835483157279608,-0.03469960702094603,-0.06605426863692367,0.08590454200852476,-0.12380592190064622,0.10904802693024086,0.046484627609826475,0.2716828679581534,0.06419221578993341,0.13861778207506292,0.25555628491068816,0.3201667162251351,-0.04531736205150526,0.15427252565234478,0.07997422146576229,0.240726802214495,0.2791003778732692,0.1722666444404567,-0.0486058506908039,0.3382915996881404,0.391559222828725,-0.11652816010187335,0.27821770839765114,0.022150654930084168,0.17929526836367607,0.043013124210159966,-0.040115602396166426,-0.000982654240579717,0.2995590982775955,0.25485260701992535,0.02239389580301126,-0.060900112672339114,0.23585339195429741,0.16460804625431077,0.2234074778817209,0.36396383186357667,0.14633121233860738,0.07414310711063177
Thal_LGN_R,0.39841403220804184,-0.03049189600239144,0.009433332561450633,0.6977712426087794,0.10166768117194074,1.0,0.4656197601874672,0.6009832215702856,-0.004308749388632324,0.1852783676934023,0.4002548384006703,0.2994627199218651,0.5072336907199398,0.1362017849408389,0.3238212673562691,0.3907892874156308,0.5724142423518176,0.19266433446058162,0.03588263750755646,0.5063552082537837,-0.06522213408949736,0.245852917361939,0.2552896023010012,0.10564982943071496,-0.294179031815469,0.17076777399969467,0.4155947642426265,0.4498181422870992,-0.2126403726245654,0.1533333012691146,0.45110922844984885,0.2023138156245097,0.2384567010469237,-0.24944270961534518,0.3173733764923332,-0.1962032031189861,-0.1462593894387418,-0.21069902771233281,0.4365414727512402,0.22158236411007626,0.5364439551360847,0.49395844914571935,0.14877835634688755,0.11650771110218569,-0.11236885251610161,0.1722825713871261,0.3535048650097864,0.32205423484748025,0.3173681914056852,-0.1236371226786334,-0.24697204006243334,-0.05129469367165992,0.10755114160571978,0.384770995041922,0.1753215287714842,0.187987208712474,0.3535218536005558,-0.12088804744716045,0.11874347832578021,0.4923550017930208,0.23485732116685695,0.5454555845506203,0.45945975365473196,0.6710255293444906,0.2809463228365149,0.3904264412769707,0.6153790004071393,0.538473649176341,0.7183695717498189,-0.40238193711136816,0.4877840248449532,0.1671864527786247,0.5925142693103345,0.45108722829369835,0.5417892491709555,0.5064674642091633,0.3361949121959335,0.023225168350834012,0.3717096951008526,0.7188376547647425,0.21158360854147384,0.04532283378775719,0.3563220379794508,-0.047063080738897534,0.3295301193976155,0.052400965166052055,0.1921824779565081,0.4471364061688015,0.5214735017580742,0.015049924738898936,0.005172631425854731,0.3975897599541965,0.5273613803330395,0.518700827573072,0.3436206067683353,0.4052776984423758,0.38425121120362066,0.47371018259002284,0.4213284286127645,0.5896135566194765,0.7270495464429894,0.4268896286840679,0.2060379286639083,0.3367045561841368,0.4825227994865704,0.7693655427722985,0.39018324714898955,0.2768366363491253,0.2566962062554543,0.7387991035309049,-0.06460078210499973,0.22269010229559844,0.548549479487164,0.5724061431744089,0.47499850972156615
ACC_pre_R,0.06368563484733826,-0.005478825734147407,0.31576821610343736,0.627259647011989,0.04264445561836817,0.4656197601874672,1.0,0.2772438963185193,-0.44869991958776156,0.678646723920057,0.7319441226875689,0.6870375197447777,0.4674310712841401,-0.433214080357846,0.6578891927276603,0.32831702959729897,0.372538283675383,0.4659532083819203,-0.08398625642310119,0.20468667187227021,-0.5537292429614022,0.18442194085162855,0.7300662033731051,-0.1949852684034229,-0.6115282803123986,0.16564547540031643,0.7034712052844724,0.7883482768352772,-0.4828352207633524,-0.2806830956146252,0.8202933849992844,-0.31235612349448383,-0.03198361104948491,-0.5856345976457954,0.2917972483709501,-0.6736021580816971,-0.5420049678643809,-0.6460585650334771,0.8719946709805629,0.30517538763919433,0.8747790214239649,0.3721049514210349,-0.41894492232729696,-0.27937741359230406,-0.4679193165664108,-0.050446487980493206,0.5383689321793493,0.1424313343882541,0.6844790022775205,-0.36020637980482156,-0.6045589413585516,-0.4879073469404257,0.007968519496143226,0.8476910088608774,-0.1804644639733625,0.09133957450924525,0.1812877432107424,-0.4961167513733592,-0.17104827539693587,0.46523232139782744,-0.2867669978880642,0.3649058081923688,0.7617993503900691,0.6335006463447614,0.7139663794739805,0.7199485414340399,0.5893894764703688,0.8283444985673127,0.17720395092760113,-0.48072221715027713,0.45633989055854846,0.17730913547317337,0.6519740884114693,0.2127668163534529,0.8558065845659633,0.5270323125370064,0.21657445123282104,-0.32758795644619815,0.5193376465784502,0.598253184535851,-0.39183088051034676,-0.23220077510387516,-0.31092034511672106,-0.5683304037661546,0.0016400250905154899,-0.5283196257261014,0.09113123861519452,0.3418181050655417,0.37126097459013724,-0.036842726040032775,-0.5302299557108215,0.8189713459721337,0.844041992458757,0.6575376311202165,0.3146352029456493,0.7687589429675578,0.36302383492633017,0.034060199718473606,0.4154380733443593,0.5623329061037687,0.5421567372602698,0.88389440794386,0.45514373857559925,0.7807325498316899,0.6706696579226827,0.7232261563316047,0.5385477092264227,0.8712675616777232,0.5335453449990307,0.5078591717586206,-0.3930966081951536,0.14394828320538683,0.5200905619289404,0.3983428249321383,0.28699126699642513
Thal_MGN_L,0.32899607528320934,0.041400429733079676,-0.013235840146347341,0.43434616312625574,0.07339547124933461,0.6009832215702856,0.2772438963185193,1.0,0.19304475517016778,0.0970818454924054,0.3270516739703684,0.2473294339477621,0.5603854416399526,0.16029571154131866,0.050516867610534394,0.5926309357619131,0.5169027595196267,-0.027273178952967533,-0.04668071107768723,0.3790510141948649,0.10958755649043327,0.4057317712541519,0.11830357113057623,0.09963646291660211,-0.29137988095660405,0.3670164319259076,0.28367602324302554,0.31837056259441093,-0.1551725028845904,0.3164372246351249,0.2556840353355556,0.4031086913069658,0.38220557077774564,-0.08112655682245323,0.17166170079589718,-0.008044934759576449,0.006744618038572659,-0.04189861150854014,0.16029843465263635,0.2331298874444407,0.3771249781654748,0.5631455672948276,0.1729157875637086,0.24846008171304348,-0.1508927639419605,0.20137310051742524,0.4016435290408529,0.2800548057891355,0.22441954342764386,-0.0007320305630288066,-0.18546542120555476,0.04455668244734752,0.080541203804993,0.21387190296243366,0.24317670408248518,0.2845429122856453,0.3059685832080176,-0.17565016652720628,0.10141867687074446,0.3206255875510136,0.23309338562596932,0.3073697070336356,0.39219860469819395,0.5203190423005543,0.03583701136987446,0.3767370270083375,0.44174738457923357,0.28430426060170516,0.6192570405462132,-0.4163940350959856,0.49819801629083044,-0.03952158614168364,0.3867728714916443,0.44530283127569803,0.35283436860031214,0.5171669328185025,0.2983194326021421,0.34068483400452315,0.2287416249778328,0.6683513205468371,0.3309963560400389,0.10134388205004471,0.30817464447194154,0.08774659245990725,0.32516362844213714,0.09885950789953299,0.27767493936027327,0.5371890986237696,0.5621502021501061,-0.003944578905447028,0.07370338577116547,0.26682060238722904,0.23127525063305063,0.48637737856108204,0.41294116374953543,0.24100588630821435,0.4276943041635981,0.36959573493346387,0.5316761854320914,0.5306014579855955,0.5899534016824222,0.26720484333169975,-0.012271592297838158,0.3499153660616344,0.4902989807731654,0.5135318540486901,0.3682410483239125,0.16700631047884834,0.28278760230862016,0.6173730051881613,-0.19766618308513567,0.14214264029233226,0.40980679786187135,0.306771276132583,0.3695090592369638
Cerebellum_10_L,0.0817445291203451,-0.04402179838857954,-0.40256540089870957,-0.14545066662142045,-0.22729999703953754,-0.004308749388632324,-0.44869991958776156,0.19304475517016778,1.0,-0.6899891698444612,-0.5464847555437977,-0.5565900819971403,0.2715215646324531,0.7066422419858525,-0.6728975939491298,0.10998541104536606,0.34710063192706647,-0.3444335021375163,-0.30430861093938877,-0.046096816342103296,0.9450755745235639,0.5161439880212308,-0.4953756355924413,0.2869466746854859,0.6004097602706348,0.37452746432168166,-0.36138429422151364,-0.35175475180900007,0.5629139170139094,0.6344620275714248,-0.45705240421015725,0.828436685750607,0.5827994474446988,0.7086818322869958,-0.23738884459995266,0.8841725407387722,0.7906324798211051,0.6481385699091476,-0.5994487297005301,0.12601047067068624,-0.4801988554686321,0.29930833896307996,0.7542948926185357,0.5762020399565578,0.3325493141712883,0.25201662588440527,0.16109087566595381,0.3444970675536236,-0.5853465480728316,0.6078811359400745,0.5987672686339514,0.6699965251342296,0.2251018683466053,-0.5763737157322245,0.6132389304716722,0.23963673414978795,0.2971627874699662,0.36598197258257736,0.6751702623938021,-0.11634931334542163,0.699268663841084,-0.017409207777405143,-0.3799044808708793,-0.18342580989537305,-0.7027853621074586,-0.09668115215344436,-0.1749149571535538,-0.6876849315481653,0.17133703550588408,0.16962416332336155,0.1992774681690713,-0.3610310037942452,-0.2778791126958826,0.3803036819276732,-0.49874267877530065,0.1928274500798807,0.016893292595953107,0.5441356425843911,-0.40910917407461433,-0.02878740215825638,0.8198721699878154,0.7796383542730837,0.7174491603550094,0.8088526050405994,0.34542573804617055,0.777132341360236,0.10018788219634404,0.24152588507996672,0.14990141729328418,0.2494597525447202,0.666413354595451,-0.5712907924548281,-0.5551099168881741,-0.06718112410042988,0.3242023857062035,-0.5494393076573159,0.16043722829306525,0.4429198954886816,0.21869166825915254,0.032848601839550476,0.07393009245169893,-0.5614399476234218,-0.3671817146264729,-0.3483251851307065,-0.04271814963327501,-0.3287563502936337,-0.09932594172817484,-0.5644815332277248,-0.31195809138563885,0.013183550873548713,0.18748429623655424,0.23147361347008166,-0.014142702959380629,-0.10364756065418299,0.28489707659454017
OFClat_L,-0.13058898376109654,0.07335081807173544,0.4929615362437196,0.3200001204428741,0.2506838247936215,0.1852783676934023,0.678646723920057,0.0970818454924054,-0.6899891698444612,1.0,0.7316412031847016,0.9374657102038602,0.15803710069601537,-0.5794033336311971,0.6385029938862957,0.25274165292302986,0.00265367754239387,0.47582745549904015,-0.056581838314476454,0.012750563185086158,-0.7635084436420955,-0.20553784879571238,0.8186968704353403,-0.22698401519277012,-0.7346734503869875,-0.07118954914529806,0.5835120333631217,0.6691497143500613,-0.49821542717782236,-0.3181252423055568,0.6649576459252747,-0.5785412502275123,-0.38497168847284285,-0.7069669227729889,0.456106225417537,-0.8167185504692337,-0.6408822372741819,-0.7698857669697804,0.7389065653169448,0.04568195952684807,0.7020189669880763,0.003495693649792782,-0.5926712091883898,-0.5070585459841985,-0.4446963548072439,-0.2542208263133127,0.15763197056889192,-0.16931440445554588,0.7136366165245299,-0.573481299016789,-0.5319632057897281,-0.6411897251781681,-0.19342826421064258,0.8426163362351724,-0.4209281027522886,-0.13408008004927488,-0.13979381280400383,-0.573635683801232,-0.5279469022539521,0.4494163781429166,-0.5457669354849685,0.24291093147363801,0.5615662634283937,0.3926159946711341,0.6110877622438304,0.4572964032610905,0.30885407206775783,0.7531560139497198,-0.027712224075531127,-0.3866409703153635,0.11380509027105651,0.172963347639863,0.40324011476415145,-0.18855763012071783,0.581419726870563,0.22069155897964676,0.14557945346466297,-0.4498044317521908,0.5538597007433845,0.319934158238068,-0.6132246118907833,-0.5370960452315734,-0.5100368602523959,-0.7062270695392594,-0.26083848374166424,-0.7147426470598707,0.11244158708283769,0.24399969516240577,0.11817289487239699,0.040860920606627604,-0.6896731033708317,0.7083324446184263,0.6952297070861782,0.35092651445003414,0.033910010751484615,0.5938502536294981,0.20449812333675513,-0.10867074496585896,0.024639945143398106,0.3091848677845671,0.24437377110127584,0.748545568639125,0.6730443720916224,0.6931816916260997,0.43527245479282445,0.5093456139728073,0.26311482054180574,0.8343533416152412,0.6980902542691819,0.21762583321079262,-0.4384742713318306,0.20320249644570598,0.23342331737884464,0.15473409818045614,-0.1198998219785847
