,Precentral_R,Cingulate_Post_R,N_Acc_R,Paracentral_Lobule_L,Red_N_L,Thal_IL_L,Pallidum_R,Cerebellum_8_R,Thal_MGN_L,Thal_PuM_R,Occipital_Sup_L,Olfactory_L,Frontal_Med_Orb_L,Occipital_Inf_R,VTA_L,Thal_MDl_R,Thal_PuI_L,Thal_MDm_R,Thal_VA_L,ACC_pre_R,Cingulate_Mid_R,Cuneus_L,Cerebellum_Crus2_L,Temporal_Sup_L,Thal_LGN_R,Putamen_L,Thal_VL_L,Vermis_1_2,SN_pr_R,Thal_PuA_R,Caudate_R,Calcarine_R,Thal_VL_R,Temporal_Pole_Mid_L,OFCant_L,OFCant_R,OFCpost_L,Temporal_Inf_L,Thal_PuI_R,Angular_R,Vermis_8,Occipital_Mid_L,ACC_pre_L,Thal_LGN_L,Cerebellum_8_L,Cerebellum_9_L,Postcentral_L,Parietal_Inf_L,Heschl_L,ACC_sup_L,Cerebellum_4_5_R,Cerebellum_10_R,Cerebellum_7b_R,Occipital_Mid_R,Frontal_Inf_Tri_R,Frontal_Sup_2_L,Insula_R,Hippocampus_L,Cerebellum_Crus1_R,ParaHippocampal_L,OFCpost_R,Cerebellum_6_L,Thal_PuL_R,Frontal_Med_Orb_R,Cerebellum_9_R,Cerebellum_3_R,Rolandic_Oper_R,Temporal_Inf_R,Caudate_L,Raphe_M,Frontal_Mid_2_L,SN_pr_L,ACC_sub_L,Frontal_Inf_Orb_2_L,Fusiform_L,Calcarine_L,Thal_MDm_L,N_Acc_L,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Cerebellum_3_L,ACC_sup_R,Vermis_10,Frontal_Inf_Oper_L,ParaHippocampal_R,Red_N_R,Thal_PuL_L,Vermis_9,SN_pc_L,Thal_AV_L,Supp_Motor_Area_L,Thal_PuM_L,Cingulate_Post_L,Vermis_7,Occipital_Sup_R,Cerebellum_4_5_L,Thal_MGN_R,Vermis_4_5,Cerebellum_10_L,Rectus_L,Olfactory_R,Angular_L,Lingual_R,Temporal_Pole_Mid_R,Cerebellum_Crus2_R,Thal_VPL_R,Thal_AV_R,Temporal_Pole_Sup_L,Frontal_Sup_2_R,Frontal_Inf_Tri_L,Amygdala_L,Temporal_Sup_R,Postcentral_R,Fusiform_R,Thal_VPL_L,Thal_LP_L,Parietal_Sup_R,Thal_PuA_L,Thal_Re_L,Vermis_3,Insula_L,Paracentral_Lobule_R,Heschl_R,Supp_Motor_Area_R,Lingual_L,Rectus_R,Precentral_L,Cerebellum_Crus1_L,OFClat_L,SupraMarginal_R
Precentral_R,1.0,0.4647334863639266,0.48391862807161906,0.7755485290118708,0.024365282384121337,0.5890101712855614,0.43235182003374767,-0.06798500860621155,0.5306014579855955,0.8065889512879243,0.036630762803318895,0.3260277401489564,0.031142027290073843,-0.09240878581747457,-0.029233040500049264,0.19396114835758058,0.6095011332851041,0.7061038606779385,0.39126816838313605,0.5623329061037687,0.831760185403361,-0.005856139391181173,0.002766852519639508,0.6922271801297378,0.5896135566194765,0.7547406527230985,0.7512872992481753,0.6536128307424697,0.5217926932376861,0.5456342421095305,0.5709180318826897,0.26301720722334293,0.6157463423427545,-0.051257699360874744,0.33956729442862765,0.3147875769174604,0.2708839717368511,0.5362317306343983,0.46614983248908887,0.09011904560472997,0.2547327825548395,0.014468287461857665,0.3105691852388695,0.441970933980048,-0.025761948855810637,-0.08517152700216546,0.8846440383480586,0.5459379391542741,0.5687213214673708,0.7306921601545351,0.20406467059466363,-0.014372007320822625,0.3810973643056018,-0.13282628491852913,0.7133666171326488,0.6928845368701788,0.37980119910960575,0.803946638406948,-0.3081631745380023,0.6006859991452589,0.2713714905930734,0.025724901053891757,0.29549243062300007,-0.01645266626837239,0.28009449902948347,0.46495087983348293,0.8202810103563705,0.05238751431154574,0.7915198502920119,0.20953764218322163,0.7333859090699226,0.5866672817262023,0.43698014538581337,0.5995278456839276,0.5546911432815848,0.1409538824610956,0.6388007632759122,0.25483344137324965,0.6566702332372446,-0.1983337826492018,0.45674205226004777,0.6967661989418186,-0.1328205986869264,0.7419415345907143,0.5836403224444139,-0.07902009534744175,0.19357055147928762,0.16790833387978119,0.533263140708162,0.4122362981866884,0.8054711312825293,0.8063692541562247,0.5589388695535101,-0.4012947905044284,-0.13492280559885833,0.3204706600925454,0.5077002594711258,0.10659105431880454,0.032848601839550476,0.26026618393897816,0.30523055105986224,0.11846548888748706,0.25235855072817887,-0.12350234464360464,-0.13733410315992142,0.7489148578918646,0.31972939730825717,-0.04451087558953249,0.5861846430862032,0.8222772767620556,0.4247311187574602,0.2827244956608826,0.8266476822691131,0.27132423739499795,0.7148407518081619,0.6038284687717843,0.4950841385669189,0.568632558511855,0.012705277794304855,0.7816821429652119,0.6438268702760335,0.8100427676478287,0.3863278226199872,0.8638669719118721,0.3223888133374835,0.09944013455624952,0.8505029371982803,-0.2884748590744327,0.3091848677845671,0.4887891096016846
Cingulate_Post_R,0.4647334863639266,1.0,0.30367003866766756,0.6773330894296349,0.40907217293267434,0.044338067004575946,0.05008270340838773,0.41349277862164396,0.080541203804993,0.5366730703398429,0.6562654507389559,-0.20013276739506144,0.20858374480178826,0.12709558250296432,0.3869010775161116,0.4298781101048363,0.3192268028793928,0.4244868546393668,-0.1933478284630827,0.007968519496143226,0.6738031463951429,0.595257527688416,-0.042164452910531384,0.3292295182045655,0.10755114160571978,0.1822112485396475,0.4898409647178468,0.2946647604248828,0.3414306947404785,0.307719700039119,0.0709370817729686,0.6836479377283554,0.5971190354999084,-0.2054448321496755,-0.1937120211703071,-0.1708740540548831,-0.0685627161812708,0.1833268066928097,0.20675670674918095,0.6354225659009751,-0.2954605472484113,0.6059927050180963,-0.22710421523569685,0.2698433745792635,0.4222597365991217,0.29765790014904225,0.5086600233678565,0.7665711177037225,0.6849572267481285,0.3546093554057392,0.5876288852702577,0.28251394569510374,0.1242622192588124,0.5029908709414086,0.38393885600324085,0.17654406994978308,0.55763373862957,0.45512297445649075,0.28564103052614453,-0.02309600738968123,0.2903304664202049,0.49538245295442707,0.6942024488666115,-0.18126732613813007,0.3741035951069338,-0.09737816559802774,0.47865611450922774,0.26729922278579543,0.4596385042535221,-0.03260446862938993,0.1701410548672683,0.04994728995631284,0.17525884140549391,0.019576246960957618,0.4976625742473054,0.7094387370987737,0.532029644254002,0.3407926297932715,0.10969343216361568,0.16156956998218513,-0.1561650687148242,0.2763682443828446,0.3353571210423934,0.5074403951468572,-0.057212449435249245,0.4553412225505213,0.4240263949378287,-0.21569122723628997,0.2067704519557734,-0.2730515841059953,0.6061931607661906,0.54276863183451,0.7242133176855093,0.29793474852820506,0.6116387261794252,0.6347937091596096,-0.055472271628855006,0.570950352258508,0.2251018683466053,-0.3456728349177594,-0.18986774348913874,0.6820800208773646,0.5077392916186625,0.3324270395700404,0.18421702716469238,0.4652564222273217,-0.14433514372206405,0.49263993035451525,0.06002302378096777,0.4235991948993356,-0.1854290471370195,0.4802716487768136,0.587584403242161,0.4444744287351512,0.5868652132817213,0.7355540185269962,0.5221332673072034,0.4433129812146814,-0.022332318560408067,0.3725291424096317,0.6421226701206497,0.6318762268908086,0.06525730201565459,0.49967758446350924,0.522965965425621,-0.274336707285563,0.49132355120516075,0.38020339492804067,-0.19342826421064258,0.6711045955876839
N_Acc_R,0.48391862807161906,0.30367003866766756,1.0,0.46244011179493266,0.15349370852958427,0.2756088624082787,0.5833449715433799,0.07901986300410242,0.2983194326021421,0.5044084386584373,0.09187815478288573,0.22734678539717199,-0.09234115537835066,-0.03139555762863547,-0.005863837524154071,0.25492240113780645,0.335027971884769,0.48345584585773604,0.3162613189660599,0.21657445123282104,0.4871838968279206,0.11485966048498109,0.014131288496500445,0.42874230742397396,0.3361949121959335,0.4003236864037117,0.45858898427518735,0.40296648657922146,0.38487488592504043,0.34698456863840743,0.39619175855925376,0.20544196695130088,0.460910157837271,-0.037809090787900256,0.16234770910518867,0.15768746618250506,0.11528520211618214,0.32189284454532197,0.2732861945926289,0.14704105583116844,0.1524164964064044,0.12892465837021644,0.09105820239349334,0.3493878405799216,0.10697729790915986,0.03058390129002813,0.46553531225569844,0.43578543516754575,0.4084496915071438,0.40670698254638143,0.1902649571437834,0.017554052829986757,0.0735194083912908,-0.012379570479956135,0.45969651886463014,0.3410910167463813,0.28241332331648084,0.4532854349581814,0.01601279648176614,0.3369901908472427,0.17085617929357802,0.06742519235890475,0.25119937825715355,-0.2053719009424938,0.0751560943133362,0.23263050416961875,0.4205049995507788,0.12653050965234489,0.5022623602157156,0.2578546848268485,0.36209736167048445,0.3094385579056642,0.4825812836139911,0.21965994565167146,0.2829886882102692,0.1644498378657494,0.3528658896516743,0.5974955597879087,0.35337737203347047,0.0284160969696062,0.24509008624269646,0.3885777775603013,-0.01761024200923109,0.47649752873586676,0.30559155733854204,0.14568601174999143,0.12557360346823657,0.05722938493141179,0.20438386656159993,0.13595787517018187,0.4751506542828532,0.3808441608088809,0.3144701772555996,-0.13521309991157077,0.07514023875288295,0.22549329162260182,0.28028860476380646,0.14511741950352033,0.016893292595953107,0.10836453917373999,0.3094939374635299,0.1782562076435498,0.19824178497829434,-0.02552554320075169,0.08733624949735144,0.48284847553484816,0.1377583366092979,0.08232173591538451,0.3015429536031932,0.4725611195429533,0.3267281814494535,0.2597274948589423,0.5166947265269435,0.24726638513686347,0.36353800051107593,0.37999711035704786,0.3748085244929618,0.25701745538476256,-0.13095228848049628,0.39991330348647663,0.37398933158940784,0.47053150300521346,0.25277016503088934,0.4953459916916462,0.2047453783794918,0.07017718798499425,0.4667147897562796,-0.06923096998998485,0.14557945346466297,0.39703632953837614
Paracentral_Lobule_L,0.7755485290118708,0.6773330894296349,0.46244011179493266,1.0,0.06835903321216806,0.4307576930337961,0.332627029675283,0.2824220277282782,0.41294116374953543,0.658834513584851,0.17425439425296993,0.07126970797455834,0.15437971507323,-0.20612790973456283,0.26926797421818194,0.4538508180282143,0.48211132407496504,0.6837484329974143,0.2001533519245722,0.3146352029456493,0.8113410164162113,0.33582804213653034,0.02474538425555727,0.6703313230285257,0.3436206067683353,0.5411464312707169,0.6207319681843089,0.5578716769811496,0.6025790583885455,0.519602137704442,0.3427762986778134,0.5703342539400388,0.6930155296077245,-0.2522995498674597,0.06774009890039157,0.09160839909065543,0.043903803010534447,0.42232849381916276,0.26755493649868184,0.32193129677880933,0.0013748415306513186,0.10381596697304755,0.11896783887169744,0.34906049179208704,0.2632041403243568,0.24640257482981479,0.8984694927149005,0.7023273152669206,0.6501909416778864,0.4696502055770951,0.4219325091785017,0.2715266550523655,0.25122015443617673,0.16618314018345784,0.7157452614444765,0.40044303565842065,0.5387936033503559,0.6305811300347314,0.1309880641538345,0.31004544831799713,0.2780605240956999,0.3378292517692631,0.5337933169520527,-0.17145974490286128,0.4379207556397086,0.12982437715669204,0.6556812628262289,0.2634996540925707,0.6654756701431294,0.11390370753797575,0.4658949511637688,0.3515506638932546,0.2714006011866929,0.3073518572301546,0.5282625927974675,0.4400787763161656,0.6305170998756519,0.269487378964448,0.40829800718080667,0.06569567817526588,0.16360104840906023,0.42832320170994664,0.21777943937330513,0.7883672843787118,0.2659079277213064,0.14277307072014483,0.4453394185487641,-0.1541101337313061,0.46573055841254896,0.2466008118328133,0.8193583925179659,0.8229490976201496,0.7285240772132072,-0.15174436485729623,0.06394476624487229,0.5260084908272593,0.371296713471103,0.38068844322565404,0.3242023857062035,-0.00986709406954243,0.08540716966788943,0.36500690366260446,0.4741508360984404,0.1325343898771414,0.2382084010394881,0.6588192539278578,0.2865557979700779,0.21677628222241543,0.2977568965441023,0.7175937315811867,0.14764741235590262,0.5174158168371582,0.8827196439138357,0.41406026739263563,0.7290957804718701,0.7545307395622147,0.36713885901715915,0.51147770362655,0.029829869671977288,0.5092500595494449,0.6470857751879827,0.9067167552359844,0.1439535761675647,0.8291245932235772,0.5894071739832383,-0.08140074711942573,0.8755432897805281,0.07475511747063547,0.033910010751484615,0.7152735335483287
Red_N_L,0.024365282384121337,0.40907217293267434,0.15349370852958427,0.06835903321216806,1.0,-0.34650108814512415,0.0012034333193752596,0.3186321374910605,-0.21634555168687114,0.16965265318559017,0.49255360351933625,-0.31888919171371616,-0.053949930822278176,0.38044651488383896,0.06731606036948776,0.07300457750344042,-0.03597866912319686,-0.07149244418434895,-0.22486423515369983,-0.14788507154983713,0.10842617709462782,0.2404726854848224,0.06506972215246128,-0.057601105635196985,-0.1358673192128469,-0.11185387623500935,0.22304449510876326,-0.24988691464202334,-0.15509989814410363,-0.030275972807665908,-0.06428441698228618,0.11725419044445445,0.1661193937489032,-0.011887344150339032,-0.22723055898152777,-0.2551822024805018,-0.04137915539010775,0.009201715940158704,-0.08057345876049395,0.2910706710733519,-0.17246258138713252,0.5500333478160773,-0.23807840482042916,0.017414205084773718,0.4500012874194582,0.03877619033973846,-0.04257115603173453,0.3034510340998137,0.3151727929083184,0.11258262103284081,0.2538162408588038,-0.04368607486949563,0.1275685163072928,0.3360773248706482,-0.10081957810781689,0.06167981826856313,0.23286111447150054,0.058340120805307906,0.211864623019721,-0.29886637653916626,0.10944391791675644,0.20913311403931148,0.1457845568136813,-0.11647918163010164,0.06449088768249982,-0.13892919200032688,0.11703744582973584,-0.11674305916547813,0.01733688551034664,-0.17726180501587485,-0.07363557092817317,-0.026199538572994036,0.1744699736111647,-0.08136421043935878,0.03724012519420378,0.33059106961261286,0.2460539178225866,0.22368627429063606,-0.16173063466361498,0.15056111753008733,-0.21853592819605477,-0.07332494623534645,0.09887850520508128,0.06355625481166596,-0.29627906160270606,0.6549021620466696,0.07935549000735506,0.07472013053268643,-0.09235930079820152,-0.3921919862023445,0.17119996788982078,0.10451782433615729,0.1287874344949068,0.5175177059180932,0.5819190744731422,0.21535757064141753,-0.36759167544042554,0.24532337859854875,-0.14930117571258228,-0.35342918005662494,-0.29915888591110446,0.40630613613717986,0.006740759803729444,0.24845432633898362,0.08804669940421501,0.017588130788707506,-0.416213524578371,0.4057658846218311,-0.03446003640516319,0.10367170059332309,-0.19507873492798564,-0.056028904581436986,0.0018858265000619668,0.015623120247091591,0.04332640702909554,0.24811155969439191,0.12962078971284924,0.17492256045214497,-0.10214139927408954,0.07353380120589564,0.3850588611344074,0.017578238989642964,0.14826021963755637,0.009069455637281685,-0.019456736512219016,-0.3213546036628368,-0.029271233165055727,0.31446768437080486,-0.11497307251073592,0.08810837332791217
Thal_IL_L,0.5890101712855614,0.044338067004575946,0.2756088624082787,0.4307576930337961,-0.34650108814512415,1.0,0.4115175646554549,-0.34752859451400747,0.6683513205468371,0.6063788264116123,-0.3571867460127435,0.4868734143281949,0.006253100269382229,-0.1171388833146565,-0.22238556926701267,-0.034728561642016646,0.543349402949576,0.6584906757154361,0.5828365862821983,0.598253184535851,0.5654725008474483,-0.22527160431694326,0.017556721071119177,0.5017098365910737,0.7188376547647425,0.5840910016837422,0.44766861452624923,0.766247306375579,0.567857282866808,0.38098463483680367,0.6190566760400366,-0.02745477408577903,0.37450265443332736,0.20178976645544353,0.43044095013798805,0.40898820263417973,0.23431998575665217,0.41598725575337164,0.449955177386244,-0.18757167877190883,0.4093802089169633,-0.27370214691917366,0.4666283644255525,0.5594540251627035,-0.2846509257982585,-0.17674500936937107,0.5762486063398233,0.22748032660825232,0.3343902365942296,0.5992283297459018,-0.0585966490715792,-0.16025630406903585,0.02062480842024383,-0.38375055336592456,0.5419824026191113,0.5618771615080943,0.07424285568467617,0.6430595379306604,-0.30363766564044564,0.7495761297322394,-0.04785443397035996,-0.20066087717482473,0.002368099012068319,0.11675716966483714,-0.022662387093736205,0.6096524840334154,0.3468601398784562,0.04156447069845241,0.5282976976531415,0.520004265459104,0.6399599088063649,0.49522898482397,0.30586474255947077,0.4656348420215726,0.2579012480159914,-0.2213863892185292,0.36279354113652545,-0.031152569914219892,0.53401302584735,-0.2495325983798861,0.6768830800482645,0.6640999440286159,-0.29762660058685253,0.3974312380306414,0.7702547238926566,-0.37878166181564993,-0.05203085769661242,0.20750155815901125,0.32797316266837484,0.5762712100482071,0.4837841784997931,0.5267054712378686,0.2387416376176286,-0.5031465880136354,-0.4319068707021986,0.07073023538838555,0.6695852831657858,-0.14562775644118459,-0.02878740215825638,0.583594927853785,0.5304872749308928,-0.23085225492154698,0.0893006155037979,-0.22582529914430233,-0.10797773332357065,0.7060048817060878,0.5822474681393732,-0.44914143047731087,0.504418771839736,0.4441676670781844,0.5032999129501089,0.15196086044622012,0.5526138275266916,0.15495218983795817,0.5647559976218669,0.2077057534106063,0.35764025406984,0.42244055507911077,-0.04518237328834591,0.6003585534087131,0.11308326442687477,0.5181058221281332,0.4019137889054359,0.6265096678652518,0.09929668635770687,0.4618074522608631,0.5450319393223233,-0.46406537762993705,0.319934158238068,0.2624596015807568
Pallidum_R,0.43235182003374767,0.05008270340838773,0.5833449715433799,0.332627029675283,0.0012034333193752596,0.4115175646554549,1.0,-0.24964036580714907,0.32706053674418367,0.47235971974184,-0.21094633903565607,0.5850159804765872,-0.1419438744771763,-0.07456419014465906,-0.27709422191754685,0.06694810872752066,0.45516442147942837,0.4081156500557167,0.7049138586037823,0.5644919895599625,0.41027862295209355,-0.17221758826541178,0.09837521799133325,0.31455441591841754,0.3215619828296566,0.5601902705407005,0.5397856338491152,0.4287880397583689,0.46022275731863654,0.28593456902216646,0.6566849837807374,-0.10699174040633674,0.41079803761437195,0.08393858661603566,0.34203821292582653,0.3894337650693533,0.16634995304524378,0.3289185512585955,0.3429297700332485,-0.21245700938183432,0.3758170833115438,-0.16213765460813237,0.4376391858941431,0.17462529755131306,-0.13929699632860354,-0.2819316780644173,0.4112478336745557,0.22073792842359724,0.2859652772056458,0.4947675057833659,-0.18098404066292298,-0.24817870258011898,0.08883964727900387,-0.3132763052155944,0.536209316567612,0.49225910756414787,0.006817245447997231,0.37992252889901157,-0.2507437128179086,0.5232326275317238,0.051838769062889235,-0.2815320028449498,-0.0216831557560074,0.12089596641471749,-0.09845133340864762,0.5048903856191405,0.29313105695737257,-0.17571540811703135,0.5193786216384678,0.27772029815339583,0.5700040807910814,0.5628468757500942,0.25072954796444746,0.47904973824645336,0.116132437577763,-0.18922072450180513,0.37265425601716,0.3173902804661206,0.5180658214948578,-0.2016193572161517,0.48102742191338266,0.45896169720783353,-0.31736390554233207,0.5120768226498046,0.49180517306172006,-0.18256931955296665,-0.13520886559964193,0.284793560833658,0.389838072724309,0.4347719894025491,0.45143767121910316,0.40204682918396656,0.28349303751081956,-0.2775053723443327,-0.24272507189364978,-0.05914160454301639,0.3422247217402327,-0.2191066121062673,-0.15730310133261707,0.37653440583828296,0.6373872051149015,-0.10925112611351177,-0.13441219075877112,-0.2755918449672523,-0.03679616947136642,0.4373797511742981,0.1846001642159496,-0.2735056310465741,0.46212399003756366,0.5610020357936214,0.6696302535520287,-0.05414630718202444,0.383566051861273,-0.09605513446001997,0.3410983556302882,0.24136767696180386,0.18163454221407432,0.08337417702560662,-0.057443038397756954,0.45377212685853147,0.19637574745897912,0.40061450956013,0.4871212884812053,0.4637880745494827,-0.0767359704781044,0.24708755153976283,0.43287069470940914,-0.30050119147676607,0.3167425555761768,0.14882242325068493
Cerebellum_8_R,-0.06798500860621155,0.41349277862164396,0.07901986300410242,0.2824220277282782,0.3186321374910605,-0.34752859451400747,-0.24964036580714907,1.0,-0.08112655682245323,-0.15425472677315366,0.5291977036122182,-0.7078461350528659,0.45307788126125487,0.004383610989670077,0.812335975680023,0.6331485298612044,-0.3460260519359202,0.1675061933963508,-0.5409839885470935,-0.5856345976457954,-0.00750367069042431,0.7627717763193109,0.007818101039595458,0.03157441844607042,-0.24944270961534518,-0.4914844121717053,-0.058169974947882404,-0.21235619807349762,0.03844516142109907,0.04539512687001054,-0.5684843081085256,0.6685740165269026,0.3654401835554372,-0.2978434713543542,-0.6891756191783952,-0.6258403042176874,-0.32020560416646415,-0.29643527430309624,-0.2149903505960206,0.6995855415181497,-0.62939382961502,0.4638116350807702,-0.688400175530089,0.00323837826839379,0.8129432644725252,0.8568472487486998,0.12696404997406616,0.35502656146941824,0.3027514344539896,-0.26905038788312946,0.7564962804224843,0.780205063285751,-0.25846955121002013,0.7968035026159642,-0.10994300522235255,-0.5140829679162986,0.6664416661885039,-0.05473601851225177,0.8338328424180869,-0.5477273317288419,0.29787822973250494,0.8443266173841099,0.5830354803587977,-0.4293399585433663,0.5940331773532038,-0.7493491393552373,0.062031718380448665,0.6387264084350617,-0.13894228454099983,-0.29741137048492905,-0.5813748866955472,-0.5499219955874639,-0.1734321759377238,-0.6682828694221534,0.23706256326373493,0.7758758994655761,0.2487979257091163,0.35681181777846727,-0.41362105489396256,0.5967489119742632,-0.747355173463546,-0.31919143510024145,0.8765101259428302,0.044077889936708727,-0.6259800329247641,0.7619718025389322,0.7002992864980295,-0.7569289025751935,-0.25040902197787857,-0.5969021868509353,-0.030979864104948986,0.0977994927331923,0.09117504829510072,0.5819470649866256,0.5733864994885335,0.6827182849894693,-0.12843689970069228,0.8292568443800847,0.7086818322869958,-0.7175542904039341,-0.6296903721740471,0.644962431464008,0.680900386255372,0.6262577316857875,0.6590449022459696,-0.07605591519584413,-0.1435681989576229,0.7650733528473513,-0.6428293172010892,-0.15664667469018645,-0.7547082195207196,0.6567266561661971,0.2337154885121382,0.5853134058566422,-0.044222574027763625,0.36543199506951396,-0.0812640086307055,-0.017090862632583772,-0.1133455386154739,-0.30492082201538734,0.3761297805556026,0.11113745263875777,-0.5844805310144329,-0.1113852865250426,0.664156022908231,-0.5389188651130699,0.05847343735625355,0.8057335140735425,-0.7069669227729889,0.5453169728399292
Thal_MGN_L,0.5306014579855955,0.080541203804993,0.2983194326021421,0.41294116374953543,-0.21634555168687114,0.6683513205468371,0.32706053674418367,-0.08112655682245323,1.0,0.44174738457923357,-0.1508927639419605,0.23508648676092983,0.34068483400452315,-0.04668071107768723,0.006744618038572659,0.10141867687074446,0.5468751751049373,0.5169027595196267,0.39219860469819395,0.2772438963185193,0.4600932218977662,0.061570505334401546,-0.06257210883076526,0.5371890986237696,0.6009832215702856,0.4160164861570645,0.40980679786187135,0.5899534016824222,0.5316761854320914,0.4554255147634785,0.35283436860031214,0.20577900940416066,0.44530283127569803,-0.03952158614168364,0.2473294339477621,0.11830357113057623,-0.012271592297838158,0.3206255875510136,0.306771276132583,0.07370338577116547,0.22441954342764386,-0.19766618308513567,0.16700631047884834,0.6192570405462132,-0.15267344142519437,0.07264724007482606,0.5603854416399526,0.2845429122856453,0.3059685832080176,0.3867728714916443,0.16029571154131866,0.10958755649043327,-0.013235840146347341,-0.04189861150854014,0.4209382370901107,0.23127525063305063,0.24317670408248518,0.5505853595096383,-0.10227777059126966,0.5665187307355986,-0.003944578905447028,0.08774659245990725,0.24846008171304348,-0.027273178952967533,0.10134388205004471,0.28430426060170516,0.4276943041635981,0.1729157875637086,0.5170262046400587,0.322304216738552,0.3771249781654748,0.23546960822433352,0.17166170079589718,0.21387190296243366,0.36959573493346387,0.04455668244734752,0.3695090592369638,0.09963646291660211,0.31837056259441093,-0.1551725028845904,0.36122080447915417,0.5203190423005543,-0.008044934759576449,0.4016435290408529,0.5381859596669616,-0.17565016652720628,0.1512744571290654,-0.008320348464936662,0.11182998625044144,0.3499153660616344,0.3682410483239125,0.49819801629083044,0.2331298874444407,-0.4163940350959856,-0.206099671755921,0.23309338562596932,0.6470070149151689,0.09885950789953299,0.19304475517016778,0.3270516739703684,0.28367602324302554,0.036411734119184504,0.3309963560400389,-0.08723273888241423,-0.0007320305630288066,0.6173730051881613,0.5926309357619131,-0.18546542120555476,0.18550094751725,0.3767370270083375,0.26682060238722904,0.4031086913069658,0.5631455672948276,0.30817464447194154,0.5621502021501061,0.2800548057891355,0.3790510141948649,0.3073697070336356,0.041400429733079676,0.43434616312625574,0.2024235455175755,0.49402470188869335,0.03583701136987446,0.48637737856108204,0.36978499394578634,0.2287416249778328,0.5171669328185025,-0.29137988095660405,0.0970818454924054,0.38220557077774564
Thal_PuM_R,0.8065889512879243,0.5366730703398429,0.5044084386584373,0.658834513584851,0.16965265318559017,0.6063788264116123,0.47235971974184,-0.15425472677315366,0.44174738457923357,1.0,0.055178343444048795,0.3386202592258139,-0.05916136167924477,0.151360498098307,-0.18409500473114687,0.10624649933020779,0.6997785151552391,0.6475664637686167,0.5234331506058588,0.5893894764703688,0.8324467421541041,-0.0281125458802917,0.05481190393508513,0.5423652890577163,0.6153790004071393,0.6959191012892599,0.792757507168171,0.6671970705056683,0.5441546878289856,0.5709789933220141,0.7003508628740786,0.140247974043715,0.6551050312938546,0.017173924349026454,0.33452289909314087,0.26907985972113707,0.19675791265202155,0.5512014002442001,0.5356486020812088,0.06408343833700192,0.3660713229121588,0.12621805240023187,0.36025699427255825,0.49893153449515426,-0.044659058759760485,-0.21470415804129697,0.7049106492114743,0.5574575057966169,0.5994372607900637,0.8530445460182893,0.1443416693965878,-0.1872396039428202,0.30376771110903444,-0.14259081610453067,0.6088998637184317,0.7292578022197402,0.2597576268666034,0.80137280645677,-0.274905923723126,0.6111709913436952,0.07338702227441721,-0.06054701083896823,0.28571820179083207,-0.01052421024588671,0.07278008441776566,0.5847119027136337,0.6422573450973198,-0.0948383747895217,0.768897198501346,0.3747769629990134,0.7493474163798204,0.6125435461196218,0.5078588015298211,0.5758994363764935,0.41894254715120327,0.06863198282161462,0.6486244897178083,0.25380972563086346,0.5771610068564299,-0.30958324354328415,0.5567502756736918,0.7965176710372064,-0.26418171618546094,0.5978100912467903,0.6312179325205124,-0.009067600894219827,0.04008296757615687,0.3099523634187272,0.4246777248538655,0.36721556841281827,0.7955852234527002,0.7745015698573163,0.5540251892164275,-0.2955367555594822,-0.0061661476619249535,0.275195850347908,0.365950573492543,0.04331139803313468,-0.1749149571535538,0.3279173829707143,0.3370036145757241,0.12632896697442053,0.1459922537315911,-0.1709173134301469,-0.18627924529420573,0.8706789067844477,0.23034448022858242,-0.14729440125348187,0.6191683698464785,0.7285708151708926,0.46564467316669395,0.15592848589097041,0.7225487726612787,0.17573353134984251,0.7351973988162642,0.5908783458135118,0.6004581799857412,0.5934034848716039,-0.019731317207404012,0.7676267702708524,0.5365100850148182,0.7407062458765896,0.5529039134036475,0.8248112404663855,0.17478976481553252,0.17824517348701258,0.6899721727455043,-0.28350719333374025,0.30885407206775783,0.4137790513358352
