,Lingual_R,Cerebellum_Crus2_R,Olfactory_R,N_Acc_R,Precentral_R,SN_pc_R,Thal_MGN_L,Cerebellum_8_R,Temporal_Mid_L,Frontal_Sup_2_R,Cuneus_L,Cerebellum_6_L,Cingulate_Post_L,Cerebellum_Crus1_R,Cerebellum_8_L,Insula_L,Rolandic_Oper_R,Angular_L,Olfactory_L,Frontal_Inf_Oper_L,Postcentral_R,Frontal_Inf_Oper_R,SupraMarginal_L,Thal_MDm_R,Cerebellum_3_R,Supp_Motor_Area_R,Rolandic_Oper_L,Red_N_L,ParaHippocampal_L,Amygdala_L,Thal_PuA_R,Thal_Re_L,OFCpost_R,Thal_IL_R,Cerebellum_4_5_R,Temporal_Inf_R,Occipital_Sup_R,Precuneus_L,Fusiform_R,Temporal_Pole_Sup_R,OFClat_R,Thal_PuI_L,Thal_LGN_L,Pallidum_R,VTA_L,Cuneus_R,Vermis_7,ACC_pre_L,OFCmed_L,Heschl_L,Frontal_Inf_Tri_L,Frontal_Med_Orb_L,Cerebellum_7b_R,Vermis_3,Caudate_L,Thal_VPL_R,Thal_AV_L,Postcentral_L,Cerebellum_Crus2_L,OFCant_L,Vermis_1_2,Cingulate_Mid_R,Parietal_Inf_L,SupraMarginal_R,Thal_MDl_L,Frontal_Inf_Orb_2_L,Vermis_6,ParaHippocampal_R,Thal_MDl_R,Thal_IL_L,Temporal_Pole_Mid_R,Vermis_10,Rectus_L,Putamen_L,Parietal_Inf_R,Thal_VL_R,Paracentral_Lobule_L,Thal_AV_R,Vermis_4_5,Precuneus_R
Lingual_R,1.0,0.592816920390532,0.024270484486708342,0.18580284536629546,0.5057808456250669,0.03445208602464324,0.21235234839675515,0.6663240119894887,0.4387696853503077,0.3905081248214201,0.6747574375495401,0.6147736670046428,0.2020330963949411,0.7613207157409311,0.590738697717587,0.6488363015645044,0.5250985112771887,0.17887837096495815,0.19693787605689494,0.2789909345266648,0.42126990431723116,0.5423331597819917,0.46205020849799955,0.298950466770962,0.5766815803468625,0.5810391323674031,0.5781228798320979,0.5314168180284188,0.4357520098764789,0.1508828269392163,0.5013488660737275,-0.027705598694946217,-0.02230331272279585,-0.11110828182399304,0.8643503170331437,0.6465659696716446,0.4533468868613799,0.3980700877414302,0.8167781346323089,0.13349584990823943,0.022833629535206627,0.2543492606893485,0.34007875373830027,0.3361511919030108,0.061269016478724084,0.5184524132045376,-0.025610238311556382,-0.1471433172282201,-0.15481947402481464,0.42530436392331644,0.17401208165712795,0.08299897756506017,0.4585928143695788,0.5590558361545908,0.46507596117046673,0.6378817862360383,0.27676299729098236,0.19577805743114537,0.250441434480065,-0.2224212652457723,0.19354568542504208,0.6447198356592164,0.27164874004678485,0.5886966025788033,0.4692573239095692,-0.05768559793263517,0.5384929303118837,0.3491936131512234,0.09843597678221537,0.35942505456835083,0.30220209946546756,0.6445610439032481,0.02943980113603879,0.5887982274890914,0.2132370769124158,0.5382451195033827,0.4811373365444599,0.33916978343821474,0.8105101607480817,0.6116618269631133
Cerebellum_Crus2_R,0.592816920390532,1.0,0.02693287352012624,0.08233904304994309,0.14583516971766639,-0.2540799262171889,-0.06381192453016385,0.6674496715054017,0.5463547081465112,-0.05188813435593067,0.3879301035745356,0.6105247180810105,-0.2665091532625716,0.6047946471659456,0.5337821356457297,0.39970333427449556,0.006152574823621427,0.15325669784404952,0.06821979885817184,0.2316119708390679,0.10046645326732491,-0.06523728411900483,0.2919299346283738,-0.2435664187716603,0.041562230793687316,0.1614114472940079,0.3059001899911242,0.3176930177925751,0.06529481046512324,0.2887408210567504,0.3071401080470648,-0.12777449625115514,-0.18047428122399675,-0.31586659082138185,0.5534421011504945,0.37585326766714966,0.1707895621329079,-0.08973862538069856,0.3110589022248331,-0.2633924304316505,0.04596873909203946,-0.18749667484990143,0.02237748337596654,-0.01944330156752335,-0.15899428513366876,0.4014866303111305,0.1841622134402756,-0.47668024084831057,-0.16012927346906936,0.276004769263958,0.03605017084670044,-0.09562482494528116,0.7181634384386141,0.03794218890880981,-0.09207124502143627,0.40761795732007805,-0.10436721952543866,-0.1814037337014781,0.11484700729797576,-0.3558765409631046,-0.11132993613068615,0.14451476801036964,-0.015748141506110893,0.1871424692668666,0.020756066523858148,-0.16972153326918074,0.6909287831138586,-0.051978457622967315,0.2239370528192127,-0.0807520686743762,-0.014700202876673289,0.7178434713022113,-0.32063059061418164,0.13776601548459988,0.002116793020356403,-0.008582401853399431,0.07646511349474308,0.19352100451374654,0.3516442462939985,0.07333792748447579
Olfactory_R,0.024270484486708342,0.02693287352012624,1.0,0.8641524015378452,-0.21184110004803303,0.3865354683883375,0.3475455456642007,-0.03940725697995466,-0.21362922401694517,0.16936972360582253,-0.29189120992865286,-0.1828064225836239,0.039610620377302085,0.14177169701870823,0.12540860694404737,0.22095652903422008,0.18887191612608656,-0.36275450037013757,0.6346259151697791,0.05667174892584898,-0.23216714792679305,-0.013543462082598694,-0.2656563152005655,0.3153120070742466,0.2835968383763276,-0.13614544497297293,-0.026273175467952666,0.36577937086042345,0.4020474640997388,0.1453328376774912,0.31013532626004575,0.37274570958388537,0.3943375129361953,0.266826333005249,-0.0026854001225417212,-0.024371314260278835,-0.2983383723320677,-0.03772667872078872,0.03825007058460541,0.42686767505954354,0.44210105132515104,0.2712010407157891,-0.03824924741160366,0.39687536207965574,0.0682409777622823,-0.24071464304456103,-0.1056475961189858,0.37403835918354944,0.4385249520185052,0.11515669064346265,0.23574478846864017,0.12297042817142369,-0.1388797121642298,0.228196674657882,0.1909269039466272,0.1662451709297166,0.09607794876317566,-0.15453541163193196,-0.22138950147806127,0.4267123686393168,0.10044833036285476,0.02096609527070919,-0.15287155167074898,-0.23678394975182515,0.09105703527157097,0.3207175311643214,-0.20327319169432437,0.5156862532167105,0.10679104901845188,0.04525865381190053,0.29922530049439316,-0.15139540625617964,0.29507720538360616,0.22598198011308498,-0.2870075407558211,-0.11898628515901186,-0.11323151037605353,0.45418051070504756,-0.008743240941680136,0.081836333480079
N_Acc_R,0.18580284536629546,0.08233904304994309,0.8641524015378452,1.0,-0.07239183367502856,0.37250759844664827,0.4132192217087478,0.02361732475018755,-0.18714680284908286,0.17310180679545922,-0.1830387437617019,-0.09107073325901305,0.06665204781915741,0.2146024987831953,0.19657235200985637,0.2903867451086086,0.2518388714165905,-0.3540522941778903,0.5612333154019141,0.06781984931476397,-0.0858048838085429,0.14012566994608308,-0.16931262975800876,0.3415132196723028,0.458620333498823,0.00713036764886886,0.08359322217414791,0.502691122988936,0.4036882175142032,0.09063192499608042,0.4841991590833532,0.32962623861410806,0.2920072976290055,0.23708350984999396,0.11073181367942769,0.02652478611723646,-0.21612769773137744,0.051646534674871646,0.1621071153686427,0.3640138997972826,0.3663846756671869,0.3252088738585406,0.01609581182350781,0.4907865251809441,0.0938378691329442,-0.14330399783517936,-0.10358532636034971,0.29947568446832185,0.3032067832861235,0.09472896972799881,0.25383751219913187,0.06792962731127311,-0.10083561726193822,0.35791706909493415,0.29381757637851835,0.32408149015081117,0.13745275513649485,-0.09831023873404642,-0.166821883350315,0.3405910726920638,0.10509921044771105,0.10243223168709015,-0.11348899500170723,-0.09639630803536815,0.16483765546768228,0.2809371160179634,-0.14686978560685812,0.5501817966735897,0.1699889469186333,0.11464079731436444,0.2835923301100817,-0.05050448595813222,0.2602175489529259,0.3116402870589098,-0.17874101741180545,-0.019751993411442983,0.020545955624465463,0.5808821357540422,0.11631630017427749,0.186822605623699
Precentral_R,0.5057808456250669,0.14583516971766639,-0.21184110004803303,-0.07239183367502856,1.0,-0.1175755020628631,0.3075230426994424,0.23707715546744523,0.10748203851913274,0.4614483156857035,0.6361245073230793,0.09297737426910568,0.3729950087848879,0.13650516832222223,0.23353428009467336,0.40712201324490804,0.6903477179846486,0.3558193579145654,-0.11353217274954346,0.024582222324849,0.9498909352646395,0.6754666675322996,0.349525900178204,0.2100447926212808,0.5159355061117893,0.8164914171890677,0.6799241111498285,0.21841160698683826,0.21615396327045033,-0.3292064327223603,0.34341143484096787,-0.11548815094407452,-0.34185797257920214,0.06700670660865077,0.4191366270980725,0.14463988725150184,0.624917399306723,0.6965050900074496,0.40400657508324844,-0.13240313618349364,-0.25243234039261636,0.16119479817997776,0.3693359052511382,0.22888509343182045,-0.03244906044602855,0.5388574361310855,-0.044349666508748935,-0.17310618830830385,-0.3892016027425918,0.48113031893490615,0.05318879587482803,-0.11322642333263473,0.22912151418092538,0.5922669162614754,0.3833439837681155,0.4171956479356764,0.2795324219336314,0.5627450609831094,0.26739348712750993,-0.22861485573673634,0.10673268765670622,0.5913495143133366,0.5473523160645197,0.8137361352511512,0.35720033829101006,-0.21208276481801147,0.036542742290197,0.1990397048276224,-0.1336153095655826,0.4106787560796845,0.14700410359720342,0.273691079408327,0.017497314694103927,0.4327105017801532,0.777487786719375,0.4164857584242486,0.7877568675582323,0.20560349064234187,0.49562195218660066,0.7079813848025799
SN_pc_R,0.03445208602464324,-0.2540799262171889,0.3865354683883375,0.37250759844664827,-0.1175755020628631,1.0,0.10244309412120661,0.10981542675746069,-0.2365079013550626,0.3203710481355864,-0.2656140321180551,-0.08327637105659712,0.3490645704835569,0.21963057671655992,0.1434149598474225,0.317959732807447,0.2378311570242553,-0.4664101978664135,0.5696843739913922,0.22046875175764497,-0.13434469800154983,0.29835767040244476,-0.292090637702634,0.5305325686004387,0.3240652356317885,-0.011396292371867766,0.13094140668485266,0.25883631006727237,0.5645828354629024,0.21417637439482382,-0.10740653762387364,0.6553159468351669,0.5936006406109849,0.5283719887905661,0.11763302898165534,-0.033617624865878236,-0.32993823072878176,-0.04174847390049022,0.261327593993212,0.5855645516516134,0.32718441359486744,0.6156106296069664,0.07269631928355366,0.4296610201307561,0.7859018630663309,-0.46481855775185804,-0.12996832249190254,0.5039362912291878,0.43495108683807143,0.2521865285031441,0.2589450419650123,0.3310086804164273,-0.2568148190813484,0.43918104639470185,0.4922948858744473,-0.061751945773287506,0.37872990710956267,-0.12631527259235428,-0.2217528392797302,0.29357240440541305,0.5916069093439043,0.291543355623861,-0.21277163723346826,0.0055563500758731505,0.3784381256223331,0.4477679869552094,-0.08447369755090871,0.7132121299357165,-0.05858450262574843,0.5074154078186656,0.4841944648324391,-0.21757927772168237,0.3756633955128823,0.40009613180696263,-0.31474660602018645,0.365217788144605,-0.15393778233542857,0.14808790863272203,0.22526367719410392,0.10152241995630042
Thal_MGN_L,0.21235234839675515,-0.06381192453016385,0.3475455456642007,0.4132192217087478,0.3075230426994424,0.10244309412120661,1.0,0.05257516835466087,-0.18413990872755537,0.5146580352957202,0.06282093832279813,-0.0725001290052172,0.43513932605568123,0.10263569246553529,0.028538578677624025,0.23642880885366283,0.41752235721847364,-0.2034923929092243,0.2307795110053095,0.1619704025068148,0.27960399719776874,0.47288993343067204,-0.044307041011969264,0.31513391442132754,0.5184834810868701,0.446090838884836,0.3359370139783548,0.3412367245821565,0.4358878776748472,-0.14484099941346903,0.4161340869517902,0.35193302693845957,0.16126890756644485,0.3106844709987895,0.2118788166715991,0.15900551413293776,0.022306660458811012,0.39733912364530444,0.3488326207008675,0.35628039909067605,0.24873621952315897,0.45044173357664696,0.5941394663458087,0.6450563346606452,-0.11718036790352865,0.20471699054780168,-0.26655925845428813,0.3359123544256852,0.13523649795708978,0.20332796529029146,0.2725360740261127,-0.06365958912988604,-0.083412541364856,0.5226199924976532,0.43108389879431064,0.3404128074081879,0.3457286289253589,0.2733597770790013,-0.028273436985637397,0.28110120379621895,0.333185499414779,0.3971166721748463,0.18055506654469153,0.17521962666127164,0.3961661839648289,0.250628899038938,-0.17597431989678375,0.4227401149112594,0.3678095579994748,0.27342137283701423,0.3988089131640009,-0.09265287052075086,0.42294395008951874,0.36812827878444976,0.1828873330090648,0.21470640006017386,0.370863501555361,0.3723597861434062,0.22711828236246165,0.47946501624682714
Cerebellum_8_R,0.6663240119894887,0.6674496715054017,-0.03940725697995466,0.02361732475018755,0.23707715546744523,0.10981542675746069,0.05257516835466087,1.0,0.563212706277574,0.20606855953474673,0.351392892386847,0.7848621372459599,0.058326368344397916,0.809873217737451,0.6145483638326882,0.5284264492231482,0.16831181049823363,-0.03420709885682543,0.3116489244771733,0.5131147104223478,0.1702296043035821,0.18280692292278858,0.17172051381091433,0.060219308677718936,0.22203081679014725,0.3176837805538395,0.45004653139090156,0.3326935474623159,0.38738226085820465,0.420067109013997,0.16114814437881944,0.1308216139496704,0.13680756122005625,-0.10386990609588734,0.8544924344251386,0.5308909578016178,0.07663829878541831,-0.07823485002926817,0.6115598020815145,0.06551385998552997,0.19398016435078805,0.0825353538970882,0.31335413463626477,0.150245240890378,0.2368075376489054,0.15418261916483456,-0.06532311638981687,-0.2672193738828139,0.012645646555360327,0.436440070034027,0.21157259582480473,0.24348149771695837,0.5838884528770549,0.3012780153973461,0.21572062929079763,0.23324247068735532,0.3121888615358649,-0.2367017095947128,0.13313756547568248,-0.21555545466573228,0.3431739216242699,0.4722477842756619,-0.11754197625929577,0.32263709657907585,0.45816250352777904,0.06309503144359332,0.7141859785340962,0.2359061066742508,0.11593094437145418,0.21560363379714745,0.33665216971144646,0.7261569369073662,-0.09115029069912498,0.4050327585852467,-0.06957182889277075,0.35124626713015994,0.09812284307928533,0.13340454174641864,0.6257602055515756,0.20689683286622265
Temporal_Mid_L,0.4387696853503077,0.5463547081465112,-0.21362922401694517,-0.18714680284908286,0.10748203851913274,-0.2365079013550626,-0.18413990872755537,0.563212706277574,1.0,0.000958080371894928,0.3846595233692721,0.7719168383395216,-0.06969283156407344,0.3583153665985945,0.6467145188839675,0.48348529486892045,0.09161729661507383,0.3869684186877701,0.03767548487990344,0.6350543144255464,0.15442871674331207,-0.08546818836341721,0.44693548781291614,-0.2216705502395702,-0.09275527497533094,0.07453918376815948,0.39415535704066534,0.26504358482090934,0.08335699557430166,0.6777876122345092,-0.006687599418985106,-0.15546241329405436,-0.13351721175213158,-0.3072594458065641,0.5012595248857067,0.0400384083378061,0.08004867570137528,-0.17766419355766977,0.1095259750133581,-0.32196777408356186,-0.1528490595046776,-0.09050182755379634,0.22991064520684068,-0.09055572476118798,0.013673215810518554,0.17257894489277184,0.1839001821344091,-0.29481099617263634,-0.003446792054291635,0.35736643948866076,0.316773871914861,0.24637836163161309,0.3516084756265084,0.08483223789275625,-0.013507008043749776,0.1755380111524064,0.0014375318616698925,-0.29385761466845434,0.2112335482074892,-0.23158361618921447,0.12118873149124812,0.2946269559345611,-0.1511936919331622,0.2397774233533905,0.09450435912573163,0.24189368529627323,0.69781907425204,-0.2648518761475484,0.1044453927646776,-0.12277940980315888,-0.20146048507569034,0.6831460037105461,-0.420171322682159,0.2566109177212265,0.05349366072566005,0.23013397021765833,-0.16813003653784592,0.06324546780751196,0.37775831357501377,-0.0017295142057567993
Frontal_Sup_2_R,0.3905081248214201,-0.05188813435593067,0.16936972360582253,0.17310180679545922,0.4614483156857035,0.3203710481355864,0.5146580352957202,0.20606855953474673,0.000958080371894928,1.0,0.38010437977971645,-0.042402992849259975,0.6075100247706884,0.2530905499132808,0.1962247517347772,0.6354627370629181,0.7171963144966012,0.052694683122355444,0.40956892415575136,0.38976556534044254,0.4124121427625136,0.73665626277633,0.26818164139927364,0.4744381985690882,0.6567989488068258,0.6135358935900127,0.6290384024919282,0.3564090338124772,0.6405629777194729,0.08661665068970929,0.11271439589048814,0.37887219011419343,0.429211033600179,0.39591341234783967,0.4323641417810784,0.18954215170600047,0.28127692080287037,0.6335236144447245,0.4944351499719493,0.5657633223447736,0.2976927004789607,0.6151973423241616,0.5480875544387376,0.5183137546123872,0.2750565284920059,0.25044192270925614,-0.19217881075848506,0.46336075732196064,0.24182784573170218,0.6172687106020281,0.5009377224967739,0.12165043340486963,-0.09521984981669505,0.733926797851676,0.6714243680424905,0.3051643915485638,0.4722496061151523,0.3936952201230941,-0.05524930040848441,0.16817024147329068,0.5241290010115928,0.7728522115488797,0.42953176509846114,0.5098048573305085,0.5569173826520318,0.3644218687158558,-0.11888250729322013,0.6217069916178988,0.06569299880071795,0.49520465956309,0.5900831740034593,0.13612284315682177,0.368435224950162,0.7030496082833749,0.2980041794604433,0.5585296990556443,0.4728582799589767,0.2745287515513742,0.5260247046479404,0.6699228634554992
