,Putamen_R,Insula_L,OFClat_L,Parietal_Inf_L,Postcentral_R,LC_R,Cerebellum_Crus1_R,Cerebellum_10_L,Temporal_Pole_Sup_R,ACC_sub_L,Precuneus_L,LC_L,Raphe_M,Frontal_Inf_Orb_2_R,SupraMarginal_R,Thal_PuI_L,Temporal_Mid_L,Fusiform_R,Cerebellum_6_R,Thal_VPL_R,OFCant_L,SN_pc_R,Frontal_Sup_Medial_L,Rectus_R,Thal_LP_R,OFCant_R,Precentral_L,Vermis_1_2,Postcentral_L,Cerebellum_8_L,Occipital_Sup_L,Thal_MDl_R,ACC_pre_R,Temporal_Inf_L,Frontal_Mid_2_R,Lingual_R,Temporal_Sup_L,Supp_Motor_Area_L,Thal_PuM_L,Temporal_Mid_R,OFCmed_L,Thal_LGN_R,Insula_R,Frontal_Sup_2_L,Vermis_9,Calcarine_R,Calcarine_L,Thal_AV_L,ParaHippocampal_R,Hippocampus_R,Cerebellum_8_R,Cingulate_Mid_R,Thal_MDl_L,Frontal_Inf_Orb_2_L,Paracentral_Lobule_R
Putamen_R,1.0,-0.02393616455248204,-0.07264874758465699,-0.25628029361331867,0.1597125840196931,-0.22386396599371697,0.027207991259356325,0.09060202456088479,0.2286787331340037,-0.06813721213244552,-0.18881418903195446,-0.11129550374060532,-0.20349127651427243,0.7215059435797002,-0.07904392088409505,-0.05036154683024554,-0.34100542337305684,0.47191938957135854,0.04488297402229854,-0.1377073880850398,0.4251557313133376,0.5776637059413423,0.4837021739101566,0.2738836939938583,-0.0034504027904607363,0.5545774830450433,0.07951367551708223,-0.23780390134641052,-0.006913635420758088,0.06715189716357897,-0.2215611545673304,0.28695885740247656,0.6761088209673091,-0.12582002446511795,0.5396107834225987,0.06489965321184989,-0.18099430038653624,-0.28809589658844226,0.24740733419350905,0.21105375799368412,0.4934338384695129,0.5567026350833654,0.6709798702645666,0.40931816936011056,-0.0038273621933551786,-0.2620933239337165,-0.43702423416323555,-0.07453261765228464,0.668233239301016,0.7402204810640796,-0.4757047743147159,0.22392513323573282,-0.35000377722690407,0.29002270964949434,-0.031100642319591438
Insula_L,-0.02393616455248204,1.0,0.7491388299944292,-0.17361611565470983,-0.17188467622560022,0.49810484923990117,-0.4492146262894744,-0.4073041016806272,-0.3344980144750115,-0.1966554591542914,-0.3633199496613501,0.4371367361362076,0.6384208619539619,-0.46272342734187044,-0.3565187318710305,0.08162074128519084,0.5259892730906911,-0.5393782833022147,0.16827017463641303,0.08319602251169227,-0.42064664016464026,-0.24100349875114938,0.08368908138938724,-0.24647664237952277,-0.03140110914752062,-0.31108132393473764,0.6077315146425637,0.5871288964199152,-0.22274999600158985,-0.2554601696109823,-0.3199354036674835,0.20252180418818364,0.010599380392638389,-0.29135500688466665,-0.11888299044341044,0.2454426809628916,0.8652446834243881,-0.1042018549829569,0.5694777909102594,-0.3656820166972603,-0.5981286551549123,0.3201634838388641,-0.39006777343137805,0.0007389925411124474,0.4158161115234556,0.4040646309323886,0.44795540563153186,-0.09688058387178108,-0.34095416520676136,-0.3829860979993012,0.5559952644347893,0.07992488986747436,0.3353511350787695,0.6898397833056796,-0.13437333971524515
OFClat_L,-0.07264874758465699,0.7491388299944292,1.0,-0.154423531589881,-0.193432704098506,0.2552587544164187,-0.4036037199332741,-0.22312416176837302,-0.2572192066687522,-0.13717138335364654,-0.264007432529903,0.2694795842573103,0.6463946115761596,-0.3638793953765616,-0.2817118346004503,0.2782968549781253,0.31170110387994615,-0.5227392849930788,0.018935903712895417,0.09205956912129981,-0.5007479930047134,-0.2578545074024735,0.09751836314485376,-0.540478948350232,-0.18166712080737193,-0.027346829941128577,0.23388801624264127,0.44544449085036586,-0.28026537635749366,-0.07129748591789253,-0.20197748813041203,0.23526246293545558,0.14705546897468944,-0.3504546605514686,-0.04496994901160085,-0.14822250226809267,0.48524567270080216,-0.010314441047454544,0.2363242615146505,-0.419166230099579,-0.5312174269351783,0.04014419702123639,-0.4720357709703917,0.01842680326268405,0.12583848772353906,0.019510316549565202,0.2948423086215838,-0.12202046980624524,-0.40860756676695725,-0.4486767929944912,0.5048237001943736,0.07968700809357314,0.4101152663209915,0.6320657731381162,-0.06404974375999067
Parietal_Inf_L,-0.25628029361331867,-0.17361611565470983,-0.154423531589881,1.0,0.27153736084133684,-0.13384587889183805,0.13967373792306687,-0.08267601286170666,-0.005914431695782731,0.004691633330242459,0.7246367032589804,-0.0629006240619762,-0.050855686310688215,-0.1490290427019179,0.13614857417611606,0.16491215432586276,0.1377716013353761,0.07111355328066847,-0.07018861155095439,0.17411474811515187,-0.050816287165742643,-0.12886474629320963,-0.01606172742942665,0.124606004697924,-0.16250341718287306,-0.04667405216021637,0.1408076027870564,-0.02020326772652295,0.8262087037907222,0.01595309389405557,0.6498779690856864,-0.09918451666330108,-0.4349671448738712,0.2270828547978066,0.12147882599701953,0.0058175358871717445,0.007770469347048459,0.5450849588581839,-0.0006272964215600901,0.11714206753371581,0.08831581843593342,-0.3641967512701879,-0.09837192225595108,-0.05072078818951648,-0.09521048506843204,0.13483800804602608,0.371296320095807,0.24369029094152614,-0.13312407237080004,-0.1264992652847527,0.10655198720759966,0.18456104505947107,0.2918302777512938,-0.2881196649038094,0.3379169123434128
Postcentral_R,0.1597125840196931,-0.17188467622560022,-0.193432704098506,0.27153736084133684,1.0,-0.2895925476402948,0.015324705153338718,0.030519850772987786,0.039072327103685314,-0.15670915401822127,0.6322957958320625,-0.11422166259063384,-0.15638710778736675,0.1276763863922607,0.6282135416915745,0.19932027037215508,-0.23290639553753512,0.2513439149458231,-0.01413083921673463,0.3151481654106193,0.07966293575175946,0.38958770611065485,0.28785045175687657,0.12899776912454125,-0.08132526991486816,0.10054379444456531,0.2691512430791136,-0.17706560330910595,0.44429902780632813,0.05294022806626359,-0.018888231965999886,0.06523093535720463,-0.054442752293710185,0.0170195102897294,0.5760113594308528,0.11978692677829214,-0.17390708772627436,0.6985937429856995,0.2533445164599062,0.34547199563545883,0.28979174789815126,0.10865026121926376,0.27957721667064594,0.45283123640828377,-0.25267092876988795,0.04170832258388345,-0.04826546731858207,0.1831755184122341,0.36705245800927466,0.43442515914400004,-0.11959815244669747,0.5779239826782971,-0.00884599722965383,-0.23709730983499105,0.8300601926398123
LC_R,-0.22386396599371697,0.49810484923990117,0.2552587544164187,-0.13384587889183805,-0.2895925476402948,1.0,-0.0513230873710961,-0.07480033175410228,-0.16928646081430337,-0.20942326572559986,-0.25506131784910274,0.3096656577244552,0.4584645864246038,-0.43179193029043117,-0.042237340827826125,-0.3439412568576962,0.5334211390098217,-0.35809724160224626,0.45672455031673265,0.141984380141099,-0.2736848870694307,-0.46906544178325343,-0.15404104370130095,-0.08408302765356962,0.30474574434243606,-0.42428326589716214,0.26200663088003623,0.6936370215187366,-0.3136172747156672,0.04032776097901978,-0.15391311679561154,-0.36099345282668405,-0.29048821631605776,0.0862654251003359,-0.26558854596004133,0.5096817510278152,0.6088189165527198,-0.23220611365284702,0.15126949608141504,-0.184067970383063,-0.6325683999766728,0.07449900411727371,-0.3806630793845728,-0.3364276801555899,0.6744365202501501,0.6237046093470143,0.6107063463930174,0.16441103658527648,-0.611852696101039,-0.5268153897575041,0.4232657625536568,0.02228721231011425,0.14057147939834572,0.29518513574323746,-0.2429702069662612
Cerebellum_Crus1_R,0.027207991259356325,-0.4492146262894744,-0.4036037199332741,0.13967373792306687,0.015324705153338718,-0.0513230873710961,1.0,0.06082671094841654,0.6182983017552779,0.3178405577015969,0.3574967223887507,-0.1895197925866516,-0.3204979470102541,0.2716878008144549,0.3943354923224659,-0.0849149432421016,-0.29681010067592545,0.6027833935206137,0.4427025712935541,0.29344313858377546,0.3202566521051171,-0.15166668364108016,-0.21910341461191488,0.13433708031586392,-0.040981252662089844,0.29595615204840964,-0.3666027852628742,-0.0902517475546483,0.05080244365483232,0.22984194653574097,0.4099123807454786,-0.09131092934282874,-0.012316678099903486,0.14839002393094977,-0.1975986439955467,0.2201492607261326,-0.43566344929793555,-0.10929185579011642,-0.15395417137642564,0.7372552651955379,0.2809951700452216,-0.3857501711184594,0.4495016885050383,-0.19168185509398475,0.20819962076769405,0.042259761536153406,0.10874115326717723,-0.14796419520975576,0.11138413469178776,0.05346651734342912,-0.3066894378502341,-0.25745696942721,0.06890470022350564,-0.5054909572651992,0.10977304077822178
Cerebellum_10_L,0.09060202456088479,-0.4073041016806272,-0.22312416176837302,-0.08267601286170666,0.030519850772987786,-0.07480033175410228,0.06082671094841654,1.0,-0.002133450016207273,0.21378570308968767,0.09371157038885364,-0.15390760459581013,-0.06523140032328559,0.16242006798634462,0.24301894775682348,-0.2582554006198001,-0.12292213415075605,0.12126977056060592,-0.19521621028493794,0.05331637656400101,0.19893998182531222,0.15234984467012846,0.1292101769035026,-0.01601599180866986,0.05066321372853492,0.08723483564313925,-0.27054722321513974,0.029026034627361544,-0.04462997141670337,0.3594670023449611,-0.08787807395606519,-0.17887422847674728,0.11087770407505415,0.3449539144010099,0.229541741165914,-0.22232567667682981,-0.3912739709771607,0.028575047624525684,-0.40943401536508967,-0.02646611422742285,0.027374335554885287,-0.15379746441543987,-0.026714609126390648,0.22196529991295041,-0.2615463872978602,-0.34970210927866074,-0.22041112823012046,0.14050953846386244,0.024487831848099564,0.20100472979636488,-0.1378710823763127,0.27593352239902585,-0.0833124771502877,-0.07097289401849416,0.09163063296029472
Temporal_Pole_Sup_R,0.2286787331340037,-0.3344980144750115,-0.2572192066687522,-0.005914431695782731,0.039072327103685314,-0.16928646081430337,0.6182983017552779,-0.002133450016207273,1.0,0.37514962542494523,0.09748775542632633,-0.15145676291994306,-0.331000419540254,0.5958369036768933,0.07135187376334645,0.18078681434395863,-0.409713635200186,0.5888443026165181,0.3734766840705779,0.18869961792018408,0.6131403064209919,-0.03790382964802871,0.0689011771133982,0.16766237569070785,-0.04702095419004215,0.5274998562451566,-0.152924248188811,-0.2242439003214236,0.07954306023657746,0.07065827701316965,0.44557772283724884,0.03583733107098517,0.4126027190122238,0.033406189498960494,-0.06470012209798659,-0.07078763594894591,-0.48907769182157373,-0.19979950682363154,-0.01726772626789816,0.5857612360124536,0.46079539277764564,-0.13318077019515476,0.6861423529720877,0.1460713671170463,0.08219202795991407,-0.21555883853152463,-0.21570269901060388,-0.17697307448632152,0.2946354663509848,0.22062245010054973,-0.30739378038293824,-0.2528881265396849,-0.00889195005421075,-0.21002795655286632,-0.024826166705950312
ACC_sub_L,-0.06813721213244552,-0.1966554591542914,-0.13717138335364654,0.004691633330242459,-0.15670915401822127,-0.20942326572559986,0.3178405577015969,0.21378570308968767,0.37514962542494523,1.0,-0.01953810954287602,-0.031200757656463716,-0.12164440225183339,0.23339376261786068,-0.10446447096387808,0.1031913581586991,-0.124279365010617,0.2285573313733015,0.007299274130934355,-0.11675947624763314,0.3034367895536333,-0.04954493690831229,0.08325952598930263,-0.017313158435805262,-0.20309502579899794,0.27662182072410485,-0.16330750712476735,-0.11728673656137677,0.04619162639214817,0.08501119394585936,0.22283854732752909,0.05929290253682626,0.21962074726278308,0.1650712948480216,-0.159749300345997,-0.22553643923151834,-0.2704938715273424,-0.14417456797841252,-0.293372317098753,0.1241869928590098,0.12944886817495116,-0.2178722704043327,0.11691766945543972,0.11281567102932874,-0.09507879791192385,-0.3068470371216312,-0.24636451653845412,-0.2913097600182454,0.10103361883025005,-0.0010787137612165106,-0.13812763551438953,-0.16016008319263736,0.04972351400054026,-0.046555204640346154,-0.05537190722247924
