,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pr_L,1.0,0.11156211796363392,0.7040518352042469,0.3539519076154718,0.5544346979908857,0.0018223485262918488,0.20564248580628552,0.06672911167832873,0.33866777644508766,-0.006432125679342926
Thal_MDl_R,0.11156211796363392,1.0,0.2706485704944838,-0.020364321887445296,0.17577005946446675,-0.06760997724788727,0.0545043628155626,0.11964912579300374,0.19728248890849487,-0.20640189076879847
OFCpost_R,0.7040518352042469,0.2706485704944838,1.0,0.323002982421582,0.6305140420352962,0.08643422300373628,-0.013654357803604102,-0.0633780772343718,0.34468317462566983,-0.1467428696236474
Temporal_Sup_R,0.3539519076154718,-0.020364321887445296,0.323002982421582,1.0,0.5566932638936275,0.6007181949584928,0.4292564911025452,0.22551443439843277,0.7585098705111329,0.3924721332845567
OFClat_L,0.5544346979908857,0.17577005946446675,0.6305140420352962,0.5566932638936275,1.0,0.24437963515429856,0.23972138217080463,0.04269395384424473,0.37339410918620464,0.015441071381527222
Heschl_R,0.0018223485262918488,-0.06760997724788727,0.08643422300373628,0.6007181949584928,0.24437963515429856,1.0,-0.1451260608781145,0.11777233870535624,0.606407934951314,0.36041790508863486
Cuneus_L,0.20564248580628552,0.0545043628155626,-0.013654357803604102,0.4292564911025452,0.23972138217080463,-0.1451260608781145,1.0,0.17190135072433635,0.2933219575787572,0.1023075871947747
Occipital_Inf_R,0.06672911167832873,0.11964912579300374,-0.0633780772343718,0.22551443439843277,0.04269395384424473,0.11777233870535624,0.17190135072433635,1.0,0.4348902347018495,0.1853851088470957
Temporal_Inf_R,0.33866777644508766,0.19728248890849487,0.34468317462566983,0.7585098705111329,0.37339410918620464,0.606407934951314,0.2933219575787572,0.4348902347018495,1.0,0.24511427974602645
Vermis_8,-0.006432125679342926,-0.20640189076879847,-0.1467428696236474,0.3924721332845567,0.015441071381527222,0.36041790508863486,0.1023075871947747,0.1853851088470957,0.24511427974602645,1.0
