,Cerebellum_10_L,Temporal_Mid_R,Frontal_Mid_2_L,SupraMarginal_R,Cerebellum_8_L,ACC_pre_L,Thal_LP_R,Parietal_Sup_L,Temporal_Inf_L,Thal_MDl_L,Thal_PuI_R,Paracentral_Lobule_L,Putamen_L,Thal_MGN_R,Cingulate_Mid_L,SN_pr_R,Precuneus_L,Thal_AV_R,Vermis_8,Amygdala_R,OFClat_L,Thal_Re_L,Postcentral_R,Occipital_Inf_R,Cerebellum_8_R,OFCpost_L,Cerebellum_Crus1_L,Thal_PuA_R,Olfactory_R,Heschl_R,Thal_MDm_L,Thal_PuA_L,LC_L,Cuneus_L,Angular_R,Cerebellum_10_R,Thal_AV_L,Cerebellum_7b_R,Vermis_6,Temporal_Inf_R,Vermis_3,Lingual_L,Temporal_Pole_Mid_R,Vermis_10,Fusiform_R,Cerebellum_4_5_R,Thal_VA_L,Thal_LGN_R,ACC_sup_R,Cerebellum_6_R,Thal_LGN_L,Thal_VA_R,Cingulate_Mid_R,Rolandic_Oper_R,SupraMarginal_L,Frontal_Inf_Oper_R,Red_N_R,Insula_L,Temporal_Pole_Sup_L,OFCmed_L,Vermis_4_5,Thal_VL_L,N_Acc_L,ParaHippocampal_R,Temporal_Sup_R,Precuneus_R,OFCant_R,Amygdala_L,Cerebellum_6_L,Rectus_R,N_Acc_R,Vermis_7,Thal_VL_R,Cerebellum_Crus2_R,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_L,Thal_IL_R,Putamen_R,Cerebellum_Crus2_L,Rectus_L,OFCmed_R,Supp_Motor_Area_R,Thal_MGN_L,ACC_sub_R,Cerebellum_3_L,Occipital_Sup_R,Vermis_1_2,Occipital_Mid_R,Supp_Motor_Area_L,Pallidum_R,Temporal_Pole_Sup_R,Cerebellum_9_L,Frontal_Sup_2_R,ACC_sup_L,LC_R
Cerebellum_10_L,1.0,-0.3950512168061082,-0.17263831577859,-0.5424928187573475,0.3110037306998777,0.29463789353947567,-0.08434448895283991,-0.391521160700153,0.19579259953273417,0.15227734631917766,0.5933951617527973,-0.06764492970505172,-0.0010395028438197585,0.7105132322621159,-0.12356282908673924,0.34587458550910977,-0.33781466844344177,-0.40325382835317064,0.6992222029110545,0.28394777895368944,-0.3391510399630211,0.1419197677509506,-0.2539838426791945,-0.574857809983045,0.5782956986410217,-0.40767426061973566,0.08713569012902517,0.06388894443471062,0.29704408204536825,0.10629841200125803,0.3687406707268829,0.36248057119487587,-0.5926395320179886,-0.40670108636566776,-0.3690153815305323,-0.6485398477840475,-0.22385625576413443,0.32269577055003607,-0.5707872133135197,-0.2606795181582118,-0.4895867568569398,-0.5512365180357357,-0.16742417380864047,0.5953472567215982,-0.20138559432063863,-0.6249202270658101,0.19733947909187025,0.2725591905783951,0.048067647085922434,-0.26919028948173696,0.3666540103165873,-0.007731752870121257,0.0519135586751639,-0.13923285351947687,-0.43636549637317734,-0.05916321012950124,0.3182946066779594,0.4428744682293198,0.6368207131982492,0.17850500447690784,-0.4508878229759861,0.1211545987596771,0.253663233090648,0.5765044580105892,-0.4556852584940577,-0.3803460720322728,0.572313581991801,-0.11127788242380245,-0.3755326394926516,0.5265243089861918,0.4942576300137376,0.2514893124285307,0.1693576571992135,-0.09544014796018464,-0.2516084737550439,-0.21952227776810035,0.018202619659078455,0.16435774102566242,0.526702206404009,0.5177030395785668,0.3308844971879564,-0.0032312746341756587,0.050373818237417385,0.04157915409432498,-0.5116307536352233,-0.5428132098136558,-0.5179205860389454,-0.4912491834554606,-0.011076673149272439,-0.04525068508806367,-0.15172361003091933,0.6115981889681366,-0.013064762316021605,-0.0454571983948202,-0.32554961109375197
Temporal_Mid_R,-0.3950512168061082,1.0,0.38878027207246146,0.5986810442455825,-0.12332613461026698,0.011269635873391722,0.07825948757143893,0.337828051112002,-0.03550156055511245,0.10636882245332956,-0.1231371261894874,0.4837689001119262,0.3198532933165342,-0.2951366320663097,0.3456511887283635,-0.11230363007769906,0.5143589498528337,0.5285046485784982,-0.5655255835826325,0.12449351953844247,0.35208940501814595,0.02869299998822805,0.5187211567807729,0.5148574381954268,-0.24496699210620945,0.40664389616124547,0.08972830982771064,0.16820747600306574,-0.18588206591550005,0.25063145506524864,0.060909180851162405,0.13612872425163072,0.4361401144565207,0.4176043125745631,0.3388238304528632,0.6706389531037881,0.38165843133757216,0.10567713548049798,0.4494930391520792,0.6437393255556343,0.4854714532849703,0.6259802657754776,0.45889777304868073,-0.285896819286061,0.7156142211307116,0.6528698601882673,0.09724379324894812,0.39193129382690045,0.3167475749160508,0.3407881976501888,0.13960616369308818,0.4850524769315229,0.2547736709083344,0.4557264314025374,0.33965861295344946,0.43379494033991856,-0.15819368281729795,-0.0792323951267465,-0.44964684007056577,-0.2881649759663626,0.5218253861974173,0.2885612236560122,-0.1075521718754207,-0.10067783260749606,0.8838113865556746,0.5357818301589703,-0.2864780989826247,0.2155205534404786,0.3897180693184535,-0.14732523552231236,-0.36179820534094087,-0.02662877286749612,0.26986034039846934,0.3063437518392925,0.3550442590479772,0.3450624347966033,0.4322757060636485,0.21245392191510973,-0.3525101025740722,-0.25335087718756544,-0.07746518235660194,0.27500091031635937,0.30961082156474473,-0.2143845810636147,0.502713584727465,0.526858902025915,0.3934637660927671,0.4697815596355833,0.2259207038818547,0.3064715123416468,0.49808153463501725,-0.24410367782216055,0.2085132581329835,0.14931241186239325,0.4821736880877029
Frontal_Mid_2_L,-0.17263831577859,0.38878027207246146,1.0,0.19967485930132944,0.0793234568182508,0.08506795411370502,0.3574153012225233,0.21429868897982393,0.3137243368875319,0.3907720261166322,0.12279041091288177,0.4715666781898259,0.6051065863638954,-0.014163390303087567,0.6404617194177551,0.026460059968524477,0.2352197150528222,0.46680888252729374,-0.24036646511693818,0.25666883460425205,0.29789119729637686,0.22295343948726862,0.32773510516444326,0.18364787094330662,-0.03890230868303495,0.4329500606665812,0.10156989739312389,0.5141151111921387,0.05700318282458564,0.35070978546735815,0.3100629110325693,0.4584499701824495,0.2767482805116474,0.1643861741059645,0.00025159207571790626,0.32098085978077806,0.5207624410404216,-0.04073622824424513,0.17501121946863887,0.07105723668072896,0.25686735680820566,0.38192843586212855,0.04735179773055415,-0.024403523932473126,0.2787214445444823,0.26726357574760323,0.309588073757541,0.4029973422366929,0.4003729046669118,0.18912769579482858,0.41959067085488727,0.4954877926481799,0.628362430619449,0.48123915985571813,0.17897181677561114,0.5957174621566231,0.03899899202262782,0.3910645288267676,-0.09440805456927326,-0.0651718617584461,0.19847679479578362,0.5762901308479712,0.13267699902377286,0.06269772890796071,0.4738076110139063,0.2504041129041226,-0.06362015863827901,0.19886222708933662,0.2529773606557271,-0.03814272608490218,0.04590051331117589,-0.16331913908434523,0.5444636797248447,0.04812607401064128,0.48444967799535976,0.650794573691161,0.4726231235101696,0.6061704851386929,-0.13924290011872523,-0.1615810291560084,-0.0012137235547929617,0.6469594615247539,0.5588013873577276,-0.15467666413668055,0.22336867515759726,0.08859571104510318,0.38892044594148256,0.03258586001218464,0.6220272895858916,0.5234232988501217,0.31601327290934106,-0.14120184325011328,0.5255132097434486,0.32196454210468944,0.23802677873584124
SupraMarginal_R,-0.5424928187573475,0.5986810442455825,0.19967485930132944,1.0,0.1653049439661438,-0.11455826690832197,-0.08811065452127462,0.7406131521519744,-0.033648086187706164,-0.072239102037276,-0.34839555265134414,0.4855179616682052,-0.029960575636745534,-0.6913791310729875,0.06713698502186917,-0.19851001734423782,0.8494946756304665,0.5051269127701474,-0.6969340553084338,-0.036046161586436073,0.6837723027759354,0.10947147319260776,0.7896326913799822,0.6893098540119497,-0.041848841921293206,0.48208610671402236,0.27303876869740934,-0.038832881011744584,-0.2312676221675625,-0.023446428629507975,-0.2373045362331176,-0.24483854266635702,0.7415167865370252,0.8683658789257868,0.5060737475532268,0.7168132291123502,0.2859694365118379,0.16260812498581906,0.8427251624695968,0.3398100818029843,0.7415381082966386,0.8220709821384908,0.3980025773975824,-0.47724143534356034,0.5216530899226998,0.8744856054385549,-0.13814840425964692,0.14828295437413175,0.0653478261891787,0.5651435136531855,-0.18463359911953148,0.2800340779541762,-0.11610084884929733,0.25506942039432173,0.8773213655999683,0.41097025611269694,-0.48230729211365925,-0.47550496360072364,-0.7905960391592982,-0.21716639350010553,0.6385110655419415,-0.0630435498771333,-0.3680159463988814,-0.24609583523309314,0.728444305283872,0.8520302711108895,-0.5324610037741256,0.14952784812959452,0.7350976291633083,-0.45487976437224253,-0.5084993347526041,-0.10632028565233652,-0.17783536873086364,0.5236858343101726,0.3436548088720586,0.3475220991458956,0.21026103570249097,-0.26669939916644314,-0.1804020539705582,-0.44913372927198003,-0.4141688487003901,-0.013230345848623032,0.241068890895602,-0.0631721883301455,0.8206771063868142,0.8118222956767768,0.6055918354596466,0.688374282094038,-0.056702194651266975,0.01196170418635542,0.27476267056256226,-0.25620461666502836,-0.028001738448309253,-0.08129127540023065,0.6137824427958856
Cerebellum_8_L,0.3110037306998777,-0.12332613461026698,0.0793234568182508,0.1653049439661438,1.0,0.266395130381031,-0.12226401591815829,0.32808219569655056,0.6161335125863207,0.09272206213611409,0.35230920362808177,0.22272182030511506,-0.14688465189305644,0.15173448215877963,-0.07528650729212699,0.1644932333904626,0.40055115937407004,-0.11688497999207127,0.31786137134919895,0.27966062326555996,0.359933719255372,0.2382799668937155,0.33621749608694923,-0.2233195120546425,0.8688778501928948,0.05822972413469807,0.6873380924883848,0.1895146991543306,0.10805342401978907,-0.09256923575026534,0.05874734850115205,0.06379542340774721,0.24254485035588577,0.41549829683790523,-0.06656328067573213,-0.03927267241415189,0.044046581013821896,0.4514592062734628,0.24701577645938524,-0.30872105409946654,0.25330476852397044,0.17412672678826535,0.002427939953001887,0.3184005418948179,0.19465057595440435,0.13571132398324623,0.036733943622043734,0.3810331935258405,0.24635410272850158,0.31633062886053476,0.26551856191633844,0.01455684002733583,0.01589629422542236,-0.17687404854197436,0.41527801884852816,0.23635035483393388,-0.030079404909804083,0.2523205801125391,0.07993554115710977,0.09611007231896493,0.12402839701651976,-0.05043283798724907,-0.08860182041363941,0.5595102527027159,-0.0640205386037943,0.3491680828841164,0.3708045529149467,-0.27189974839706743,0.4941522365609485,0.3013997062131746,0.21048990936986525,-0.22098443893525269,-0.06543466816146196,0.33182023767535285,0.24718311701003967,0.08357398705283657,0.05978998851799294,-0.047224179737979335,0.5512644302985571,0.33403919598052884,0.14775565720432735,-0.06918616483636558,0.40988939696551885,0.19406396931531775,0.13063900936220055,0.0620016784148231,0.2453577974506795,-0.12488038084135178,-0.10908749505086521,-0.1223303719790219,0.1241922125824898,0.5202281211077844,0.15252317354392628,0.08790991904187315,0.285719766996866
ACC_pre_L,0.29463789353947567,0.011269635873391722,0.08506795411370502,-0.11455826690832197,0.266395130381031,1.0,0.10423424887056773,-0.01723328068878451,0.09504336412762956,-0.08158272415123922,0.4266622419576325,0.029375086184208195,-0.12218127587208405,0.4065278978142301,0.010935019915594965,0.1479598582164708,0.030062811716440856,0.001321468631719575,0.29881231004006775,0.1473769546000832,-0.10225903226506546,-0.19765629916844715,0.07313247905900917,-0.12837049024703812,0.37997123175052133,-0.06310840563018427,0.11597788670834078,0.019924040627346193,-0.08457400942088451,0.27011583039969217,-0.05492711051432533,0.33195392214772096,-0.19959841239327544,-0.10289948055923762,-0.14895863510567603,-0.2923915599579319,-0.1476655691088943,0.314299787697734,-0.1364693237931668,0.026384873990139487,-0.20453424914434384,-0.028169022999907232,-0.09918394621128264,0.16900551268023445,0.17159549872760946,-0.1602299068896553,-0.16459563358459942,0.2961405985096193,-0.10658948423211571,0.1427546950637982,0.15402310527733948,0.05775684734416144,0.15483266348723357,0.26938704109176786,-0.05284522420795791,0.3558817575943065,0.09108401071094956,0.30557452154652465,0.29502498171808056,0.15454066962596133,0.06494944222573976,-0.02972295810384413,-0.20153321100462207,0.3922986082967137,0.08715357122072896,-0.0930872680269314,0.399487169566725,-0.11447512757712285,0.05143064294465505,0.45916559849754984,0.06836433114143184,0.18727476408948007,0.10759483949424835,0.0936934250696499,0.28247742938491144,0.33805269194265614,-0.08743085057092073,0.3140497867882651,0.4248581081818657,0.39706257927823135,0.1602477969058251,0.004198019809415925,0.0976418792113302,0.21023099387878763,0.02809727498500612,-0.2180483766681594,-0.19535308675186566,-0.1955817921111739,-0.12380323460222314,0.11026373883039328,0.22563565162942326,0.2735642314644644,0.20394935299842865,-0.19863037951745255,0.021101660724617933
Thal_LP_R,-0.08434448895283991,0.07825948757143893,0.3574153012225233,-0.08811065452127462,-0.12226401591815829,0.10423424887056773,1.0,-0.0631864432938938,0.01298136171721265,0.3194835807542549,0.030430067843974472,0.057324459098307114,0.3604202431710587,0.05697940785117596,0.29985473603748586,-0.004544160240498438,-0.096567032058074,0.2403776100992856,-0.013413347117828036,-0.03411263314642977,-0.0645321790908237,0.06571086029691249,-0.03083413444346471,-0.00475440385561788,-0.12238925599635811,0.11369950692166393,-0.026215623147378006,0.2837376390991627,-0.043334981775820285,0.17142698704655243,0.22185395679839207,0.2201792113898193,0.0439128523032747,-0.14018651505275428,-0.03149605459109355,0.003225228708031854,0.35401068343285,-0.16438539035168456,-0.05652499610605243,-0.041836363747465494,-0.029899592512297506,0.033309503018371774,0.030774260663474027,-0.06561908466423955,-0.0521447448680842,-0.004894613613028893,0.18605339424472056,0.04263698464566528,0.14823221736990821,0.09493115407496032,0.10174243487699239,0.11697705076642208,0.4103744747276938,0.1582592505359083,-0.12036181425907473,0.1185883642686236,0.039628404697141593,0.19779975684166887,0.023889528985194988,-0.11420198186770587,0.17334938540931366,0.3148404151663694,0.08698765361466985,-0.06945071545112042,0.09799027904814854,-0.08954975025079155,-0.055368090156545674,0.039000801811983565,0.0021969800479950553,0.04124719349295598,0.09793224199902979,-0.007252920886531261,0.403386365017216,-0.10570490944593462,0.25660318936847665,0.1533689188870316,0.1263168645819845,0.4152332463509571,-0.07838013947416554,-0.033033767299645,-0.0036102470506890216,0.2900622588835138,0.156183091984564,-0.13233243970227845,-0.04451292817274325,-0.016050172713093572,0.13243469249398818,0.0017410148570337054,0.23324601676779702,0.45812337716264745,0.08221043343165571,-0.07473197686534519,0.22895638718415978,0.2235557694345743,0.05760615576676804
Parietal_Sup_L,-0.391521160700153,0.337828051112002,0.21429868897982393,0.7406131521519744,0.32808219569655056,-0.01723328068878451,-0.0631864432938938,1.0,0.26127749782597937,0.021876988533286994,-0.18816978269452314,0.5468088786031704,-0.006501183090622715,-0.4754650143942517,0.2036907642887859,-0.13182446629752848,0.7947918809141946,0.37714459208464696,-0.4514013727381623,-0.011343852199185732,0.6084470242689042,0.14675862484177046,0.7014370968579107,0.44431940930815417,0.11926279803861095,0.40196552421970494,0.4126074732840876,0.05048262254656445,-0.20302088993305167,0.0058055811252724085,-0.15744878769733675,-0.13578160134578718,0.7117738457152883,0.7454538144213941,0.365761544065998,0.5305521473901029,0.30625640322939535,0.03013998495748087,0.692790603223035,0.00231516715189421,0.6980750454932309,0.7404724960711938,0.3855600305550587,-0.37070262335036297,0.24110073205599078,0.6877474289278948,-0.09371547525998328,0.1742462387124896,0.1672160966618862,0.5737028038404728,-0.11398154272794622,0.2706987730690448,0.08134186165978907,0.17043851426799306,0.7823674993538647,0.382830246790493,-0.462298131887529,-0.35085474113667786,-0.6251202748596882,-0.2708595375758912,0.6066326657561081,-0.01352305954789668,-0.398035955509718,-0.12972274162931058,0.479196522560047,0.7785255204303364,-0.38026253210889704,0.06101556254058018,0.6896334707374238,-0.3585733225996026,-0.34345635508748046,-0.18040391342094217,-0.09085408366473352,0.29865962393802,0.34986311693933286,0.32642685308378133,0.2128949761573498,-0.14748013928550296,-0.04615902433458019,-0.3687657259470411,-0.43560607638117943,0.09684425423307688,0.2124713836156622,-0.05280484235610216,0.6121334233412933,0.5775131845088362,0.612146912383203,0.3826588051092699,0.0799437238547121,0.06655722094905155,0.1708388546440528,-0.14410705084067207,0.19496314265028,0.04697067919125713,0.6493935921161412
Temporal_Inf_L,0.19579259953273417,-0.03550156055511245,0.3137243368875319,-0.033648086187706164,0.6161335125863207,0.09504336412762956,0.01298136171721265,0.26127749782597937,1.0,0.4468970153816987,0.40912585219916464,0.4481339300098689,0.26160846172285745,0.2435967465330107,0.3092543546629009,0.10952421933778787,0.19468516959673474,0.03636900159041393,0.28355341624618735,0.4438372086718297,0.2617531228888107,0.3241100962558988,0.3549282400583113,-0.3364449255006066,0.46515518787431,0.23419099513880368,0.5423209103913638,0.5446649950139117,0.2645414465087947,0.21423451428212856,0.36799262915116654,0.2423884783605168,0.2921313674841597,0.17960698923906873,-0.16996828437947026,0.04123988725401732,0.3990100747367995,0.01808343575142524,0.062117361415562795,-0.48972463396787524,0.2973399864401771,0.26404122565472565,0.1717670050639197,0.21826806183960692,-0.04570014371167216,0.08617198623248128,0.2768674231617198,0.446240236888717,0.5165592396292725,0.14589042267321928,0.4930339872611449,0.1450095072214008,0.3857477084172565,0.029123692094387008,0.2471267739698402,0.25072533624608984,0.11175264075637535,0.5052248491936516,0.24538403197456007,0.0062744942344708605,0.2132468256401411,0.27683595139125244,0.18770976709896411,0.5230223044669464,-0.042438772567705424,0.2702109832484139,0.3180810390758448,-0.033442511984053735,0.23394278443352312,0.18154201176175042,0.38909436650152024,-0.3163726384757493,0.29716276932266156,-0.04709874035456009,0.24908933492667878,0.13523093180049575,0.3207960524585901,0.27078015719895915,0.22628210669347998,0.1629270576675932,0.1291643661539974,0.3780138191499882,0.5291710569651189,0.026747205862860533,-0.027650574183679083,-0.17787789158110717,0.45843024513068387,-0.3598781614994479,0.3171621514000807,0.15962089133145213,0.14917413812912175,0.15554097669986752,0.4278361059902254,0.4023514177078995,0.4307442117772944
Thal_MDl_L,0.15227734631917766,0.10636882245332956,0.3907720261166322,-0.072239102037276,0.09272206213611409,-0.08158272415123922,0.3194835807542549,0.021876988533286994,0.4468970153816987,1.0,0.32439843503993837,0.4980860392459239,0.7024465893720045,0.23157614116081912,0.4020444047887153,0.15207888038399126,-0.01321580405174036,0.34909241490960013,0.10226391569974326,0.420979023087953,0.041433626862719404,0.5727644720873981,0.25508313819896694,-0.19960070139457822,0.06964517671278785,0.17098818576397717,0.112432187088435,0.6909483050700299,0.3954168120276296,0.30795728286521523,0.8398081007676647,0.5369305128139967,0.08201226072256643,-0.05754837691001113,-0.1966254575873073,0.05698810380768849,0.668273844518287,-0.096927949956914,-0.1296686683671877,-0.17480933756706032,0.10760477411647347,0.12895744892637437,0.1508208570505625,0.08963177917291539,-0.07312125961383438,-0.02339780999129662,0.8024899821216958,0.3671323644183522,0.49316543265277696,-0.04949601482516901,0.5882787913775529,0.35991891090090666,0.46539075294933685,0.1688944403010805,0.016257407243396926,0.25233533898560895,0.2339958563283944,0.46283529739229434,0.14307611470150586,-0.04894313837395905,0.11435199400560239,0.781794336673651,0.616239306579152,0.20898335143649996,0.05739714381049061,0.10774721021892944,0.0983711065344416,0.3440313274804247,-0.05324371833082535,0.06768602733717181,0.50176457429516,-0.0558829463848886,0.717903030737575,-0.09512508372650301,-0.07225353944399253,0.04438490194458924,0.7073067138178936,0.3347560552926343,-0.06880364411057492,-0.016762150176564496,0.14107310369228904,0.6279152767728513,0.48992959244841044,-0.3500519244239179,-0.07398106326213164,-0.1764630329113231,0.2592689155408587,-0.22585206792659798,0.6204692147512547,0.3256387307542308,0.10300545820119669,-0.00950355073105158,0.41836891094912354,0.4384051712188548,0.21125463399461855
